,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,GGG,1,2014,,,-20.0,,2.621,-0.504,67,190,42,,-7751,-6653,,,,,,-0.628,,,-0.4,0.3,0.1,0.046,-710,0.104,0.013,-0.304,-1.8,1.1,-19.2,2.5,-1.6,-89,-0.077,0.204,215,5.5,0.0,0.4,1.0,0.013,-23.2,,,,,,,,,-2.6,,0.035,0.118,
1,GGG,4,2013,,,-26.4,,2.764,-0.474,82,219,14,,-7409,-5953,,,,,,-0.552,,,-0.4,0.3,0.1,2.9,-686,-0.318,-0.472,-3.811,-2.0,1.1,-20.2,2.4,-1.8,-87,-0.02,0.028,288,4.4,0.0,0.4,1.0,-0.472,8.1,,,,,,,,,-2.8,,-4.365,-1635.161,
2,GGG,3,2013,,,75.6,,-3.639,-0.097,106,327,16,-0.1,-1899,3,,,,,,0.0,,,0.0,0.4,0.1,-0.027,204,0.076,-0.026,-0.221,3828.1,0.8,74.8,2.4,5017.6,-81,8.268,0.038,417,3.4,0.0,0.3,1.0,-0.026,8.5,,,,,,,,,5016.6,,-0.075,-0.463,
3,GGG,2,2013,,,74.3,,-2.137,-0.092,206,633,161,-0.7,-1952,6,,,,,,0.0,,,0.0,0.4,0.2,-0.048,221,-0.213,-0.333,-0.783,2353.1,0.8,76.0,2.2,3050.2,-84,199.394,1.128,678,1.8,-0.002,0.2,1.0,-0.333,2.3,,,,,,,,,3049.2,,-0.201,-0.991,
4,GGG,1,2013,,,60.4,,-1.21,-0.094,185,592,149,,-2050,738,,,,,,0.037,,,0.0,0.4,0.1,-0.311,276,0.153,0.051,0.011,20.7,0.8,62.1,2.6,27.3,-83,0.119,0.11,628,2.0,0.0,0.2,1.0,0.051,0.2,,,,,,,,,26.3,,0.465,0.246,
5,GGG,4,2012,,,91.8,,-1.178,-0.127,200,526,142,,-2976,592,,,,,,0.029,,,0.0,0.5,0.1,-0.467,188,0.412,0.223,-0.48,26.9,0.8,94.8,2.6,34.5,-81,0.031,0.013,584,1.8,0.0,0.2,1.0,0.223,-2.1,,,,,,,,,33.5,,-1.105,-0.431,
6,GGG,3,2012,,,-10.8,,-1.305,-0.224,548,619,85,-0.1,-5584,1040,,,,,,0.05,,,0.1,0.5,0.1,-0.006,-1786,-0.02,-0.096,-1.124,15.9,0.8,-10.5,2.5,20.1,-74,0.065,0.049,1082,0.7,0.0,0.1,1.0,-0.096,11.7,,,,,,,,,19.1,,-0.006,-0.429,
7,GGG,2,2012,,,-11.6,,-1.107,-0.221,483,515,39,,-5617,1821,,,,,,0.083,,,0.1,0.6,0.2,-0.176,-1798,-0.063,-0.144,-0.47,9.6,0.8,-10.4,2.5,12.1,-64,0.033,0.033,960,0.8,0.0,0.2,1.0,-0.144,3.3,,,,,,,,,11.1,,-0.25,-0.313,
8,GGG,1,2012,,,-9.5,,-1.048,-0.253,586,646,97,,-6813,2649,,,,,,0.112,,,0.1,0.6,0.2,0.159,-2399,0.057,-0.039,-0.594,7.2,0.8,-7.8,2.9,8.9,-57,0.162,0.166,1135,0.6,0.0,0.1,1.0,-0.039,15.2,,,,,,,,,7.9,,0.194,-0.406,
9,GGG,4,2011,,,-11.6,,-0.782,-0.206,675,653,100,,-5880,4461,,,,,,0.169,,,0.2,0.7,0.3,1.182,-2009,0.642,1.954,3.552,4.4,0.8,-9.5,3.8,5.9,-45,0.01,0.016,1228,0.5,0.0,0.1,1.0,1.954,1.8,,,,,,,,,4.9,,10.035,-0.407,
10,GGG,3,2011,,,-133.1,,-0.302,-0.092,294,302,32,-0.1,-2695,7517,,,,,,0.26,,,0.4,0.8,0.5,0.517,-182,0.061,-0.026,-0.527,2.7,0.7,-110.1,,3.8,-38,0.008,0.016,564,1.2,0.0,0.4,1.0,-0.026,20.0,,,,,,,,,2.8,,-1.265,-0.098,
11,GGG,2,2011,,,32.7,,-0.192,-0.061,241,257,43,,-1777,8330,,,,,,0.288,,,0.4,0.9,0.5,-4.631,688,-0.125,-0.486,-1.331,2.3,0.7,27.0,,3.5,-29,0.007,0.014,455,1.5,-0.001,0.5,1.0,-0.486,2.7,,,,,,,,,2.5,,-0.753,-0.196,
12,GGG,1,2011,,,11.4,,0.048,0.017,128,229,34,,489,10354,,,,,,0.342,,,0.5,1.0,0.6,-0.073,2789,0.324,0.226,0.007,1.7,0.6,6.5,,2.9,-1,0.023,0.022,323,2.9,-0.009,0.7,1.0,0.226,0.0,,,,,,,,,1.9,,0.026,-0.022,
13,GGG,4,2010,,,14.5,,0.051,0.018,159,207,38,,527,10587,,,,,,0.343,,,0.5,1.0,0.7,-0.334,2719,0.065,0.02,0.024,1.7,0.6,6.8,,2.9,2,0.023,0.014,328,2.3,-0.009,0.7,1.1,0.02,1.3,,,,,,,,,1.9,,-0.378,0.028,
