,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,GHC,4,2022,8.2,1.4,6.5,,0.168,0.1,230,9,1,3.8,3307,19619,,,,,,0.612,,,1.6,4.6,4.5,0.011,5331.0,0.525,0.494,0.369,0.6,0.4,2.3,0.0,1.6,261,0.056,0.041,238,1.6,-0.001,0.2,0.9,0.494,0.9,,,,,,,,,0.6,,-0.186,-0.035,
1,GHC,3,2022,8.0,1.3,6.3,,0.195,0.106,173,9,3,3.6,3271,20333,,,,,,0.609,,,1.6,4.3,4.2,0.082,6546.0,0.56,0.532,0.39,0.6,0.4,2.4,0.1,1.6,285,0.217,0.165,179,2.1,-0.002,0.2,0.9,0.532,0.8,,,,,,,,,0.6,,0.042,-0.061,
2,GHC,2,2022,8.4,1.2,7.0,,0.167,0.093,271,8,7,3.6,3022,21663,,,,,,0.608,,,1.6,4.0,4.0,0.071,6286.0,0.583,0.557,0.428,0.6,0.4,2.6,0.1,1.6,345,0.163,0.131,272,1.3,-0.003,0.2,0.9,0.557,0.9,,,,,,,,,0.6,,0.024,0.034,
3,GHC,1,2022,10.2,1.4,7.6,,0.162,0.088,248,8,9,3.7,2822,20947,,,,,,0.594,,,1.5,3.7,3.6,0.257,6136.0,0.632,0.607,0.737,0.6,0.4,2.7,0.1,1.7,308,0.106,0.08,247,1.5,-0.004,0.2,0.9,0.607,1.4,,,,,,,,,0.7,,0.009,0.061,
4,GHC,4,2021,12.3,1.4,8.7,,0.136,0.072,141,9,5,3.9,2246,19746,,,,,,0.581,,,1.4,2.6,2.6,0.007,6084.0,0.572,0.544,0.342,0.7,0.4,2.7,0.1,1.7,158,0.138,0.088,145,2.6,-0.01,0.2,0.9,0.544,0.7,,,,,,,,,0.7,,-0.336,0.497,
5,GHC,3,2021,11.5,2.0,8.4,,0.202,0.085,44,8,10,2.5,2230,13189,,,,,,0.466,,,0.9,1.3,1.2,-0.055,9160.0,0.511,0.485,0.293,1.1,0.5,2.8,0.1,2.1,33,0.033,0.015,41,8.3,-0.053,0.2,0.9,0.485,0.7,,,,,,,,,1.1,,-0.039,-0.086,
6,GHC,2,2021,9.3,1.5,9.8,,0.207,0.09,87,7,14,2.9,2360,14435,,,,,,0.497,,,1.0,2.5,2.5,0.08,9533.0,0.621,0.591,0.378,1.0,0.5,2.7,0.1,2.0,132,0.166,0.061,80,4.2,-0.089,0.2,0.9,0.591,0.7,,,,,,,,,1.0,,0.025,0.037,
7,GHC,1,2021,10.6,1.7,6.5,,0.199,0.084,71,8,4,3.3,2184,13917,,,,,,0.483,,,0.9,2.3,2.3,0.067,9297.0,0.658,0.632,0.418,1.0,0.5,2.8,0.1,2.1,108,0.02,0.014,75,5.1,-0.102,0.2,0.9,0.632,0.7,,,,,,,,,1.1,,0.025,0.047,
8,GHC,4,2020,11.3,1.7,6.9,,0.196,0.078,37,7,49,3.3,2048,13288,,,,,,0.465,,,0.9,1.7,1.7,0.061,9069.0,0.53,0.503,0.327,1.1,0.5,2.9,0.1,2.1,74,0.108,0.071,-4,9.8,-0.094,0.2,0.9,0.503,0.7,,,,,,,,,1.1,,-0.186,0.488,
9,GHC,3,2020,11.2,2.4,7.3,,0.228,0.08,-40,7,184,2.7,1930,8932,,,,,,0.372,,,0.6,1.4,1.4,0.007,11139.0,0.617,0.592,0.36,1.6,0.6,2.9,0.1,2.7,40,0.039,0.017,-217,,-0.158,0.3,0.9,0.592,0.7,,,,,,,,,1.7,,0.029,0.066,
10,GHC,2,2020,11.0,2.5,7.1,,0.23,0.082,-117,6,204,2.1,1916,8381,,,,,,0.358,,,0.6,1.2,1.2,-0.152,10828.0,0.553,0.527,0.266,1.7,0.6,2.5,0.1,2.8,15,0.02,0.009,-315,,-0.912,0.3,0.9,0.527,0.5,,,,,,,,,1.8,,-0.017,0.044,
11,GHC,1,2020,8.6,2.4,6.2,,0.288,0.118,7,8,53,2.5,2260,8032,,,,,,0.347,,,0.5,1.2,1.1,0.118,11016.0,0.639,0.614,0.365,1.8,0.6,2.2,0.1,2.9,10,0.031,0.017,-38,51.0,-1.798,0.3,1.0,0.614,0.6,,,,,,,,,1.9,,0.199,0.06,
12,GHC,4,2019,10.0,2.7,6.6,,0.271,0.121,47,8,124,3.0,2022,7576,,,,,,0.32,,,0.5,0.9,0.8,0.001,9186.0,0.483,0.459,0.295,2.0,0.6,2.0,0.1,3.1,-13,0.038,0.021,-69,7.7,-2.199,0.3,1.1,0.459,0.7,,,,,,,,,2.1,,0.154,-0.052,
13,GHC,3,2019,11.1,2.8,7.4,,0.252,0.124,56,11,309,3.4,2020,7995,,,,,,0.332,,,0.5,0.5,0.5,0.0,7960.0,0.604,0.551,0.374,1.6,0.5,1.9,0.1,3.0,-103,0.046,0.029,-242,6.5,-2.146,0.3,1.1,0.551,0.7,,,,,,,,,2.0,,0.163,-0.039,
14,GHC,2,2019,10.2,2.5,8.5,,0.256,0.129,79,14,398,6.5,2020,8319,,,,,,0.354,,,0.5,0.3,0.3,0.087,6842.0,0.677,0.65,0.52,1.1,0.4,1.6,0.0,2.8,-196,0.031,0.016,-305,4.6,-0.968,0.2,1.1,0.65,0.8,,,,,,,,,1.8,,0.209,0.088,
15,GHC,1,2019,9.9,2.4,8.7,,0.244,0.161,32,16,118,17.8,1858,7649,,,,,,0.507,,,1.0,1.0,1.0,-0.108,5658.0,0.62,0.571,0.481,0.8,0.4,1.3,0.1,2.0,1,0.014,0.007,-70,11.3,-2.075,0.3,1.1,0.571,0.9,,,,,,,,,1.0,,-0.071,0.037,
16,GHC,4,2018,9.0,2.5,4.4,,0.288,0.227,45,16,155,361.9,2084,7372,,,,,,0.761,,,3.2,0.9,0.9,-0.094,6088.0,0.665,0.641,0.594,0.1,0.1,0.2,,1.3,-8,0.049,0.025,-95,8.2,-0.711,0.4,1.1,0.641,1.0,,,,,,,,,0.3,,-0.066,-0.08,
17,GHC,3,2018,7.5,2.1,3.8,,0.297,0.283,44,17,2,,2301,8011,,,,,,0.949,,,18.5,9.5,9.4,-0.038,6518.0,0.638,0.618,0.601,0.0,0.0,0.0,,1.1,176,0.334,0.2,59,8.3,-0.268,0.4,1.1,0.618,1.1,,,,,,,,,0.1,,0.01,0.072,
18,GHC,2,2018,7.2,2.3,9.3,,0.334,0.31,74,18,3,,2393,7475,,,,,,0.949,,,18.6,8.7,8.6,-0.003,6451.0,0.704,0.682,0.693,0.0,0.0,0.0,,1.1,148,0.229,0.148,89,4.9,-0.023,0.4,1.1,0.682,1.1,,,,,,,,,0.1,,-0.012,-0.015,
19,GHC,1,2018,8.2,2.6,4.1,,0.335,0.321,46,16,2,,2399,7588,,,,,,0.955,,,21.2,9.7,9.5,-0.004,6531.0,0.707,0.685,0.675,0.0,0.0,0.0,,1.0,148,0.268,0.15,60,8.0,-0.018,0.5,1.1,0.685,1.1,,,,,,,,,0.0,,-0.01,0.067,
20,GHC,4,2017,7.5,2.5,4.6,,0.361,0.295,74,17,17,,2408,7113,,,,,,0.816,,,4.4,2.6,2.5,0.0,6596.0,0.708,0.682,0.671,0.0,0.0,0.0,,1.2,120,0.377,0.177,73,4.9,-0.017,0.4,1.1,0.682,1.1,,,,,,,,,0.2,,-0.015,-0.047,
21,GHC,3,2017,6.8,2.2,4.8,,0.345,0.331,40,18,2,,2409,7465,,,,,,0.954,,,20.7,8.8,8.6,0.176,6695.0,0.661,0.644,0.771,0.0,0.0,0.0,,1.0,134,0.226,0.109,57,9.1,-0.003,0.5,1.1,0.644,1.3,,,,,,,,,0.0,,0.091,0.092,
22,GHC,2,2017,8.0,2.4,5.4,,0.309,0.27,52,20,4,,2049,6837,,,,,,0.902,,,9.2,3.5,3.4,0.12,6140.0,0.711,0.687,0.66,0.0,0.0,0.2,,1.1,87,0.134,0.06,68,7.0,0.0,0.4,1.1,0.687,1.0,,,,,,,,,0.1,,0.124,0.016,
23,GHC,1,2017,8.1,2.2,6.1,,0.285,0.254,30,20,2,,1830,6728,,,,,,0.962,,,25.2,7.0,6.8,0.262,5462.0,0.726,0.708,0.669,0.0,0.0,0.2,,1.0,76,0.068,0.031,47,12.3,-0.003,0.4,1.1,0.708,1.0,,,,,,,,,0.0,,0.201,0.078,
24,GHC,4,2016,9.3,2.2,6.6,,0.234,0.177,120,20,4,,1451,6244,,,,,,0.82,,,4.6,1.7,1.7,0.143,4548.0,0.729,0.705,0.661,0.0,0.0,0.3,,1.2,48,0.07,0.033,136,3.0,-0.005,0.3,1.1,0.705,1.0,,,,,,,,,0.2,,0.251,-0.04,
25,GHC,3,2016,8.8,1.7,7.8,,0.191,0.169,64,19,6,27.2,1269,6504,,,,,,0.964,,,26.9,5.7,5.5,-0.019,3637.0,0.561,0.534,0.5,0.0,0.0,0.4,,1.0,54,0.02,0.011,78,5.7,-0.004,0.3,1.1,0.534,1.0,,,,,,,,,0.0,,0.061,0.008,
26,GHC,2,2016,8.6,1.7,8.7,,0.2,0.165,46,19,9,13.8,1294,6451,,,,,,0.849,,,5.6,3.1,3.1,0.082,3428.0,0.631,0.585,0.694,0.1,0.1,0.8,1.0,1.2,69,0.053,0.028,56,7.9,-0.005,0.3,1.1,0.585,1.3,,,,,,,,,0.2,,-0.007,0.052,
27,GHC,1,2016,8.8,1.7,5.8,,0.193,0.156,22,20,3,6.3,1196,6131,,,,,,0.824,,,4.7,1.5,1.4,-0.094,3453.0,0.484,0.427,0.371,0.2,0.1,0.8,0.4,1.2,15,0.067,0.045,39,16.5,-0.002,0.3,1.1,0.427,0.9,,,,,,,,,0.2,,-0.092,-0.005,
28,GHC,2,2015,12.7,1.6,,,0.168,0.109,90,28,18,9.6,822,6477,,,,,,0.8,,,4.0,1.5,1.4,-0.075,3831.0,0.629,0.576,0.46,0.2,0.2,1.9,0.5,1.2,17,0.093,,100,4.1,-0.003,0.2,1.2,0.576,0.9,,,,,,,,,0.2,,-0.019,0.035,
29,GHC,3,2013,,,5.3,,0.397,0.146,35,17,8,3.4,1118,2893,,,,,,0.395,,,0.7,0.8,0.7,-0.16,8147.0,0.603,0.569,0.117,1.3,0.5,2.5,0.1,2.5,-13,0.196,0.102,44,10.4,0.0,0.3,2.9,0.569,0.6,,,,,,,,,1.5,,-0.041,-0.058,
30,GHC,4,2012,,,,,0.375,0.14,52,21,59,4.2,1102,3066,,,,,,0.402,,,0.7,0.9,0.9,0.028,,0.732,0.706,0.545,1.4,0.6,,0.2,2.5,-3,0.19,0.11,14,7.0,,0.3,1.0,0.706,0.8,,,,,,,,,1.5,,,0.119,
