,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,GKM,4,2022,47.7,2.7,25.1,,0.059,0.03,266,61,58,1.3,675,11769,,,,,,0.487,,,1.1,2.3,2.1,-0.54,1486,0.214,0.088,0.01,0.7,0.4,5.7,1.3,2.1,269,0.159,0.062,269,1.4,-0.029,0.5,0.7,0.088,0.2,,,,,,,,,0.9,,-0.319,0.006,
1,GKM,3,2022,22.4,2.8,19.8,,0.154,0.078,250,99,53,1.4,1469,11697,,,,,,0.507,,,1.2,2.7,2.2,0.053,2183,0.179,0.1,0.088,0.6,0.3,3.8,1.0,2.0,287,0.42,0.185,296,1.5,-0.337,0.6,0.8,0.1,1.1,,,,,,,,,0.8,,-0.028,0.023,
2,GKM,2,2022,30.5,3.7,23.5,,0.149,0.075,242,105,69,2.4,1395,11436,,,,,,0.469,,,1.0,2.4,2.0,0.081,2246,0.346,0.181,0.122,0.8,0.4,3.8,0.6,2.1,236,0.168,0.067,278,1.5,-0.3,0.5,0.8,0.181,0.8,,,,,,,,,1.0,,0.081,0.029,
3,GKM,1,2022,37.0,4.3,31.6,,0.142,0.078,234,70,62,1.4,1291,11119,,,,,,0.517,,,1.2,2.9,2.5,-0.063,2077,0.232,0.136,0.026,0.6,0.3,3.2,0.3,1.9,208,0.092,0.026,242,1.6,-0.535,0.6,0.7,0.136,0.3,,,,,,,,,0.8,,0.007,0.001,
4,GKM,4,2021,29.5,3.7,34.3,,0.153,0.081,221,51,100,7.2,1378,11111,,,,,,0.528,,,1.2,2.5,2.3,0.711,2064,0.249,0.163,0.237,0.6,0.4,3.4,0.5,1.9,184,0.218,0.052,173,1.6,-0.512,0.5,0.8,0.163,1.7,,,,,,,,,0.8,,-0.095,0.495,
5,GKM,3,2021,31.6,3.4,39.7,,0.114,0.06,182,91,112,3.7,805,7432,,,,,,0.51,,,1.1,1.9,1.6,0.161,2280,0.246,0.18,0.098,0.6,0.3,3.0,1.1,2.0,110,0.048,0.008,161,2.0,-0.182,0.6,0.8,0.18,0.7,,,,,,,,,0.9,,0.108,0.026,
6,GKM,2,2021,14.8,1.4,27.6,,0.1,0.057,181,91,90,6.2,693,7244,,,,,,0.554,,,1.3,1.9,1.6,0.282,2058,0.312,0.183,0.112,0.4,0.3,2.8,2.1,1.8,110,0.067,0.017,181,2.0,-0.213,0.6,0.8,0.183,0.8,,,,,,,,,0.7,,0.221,0.03,
7,GKM,1,2021,20.9,1.6,11.2,,0.08,0.046,184,80,105,3.1,541,7031,,,,,,0.605,,,1.5,2.1,1.9,0.176,1686,0.223,0.153,0.082,0.4,0.2,3.2,1.7,1.7,104,0.035,0.03,159,2.0,-0.001,0.6,0.8,0.153,0.7,,,,,,,,,0.7,,0.135,0.013,
8,GKM,4,2020,26.7,1.8,12.4,,0.068,0.038,196,71,157,5.2,460,6939,,,,,,0.538,,,1.2,1.8,1.6,1.139,1485,0.24,0.149,0.114,0.4,0.2,3.7,1.8,1.9,102,0.083,0.072,110,1.9,0.0,0.5,1.0,0.149,0.8,,,,,,,,,0.9,,0.434,0.04,
9,GKM,3,2020,57.1,1.8,22.1,,0.033,0.019,237,128,124,2.5,215,6673,,,,,,0.54,,,1.2,1.8,1.4,0.039,1035,0.231,0.132,0.046,0.5,0.3,4.9,1.6,1.9,94,0.088,0.058,240,1.5,-0.001,0.5,0.9,0.132,0.4,,,,,,,,,0.9,,0.182,0.009,
10,GKM,2,2020,63.3,2.0,24.7,,0.032,0.019,199,100,80,2.0,207,6611,,,,,,0.584,,,1.4,2.0,1.5,0.271,876,0.211,0.097,0.043,0.5,0.3,5.5,1.5,1.7,86,0.018,0.013,219,1.8,-0.103,0.6,1.1,0.097,0.4,,,,,,,,,0.7,,0.136,0.009,
11,GKM,1,2020,69.9,1.7,29.3,,0.025,0.015,217,92,80,2.2,162,6551,,,,,,0.56,,,1.3,1.8,1.4,0.225,771,0.21,0.127,0.051,0.5,0.3,6.4,1.5,1.8,83,0.102,0.067,228,1.7,-0.001,0.5,0.8,0.127,0.5,,,,,,,,,0.8,,-0.1,-0.085,
12,GKM,4,2019,85.6,1.6,25.5,,0.019,0.011,190,67,82,1.7,132,7162,,,,,,0.561,,,1.3,1.8,1.5,0.099,857,0.179,0.068,0.018,0.5,0.3,5.5,1.4,1.8,80,0.166,0.11,174,1.9,-0.001,0.5,1.5,0.068,0.4,,,,,,,,,0.8,,-0.051,0.003,
13,GKM,3,2019,88.5,1.5,23.5,,0.017,0.011,198,78,63,3.7,120,7139,,,,,,0.606,,,1.5,1.9,1.5,0.001,903,0.111,0.059,0.031,0.4,0.2,4.7,4.0,1.7,87,0.032,0.023,213,1.8,-0.001,0.5,1.4,0.059,0.7,,,,,,,,,0.7,,0.038,0.011,
14,GKM,2,2019,89.8,1.5,20.3,,0.017,0.011,194,83,83,5.0,120,7064,,,,,,0.639,,,1.8,2.0,1.6,-0.248,870,0.129,0.077,0.016,0.3,0.2,4.5,2.7,1.6,83,0.107,0.084,194,1.9,0.041,0.5,1.7,0.077,0.4,,,,,,,,,0.6,,-0.117,0.002,
15,GKM,1,2019,70.6,1.6,17.0,,0.023,0.015,168,72,67,1.6,160,7046,,,,,,0.655,,,1.9,2.2,1.9,-0.154,985,0.229,0.098,0.012,0.3,0.2,4.1,2.7,1.5,89,0.234,0.184,173,2.2,0.0,0.5,2.1,0.098,0.3,,,,,,,,,0.5,,-0.174,0.0,
16,GKM,4,2018,54.9,1.5,16.8,,0.039,0.022,170,49,80,2.2,189,7049,,,,,,0.663,,,2.0,2.3,2.1,-0.292,1192,0.19,0.093,0.012,0.3,0.2,4.8,2.4,1.5,92,0.254,0.194,139,2.2,0.0,0.6,2.0,0.093,0.3,,,,,,,,,0.5,,-0.167,0.003,
17,GKM,3,2018,38.2,1.5,13.9,,0.056,0.032,156,44,83,3.2,268,7031,,,,,,0.703,,,2.4,3.0,2.7,0.006,1430,0.144,0.089,0.047,0.3,0.2,3.8,4.1,1.4,119,0.492,0.387,118,2.3,0.0,0.7,1.3,0.089,0.7,,,,,,,,,0.4,,-0.037,0.011,
