,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,GTT,4,2019,-0.4,-0.1,-36.0,,0.186,-0.227,55,57,416,-0.5,-3812,-22729,,,,,,-1.386,,,-0.6,0.0,0.0,0.016,-464,0.174,-2.978,-9.03,-0.7,0.9,-32.3,23.0,-0.7,-1646,0.0,0.001,-305,6.7,0.001,0.0,1.0,-2.978,3.0,,,,,,,,,-1.7,,-0.003,0.046,
1,GTT,3,2019,-0.1,0.0,-32.8,,0.192,-0.221,58,59,455,-0.5,-3753,-21737,,,,,,-1.309,,,-0.6,0.0,0.0,-0.005,-466,0.434,-1.793,-5.5,-0.7,0.9,-31.9,28.4,-0.8,-1617,0.0,0.004,-338,6.3,-0.001,0.0,1.0,-1.793,3.1,,,,,,,,,-1.8,,0.1,0.045,
2,GTT,2,2019,-0.1,0.0,,,0.203,-0.213,71,54,439,-0.5,-3773,-20798,,,,,,-1.236,,,-0.6,0.0,0.0,0.023,-423,0.424,-1.531,-5.04,-0.7,0.9,-35.8,39.4,-0.8,-1592,0.0,,-313,5.1,-0.001,0.0,1.0,-1.531,3.3,,,,,,,,,-1.8,,-0.026,0.047,
3,GTT,1,2019,-0.1,0.0,-34.8,,0.208,-0.206,60,49,391,-0.6,-3687,-19858,,,,,,-1.165,,,-0.5,0.0,0.0,-0.007,-435,0.123,-3.721,-9.882,-0.7,0.9,-34.7,56.3,-0.9,-1564,0.0,0.004,-283,6.1,-0.001,0.0,1.0,-3.721,2.7,,,,,,,,,-1.9,,-0.001,0.087,
4,GTT,4,2018,-0.1,0.0,-35.1,,0.226,-0.206,61,47,379,-0.5,-3714,-18271,,,,,,-1.064,,,-0.5,0.0,0.0,-0.027,-435,0.286,-3.493,-9.935,-0.8,0.9,-34.6,5.1,-0.9,-1406,0.0,0.01,-271,6.0,-0.002,0.0,1.0,-3.493,2.8,,,,,,,,,-1.9,,-0.077,0.054,
5,GTT,3,2018,-0.1,0.0,-31.6,,0.248,-0.209,60,45,350,-0.4,-3818,-17338,,,,,,-0.998,,,-0.5,0.0,0.0,-0.004,-472,0.422,-1.113,-4.046,-0.8,0.8,-31.7,5.5,-1.0,-1381,0.0,0.012,-245,6.1,-0.002,0.0,1.0,-1.113,3.6,,,,,,,,,-2.0,,-0.118,0.059,
6,GTT,2,2018,-0.1,0.0,-28.8,,0.265,-0.202,71,42,310,-0.6,-3833,-16379,,,,,,-0.884,,,-0.5,0.0,0.0,-0.053,-534,0.373,-1.204,-3.452,-0.9,0.8,-28.6,4.2,-1.1,-1322,0.0,0.007,-198,5.2,-0.002,0.0,1.0,-1.204,2.9,,,,,,,,,-2.1,,0.223,0.055,
7,GTT,1,2018,-0.1,0.0,-36.2,,0.3,-0.212,57,35,252,-0.6,-4047,-15526,,,,,,-0.829,,,-0.5,0.0,0.0,0.105,-437,0.154,-3.178,-8.67,-1.0,0.8,-34.9,4.4,-1.2,-1297,0.0,0.005,-160,6.4,-0.002,0.0,1.0,-3.178,2.7,,,,,,,,,-2.2,,0.555,0.068,
8,GTT,4,2017,-0.1,0.0,-55.1,,0.302,-0.19,48,30,214,-0.6,-3661,-14541,,,,,,-0.769,,,-0.4,0.0,0.0,-0.431,-281,0.273,-2.578,-7.256,-1.1,0.8,-54.0,2.6,-1.3,-1205,0.0,0.007,-136,7.5,-0.001,0.1,1.0,-2.578,2.8,,,,,,,,,-2.3,,-0.915,0.077,
9,GTT,3,2017,-0.1,0.0,-4.8,,0.662,-0.299,48,29,185,-0.5,-6430,-13504,,,,,,-0.706,,,-0.4,0.0,0.0,0.071,-3302,0.23,-1.132,-3.332,-1.1,0.8,-4.7,2.7,-1.4,-1173,-0.001,0.014,-107,7.5,0.0,0.1,1.0,-1.132,2.9,,,,,,,,,-2.4,,0.083,0.078,
