,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HAC,4,2022,-1.7,0.6,-1.6,,-0.28,-0.256,1597.0,,,,-2742,7899,,,,,,0.926,,,12.6,13.0,13.0,1.255,-2523,,,,0.0,0.0,0.0,,1.1,219,0.098,0.168,,0.2,0.0,0.2,,,1.0,,,,,,,,,0.1,,2.088,-0.116,
1,HAC,3,2022,-6.1,0.8,-6.0,,-0.121,-0.108,1154.0,,1.0,,-1216,8938,,,,,,0.911,,,10.2,10.8,10.8,-0.131,-817,0.866,0.714,0.686,0.0,0.0,-0.5,,1.1,249,0.053,0.087,,0.3,0.0,0.3,1.0,0.714,1.0,,,,,,,,,0.1,,-0.14,0.062,
2,HAC,2,2022,-6.0,1.0,-9.0,,-0.145,-0.099,1098.0,,0.0,,-1398,8419,,,,,,0.565,,,1.3,2.2,2.2,-2.028,-951,,,,0.5,0.3,-3.0,,1.8,233,0.182,0.26,,0.3,0.0,0.2,,,1.1,,,,,,,,,0.8,,-1.535,-0.286,
3,HAC,1,2022,8.8,1.0,7.5,,0.118,0.087,1193.0,,0.0,,1360,11795,,,,,,0.644,,,1.8,2.7,2.7,0.019,1776,0.531,0.295,0.178,0.5,0.3,1.6,,1.6,326,0.04,0.056,,0.3,0.0,0.2,0.7,0.295,0.9,,,,,,,,,0.6,,0.051,0.01,
4,HAC,4,2021,11.4,1.3,5.9,,0.117,0.109,1295.0,,,,1334,11680,,,,,,0.907,,,9.8,10.3,10.3,0.04,1690,0.767,0.578,0.463,0.0,0.0,0.1,,1.1,325,0.007,0.008,,0.3,0.0,0.2,0.8,0.578,1.0,,,,,,,,,0.1,,0.085,0.045,
5,HAC,3,2021,9.0,1.0,8.4,,0.118,0.109,1360.0,,,,1283,11179,,,,,,0.875,,,7.0,7.7,7.7,0.246,1557,0.672,0.525,0.442,0.1,0.1,0.3,,1.1,310,0.074,0.064,,0.3,0.0,0.2,0.8,0.525,1.0,,,,,,,,,0.1,,0.27,0.031,
6,HAC,2,2021,8.0,0.8,15.1,,0.097,0.086,1573.0,,,,1029,10842,,,,,,0.813,,,4.4,5.1,5.1,0.029,1226,0.75,0.616,0.481,0.1,0.1,0.6,,1.2,300,0.017,0.011,,0.2,0.0,0.2,0.8,0.616,1.0,,,,,,,,,0.2,,0.145,-0.037,
7,HAC,1,2021,6.9,0.6,8.2,,0.094,0.086,1751.0,,,,1001,11258,,,,,,0.876,,,7.1,7.7,7.7,0.319,1070,0.6,0.275,0.247,0.0,0.0,0.2,,1.1,311,0.016,0.021,,0.2,0.0,0.2,0.8,0.275,1.1,,,,,,,,,0.1,,0.326,0.009,
8,HAC,4,2020,6.8,0.5,9.9,,0.071,0.068,1782.0,,,,759,11153,,,,,,0.954,,,20.7,20.6,20.6,0.575,808,0.816,0.628,0.568,0.0,0.0,0.2,,1.0,308,0.004,0.006,,0.2,0.0,0.2,0.9,0.628,1.0,,,,,,,,,0.0,,0.739,0.059,
9,HAC,3,2020,8.1,0.4,20.4,,0.047,0.046,1896.0,,,,481,10532,,,,,,0.977,,,42.1,40.6,40.6,0.346,465,0.502,0.207,0.248,0.0,0.0,0.0,,1.0,289,0.013,0.014,,0.2,0.0,0.2,1.0,0.207,1.2,,,,,,,,,0.0,,0.413,0.008,
10,HAC,2,2020,11.6,0.4,2.8,,0.035,0.034,1518.0,,,,357,10447,,,,,,0.973,,,36.2,35.0,35.0,-13.349,329,0.75,0.596,0.632,0.0,0.0,0.2,,1.0,286,0.352,0.798,,0.2,0.0,0.2,1.0,0.596,1.1,,,,,,,,,0.0,,-4.164,0.035,
11,HAC,1,2020,-131.0,0.4,-42.9,,-0.003,-0.003,1693.0,,,,-28,10094,,,,,,0.975,,,38.4,36.8,36.8,-1.153,-104,,,,0.0,0.0,0.0,,1.0,275,0.034,0.072,,0.2,0.0,0.2,,,0.9,,,,,,,,,0.0,,-1.918,-0.015,
12,HAC,4,2019,24.8,0.5,37.6,,0.019,0.018,,,,,189,10247,,,,,,0.973,,,36.1,34.7,34.7,-1.384,113,0.475,0.283,0.314,0.0,0.0,0.0,,1.0,279,0.025,0.056,,,0.0,0.2,1.0,0.283,1.1,,,,,,,,,0.0,,-1.207,0.02,
13,HAC,3,2019,-8.7,0.4,-9.3,,-0.048,-0.047,,,,,-494,10050,,,,,,0.971,,,34.1,32.7,32.7,-68.988,-548,0.032,-0.085,-0.052,0.0,0.0,0.0,,1.0,272,0.012,0.023,,,0.0,0.2,1.0,-0.085,0.6,,,,,,,,,0.0,,27.564,-0.004,
14,HAC,2,2019,522.7,0.4,-241.5,,0.001,0.001,,,,,7,10091,,,,,,0.959,,,23.2,22.5,22.5,-1.052,-19,0.029,-0.345,-0.113,0.0,0.0,-3.6,,1.0,273,0.019,0.04,,,0.0,0.1,1.1,-0.345,0.3,,,,,,,,,0.0,,-0.829,-0.003,
15,HAC,1,2019,-27.1,0.4,-27.3,,-0.014,-0.013,,,,,-140,10123,,,,,,0.969,,,30.8,29.5,29.5,-0.505,-112,0.532,0.177,0.217,0.0,0.0,0.0,,1.0,273,0.098,0.244,,,-0.159,0.1,1.1,0.177,1.3,,,,,,,,,0.0,,-0.561,0.007,
16,HAC,4,2018,-16.6,0.5,-12.4,,-0.028,-0.027,,,0.0,,-283,10057,,,,,,0.967,,,28.9,27.7,27.7,-1.699,-256,-1.102,-1.468,-1.479,0.0,0.0,0.0,,1.0,271,0.052,0.123,,,-0.15,0.1,0.9,-1.468,1.0,,,,,,,,,0.0,,-1.624,-0.045,
17,HAC,3,2018,7.6,0.3,8.6,,0.039,0.038,,,0.0,,405,10532,,,,,,0.968,,,30.1,28.8,28.8,-3.552,410,0.956,0.748,0.747,0.0,0.0,0.1,,1.0,284,0.101,0.231,,,-0.04,0.1,1.2,0.748,1.2,,,,,,,,,0.0,,-3.944,0.046,
18,HAC,2,2018,-18.3,0.3,5.4,,-0.016,-0.015,,,0.0,,-158,10071,,,,,,0.967,,,29.1,25.2,25.2,4.312,-139,-0.277,-0.621,-0.581,0.0,0.0,-0.3,,1.0,244,0.044,0.151,,,-0.036,0.1,1.0,-0.621,0.9,,,,,,,,,0.0,,-9.3,-0.018,
19,HAC,1,2018,-107.0,0.3,119.6,,-0.003,-0.003,,,2.0,,-29,10254,,,,,,0.971,,,33.0,28.7,28.7,-1.161,17,0.089,-0.351,-0.297,0.0,0.0,0.0,,1.0,251,0.087,0.307,,,-0.025,0.1,1.0,-0.351,0.8,,,,,,,,,0.0,,-0.935,-0.008,
20,HAC,4,2017,19.9,0.4,9.3,,0.018,0.017,,,2.0,,185,10341,,,,,,0.968,,,30.4,26.6,26.6,-0.155,259,0.671,0.432,0.508,0.0,0.0,0.0,,1.0,253,0.17,0.53,,,-0.023,0.1,1.1,0.432,1.3,,,,,,,,,0.0,,-0.194,0.02,
21,HAC,3,2017,18.2,0.4,7.8,,0.021,0.02,,,0.0,,219,10139,,,,,,0.961,,,24.5,21.4,21.4,-0.587,322,0.025,-0.487,-0.465,0.0,0.0,0.1,,1.0,247,0.139,0.368,,,-0.484,0.1,1.0,-0.487,1.0,,,,,,,,,0.0,,-0.448,-0.01,
22,HAC,2,2017,7.0,0.4,6.7,,0.051,0.049,,,0.0,,531,10242,,,,,,0.958,,,22.6,19.7,19.7,-0.291,582,-0.014,-0.287,-0.247,0.0,0.0,0.1,,1.0,248,0.057,0.132,,,-0.555,0.1,0.9,-0.287,0.7,,,,,,,,,0.0,,-0.252,-0.054,
