,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HAI,4,2022,11.9,0.2,281.6,,0.016,0.01,2292,733,954.0,-0.1,133,9427,,,,,,0.689,,,2.5,3.1,2.7,-1.043,11.0,0.254,,,0.1,0.1,116.5,10.9,1.5,1491,0.003,0.02,2071.0,0.2,0.0,0.1,,,15.7,,,,,,,,,0.4,,-1.003,-0.013,
1,HAI,3,2022,-0.5,0.2,-0.8,,-0.303,-0.206,1362,304,368.0,-0.1,-3129,9548,,,,,,0.694,,,2.5,3.2,2.7,0.014,-3780.0,0.237,,,0.1,0.1,-0.3,10.9,1.4,1510,0.004,0.024,1298.0,0.3,-0.017,0.2,,,25.7,,,,,,,,,0.4,,0.002,-0.003,
2,HAI,2,2022,-0.8,0.3,-0.8,,-0.299,-0.206,1132,250,289.0,0.3,-3084,9578,,,,,,0.696,,,2.6,3.2,2.7,-0.023,-3774.0,0.354,0.059,0.424,0.1,0.1,-0.4,11.2,1.4,1512,0.003,0.019,1092.0,0.3,-0.016,0.2,1.0,0.059,7.4,,,,,,,,,0.4,,-0.007,0.032,
3,HAI,1,2022,-1.6,0.5,,,-0.31,-0.218,987,217,217.0,0.3,-3156,9284,,,,,,0.696,,,2.6,3.2,2.7,-0.049,-3800.0,0.17,0.013,0.36,0.1,0.1,-0.4,11.2,1.4,1455,0.003,,987.0,0.4,0.124,0.2,1.0,0.013,28.7,,,,,,,,,0.4,,-0.012,0.204,
4,HAI,4,2021,-2.4,1.1,-1.1,,-0.353,-0.233,891,213,291.0,-155.8,-3317,7711,,,,,,0.623,,,1.9,2.5,2.1,-39.239,-3847.0,,,,0.2,0.1,-0.4,11.1,1.6,1156,0.003,0.009,813.0,0.4,-0.021,0.2,,,1.0,,,,,,,,,0.5,,31.925,-0.304,
5,HAI,3,2021,49.6,0.4,-62.0,,0.008,0.005,1234,253,383.0,0.1,86,11082,,,,,,0.666,,,2.4,3.1,2.7,0.309,-117.0,0.067,0.007,0.019,0.1,0.1,-11.9,8.8,1.5,1822,0.002,0.005,1104.0,0.3,-0.006,0.2,0.8,0.007,3.5,,,,,,,,,0.4,,-0.41,0.002,
6,HAI,2,2021,65.8,0.4,-36.3,,0.006,0.004,1184,241,369.0,-0.6,66,11061,,,,,,0.685,,,2.6,3.3,2.9,0.319,-198.0,0.098,,0.038,0.1,0.1,-7.4,9.7,1.5,1816,0.005,0.012,1056.0,0.3,-0.006,0.2,0.8,,-2.2,,,,,,,,,0.4,,-0.366,0.001,
7,HAI,1,2021,80.4,0.4,-20.4,,0.005,0.003,1113,226,273.0,-1.5,50,11047,,,,,,0.706,,,2.9,3.6,3.1,0.139,-312.0,0.063,,0.018,0.1,0.1,-4.8,6.8,1.4,1819,0.001,0.002,1066.0,0.3,0.0,0.2,0.8,,-0.3,,,,,,,,,0.3,,-0.045,-0.002,
8,HAI,4,2020,66.2,0.3,-20.6,,0.004,0.003,1101,232,361.0,-1.7,44,11073,,,,,,0.689,,,2.7,3.4,2.9,-1.76,-327.0,0.013,,0.038,0.1,0.1,-4.6,6.9,1.5,1819,0.002,0.004,972.0,0.3,0.0,0.2,0.9,,-0.7,,,,,,,,,0.4,,-0.26,0.004,
9,HAI,3,2020,-46.3,0.2,-11.5,,-0.005,-0.003,1102,244,465.0,-1.8,-58,11033,,,,,,0.636,,,2.1,2.8,2.4,16.9,-442.0,0.007,,,0.1,0.1,-4.3,10.0,1.6,1797,0.003,0.01,880.0,0.3,-0.031,0.2,,,0.1,,,,,,,,,0.5,,0.037,0.002,
10,HAI,2,2020,-928.0,0.3,-11.9,,0.0,0.0,598,138,169.0,-7.6,-3,11016,,,,,,0.627,,,2.0,2.7,2.4,-1.115,-427.0,,,0.008,0.1,0.1,-4.5,8.9,1.6,1796,0.005,0.019,568.0,0.6,-0.035,0.3,0.8,,-0.1,,,,,,,,,0.5,,0.233,-0.001,
11,HAI,1,2020,91.8,0.2,-13.0,,0.003,0.002,412,97,117.0,-1.6,28,11032,,,,,,0.641,,,2.1,2.8,2.4,-0.427,-346.0,0.098,,0.007,0.1,0.1,-5.6,9.5,1.6,1790,0.003,0.015,392.0,0.9,-0.034,0.5,0.5,,-0.1,,,,,,,,,0.5,,-0.045,0.004,
12,HAI,4,2019,57.5,0.3,-16.2,,0.004,0.003,209,95,130.0,-2.9,49,10988,,,,,,0.61,,,1.8,2.5,2.2,-0.815,-362.0,0.094,-0.17,-0.057,0.1,0.1,-5.5,6.6,1.6,1690,0.005,0.018,174.0,1.7,-0.032,0.5,1.5,-0.17,0.5,,,,,,,,,0.6,,-0.137,-0.005,
13,HAI,3,2019,6.1,0.1,-12.9,,0.024,0.016,209,91,107.0,-1.7,265,11045,,,,,,0.586,,,1.6,2.3,2.0,0.088,-420.0,0.012,-0.017,0.014,0.2,0.1,-6.0,9.7,1.7,1699,0.003,0.016,193.0,1.7,-0.016,0.5,1.2,-0.017,-1.0,,,,,,,,,0.6,,0.085,0.004,
