,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HAP,4,2022,85.9,0.4,-13.6,,0.005,0.005,330,76,10.0,-55.8,48,11389,,,,,,0.935,,,16.5,10.7,9.4,-0.894,-552.0,0.3,,,0.0,0.0,-0.4,,1.1,753,0.029,0.081,397.0,1.1,-0.072,0.6,,,0.3,,,,,,,,,0.1,,-1.507,0.005,
1,HAP,3,2022,14.7,0.6,7.6,,0.051,0.043,349,75,11.0,10.3,454,11329,,,,,,0.824,,,8.5,7.7,6.8,0.035,1089.0,0.319,0.114,0.076,0.1,0.1,0.6,0.9,1.2,780,0.018,0.046,413.0,1.0,-0.198,0.5,0.7,0.114,1.0,,,,,,,,,0.1,,0.089,-0.025,
2,HAP,2,2022,15.8,0.6,8.0,,0.048,0.041,364,72,14.0,7.2,439,11616,,,,,,0.824,,,8.3,7.4,6.6,0.122,1000.0,0.259,0.08,0.076,0.1,0.1,0.7,0.9,1.2,798,0.016,0.045,421.0,1.0,-0.19,0.5,0.7,0.08,1.4,,,,,,,,,0.1,,-2.217,0.01,
3,HAP,1,2022,31.3,1.1,-13.7,,0.044,0.037,383,73,13.0,99.3,391,11502,,,,,,0.823,,,8.2,8.8,7.9,0.076,-822.0,0.178,0.085,0.062,0.1,0.1,-0.9,0.3,1.2,794,0.025,0.044,443.0,1.0,0.616,0.5,0.7,0.085,1.0,,,,,,,,,0.1,,-1.776,0.781,
4,HAP,4,2021,37.1,2.1,18.9,,0.057,0.05,264,76,13.0,49.1,363,6459,,,,,,0.894,,,9.6,6.0,4.8,-0.203,1059.0,0.241,0.143,0.116,0.0,0.0,0.3,,1.1,379,0.021,0.014,327.0,1.4,-0.1,0.6,0.8,0.143,1.0,,,,,,,,,0.1,,1.252,-0.022,
5,HAP,3,2021,25.4,1.8,51.2,,0.072,0.062,285,82,17.0,7.8,456,6608,,,,,,0.889,,,8.9,5.8,4.7,0.139,470.0,0.192,0.102,0.076,0.0,0.0,0.8,,1.1,394,0.021,0.012,350.0,1.3,-0.082,0.5,0.7,0.102,1.0,,,,,,,,,0.1,,1.371,0.015,
6,HAP,2,2021,26.6,1.6,78.1,,0.064,0.054,316,94,26.0,12.7,400,6511,,,,,,0.886,,,8.6,5.5,4.5,0.019,198.0,0.155,0.031,0.06,0.0,0.0,2.1,,1.1,380,0.015,0.013,384.0,1.2,-0.021,0.5,0.7,0.031,2.6,,,,,,,,,0.1,,0.29,0.01,
7,HAP,1,2021,32.0,2.0,76.0,,0.062,0.053,365,112,26.0,6.7,393,6444,,,,,,0.885,,,8.5,5.1,4.2,0.076,154.0,0.144,0.021,0.06,0.0,0.0,4.0,,1.1,351,0.01,0.012,452.0,1.0,-0.053,0.4,0.9,0.021,3.4,,,,,,,,,0.1,,-0.126,0.007,
8,HAP,4,2020,15.4,0.9,78.3,,0.058,0.05,350,117,30.0,-33.6,365,6400,,,,,,0.878,,,7.9,4.8,3.9,2.041,176.0,0.126,,0.292,0.0,0.0,3.4,,1.1,341,0.077,0.074,437.0,1.0,-0.07,0.4,1.3,,-1.5,,,,,,,,,0.1,,-0.557,0.047,
9,HAP,3,2020,38.2,0.8,18.1,,0.02,0.016,334,125,34.0,11.2,120,6113,,,,,,0.838,,,5.9,3.6,2.9,0.067,397.0,0.115,0.017,0.055,0.0,0.0,1.6,,1.2,300,0.013,0.024,425.0,1.1,-0.041,0.4,0.9,0.017,3.7,,,,,,,,,0.2,,-0.203,0.007,
10,HAP,2,2020,22.2,0.4,12.2,,0.018,0.015,319,135,44.0,3.8,112,6072,,,,,,0.812,,,4.8,3.0,2.4,-0.102,498.0,0.12,0.022,0.099,0.0,0.0,1.4,,1.2,290,0.006,0.013,410.0,1.1,-0.058,0.4,0.9,0.022,4.9,,,,,,,,,0.2,,-0.245,-0.015,
11,HAP,1,2020,17.0,0.3,5.7,,0.02,0.017,302,113,29.0,5.8,125,6164,,,,,,0.824,,,5.0,3.2,2.6,-0.646,660.0,0.133,0.035,0.024,0.1,0.0,1.0,108.2,1.2,310,0.003,0.014,386.0,1.2,-0.046,0.4,0.8,0.035,0.9,,,,,,,,,0.2,,-0.178,-0.498,
12,HAP,4,2019,8.5,0.2,4.7,,0.029,0.024,65,113,26.0,1.2,354,12288,,,,,,0.84,,,5.6,3.5,2.6,-0.327,803.0,0.146,0.008,0.0,0.1,0.1,1.0,75.3,1.2,301,0.013,0.054,151.0,5.6,-0.036,0.5,-58.7,0.008,0.4,,,,,,,,,0.2,,-0.21,0.0,
13,HAP,3,2019,5.6,0.2,4.2,,0.043,0.035,58,96,24.0,8.2,526,12288,,,,,,0.815,,,4.7,2.9,2.2,-0.098,1017.0,0.151,0.057,0.043,0.1,0.1,0.9,61.1,1.2,274,0.014,0.051,131.0,6.3,-0.192,0.5,1.3,0.057,1.0,,,,,,,,,0.2,,-0.084,0.006,
14,HAP,2,2019,5.2,0.2,4.0,,0.048,0.039,58,89,25.0,19.6,583,12220,,,,,,0.806,,,4.4,2.7,2.0,-0.029,1110.0,0.182,0.092,0.071,0.1,0.1,1.0,54.0,1.2,266,0.006,0.021,122.0,6.3,-0.136,0.5,1.3,0.092,1.0,,,,,,,,,0.2,,-0.022,-0.036,
15,HAP,1,2019,4.6,0.2,3.8,,0.049,0.041,55,85,23.0,17.9,600,12677,,,,,,0.844,,,5.8,3.4,2.6,0.022,1135.0,0.199,0.106,0.076,0.1,0.1,0.8,15.5,1.2,291,0.007,0.027,117.0,6.6,-0.276,0.6,1.3,0.106,0.9,,,,,,,,,0.2,,0.024,0.011,
16,HAP,4,2018,4.4,0.2,4.5,,0.048,0.04,51,77,22.0,18.1,587,12535,,,,,,0.846,,,5.8,3.4,2.7,0.175,1109.0,0.207,0.101,0.077,0.1,0.1,0.8,12.1,1.2,280,0.007,0.023,106.0,7.1,-0.319,0.6,1.3,0.101,1.0,,,,,,,,,0.2,,0.114,0.014,
17,HAP,3,2018,5.6,0.2,4.0,,0.041,0.035,56,72,20.0,11.5,500,12361,,,,,,0.847,,,5.9,3.5,2.8,0.214,995.0,0.178,0.087,0.062,0.1,0.1,1.0,9.9,1.2,279,0.009,0.033,108.0,6.5,-0.205,0.6,1.3,0.087,0.9,,,,,,,,,0.2,,0.144,0.01,
18,HAP,2,2018,6.7,0.2,3.9,,0.034,0.028,55,69,21.0,16.2,412,12239,,,,,,0.835,,,5.4,3.2,2.7,0.225,870.0,0.17,0.096,0.071,0.1,0.1,1.3,8.3,1.2,273,0.01,0.041,103.0,6.6,-0.287,0.5,1.3,0.096,0.9,,,,,,,,,0.2,,0.246,0.013,
19,HAP,1,2018,8.2,0.2,6.8,,0.028,0.022,63,82,24.0,11.6,336,12078,,,,,,0.831,,,5.2,3.9,3.2,0.392,698.0,0.166,0.087,0.063,0.1,0.1,1.7,9.8,1.2,360,0.011,0.034,121.0,5.8,-0.109,0.5,1.3,0.087,0.9,,,,,,,,,0.2,,0.217,0.011,
20,HAP,4,2017,12.9,0.3,8.2,,0.02,0.015,61,90,29.0,7.2,241,11952,,,,,,0.834,,,5.3,4.0,3.4,1.684,574.0,0.154,0.067,0.047,0.1,0.1,4.4,4.7,1.2,357,0.158,0.51,122.0,6.0,-0.064,0.4,1.2,0.067,0.8,,,,,,,,,0.2,,-0.103,0.003,
21,HAP,3,2017,38.3,0.3,8.2,,0.008,0.005,65,82,26.0,4.0,90,11914,,,,,,0.83,,,5.1,3.0,2.4,-0.248,640.0,0.133,0.04,0.022,0.1,0.1,4.3,5.0,1.2,238,0.007,0.02,121.0,5.7,-0.094,0.4,1.4,0.04,0.7,,,,,,,,,0.2,,-0.138,0.003,
22,HAP,2,2017,28.0,0.3,7.6,,0.01,0.007,63,81,28.0,2.0,119,11877,,,,,,0.827,,,5.0,2.9,2.3,-0.289,742.0,0.135,0.026,0.05,0.1,0.1,4.2,5.5,1.2,234,0.011,0.031,116.0,5.8,-0.111,0.4,1.1,0.026,2.1,,,,,,,,,0.2,,-0.051,-0.01,
23,HAP,1,2017,14.9,0.2,7.8,,0.014,0.009,61,80,28.0,3.0,168,11993,,,,,,0.769,,,3.4,2.1,1.7,-0.276,782.0,0.129,0.03,0.02,0.1,0.1,4.8,7.1,1.3,202,0.005,0.013,113.0,6.0,-0.111,0.4,1.3,0.03,0.9,,,,,,,,,0.3,,-0.187,0.003,
24,HAP,4,2016,9.6,0.2,5.2,,0.019,0.012,58,84,28.0,1.7,232,11957,,,,,,0.676,,,2.1,2.8,2.4,-0.277,962.0,0.204,0.08,-0.035,0.3,0.2,5.3,0.8,1.5,343,0.009,0.032,114.0,6.3,-0.114,0.4,0.8,0.08,-0.4,,,,,,,,,0.5,,-0.026,-0.012,
25,HAP,3,2016,9.5,0.3,7.8,,0.026,0.016,53,76,25.0,2.1,322,12103,,,,,,0.644,,,1.8,2.0,1.6,-0.076,987.0,0.184,0.081,0.036,0.3,0.2,5.5,0.6,1.6,211,0.013,0.051,104.0,6.8,-0.062,0.4,1.2,0.081,0.5,,,,,,,,,0.5,,0.079,0.006,
26,HAP,2,2016,10.2,0.3,10.9,,0.029,0.017,55,84,30.0,0.4,348,12037,,,,,,0.625,,,1.7,2.0,1.6,-0.294,915.0,0.137,0.03,0.066,0.4,0.3,6.4,0.5,1.6,209,0.011,0.029,109.0,6.6,-0.037,0.4,1.2,0.03,2.7,,,,,,,,,0.6,,1.001,-0.029,
27,HAP,1,2016,7.0,0.3,25.8,,0.043,0.025,55,95,33.0,1.9,493,12398,,,,,,0.61,,,1.6,2.0,1.7,-0.259,457.0,0.221,0.117,0.053,0.5,0.3,17.8,0.8,1.6,250,0.022,0.056,117.0,6.6,0.003,0.4,1.2,0.117,0.5,,,,,,,,,0.6,,0.193,0.005,
28,HAP,4,2015,5.9,0.3,35.6,,0.059,0.033,63,100,45.0,0.4,666,12332,,,,,,0.611,,,1.6,1.9,1.6,-0.039,383.0,0.172,0.048,0.011,0.5,0.3,22.7,0.8,1.6,235,0.015,0.04,118.0,5.8,-0.011,0.3,2.0,0.048,0.5,,,,,,,,,0.6,,0.194,0.002,
29,HAP,3,2015,5.8,0.3,43.0,,0.062,0.031,58,101,44.0,2.0,693,12310,,,,,,0.598,,,1.5,1.9,1.6,-0.317,321.0,0.161,0.054,0.054,0.5,0.3,35.0,0.8,1.7,246,0.014,0.035,115.0,6.3,-0.122,0.3,1.2,0.054,1.2,,,,,,,,,0.7,,0.373,0.007,
30,HAP,2,2015,4.4,0.4,65.7,,0.092,0.045,51,114,52.0,-4.1,1014,12219,,,,,,0.583,,,1.4,1.8,1.5,0.375,234.0,-0.142,-0.289,0.182,0.5,0.3,48.0,0.8,1.7,240,0.013,0.028,113.0,7.1,-0.169,0.3,1.4,-0.289,-0.9,,,,,,,,,0.7,,-0.786,0.171,
31,HAP,1,2015,5.3,0.4,20.1,,0.072,0.035,49,129,50.0,1.3,738,10437,,,,,,0.541,,,1.2,1.6,1.2,0.476,1091.0,0.22,0.105,0.18,0.6,0.3,13.3,0.9,1.8,166,0.012,0.02,128.0,7.5,-0.277,0.3,1.2,0.105,2.1,,,,,,,,,0.8,,0.355,0.027,
32,HAP,4,2014,,,33.6,,0.049,0.023,56,124,44.0,0.5,500,10163,,,,,,0.496,,,1.0,1.3,1.1,0.184,805.0,0.172,0.052,0.03,0.7,0.4,18.5,1.2,2.0,128,0.012,0.026,137.0,6.5,-0.295,0.3,1.6,0.052,0.9,,,,,,,,,1.0,,0.212,0.005,
33,HAP,3,2014,,,45.2,,0.042,0.021,50,120,39.0,0.4,422,10116,,,,,,0.419,,,0.7,1.2,1.0,5.446,664.0,0.119,0.008,0.226,1.1,0.5,21.2,3.3,2.4,112,0.022,0.039,130.0,7.3,-0.361,0.3,1.2,0.008,34.6,,,,,,,,,1.4,,-0.034,0.043,
34,HAP,2,2014,,,41.2,,0.007,0.003,44,140,53.0,0.3,65,9702,,,,,,0.406,,,0.7,1.1,0.9,-0.847,688.0,0.199,0.014,0.002,1.1,0.5,19.6,3.6,2.5,83,0.025,0.046,131.0,8.2,-0.366,0.3,7.2,0.014,0.8,,,,,,,,,1.4,,0.183,-0.029,
35,HAP,1,2014,,,45.3,,0.043,0.023,46,127,47.0,-0.1,427,9991,,,,,,0.445,,,0.8,1.2,1.0,0.029,581.0,0.124,-0.007,0.024,1.0,0.5,21.4,5.0,2.2,137,0.033,0.061,126.0,8.0,-0.248,0.3,1.3,-0.007,-4.6,,,,,,,,,1.2,,-0.187,0.004,
36,HAP,4,2013,,,19.6,,0.042,0.023,43,114,33.0,-0.4,415,9953,,,,,,0.441,,,0.8,1.4,1.2,-0.225,715.0,0.12,-0.011,-0.016,1.0,0.4,15.5,4.7,2.3,222,0.138,0.356,125.0,8.6,-0.317,0.4,0.5,-0.011,0.7,,,,,,,,,1.2,,-0.23,-0.003,
37,HAP,3,2013,,,12.6,,0.054,0.037,42,116,28.0,1.0,535,9985,,,,,,0.624,,,1.7,2.2,1.7,0.071,929.0,0.129,0.018,0.035,0.4,0.3,6.2,1.3,1.6,266,0.035,0.119,131.0,8.7,-0.227,0.4,1.2,0.018,2.3,,,,,,,,,0.6,,0.002,0.006,
38,HAP,2,2013,,,11.6,,0.051,0.035,43,124,36.0,-0.9,500,9928,,,,,,0.631,,,1.8,2.1,1.6,1.521,927.0,0.123,-0.025,0.263,0.4,0.2,5.6,1.3,1.6,258,0.075,0.25,132.0,8.4,-0.207,0.4,1.0,-0.025,-10.9,,,,,,,,,0.6,,-0.113,0.038,
39,HAP,1,2013,,,9.2,,0.021,0.014,34,115,32.0,2.3,198,9567,,,,,,0.642,,,1.9,2.0,1.5,0.047,1045.0,0.168,0.044,0.015,0.3,0.2,4.5,1.5,1.6,215,0.062,0.218,118.0,10.6,-0.216,0.5,2.0,0.044,0.7,,,,,,,,,0.5,,0.09,0.002,
40,HAP,4,2012,,,9.5,,0.02,0.015,32,101,30.0,5.4,189,9546,,,,,,0.7,,,2.4,1.9,1.3,-0.289,959.0,0.164,0.036,0.051,0.2,0.2,4.1,1.8,1.4,151,0.036,0.118,103.0,11.4,-0.169,0.5,1.2,0.036,1.7,,,,,,,,,0.4,,-0.044,-0.003,
41,HAP,3,2012,,,6.8,,0.028,0.021,35,94,25.0,0.8,266,9573,,,,,,0.736,,,2.9,2.4,1.7,-0.093,1003.0,0.134,0.016,0.015,0.2,0.1,2.9,1.2,1.4,192,0.035,0.149,105.0,10.4,-0.182,0.5,1.1,0.016,1.1,,,,,,,,,0.3,,0.104,0.002,
42,HAP,2,2012,,,10.4,,0.031,0.024,39,92,32.0,0.2,293,9555,,,,,,0.76,,,3.3,2.3,1.7,0.344,908.0,0.116,0.003,0.034,0.2,0.1,2.8,2.1,1.3,175,0.059,0.191,98.0,9.5,-0.24,0.5,1.3,0.003,13.3,,,,,,,,,0.3,,-0.169,0.007,
43,HAP,1,2012,,,9.6,,0.023,0.018,34,97,24.0,0.7,218,9488,,,,,,0.759,,,3.3,2.3,1.6,0.005,1094.0,0.166,0.019,0.01,0.2,0.1,2.5,2.0,1.3,176,0.032,0.097,106.0,10.8,-0.212,0.5,1.8,0.019,0.9,,,,,,,,,0.3,,-0.079,-0.001,
44,HAP,4,2011,,,4.7,,0.023,0.018,31,84,21.0,1.8,217,9496,,,,,,0.764,,,3.4,2.4,1.8,5.64,1187.0,0.199,0.056,0.11,0.2,0.1,2.5,2.1,1.3,177,0.049,0.301,94.0,11.9,-0.234,0.5,1.1,0.056,2.2,,,,,,,,,0.3,,0.395,0.018,
45,HAP,3,2011,,,8.0,,0.004,0.003,29,72,18.0,-2.1,32,9324,,,,,,0.75,,,3.2,2.6,2.1,0.674,851.0,0.11,-0.03,0.035,0.1,0.1,2.9,1.6,1.3,220,0.046,0.195,84.0,12.4,-0.162,0.6,0.4,-0.03,-0.5,,,,,,,,,0.3,,-0.523,0.086,
46,HAP,2,2011,,,3.8,,0.002,0.002,30,77,25.0,2.0,19,8589,,,,,,0.728,,,4.2,2.8,2.3,-0.977,1783.0,0.157,0.027,-0.007,0.1,0.1,1.2,24.1,1.4,217,0.034,0.13,82.0,12.1,-0.205,0.6,-2.6,0.027,0.7,,,,,,,,,0.2,,-0.217,0.0,
47,HAP,1,2011,,,4.3,,0.096,0.069,30,72,26.0,2.6,838,8590,,,,,,0.742,,,4.8,3.1,2.6,-0.05,2276.0,0.148,0.03,0.007,0.1,0.1,1.9,,1.3,218,0.081,0.233,77.0,12.0,-0.203,0.6,3.7,0.03,0.8,,,,,,,,,0.2,,-0.079,-0.017,
48,HAP,4,2010,,,5.9,,0.103,0.071,30,75,25.0,0.7,882,8741,,,,,,0.76,,,5.0,3.1,2.6,-0.185,2471.0,0.142,0.021,-0.009,0.1,0.1,1.9,,1.3,216,0.053,0.108,80.0,12.2,-0.193,0.5,-2.4,0.021,1.0,,,,,,,,,0.2,,-0.11,0.002,
49,HAP,3,2010,,,5.5,,0.126,0.092,50,91,24.0,6.5,1082,8727,,,,,,0.755,,,4.8,3.1,2.5,-0.151,2777.0,0.168,0.069,0.022,0.1,0.1,1.5,19.7,1.3,211,0.051,0.101,117.0,7.3,-0.198,0.5,2.6,0.069,0.8,,,,,,,,,0.2,,0.533,0.001,
50,HAP,2,2010,,,14.9,,0.15,0.107,87,103,11.0,5.5,1275,8716,,,,,,0.761,,,4.9,3.2,2.4,0.592,1812.0,0.185,0.084,0.47,0.1,0.1,4.1,18.1,1.3,215,0.064,0.085,179.0,4.2,-0.086,0.5,1.1,0.084,6.0,,,,,,,,,0.2,,7.054,0.107,
51,HAP,1,2010,,,112.8,,0.102,0.061,47,115,43.0,3.3,801,7876,,,,,,0.625,,,2.3,1.9,1.4,-0.003,225.0,0.206,0.047,0.042,0.3,0.2,38.2,1.3,1.6,137,0.059,0.078,119.0,7.8,-0.022,0.4,1.9,0.047,1.7,,,,,,,,,0.4,,-0.556,0.048,
52,HAP,4,2009,,,46.7,,0.103,0.059,65,93,32.0,4.2,803,7518,,,,,,0.567,,,1.7,1.5,1.2,-1.748,506.0,0.24,0.086,0.161,0.3,0.2,17.6,1.7,1.8,107,0.088,0.115,126.0,5.6,-0.003,0.4,1.2,0.086,2.3,,,,,,,,,0.6,,-1.538,-0.007,
53,HAP,3,2009,,,-45.2,,-0.123,-0.081,45,94,28.0,2.5,-1074,7574,,,,,,0.635,,,2.4,2.3,1.7,-0.059,-940.0,0.146,0.022,0.18,0.2,0.2,-9.9,0.3,1.6,145,0.039,0.036,111.0,8.1,-0.003,0.4,1.3,0.022,10.6,,,,,,,,,0.4,,1.194,0.025,
54,HAP,2,2009,,,-68.1,,-0.133,-0.088,100,82,,4479.1,-1142,7386,,,,,,0.602,,,1.9,1.9,1.4,-0.124,-429.0,-0.034,-0.178,0.281,0.5,0.3,-24.8,1.9,1.7,128,0.074,0.102,,3.6,-0.003,0.5,1.2,-0.178,-1.9,,,,,,,,,0.5,,-1.47,0.087,
