,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HBC,4,2022,-2.1,0.9,-16.9,,-0.36,-0.067,76,65,112,-5.7,-4124,9516,,,,,,0.154,,,0.2,1.2,1.0,-13.716,-1917.0,,,,2.3,0.4,-11.3,4.9,6.5,2454,0.187,0.212,29,4.8,-0.262,0.8,,,1.3,,,,,,,,,5.4,,-1.875,-0.294,
1,HBC,3,2022,50.4,1.2,15.8,,0.024,0.005,84,76,103,1.0,324,13476,,,,,,0.198,,,0.3,1.3,1.1,-0.08,2191.0,0.075,0.032,0.002,1.7,0.4,10.1,5.1,5.1,3642,0.155,0.237,57,4.3,-0.219,0.9,0.2,0.032,0.2,,,,,,,,,4.0,,0.059,-0.024,
2,HBC,2,2022,43.5,1.1,17.9,,0.026,0.006,95,82,114,0.3,352,13802,,,,,,0.207,,,0.3,1.3,1.1,-0.073,2069.0,0.049,0.011,0.012,1.7,0.4,11.2,5.1,4.8,3755,0.167,0.221,64,3.8,-0.12,0.8,0.7,0.011,1.5,,,,,,,,,3.8,,-0.092,0.021,
3,HBC,1,2022,65.5,1.8,19.8,,0.029,0.006,106,87,103,0.6,380,13511,,,,,,0.217,,,0.3,1.4,1.1,0.058,2278.0,0.066,0.017,0.004,1.5,0.3,10.1,4.5,4.6,4007,0.156,0.127,90,3.5,-0.059,0.7,0.7,0.017,0.4,,,,,,,,,3.2,,-0.063,0.009,
4,HBC,4,2021,77.6,2.1,17.1,,0.027,0.006,101,88,114,1.2,359,13390,,,,,,0.219,,,0.3,1.3,1.1,0.098,2431.0,0.07,0.025,0.005,1.2,0.3,8.9,11.6,4.6,3462,0.173,0.138,75,3.6,-0.058,0.7,0.4,0.025,0.5,,,,,,,,,3.0,,0.142,0.002,
5,HBC,3,2021,44.3,1.1,22.0,,0.025,0.006,103,101,110,1.0,326,13364,,,,,,0.232,,,0.4,1.3,1.0,-0.3,2128.0,0.055,0.036,0.007,1.0,0.3,9.4,32.9,4.3,3136,0.086,0.058,94,3.5,-0.062,0.7,0.9,0.036,0.2,,,,,,,,,2.8,,0.026,0.002,
6,HBC,2,2021,29.0,1.0,18.8,,0.036,0.008,89,82,104,1.2,466,13330,,,,,,0.226,,,0.4,1.3,1.0,0.67,2075.0,0.061,0.03,0.019,1.1,0.3,10.1,32.7,4.4,3042,0.09,0.088,66,4.1,-0.074,0.7,0.8,0.03,0.8,,,,,,,,,2.8,,-0.061,0.015,
7,HBC,1,2021,55.7,1.2,15.9,,0.021,0.005,90,86,94,1.1,279,13138,,,,,,0.231,,,0.4,1.3,1.0,0.029,2210.0,0.087,0.035,0.003,1.2,0.3,9.6,29.8,4.3,2976,0.089,0.124,82,4.1,-0.174,0.7,0.6,0.035,0.1,,,,,,,,,2.7,,0.032,0.021,
8,HBC,4,2020,51.8,1.1,17.5,,0.021,0.005,78,70,109,0.2,271,12865,,,,,,0.228,,,0.4,1.3,1.0,-0.728,2141.0,0.051,0.004,0.003,1.3,0.3,10.2,30.6,4.4,2841,0.061,0.071,39,4.7,-0.076,0.7,1.5,0.004,0.4,,,,,,,,,2.8,,-0.25,-0.014,
9,HBC,3,2020,9.3,0.7,13.4,,0.078,0.017,68,66,88,0.6,997,13049,,,,,,0.234,,,0.4,1.3,1.0,-0.007,2855.0,0.057,0.02,0.02,1.2,0.3,7.7,29.7,4.3,2907,0.078,0.09,46,5.3,-0.341,0.8,0.9,0.02,1.1,,,,,,,,,2.7,,-0.094,0.015,
10,HBC,2,2020,8.3,0.6,10.3,,0.08,0.018,53,47,84,1.3,1003,12861,,,,,,0.234,,,0.3,1.2,1.0,-0.16,3153.0,0.08,0.042,0.003,1.3,0.3,6.6,29.9,4.3,2429,0.069,0.116,15,6.9,-0.383,1.0,0.3,0.042,0.2,,,,,,,,,2.9,,-0.143,-0.018,
11,HBC,1,2020,4.3,0.4,9.1,,0.102,0.022,40,47,66,0.9,1195,13101,,,,,,0.243,,,0.4,1.2,1.0,-0.344,3681.0,0.077,0.024,0.002,1.2,0.3,6.0,23.9,4.1,2473,0.027,0.052,21,9.1,-0.365,1.2,0.3,0.024,0.3,,,,,,,,,2.7,,-0.156,-0.121,
12,HBC,4,2019,5.5,0.7,7.6,,0.14,0.027,122,35,89,2.0,1822,14903,,,,,,0.216,,,0.3,1.2,1.0,0.216,4360.0,0.067,0.035,0.042,1.3,0.3,5.0,21.7,4.6,1969,0.143,0.306,68,3.0,-0.434,1.1,1.0,0.035,1.1,,,,,,,,,3.2,,-0.077,0.058,
13,HBC,3,2019,9.1,1.0,7.8,,0.121,0.023,88,37,69,1.4,1499,14083,,,,,,0.208,,,0.3,1.2,1.0,-0.295,4725.0,0.059,0.026,0.012,1.4,0.3,5.1,16.3,4.8,1972,0.058,0.08,57,4.1,-0.209,1.2,1.6,0.026,0.7,,,,,,,,,3.5,,-0.169,0.012,
14,HBC,2,2019,6.5,1.0,6.1,,0.178,0.034,92,31,68,1.9,2126,13915,,,,,,0.212,,,0.3,1.2,1.0,-0.17,5682.0,0.057,0.033,0.011,1.3,0.3,3.9,15.1,4.7,1908,0.113,0.131,55,4.0,-0.16,1.3,1.4,0.033,0.5,,,,,,,,,3.5,,-0.275,0.198,
15,HBC,1,2019,6.4,1.4,6.0,,0.24,0.043,82,37,60,3.6,2563,11613,,,,,,0.184,,,0.2,1.1,0.9,-0.025,7837.0,0.092,0.055,0.032,1.5,0.3,3.6,16.6,5.4,1368,0.106,0.1,59,4.5,-0.141,1.3,1.3,0.055,0.8,,,,,,,,,4.1,,-0.016,0.036,
16,HBC,4,2018,5.8,1.3,6.0,,0.257,0.043,94,33,77,3.0,2629,11212,,,,,,0.171,,,0.2,1.1,1.0,-0.152,7962.0,0.08,0.046,0.024,1.5,0.3,3.5,15.1,5.8,1216,0.107,0.093,50,3.9,-0.169,1.2,1.3,0.046,0.6,,,,,,,,,4.4,,-0.066,0.048,
17,HBC,3,2018,7.0,2.0,6.0,,0.326,0.052,54,36,57,4.0,3100,10700,,,,,,0.169,,,0.2,1.1,0.9,-0.041,8529.0,0.102,0.069,0.044,1.8,0.3,3.4,15.7,5.9,1190,0.049,0.044,33,6.7,-0.19,1.2,1.3,0.069,0.8,,,,,,,,,4.5,,0.017,0.075,
18,HBC,2,2018,6.4,2.1,7.5,,0.371,0.058,61,32,59,2.9,3234,9955,,,,,,0.172,,,0.2,1.1,1.0,-0.037,8390.0,0.087,0.053,0.035,1.9,0.3,3.3,16.4,5.8,947,0.111,0.059,35,6.0,-0.312,1.3,1.2,0.053,0.8,,,,,,,,,4.3,,-0.319,0.019,
19,HBC,1,2018,7.6,2.6,6.2,,0.396,0.062,58,34,53,3.7,3359,9770,,,,,,0.176,,,0.2,1.1,0.9,-0.053,12326.0,0.11,0.068,0.04,1.8,0.4,3.1,13.1,5.7,917,0.1,0.061,39,6.3,-0.372,1.2,1.3,0.068,0.8,,,,,,,,,4.2,,0.02,0.053,
20,HBC,4,2017,7.2,2.7,7.3,,0.444,0.068,60,31,61,4.4,3546,9278,,,,,,0.161,,,0.2,1.1,1.0,-0.011,12089.0,0.109,0.067,0.048,1.9,0.3,2.9,12.7,6.2,759,0.199,0.082,30,6.1,-0.446,1.3,1.2,0.067,0.9,,,,,,,,,4.6,,0.024,0.115,
21,HBC,3,2017,9.8,4.2,7.4,,0.514,0.072,40,43,50,4.4,3585,8322,,,,,,0.15,,,0.2,1.1,1.0,0.07,11809.0,0.095,0.074,0.057,1.9,0.3,2.7,10.6,6.7,1117,0.184,0.07,33,9.2,-0.631,1.2,1.3,0.074,1.0,,,,,,,,,5.0,,0.067,0.112,
22,HBC,2,2017,8.8,3.9,8.4,,0.537,0.071,41,46,61,4.4,3350,7485,,,,,,0.141,,,0.2,1.1,1.0,0.155,11068.0,0.112,0.078,0.053,2.0,0.3,2.7,9.5,7.1,992,0.269,0.079,26,8.8,-0.695,1.2,1.3,0.078,0.9,,,,,,,,,5.4,,-0.103,0.041,
23,HBC,1,2017,8.3,3.3,9.9,,0.492,0.065,51,43,60,4.3,2902,7192,,,,,,0.135,,,0.2,1.1,1.0,0.227,12335.0,0.106,0.07,0.06,2.0,0.3,3.0,8.9,7.4,1159,0.193,0.053,34,7.2,-0.731,1.1,1.3,0.07,1.1,,,,,,,,,5.6,,0.165,0.073,
24,HBC,4,2016,5.4,1.9,8.4,,0.425,0.061,53,42,61,7.3,2365,6700,,,,,,0.142,,,0.2,1.1,1.0,0.615,10586.0,0.135,0.083,0.067,1.7,0.3,2.9,4.9,7.0,1141,0.314,0.114,33,6.9,-0.733,1.1,1.2,0.083,0.9,,,,,,,,,5.2,,0.452,0.189,
25,HBC,3,2016,8.7,2.3,9.2,,0.294,0.039,58,63,57,6.2,1464,5636,,,,,,0.126,,,0.2,1.1,0.9,0.922,7290.0,0.11,0.08,0.062,2.0,0.3,4.1,7.6,8.0,795,0.331,0.146,64,6.3,-0.678,0.9,1.3,0.08,1.0,,,,,,,,,6.5,,0.375,0.129,
26,HBC,2,2016,11.9,1.8,12.5,,0.164,0.021,59,67,78,3.7,761,4991,,,,,,0.122,,,0.2,1.1,0.9,0.72,5303.0,0.109,0.052,0.036,2.0,0.3,6.0,8.5,8.2,534,0.308,0.139,47,6.2,-0.758,0.8,1.4,0.052,1.0,,,,,,,,,6.7,,0.217,0.082,
27,HBC,1,2016,14.1,1.4,13.5,,0.1,0.014,61,58,74,2.4,443,4612,,,,,,0.126,,,0.1,1.1,0.9,0.199,4359.0,0.083,0.047,0.031,2.3,0.3,7.6,8.1,7.9,625,0.141,0.104,46,6.0,-0.73,0.8,1.3,0.047,0.9,,,,,,,,,6.9,,0.19,0.044,
28,HBC,4,2015,17.2,1.4,13.9,,0.087,0.014,66,49,78,1.1,369,4418,,,,,,0.144,,,0.2,1.1,1.0,-0.21,3664.0,0.065,0.023,0.022,1.9,0.3,7.9,7.9,7.0,728,0.139,0.1,36,5.5,-0.711,0.8,1.3,0.023,1.3,,,,,,,,,5.9,,-0.122,0.026,
29,HBC,3,2015,12.2,1.3,13.6,,0.114,0.018,79,53,79,1.2,467,4308,,,,,,0.145,,,0.2,1.0,0.9,0.082,4174.0,0.053,0.032,0.01,2.1,0.3,7.2,11.3,6.9,96,0.078,0.051,53,4.6,-0.668,0.7,1.2,0.032,0.3,,,,,,,,,5.9,,0.051,0.009,
30,HBC,2,2015,13.4,1.4,16.6,,0.106,0.017,68,49,72,0.8,431,4271,,,,,,0.143,,,0.2,1.0,0.9,0.023,3970.0,0.047,0.018,0.008,2.2,0.3,8.5,20.9,7.0,202,0.134,0.093,45,5.4,-0.298,0.7,2.5,0.018,1.1,,,,,,,,,6.0,,0.043,0.009,
31,HBC,1,2015,10.3,1.0,11.3,,0.104,0.019,78,33,82,1.6,422,4232,,,,,,0.168,,,0.2,1.1,1.0,0.44,3805.0,0.073,0.044,0.031,1.8,0.3,7.4,16.6,5.9,363,0.708,0.577,28,4.7,-0.084,0.7,1.2,0.044,0.9,,,,,,,,,4.9,,0.258,0.03,
32,HBC,4,2014,,,14.1,,0.072,0.014,90,31,88,2.7,293,4108,,,,,,0.176,,,0.2,1.1,1.0,1.026,3025.0,0.149,0.075,0.057,1.8,0.3,9.7,347.3,5.7,479,0.679,0.625,33,4.0,-0.087,0.7,1.3,0.075,1.0,,,,,,,,,4.7,,0.366,0.061,
33,HBC,3,2014,,,18.5,,0.037,0.007,104,32,98,0.2,144,3870,,,,,,0.171,,,0.2,1.1,1.0,-0.196,2214.0,0.103,0.008,0.003,1.8,0.3,12.5,251.6,5.8,374,0.673,0.702,39,3.5,-0.051,0.6,1.0,0.008,0.4,,,,,,,,,4.8,,-0.251,0.005,
34,HBC,2,2014,,,11.1,,0.046,0.009,102,39,99,0.6,179,3850,,,,,,0.184,,,0.2,1.1,1.0,0.104,2956.0,0.123,0.015,0.01,1.5,0.3,9.4,80.8,5.4,312,0.127,0.136,42,3.6,-0.04,0.6,1.1,0.015,0.8,,,,,,,,,4.4,,-0.256,-0.015,
35,HBC,1,2014,,,8.3,,0.045,0.008,102,28,102,0.5,162,3907,,,,,,0.2,,,0.3,1.1,1.0,-0.297,3973.0,0.073,0.018,0.003,1.3,0.3,7.3,130.3,5.0,377,0.467,0.481,28,3.6,0.03,0.7,1.1,0.018,0.2,,,,,,,,,4.0,,-0.157,-0.024,
36,HBC,4,2013,,,8.0,,0.064,0.012,88,25,91,1.4,231,4003,,,,,,0.204,,,0.3,1.1,1.1,-0.564,4715.0,0.119,0.052,0.033,1.4,0.3,6.3,129.9,4.9,373,0.774,0.934,22,4.1,-0.025,0.7,1.2,0.052,0.7,,,,,,,,,3.9,,-0.251,0.026,
37,HBC,3,2013,,,5.3,,0.158,0.03,73,21,72,1.9,531,3901,,,,,,0.211,,,0.3,1.1,1.1,-0.04,6298.0,0.087,0.045,0.014,1.3,0.3,4.2,75.2,4.7,371,0.325,0.445,22,5.0,-0.132,1.0,1.3,0.045,0.4,,,,,,,,,3.7,,-0.005,0.011,
38,HBC,2,2013,,,7.5,,0.166,0.033,54,19,60,2.2,553,3860,,,,,,0.202,,,0.3,1.1,1.0,0.001,6332.0,0.1,0.049,0.004,1.5,0.3,4.3,81.2,5.0,340,0.606,0.703,14,6.7,-0.244,1.1,4.1,0.049,0.3,,,,,,,,,3.9,,-0.274,0.197,
39,HBC,1,2013,,,5.1,,0.181,0.034,53,18,54,1.0,553,3225,,,,,,0.17,,,0.2,1.1,1.0,-0.006,8719.0,0.075,0.04,0.018,1.8,0.3,4.6,47.5,5.9,231,0.052,0.069,18,6.8,-0.279,1.1,1.2,0.04,0.6,,,,,,,,,4.8,,-0.03,0.026,
40,HBC,4,2012,,,5.0,,0.181,0.035,52,26,61,2.8,556,3144,,,,,,0.167,,,0.2,1.1,1.0,0.909,8987.0,0.109,0.073,0.067,1.8,0.3,4.1,72.7,6.0,257,0.785,1.118,18,7.0,-0.232,1.0,1.2,0.073,1.1,,,,,,,,,4.9,,0.152,0.133,
41,HBC,3,2012,,,5.5,,0.101,0.02,51,31,65,1.2,291,2775,,,,,,0.166,,,0.2,1.1,1.0,-0.138,7801.0,0.056,0.028,0.014,1.7,0.3,4.2,27.8,6.0,185,0.452,0.62,17,7.2,-0.066,1.0,1.0,0.028,0.5,,,,,,,,,4.9,,-0.137,0.012,
42,HBC,2,2012,,,5.8,,0.118,0.026,52,33,54,0.5,338,2742,,,,,,0.194,,,0.2,1.0,0.9,-0.283,9040.0,0.08,0.035,0.005,1.6,0.3,3.6,28.5,5.1,82,0.361,0.377,31,7.1,-0.001,1.0,0.3,0.035,0.0,,,,,,,,,4.1,,-0.41,-0.028,
43,HBC,1,2012,,,3.9,,0.165,0.04,47,24,47,1.3,471,2821,,,,,,0.214,,,0.3,1.0,1.0,-0.104,15314.0,0.129,0.079,0.029,1.6,0.3,2.8,24.2,4.7,81,0.137,0.146,25,7.7,-0.152,1.1,1.4,0.079,0.5,,,,,,,,,3.6,,-0.089,-0.047,
44,HBC,4,2011,,,2.9,,0.184,0.048,44,33,52,1.7,526,2961,,,,,,0.222,,,0.3,1.2,1.1,-0.094,16818.0,0.145,0.097,0.035,1.2,0.3,2.3,90.2,4.5,388,0.411,0.61,25,8.3,-0.295,1.2,1.2,0.097,0.4,,,,,,,,,3.4,,0.039,0.012,
45,HBC,3,2011,,,2.8,,0.211,0.058,35,36,46,1.9,581,2925,,,,,,0.242,,,0.3,1.0,0.9,-0.078,16186.0,0.118,0.082,0.032,1.2,0.3,2.1,86.8,4.1,59,0.61,0.915,25,10.4,-0.376,1.2,1.4,0.082,0.6,,,,,,,,,3.1,,-0.006,-0.002,
46,HBC,2,2011,,,2.6,,0.232,0.069,42,35,33,1.7,630,2931,,,,,,0.247,,,0.3,1.0,0.9,0.001,16286.0,0.14,0.096,0.048,1.3,0.3,2.2,94.6,4.0,49,0.818,0.989,44,8.7,-0.457,1.1,1.3,0.096,0.7,,,,,,,,,3.0,,0.116,0.031,
47,HBC,1,2011,,,3.5,,0.241,0.077,46,37,41,2.3,629,2842,,,,,,0.274,,,0.4,1.1,0.9,0.115,14589.0,0.125,0.081,0.056,1.0,0.3,2.1,39.4,3.7,89,0.786,0.888,42,8.0,-0.356,1.0,1.3,0.081,0.9,,,,,,,,,2.6,,-0.023,0.084,
48,HBC,4,2010,,,4.4,,0.22,0.08,53,47,63,4.6,565,2622,,,,,,0.308,,,0.5,1.1,0.9,0.148,14925.0,0.16,0.113,0.068,0.8,0.3,1.9,27.9,3.2,94,0.389,0.346,37,6.9,-0.18,1.1,1.4,0.113,0.8,,,,,,,,,2.1,,0.184,0.068,
49,HBC,3,2010,,,4.8,,0.203,0.073,46,48,64,5.2,492,2456,,,,,,0.315,,,0.5,1.1,1.0,0.238,12610.0,0.187,0.141,0.091,0.7,0.2,1.9,14.1,3.2,162,0.161,0.144,30,7.9,-0.204,1.0,1.3,0.141,0.9,,,,,,,,,2.0,,0.253,0.034,
50,HBC,2,2010,,,6.3,,0.169,0.067,46,39,42,5.2,397,2374,,,,,,0.374,,,0.7,1.2,1.0,0.769,10065.0,0.168,0.123,0.092,0.6,0.2,2.3,21.2,2.7,154,0.127,0.125,43,7.9,-0.121,1.1,1.3,0.123,1.0,,,,,,,,,1.5,,0.796,0.12,
51,HBC,1,2010,,,10.9,,0.098,0.042,32,63,28,2.5,224,2120,,,,,,0.359,,,0.7,1.2,1.0,0.173,5603.0,0.121,0.08,0.047,0.7,0.3,3.3,20.6,2.8,186,0.062,0.061,67,11.3,-0.043,1.4,1.3,0.08,0.8,,,,,,,,,1.4,,0.249,-0.017,
52,HBC,4,2009,,,16.6,,0.083,0.036,52,26,14,5.1,191,2156,,,,,,0.384,,,0.8,1.2,0.9,1.186,4487.0,0.122,0.084,0.062,0.6,0.2,6.6,18.1,2.6,148,0.269,0.278,64,7.0,-0.081,1.4,1.3,0.084,1.0,,,,,,,,,1.3,,0.651,0.049,
53,HBC,3,2009,,,20.3,,0.039,0.017,47,29,21,4.5,87,2055,,,,,,0.36,,,0.7,1.2,1.0,1.265,2717.0,0.082,0.055,0.041,0.7,0.3,9.6,13.6,2.8,163,0.288,0.254,55,7.8,-0.086,1.3,1.3,0.055,1.0,,,,,,,,,1.4,,0.418,0.036,
54,HBC,2,2009,,,19.6,,0.017,0.008,36,32,30,-2.9,38,1984,,,,,,0.358,,,0.7,1.2,1.0,-0.523,1916.0,-0.006,-0.015,-0.009,0.7,0.3,10.4,219.3,2.8,169,0.343,0.448,38,10.1,-0.091,1.1,1.3,-0.015,0.8,,,,,,,,,1.4,,-0.425,-0.015,
55,HBC,1,2009,,,11.3,,0.037,0.019,46,102,29,4.7,81,2016,,,,,,0.414,,,0.9,1.6,0.7,0.605,3331.0,0.09,0.05,0.028,0.3,0.2,3.9,1.1,2.4,280,0.106,0.14,119,7.9,-0.095,0.8,1.3,0.05,0.8,,,,,,,,,1.1,,,0.181,
