,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HBH,4,2022,7.2,0.6,3.0,,0.095,0.057,-3,27,49,95.7,973,10776,,,,,,0.649,,,1.8,1.2,1.0,0.782,2769,0.144,0.109,0.093,0.0,0.0,0.7,,1.5,17,0.167,0.257,-25,,-0.008,1.1,0.8,0.109,1.1,,,,,,,,,0.5,,0.187,0.072,
1,HBH,3,2022,16.5,0.9,4.4,,0.056,0.033,-19,30,32,7.2,546,10051,,,,,,0.62,,,1.6,1.0,0.8,-0.107,2333,0.082,0.051,0.039,0.2,0.1,1.3,,1.6,3,0.045,0.051,-20,,-0.007,1.0,0.8,0.051,0.9,,,,,,,,,0.6,,-0.036,0.018,
2,HBH,2,2022,13.4,0.8,4.1,,0.064,0.04,-32,32,30,-2.7,611,9870,,,,,,0.671,,,2.0,0.9,0.6,-0.354,2421,0.009,,,0.3,0.2,1.1,,1.5,-7,0.048,0.064,-30,,-0.007,1.1,,,0.8,,,,,,,,,0.5,,-0.159,-0.006,
3,HBH,1,2022,13.1,1.3,4.4,,0.1,0.062,-39,33,40,4.0,946,9934,,,,,,0.635,,,1.7,0.9,0.6,0.041,2878,0.081,0.043,0.037,0.3,0.2,1.0,,1.6,-11,0.004,0.004,-46,,-0.01,1.2,0.8,0.043,1.1,,,,,,,,,0.6,,-0.005,0.013,
4,HBH,4,2021,9.8,0.9,4.8,,0.097,0.054,-53,30,41,7.6,909,9803,,,,,,0.567,,,1.3,0.8,0.7,-0.146,2892,0.111,0.075,0.055,0.4,0.2,1.3,,1.8,-21,0.266,0.235,-64,,-0.009,1.0,0.8,0.075,0.9,,,,,,,,,0.8,,-0.07,0.031,
5,HBH,3,2021,9.9,1.1,3.7,,0.119,0.062,-67,28,34,8.2,1064,9505,,,,,,0.548,,,1.2,0.8,0.6,-0.224,3110,0.106,0.083,0.063,0.5,0.3,1.3,,1.8,-30,0.153,0.167,-72,,-0.003,1.0,0.8,0.083,0.9,,,,,,,,,0.8,,-0.1,0.027,
6,HBH,2,2021,4.1,0.6,3.2,,0.16,0.083,-74,31,45,8.2,1372,9259,,,,,,0.58,,,1.4,0.6,0.5,0.407,3455,0.092,0.07,0.053,0.3,0.1,1.1,,1.7,-39,0.009,0.009,-89,,-0.002,1.2,0.8,0.07,1.0,,,,,,,,,0.7,,0.136,0.03,
7,HBH,1,2021,9.5,1.0,2.7,,0.115,0.062,-88,42,83,3.0,974,8988,,,,,,0.613,,,1.6,0.5,0.2,0.289,3042,0.093,0.056,0.034,0.4,0.2,1.1,,1.6,-50,0.006,0.01,-129,,0.0,1.2,0.8,0.056,0.8,,,,,,,,,0.6,,0.09,0.011,
8,HBH,4,2020,6.1,0.5,3.9,,0.089,0.042,-105,27,75,11.5,756,8893,,,,,,0.55,,,1.2,0.5,0.3,-0.004,2791,0.138,0.11,0.081,0.4,0.2,1.5,,1.8,-59,0.006,0.007,-152,,-0.001,0.9,0.8,0.11,1.0,,,,,,,,,0.8,,0.036,0.054,
9,HBH,3,2020,4.3,0.4,3.2,,0.094,0.044,-118,28,64,9.3,759,8440,,,,,,0.503,,,1.0,0.5,0.3,0.142,2694,0.131,0.114,0.095,0.5,0.2,1.6,,2.0,-72,0.019,0.032,-155,,-0.003,1.0,0.9,0.114,0.9,,,,,,,,,1.0,,0.062,0.07,
10,HBH,2,2020,6.9,0.6,3.4,,0.088,0.038,-132,38,87,-0.9,664,7887,,,,,,0.467,,,0.9,0.4,0.2,-0.432,2536,0.005,,,0.7,0.3,1.8,,2.1,-87,0.012,0.03,-180,,-0.003,0.9,,,2.1,,,,,,,,,1.1,,-0.158,-0.016,
