,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HDW,4,2022,8.1,1.0,9.2,,0.123,0.054,-46,39,66,2.1,1659,13609,,,,,,0.44,,,0.8,0.5,0.2,0.119,2380,0.363,0.209,0.097,0.7,0.3,3.9,0.1,2.3,-79,0.008,0.008,-73,,-0.099,0.5,0.8,0.209,0.6,,,,,,,,,1.3,,0.316,0.003,
1,HDW,3,2022,9.4,1.0,11.8,,0.11,0.049,-35,36,52,6.4,1483,13571,,,,,,0.446,,,0.8,0.5,0.2,-0.032,1809,0.287,0.144,0.136,0.6,0.3,4.8,0.0,2.2,-67,0.012,0.012,-51,,-0.105,0.5,0.8,0.144,1.2,,,,,,,,,1.2,,-0.102,-0.029,
2,HDW,2,2022,9.2,1.0,10.6,,0.111,0.051,-22,35,47,2.9,1531,13982,,,,,,0.466,,,0.9,0.7,0.3,-0.039,2015,0.274,0.086,0.074,0.6,0.3,4.4,0.0,2.1,-35,0.016,0.018,-34,,-0.097,0.5,0.8,0.086,1.1,,,,,,,,,1.1,,-0.11,0.016,
3,HDW,1,2022,8.6,1.0,10.6,,0.118,0.053,-27,35,41,5.2,1592,13764,,,,,,0.462,,,0.9,0.7,0.3,-0.023,2263,0.288,0.134,0.095,0.7,0.3,4.1,0.0,2.2,-26,0.009,0.009,-33,,-0.105,0.5,0.8,0.134,0.9,,,,,,,,,1.2,,0.009,0.027,
4,HDW,4,2021,8.8,1.1,10.8,,0.124,0.054,-44,36,61,2.7,1630,13403,,,,,,0.444,,,0.8,0.5,0.2,-0.022,2243,0.26,0.083,0.06,0.7,0.3,4.2,0.0,2.3,-54,0.003,0.003,-70,,-0.104,0.5,0.8,0.083,0.9,,,,,,,,,1.3,,-0.111,-0.004,
5,HDW,3,2021,8.4,1.0,8.9,,0.127,0.055,-33,36,48,8.4,1666,13461,,,,,,0.453,,,0.8,0.6,0.3,0.023,2522,0.335,0.189,0.145,0.7,0.3,3.6,0.0,2.2,-33,0.014,0.014,-45,,-0.096,0.5,0.8,0.189,1.0,,,,,,,,,1.2,,-0.046,-0.007,
6,HDW,2,2021,9.1,1.1,8.7,,0.123,0.054,-29,36,57,4.5,1628,13561,,,,,,0.451,,,0.8,0.7,0.3,-0.018,2644,0.298,0.153,0.091,0.7,0.3,3.6,0.0,2.2,-28,0.017,0.016,-50,,-0.1,0.5,0.8,0.153,0.7,,,,,,,,,1.2,,-0.051,0.026,
7,HDW,1,2021,7.6,1.0,8.1,,0.128,0.054,-46,37,65,4.9,1658,13212,,,,,,0.439,,,0.8,0.5,0.2,0.019,2785,0.282,0.132,0.108,0.7,0.3,3.5,0.1,2.3,-50,0.014,0.014,-73,,-0.101,0.5,0.8,0.132,1.0,,,,,,,,,1.3,,-0.001,0.031,
8,HDW,4,2020,6.8,0.9,8.1,,0.13,0.053,-60,38,78,5.2,1627,12813,,,,,,0.42,,,0.7,0.4,0.1,0.048,2789,0.311,0.152,0.069,0.8,0.3,3.5,0.1,2.4,-71,0.006,0.006,-101,,-0.111,0.5,0.8,0.152,0.6,,,,,,,,,1.4,,0.075,-0.001,
9,HDW,3,2020,6.2,0.8,8.4,,0.124,0.051,-37,38,54,10.7,1552,12827,,,,,,0.421,,,0.7,0.5,0.2,-0.011,2596,0.371,0.222,0.14,0.7,0.3,3.7,0.0,2.4,-58,0.013,0.013,-52,,-0.123,0.5,0.8,0.222,0.8,,,,,,,,,1.4,,-0.224,-0.01,
10,HDW,2,2020,6.0,0.7,6.7,,0.127,0.051,-37,38,53,6.0,1568,12956,,,,,,0.421,,,0.7,0.6,0.3,0.019,3343,0.339,0.195,0.102,0.7,0.3,3.0,0.1,2.4,-51,0.026,0.026,-52,,-0.115,0.5,0.8,0.195,0.7,,,,,,,,,1.4,,0.037,0.026,
11,HDW,1,2020,7.2,0.9,6.7,,0.124,0.05,-41,38,62,4.9,1539,12627,,,,,,0.41,,,0.7,0.5,0.2,0.313,3223,0.276,0.136,0.101,0.8,0.3,3.3,0.1,2.4,-76,0.022,0.023,-65,,-0.121,0.5,0.8,0.136,0.9,,,,,,,,,1.4,,0.18,0.03,
12,HDW,4,2019,8.8,0.8,7.4,,0.097,0.037,15,52,98,3.6,1172,12263,,,,,,0.393,,,0.6,0.4,0.2,0.008,2730,0.252,0.104,0.05,0.8,0.3,3.9,0.1,2.5,-95,0.026,0.029,-31,23.8,-0.114,0.4,1.3,0.104,0.6,,,,,,,,,1.5,,0.019,-0.003,
13,HDW,3,2019,9.8,0.9,,,0.097,0.037,18,58,62,5.4,1162,12302,,,,,,0.406,,,0.7,0.6,0.3,0.027,2680,0.358,0.207,0.154,0.8,0.3,4.1,0.1,2.5,-42,0.044,,14,20.5,-0.081,0.4,1.3,0.207,0.9,,,,,,,,,1.5,,0.396,0.053,
14,HDW,2,2019,7.9,0.8,,,0.1,0.037,18,61,58,4.7,1132,11683,,,,,,0.386,,,0.6,0.6,0.3,-0.062,1920,0.334,0.172,0.099,0.9,0.4,5.9,0.1,2.6,-48,0.043,,21,20.5,-0.137,0.3,1.3,0.172,0.7,,,,,,,,,1.6,,0.079,-0.037,
15,HDW,1,2019,7.7,0.8,,,0.104,0.039,18,61,64,,1208,12131,,,,,,0.396,,,0.7,0.7,0.4,-0.119,1778,,,,0.9,0.4,6.7,0.1,2.5,-33,0.028,,15,20.2,-0.107,0.3,,,,,,,,,,,,1.5,,-0.216,0.027,
16,HDW,2,2018,12.3,0.7,,,0.06,0.019,22,65,81,4.1,650,11072,,,,,,0.354,,,0.5,1.1,0.7,0.686,1199,0.322,0.141,0.129,1.1,0.4,10.3,0.0,2.8,11,0.049,,7,16.5,-0.035,0.3,1.3,0.141,1.2,,,,,,,,,1.8,,-0.061,-0.003,
