,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HEM,4,2022,29.2,2.0,45.8,,0.068,0.049,166,122,74,2.8,1100,16153,,,,,,0.706,,,2.4,1.8,1.3,1.413,776,0.14,0.039,0.117,0.2,0.1,3.8,,1.4,209,0.023,0.012,214,2.2,-0.149,0.6,0.9,0.039,3.2,,,,,,,,,0.4,,0.391,0.034,
1,HEM,3,2022,23.2,0.7,65.2,,0.029,0.022,165,134,39,-0.1,456,15617,,,,,,0.729,,,2.7,1.9,1.3,1.763,558,0.188,,0.137,0.2,0.2,5.5,,1.4,198,0.011,0.005,260,2.2,-0.059,0.6,1.0,,-32.5,,,,,,,,,0.4,,-0.215,0.017,
2,HEM,2,2022,66.6,0.7,22.8,,0.01,0.008,159,122,55,1.2,165,15351,,,,,,0.665,,,2.0,1.8,1.3,-5.247,710,0.157,0.013,0.051,0.3,0.2,4.4,,1.5,231,0.024,0.029,226,2.3,-0.063,0.7,0.9,0.013,4.3,,,,,,,,,0.5,,-0.057,0.014,
3,HEM,1,2022,-454.7,1.2,19.0,,-0.002,-0.002,187,145,57,3.6,-38,15144,,,,,,0.694,,,2.3,1.9,1.3,-3.432,753,0.174,0.041,0.026,0.2,0.1,3.6,,1.4,235,0.018,0.024,274,2.0,-0.085,0.6,0.7,0.041,1.0,,,,,,,,,0.4,,0.022,-0.058,
4,HEM,4,2021,854.2,0.8,19.4,,0.001,0.001,209,160,72,-1.9,15,16083,,,,,,0.731,,,2.7,2.2,1.4,-0.476,737,0.099,,,0.2,0.1,3.6,,1.4,266,0.033,0.042,296,1.7,-0.094,0.5,,,1.8,,,,,,,,,0.4,,0.529,-0.007,
5,HEM,3,2021,555.6,1.0,33.5,,0.002,0.001,203,185,76,4.8,30,16192,,,,,,0.788,,,3.7,2.6,1.5,-0.364,482,0.134,0.042,,0.2,0.1,5.2,,1.3,263,0.057,0.064,311,1.8,-0.088,0.5,,0.042,0.2,,,,,,,,,0.3,,-0.037,-0.001,
6,HEM,2,2021,358.9,1.1,35.2,,0.003,0.002,201,193,98,4.0,47,16209,,,,,,0.806,,,4.2,2.7,1.6,-0.515,500,0.203,0.053,0.005,0.1,0.1,5.6,,1.2,257,0.035,0.035,295,1.8,-0.098,0.5,0.2,0.053,0.6,,,,,,,,,0.2,,-0.232,0.004,
7,HEM,1,2021,166.5,1.0,26.0,,0.006,0.005,172,130,42,2.9,98,16145,,,,,,0.797,,,3.9,2.6,1.5,-0.644,651,0.193,0.055,0.065,0.1,0.1,4.0,,1.3,249,0.011,0.012,259,2.1,-0.084,0.6,0.7,0.055,1.7,,,,,,,,,0.3,,-0.183,0.007,
8,HEM,4,2020,42.3,0.7,18.2,,0.017,0.011,169,120,44,-7.6,277,16038,,,,,,0.743,,,2.9,2.1,1.3,-0.645,797,0.039,,,0.2,0.1,6.8,,1.3,244,0.163,0.207,246,2.2,-0.083,0.6,,,0.5,,,,,,,,,0.3,,-0.253,-0.006,
9,HEM,3,2020,17.4,0.8,14.1,,0.047,0.032,167,136,54,2.8,780,16133,,,,,,0.718,,,2.5,2.0,1.1,-0.476,1067,0.177,0.043,0.002,0.2,0.1,4.9,,1.4,238,0.045,0.055,249,2.2,-0.072,0.5,0.2,0.043,0.2,,,,,,,,,0.4,,-0.152,0.0,
