,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HGM,4,2022,10.9,3.2,4.8,,0.287,0.244,210,171,21,,4524,15269,,,,,,0.845,,,5.4,7.0,5.1,-0.077,8939,0.583,0.489,0.223,0.0,0.0,0.0,,1.2,123,0.111,0.034,360,1.7,-0.16,0.9,1.3,0.489,0.4,,,,,,,,,0.2,,0.039,-0.093,
1,HGM,3,2022,9.0,2.6,3.6,,0.307,0.256,219,167,11,,4901,16843,,,,,,0.824,,,4.7,5.2,4.0,-0.297,8606,0.806,0.678,0.256,0.0,0.0,0.0,,1.2,126,0.229,0.105,374,1.7,-0.599,0.8,0.6,0.678,0.6,,,,,,,,,0.2,,0.016,0.042,
2,HGM,2,2022,8.2,3.5,5.1,,0.472,0.397,189,101,18,,6974,16160,,,,,,0.824,,,4.7,4.9,4.1,0.017,8473,0.717,0.637,0.25,0.0,0.0,0.0,,1.2,109,0.064,0.022,273,1.9,-0.441,0.9,0.7,0.637,0.6,,,,,,,,,0.2,,0.219,-0.139,
3,HGM,1,2022,5.8,2.1,8.1,,0.425,0.37,235,95,21,,6856,18769,,,,,,0.868,,,6.6,7.2,6.3,0.161,6950,0.485,0.4,0.325,0.0,0.0,0.0,,1.2,128,0.048,0.015,309,1.6,-0.487,0.8,0.8,0.4,1.0,,,,,,,,,0.2,,0.189,0.155,
4,HGM,4,2021,5.3,1.9,7.6,,0.411,0.35,229,177,23,,5907,16252,,,,,,0.853,,,5.8,6.4,4.8,0.175,5846,0.762,0.636,0.483,0.0,0.0,0.0,,1.2,108,0.094,0.032,383,1.6,-0.447,0.8,0.8,0.636,1.0,,,,,,,,,0.2,,0.326,0.074,
5,HGM,3,2021,6.9,2.3,8.3,,0.37,0.316,223,128,11,4578.7,5027,15133,,,,,,0.845,,,5.4,5.7,4.7,1.206,4409,0.581,0.469,0.77,0.0,0.0,0.0,,1.2,93,0.095,0.036,340,1.6,-0.148,0.7,0.8,0.469,2.1,,,,,,,,,0.2,,0.554,0.131,
6,HGM,2,2021,14.5,2.5,14.6,,0.179,0.154,270,141,16,,2278,13377,,,,,,0.862,,,6.2,8.5,6.8,0.528,2837,0.544,0.453,0.367,0.0,0.0,0.0,,1.2,92,0.063,0.019,395,1.4,-0.125,0.7,0.8,0.453,1.0,,,,,,,,,0.2,,0.485,-0.007,
7,HGM,1,2021,22.5,2.5,20.3,,0.113,0.099,325,142,17,2838.3,1491,13474,,,,,,0.873,,,6.9,10.4,8.3,0.851,1910,0.358,0.267,0.214,0.0,0.0,0.0,,1.1,95,0.072,0.023,449,1.1,0.028,0.6,0.8,0.267,1.0,,,,,,,,,0.1,,0.761,0.081,
8,HGM,4,2020,38.9,2.5,32.3,,0.064,0.054,411,233,25,,805,12465,,,,,,0.846,,,5.5,7.1,4.5,2.296,1085,0.347,0.146,0.261,0.0,0.0,0.0,,1.2,85,0.122,0.041,619,0.9,0.027,0.4,0.9,0.146,1.9,,,,,,,,,0.2,,-0.348,0.032,
9,HGM,3,2020,139.3,2.8,19.1,,0.02,0.017,350,208,15,,244,12078,,,,,,0.872,,,6.8,11.0,6.8,-0.102,1664,0.172,,0.005,0.0,0.0,0.0,,1.1,80,0.032,0.011,543,1.0,-0.014,0.4,0.6,,-0.5,,,,,,,,,0.1,,-0.047,0.001,
10,HGM,2,2020,125.0,2.8,20.2,,0.022,0.018,315,199,19,,272,12072,,,,,,0.86,,,6.1,8.6,5.2,-0.063,1745,0.278,0.129,0.132,0.0,0.0,0.3,,1.2,78,0.057,0.018,496,1.2,-0.015,0.5,0.8,0.129,1.2,,,,,,,,,0.2,,-0.018,-0.061,
11,HGM,1,2020,108.5,2.5,20.0,,0.023,0.016,313,176,23,2242.8,290,12852,,,,,,0.872,,,6.8,10.1,6.5,-0.447,1777,0.227,0.073,0.094,0.0,0.0,0.0,,1.1,85,0.029,0.01,465,1.2,-0.06,0.4,0.9,0.073,1.5,,,,,,,,,0.1,,-0.141,0.011,
12,HGM,4,2019,69.3,2.9,15.6,,0.034,0.029,13,143,12,,525,12707,,,,,,0.849,,,5.6,6.9,4.5,-0.667,2068,0.506,0.363,-0.058,0.0,0.0,0.0,,1.2,81,0.05,0.018,144,27.7,-0.055,0.4,1.2,0.363,-0.2,,,,,,,,,0.2,,-0.119,-0.009,
13,HGM,3,2019,23.3,2.9,13.7,,0.105,0.09,1,109,13,-0.4,1578,12820,,,,,,0.84,,,5.3,5.3,3.6,-0.23,2348,0.137,-0.003,0.019,0.0,0.0,0.0,,1.2,68,0.15,0.053,97,362.5,-0.061,0.5,1.3,-0.003,-7.5,,,,,,,,,0.2,,-0.144,0.003,
14,HGM,2,2019,17.9,2.9,14.3,,0.139,0.109,15,111,13,,2049,12786,,,,,,0.768,,,3.3,3.0,2.1,-0.108,2742,0.235,0.099,0.126,0.1,0.1,0.2,,1.3,65,0.047,0.015,114,24.2,-0.08,0.4,1.2,0.099,1.5,,,,,,,,,0.3,,-0.014,0.015,
15,HGM,1,2019,15.0,2.7,12.2,,0.151,0.108,1,118,21,,2297,12592,,,,,,0.605,,,1.5,1.7,1.4,-0.222,2782,0.328,0.19,0.2,0.0,0.0,0.0,,1.7,61,0.272,0.087,98,373.7,-0.198,0.4,1.1,0.19,1.2,,,,,,,,,0.7,,-0.176,-0.302,
16,HGM,4,2018,10.8,1.8,11.8,,0.165,0.137,11,95,15,,2952,18046,,,,,,0.858,,,6.1,6.5,5.9,0.065,3375,0.52,0.393,0.347,0.0,0.0,0.0,,1.2,123,0.077,0.032,91,33.2,-0.243,0.4,1.2,0.393,1.0,,,,,,,,,0.2,,0.102,0.05,
17,HGM,3,2018,12.8,2.1,15.5,,0.157,0.136,1,75,13,,2772,17181,,,,,,0.861,,,6.2,6.6,6.0,-0.136,3063,0.394,0.246,0.267,0.0,0.0,0.0,,1.2,111,0.054,0.018,63,412.3,-0.242,0.4,1.1,0.246,1.2,,,,,,,,,0.2,,-0.102,0.03,
18,HGM,2,2018,9.5,1.8,11.9,,0.19,0.157,13,81,13,,3209,16677,,,,,,0.796,,,3.9,3.8,3.6,0.211,3412,0.239,0.113,0.246,0.0,0.0,0.0,,1.3,107,0.015,0.006,82,27.4,-0.258,0.5,1.1,0.113,2.5,,,,,,,,,0.3,,-0.174,-0.062,
19,HGM,1,2018,10.0,1.5,8.9,,0.151,0.122,1,106,16,,2649,17781,,,,,,0.812,,,4.3,4.5,4.1,0.18,4130,0.462,0.379,0.358,0.0,0.0,0.0,,1.2,124,0.091,0.04,90,450.4,-0.11,0.4,1.1,0.379,1.1,,,,,,,,,0.2,,0.123,0.003,
20,HGM,4,2017,13.2,1.7,9.4,,0.126,0.104,2,139,17,,2245,17729,,,,,,0.803,,,4.1,4.3,3.8,-0.048,3678,0.547,0.367,0.368,0.0,0.0,0.0,,1.2,128,0.162,0.076,124,212.7,-0.124,0.4,1.1,0.367,1.1,,,,,,,,,0.2,,-0.032,-0.018,
21,HGM,3,2017,12.5,1.6,8.3,,0.134,0.111,7,103,12,,2358,18053,,,,,,0.864,,,6.4,7.4,6.7,0.304,3798,0.468,0.346,0.383,0.0,0.0,0.0,,1.2,130,0.151,0.076,98,50.4,-0.1,0.4,1.0,0.346,1.1,,,,,,,,,0.2,,0.142,0.055,
