,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HHC,4,2022,28.8,2.7,32.6,,0.1,0.042,84,38,62.0,0.7,3199,33625,,,,,,0.444,,,0.8,1.5,1.3,-0.318,3283.0,0.172,0.056,0.052,0.4,0.2,5.5,46.1,2.3,342,0.033,0.012,59.0,4.4,0.0,1.2,0.7,0.056,1.3,,,,,,,,,1.3,,0.119,0.049,
1,HHC,3,2022,18.8,2.8,40.9,,0.157,0.071,72,37,28.0,4.6,4691,32063,,,,,,0.474,,,0.9,1.4,1.2,0.137,2935.0,0.15,0.06,0.026,0.5,0.2,7.7,33.7,2.1,213,0.048,0.015,80.0,5.1,-0.017,1.3,0.8,0.06,0.6,,,,,,,,,1.1,,0.583,0.022,
2,HHC,2,2022,24.0,3.2,57.0,,0.14,0.059,82,47,48.0,-0.8,4127,31382,,,,,,0.425,,,0.7,1.3,1.1,-0.123,1853.0,0.093,,0.001,0.6,0.3,13.2,38.9,2.4,197,0.041,0.015,81.0,4.5,-0.017,1.0,0.2,,-0.2,,,,,,,,,1.4,,11.471,-0.005,
3,HHC,1,2022,18.5,2.8,732.7,,0.158,0.06,100,54,43.0,-2.1,4705,31531,,,,,,0.367,,,0.6,1.2,1.1,0.478,149.0,0.083,,0.065,0.8,0.3,190.6,4.4,2.7,198,0.025,0.009,111.0,3.7,-0.038,0.8,0.8,,-1.8,,,,,,,,,1.7,,-0.302,0.031,
4,HHC,4,2021,28.0,2.9,492.1,,0.108,0.043,130,53,68.0,3.5,3183,30585,,,,,,0.403,,,0.7,1.5,1.3,0.517,213.0,0.2,0.052,0.123,0.8,0.3,120.1,4.0,2.5,325,0.038,0.015,115.0,2.8,-0.038,0.8,0.8,0.052,3.0,,,,,,,,,1.5,,-0.917,0.111,
5,HHC,3,2021,35.2,2.7,45.3,,0.078,0.028,106,42,27.0,0.6,2098,27530,,,,,,0.431,,,0.8,1.7,1.5,-0.118,2568.0,0.226,0.023,0.01,1.0,0.4,11.4,2.1,2.3,328,0.061,0.019,121.0,3.4,-0.097,1.0,0.8,0.023,0.5,,,,,,,,,1.3,,-0.068,0.004,
6,HHC,2,2021,35.3,3.1,36.4,,0.089,0.036,90,35,26.0,-4.5,2379,27414,,,,,,0.412,,,0.7,1.6,1.4,-0.003,2755.0,0.037,,0.061,1.1,0.4,11.1,2.3,2.4,319,0.022,0.008,99.0,4.0,-0.098,1.3,1.0,,-0.3,,,,,,,,,1.4,,-0.447,-0.019,
7,HHC,1,2021,41.1,3.5,21.5,,0.089,0.034,94,37,47.0,-1.9,2386,27947,,,,,,0.4,,,0.7,1.7,1.5,0.003,4982.0,0.069,,,1.1,0.4,6.0,1.9,2.5,352,0.019,0.007,84.0,3.9,-0.124,1.2,,,0.9,,,,,,,,,1.5,,-0.004,-0.02,
8,HHC,4,2020,43.3,3.6,22.8,,0.087,0.033,92,28,45.0,5.7,2378,28524,,,,,,0.394,,,0.7,1.6,1.4,-0.05,5004.0,0.184,0.06,0.046,1.0,0.4,5.5,1.9,2.5,337,0.025,0.008,75.0,4.0,-0.121,1.2,0.8,0.06,1.0,,,,,,,,,1.5,,0.244,0.074,
9,HHC,3,2020,42.7,4.0,32.1,,0.099,0.034,130,43,33.0,1.3,2503,26553,,,,,,0.301,,,0.4,1.5,1.3,0.007,4023.0,0.127,0.025,0.017,1.1,0.3,7.0,1.1,3.3,389,0.034,0.009,140.0,2.8,-0.124,0.9,0.8,0.025,0.9,,,,,,,,,2.3,,-0.005,0.015,
10,HHC,2,2020,40.6,3.9,33.9,,0.1,0.041,142,52,34.0,0.3,2486,26157,,,,,,0.409,,,0.7,2.0,1.7,0.561,4044.0,0.198,0.016,0.067,1.2,0.5,7.2,1.1,2.4,379,0.035,0.008,160.0,2.6,-0.124,1.0,1.0,0.016,4.2,,,,,,,,,1.4,,0.154,0.018,
11,HHC,1,2020,63.4,3.9,36.8,,0.064,0.025,152,56,54.0,-2.1,1592,25683,,,,,,0.369,,,0.6,1.8,1.5,-0.359,3504.0,0.065,,,1.1,0.4,8.1,1.0,2.7,369,0.058,0.015,154.0,2.4,-0.135,1.0,,,0.9,,,,,,,,,1.7,,-0.222,-0.022,
12,HHC,4,2019,51.9,4.9,27.8,,0.099,0.042,57,45,51.0,6.3,2486,26266,,,,,,0.375,,,0.6,1.8,1.6,-0.027,4506.0,0.26,0.099,0.082,1.1,0.4,4.8,1.0,2.7,372,0.22,0.057,51.0,6.4,-0.136,1.1,1.3,0.099,1.0,,,,,,,,,1.7,,0.086,0.087,
