,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HHP,4,2022,14.5,1.3,9.9,,0.096,0.042,54,36,29,,580,6297,,,,,,0.397,,,0.8,1.3,1.1,-0.035,2830,0.097,0.085,0.043,0.9,0.4,3.8,1.6,2.5,135,0.005,0.004,62,6.7,-1.481,1.1,0.7,0.085,0.7,,,,,,,,,1.2,,-0.113,0.027,
1,HHP,3,2022,14.4,1.4,7.7,,0.119,0.055,40,31,16,4.1,601,6132,,,,,,0.465,,,1.1,1.6,1.3,-0.018,3189,0.068,0.063,0.032,0.7,0.4,3.2,6.4,2.2,194,0.008,0.013,56,9.0,-1.362,1.4,0.7,0.063,0.8,,,,,,,,,0.9,,0.002,0.018,
2,HHP,2,2022,14.8,1.5,7.6,,0.124,0.058,38,25,17,3.6,612,6023,,,,,,0.472,,,1.1,1.6,1.4,0.042,3183,0.076,0.07,0.039,0.7,0.4,2.9,6.6,2.1,185,0.01,0.016,46,9.7,-1.253,1.4,0.7,0.07,0.8,,,,,,,,,0.9,,0.007,0.018,
3,HHP,1,2022,21.0,2.1,7.9,,0.123,0.059,38,28,17,3.7,587,5916,,,,,,0.497,,,1.3,1.5,1.3,0.049,3162,0.081,0.073,0.039,0.7,0.4,3.0,13.2,2.0,161,0.012,0.018,49,9.6,-1.233,1.4,0.7,0.073,0.7,,,,,,,,,0.8,,0.053,0.024,
4,HHP,4,2021,22.3,2.2,7.5,,0.121,0.057,40,31,28,,560,5777,,,,,,0.499,,,1.2,1.5,1.2,0.158,3004,0.06,0.049,0.046,0.7,0.4,3.1,10.0,2.0,143,0.02,0.023,43,9.0,-0.939,1.3,0.8,0.049,1.2,,,,,,,,,0.9,,-0.204,0.444,
5,HHP,3,2021,25.5,3.1,7.7,,0.134,0.061,12,38,22,3.7,483,4000,,,,,,0.467,,,1.0,1.1,0.8,0.07,3774,0.079,0.07,0.039,0.8,0.4,2.7,15.2,2.1,16,0.038,0.029,28,29.5,-0.439,1.5,0.8,0.07,0.7,,,,,,,,,1.0,,0.046,0.031,
6,HHP,2,2021,25.1,2.9,7.0,,0.126,0.06,14,40,31,4.3,452,3881,,,,,,0.468,,,1.0,1.0,0.8,0.157,3610,0.093,0.083,0.048,0.7,0.4,2.4,10.8,2.1,7,0.028,0.025,23,25.9,-0.472,1.4,0.8,0.083,0.8,,,,,,,,,1.0,,0.05,0.071,
7,HHP,1,2021,46.8,5.1,6.3,,0.114,0.054,26,46,30,3.7,390,3623,,,,,,0.46,,,1.0,1.1,0.8,-0.412,3439,0.089,0.076,0.042,0.8,0.4,2.6,7.2,2.2,15,0.027,0.032,42,14.1,-0.462,1.3,0.8,0.076,0.7,,,,,,,,,1.0,,0.092,-0.464,
8,HHP,4,2020,20.9,2.1,7.3,,0.103,0.048,35,52,43,,664,6765,,,,,,0.434,,,0.9,1.1,0.9,0.126,3148,0.073,0.062,0.033,0.8,0.4,2.9,4.3,2.3,32,0.047,0.046,43,10.6,-0.384,1.1,0.7,0.062,0.7,,,,,,,,,1.2,,0.12,0.087,
9,HHP,3,2020,19.0,1.8,7.9,,0.096,0.045,52,73,40,3.2,590,6221,,,,,,0.439,,,0.9,1.2,0.9,0.076,2811,0.11,0.095,0.05,0.8,0.4,3.1,5.1,2.3,34,0.046,0.044,85,7.0,-0.232,1.0,0.7,0.095,0.7,,,,,,,,,1.1,,-0.12,-0.03,
