,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HJS,4,2022,12.9,2.3,6.5,,0.182,0.163,127,45,26.0,,2713,15033,,,,,,0.894,,,12.1,4.0,3.5,-0.055,5090.0,0.333,0.26,0.23,0.0,0.0,0.0,,1.1,80,0.145,0.064,146.0,2.9,-0.018,0.5,0.8,0.26,1.1,,,,,,,,,0.1,,-0.049,0.028,
1,HJS,3,2022,10.6,2.1,5.4,,0.2,0.168,87,46,32.0,,2873,14616,,,,,,0.841,,,6.6,2.4,2.1,0.0,5351.0,0.34,0.297,0.243,0.0,0.0,0.0,,1.2,65,0.149,0.074,101.0,4.2,-0.015,0.5,0.8,0.297,1.0,,,,,,,,,0.2,,-0.005,0.035,
2,HJS,2,2022,12.1,2.5,5.6,,0.207,0.166,51,46,19.0,,2874,14121,,,,,,0.815,,,5.4,1.9,1.7,0.11,5377.0,0.573,0.533,0.438,0.0,0.0,0.1,,1.2,49,0.11,0.052,78.0,7.2,-0.001,0.5,0.8,0.533,1.0,,,,,,,,,0.2,,0.058,-0.077,
3,HJS,1,2022,12.0,2.0,7.3,,0.17,0.149,91,47,17.0,,2588,15304,,,,,,0.905,,,14.2,3.7,3.2,0.064,5084.0,0.467,0.406,0.324,0.0,0.0,0.1,,1.1,64,0.083,0.035,122.0,4.0,0.0,0.5,0.8,0.406,1.0,,,,,,,,,0.1,,0.035,0.04,
4,HJS,4,2021,12.1,2.0,7.2,,0.166,0.142,50,48,43.0,,2433,14712,,,,,,0.892,,,11.8,2.6,2.1,-0.021,4914.0,0.413,0.354,0.295,0.0,0.0,0.1,,1.1,43,0.029,0.013,55.0,7.3,0.0,0.5,0.8,0.354,1.0,,,,,,,,,0.1,,0.105,0.041,
5,HJS,3,2021,12.6,2.2,7.9,,0.176,0.14,2,46,36.0,88.5,2486,14136,,,,,,0.837,,,6.4,1.4,1.2,0.035,4448.0,0.353,0.303,0.24,0.0,0.0,0.1,,1.2,21,0.016,0.007,11.0,224.8,0.0,0.4,0.8,0.303,1.0,,,,,,,,,0.2,,0.023,0.036,
6,HJS,2,2021,13.0,2.3,7.7,,0.176,0.131,-41,45,20.0,88.5,2401,13641,,,,,,0.786,,,4.4,1.0,0.8,-0.074,4348.0,0.537,0.499,0.391,0.0,0.0,0.3,,1.3,1,0.008,0.003,-16.0,,-0.067,0.4,0.8,0.499,1.0,,,,,,,,,0.2,,-0.035,-0.098,
7,HJS,1,2021,11.6,2.0,7.2,,0.178,0.141,-3,66,23.0,20.4,2594,15128,,,,,,0.852,,,7.3,1.5,1.2,-0.029,4505.0,0.443,0.375,0.288,0.1,0.1,0.5,,1.2,22,0.029,0.014,40.0,,0.0,0.5,0.8,0.375,1.0,,,,,,,,,0.1,,-0.027,0.03,
8,HJS,4,2020,12.6,2.3,8.0,,0.185,0.142,-23,39,52.0,7.8,2671,14685,,,,,,0.821,,,5.6,1.1,0.8,0.075,4628.0,0.208,0.142,0.349,0.1,0.1,0.5,,1.2,3,0.013,0.006,-35.0,,-0.013,0.5,1.3,0.142,1.9,,,,,,,,,0.2,,-0.129,0.045,
9,HJS,3,2020,10.5,1.9,7.3,,0.179,0.132,-26,54,32.0,11.4,2485,14057,,,,,,0.755,,,3.6,0.8,0.6,-0.002,5311.0,0.325,0.261,0.193,0.1,0.1,0.5,,1.3,-19,0.014,0.005,-5.0,,-0.047,0.5,0.8,0.261,0.9,,,,,,,,,0.3,,-0.003,0.03,
10,HJS,2,2020,8.2,1.5,6.4,,0.185,0.126,-63,58,25.0,20.5,2490,13646,,,,,,0.707,,,2.7,0.7,0.5,-0.008,5327.0,0.429,0.402,0.328,0.1,0.1,0.6,,1.4,-38,0.01,0.005,-31.0,,0.015,0.4,0.8,0.402,1.0,,,,,,,,,0.4,,0.003,-0.024,
11,HJS,1,2020,7.1,1.3,5.4,,0.177,0.127,-15,109,25.0,8.5,2509,13981,,,,,,0.731,,,3.1,0.7,0.3,0.072,5313.0,0.507,0.438,0.311,0.2,0.2,0.8,3.4,1.4,-25,0.004,0.002,69.0,,-0.047,0.4,0.8,0.438,0.9,,,,,,,,,0.3,,0.039,-0.013,
12,HJS,4,2019,8.5,1.4,5.5,,0.166,0.117,44,89,58.0,10.7,2340,14169,,,,,,0.719,,,2.9,0.7,0.6,0.054,5115.0,0.526,0.489,0.224,0.2,0.2,0.8,3.6,1.4,-27,0.027,0.017,75.0,8.2,-0.035,0.4,1.5,0.489,0.7,,,,,,,,,0.3,,0.106,0.032,
13,HJS,3,2019,10.0,1.6,7.6,,0.162,0.111,32,83,26.0,5.5,2221,13727,,,,,,0.723,,,2.9,0.9,0.5,-0.016,4624.0,0.395,0.34,0.238,0.3,0.2,1.0,0.9,1.4,-9,0.008,0.004,89.0,11.6,-0.002,0.4,1.2,0.34,0.8,,,,,,,,,0.3,,-0.015,0.031,
14,HJS,2,2019,9.3,1.6,6.2,,0.17,0.106,53,79,38.0,13.2,2257,13312,,,,,,0.658,,,2.1,0.7,0.5,0.029,4693.0,0.563,0.52,0.429,0.3,0.2,1.1,1.2,1.5,-26,0.024,0.013,94.0,6.8,-0.003,0.4,1.2,0.52,1.0,,,,,,,,,0.5,,0.004,-0.072,
15,HJS,1,2019,9.4,1.4,6.2,,0.155,0.103,22,76,13.0,3.9,2193,14346,,,,,,0.705,,,2.6,1.2,0.8,0.01,4676.0,0.371,0.308,0.193,0.3,0.2,1.3,0.6,1.4,11,0.064,0.038,85.0,16.9,-0.001,0.4,1.2,0.308,0.7,,,,,,,,,0.4,,0.002,0.021,
