,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HND,4,2022,12.2,1.1,5.0,,0.091,0.068,61,18,17,0.2,1141,12683,,,,,,0.772,,,3.4,2.3,2.0,-0.319,3330,0.019,0.001,,0.2,0.1,0.9,2.0,1.3,1861,0.081,0.074,62,6.0,-0.013,1.2,,0.001,-2.3,,,,,,,,,0.3,,-0.185,-0.001,
1,HND,3,2022,9.3,1.2,3.9,,0.136,0.092,60,17,12,3.1,1676,12698,,,,,,0.684,,,2.2,2.0,1.8,0.043,4085,0.035,0.025,0.013,0.3,0.2,1.0,1.0,1.5,2062,0.034,0.033,66,6.1,-0.008,1.1,1.0,0.025,0.5,,,,,,,,,0.5,,-0.008,-0.054,
2,HND,2,2022,9.6,1.2,4.1,,0.127,0.082,63,24,25,13.3,1607,13417,,,,,,0.69,,,2.2,2.0,1.8,0.128,4118,0.138,0.128,0.105,0.2,0.2,1.0,1.0,1.4,2207,0.121,0.115,62,5.8,-0.008,1.0,0.9,0.128,0.9,,,,,,,,,0.4,,-0.011,0.036,
3,HND,1,2022,12.7,1.4,4.3,,0.109,0.072,66,21,16,10.2,1424,12948,,,,,,0.696,,,2.3,2.1,1.9,0.608,4163,0.126,0.118,0.102,0.3,0.2,1.2,0.7,1.4,1891,0.054,0.043,71,5.5,-0.01,1.0,0.9,0.118,0.9,,,,,,,,,0.4,,0.128,0.042,
4,HND,4,2021,20.3,1.4,5.9,,0.067,0.044,66,28,19,9.4,886,12427,,,,,,0.715,,,2.5,2.2,1.8,-0.38,3690,0.145,0.136,0.117,0.3,0.2,1.5,0.7,1.4,1639,0.091,0.061,76,5.5,-0.01,0.9,0.9,0.136,0.9,,,,,,,,,0.4,,-0.19,0.044,
5,HND,3,2021,12.4,1.5,4.9,,0.114,0.07,58,26,9,0.4,1428,11907,,,,,,0.66,,,1.9,1.9,1.5,-0.191,4555,0.016,0.006,0.003,0.4,0.3,1.4,0.6,1.5,1405,0.086,0.055,75,6.3,-0.008,0.9,1.0,0.006,0.5,,,,,,,,,0.5,,-0.137,0.001,
6,HND,2,2021,9.7,1.4,4.1,,0.144,0.081,36,29,18,5.9,1765,11895,,,,,,0.606,,,1.5,1.5,1.2,-0.288,5280,0.1,0.086,0.072,0.4,0.2,1.3,0.6,1.7,1108,0.01,0.007,47,10.2,-0.008,0.9,1.0,0.086,0.9,,,,,,,,,0.7,,-0.152,-0.092,
7,HND,1,2021,7.2,1.4,3.3,,0.192,0.106,47,31,22,0.1,2480,13105,,,,,,0.626,,,1.7,1.8,1.5,-0.146,6227,0.012,0.002,,0.4,0.3,1.3,0.5,1.6,1587,0.188,0.143,56,7.7,-0.003,0.8,,0.002,-2.5,,,,,,,,,0.6,,-0.125,-0.055,
8,HND,4,2020,5.6,1.2,3.6,,0.221,0.12,41,27,19,10.8,2903,13861,,,,,,0.604,,,1.5,1.6,1.4,-0.043,7119,0.268,0.248,0.219,0.5,0.3,1.2,0.7,1.7,1642,0.213,0.145,50,8.9,-0.001,0.9,0.9,0.248,0.9,,,,,,,,,0.7,,-0.023,0.062,
9,HND,3,2020,5.0,1.2,3.5,,0.244,0.127,34,23,8,3.8,3032,13049,,,,,,0.578,,,1.4,1.7,1.4,0.057,7284,0.116,0.107,0.076,0.6,0.3,1.4,0.6,1.7,1511,0.199,0.128,49,10.7,-0.008,1.0,0.9,0.107,0.8,,,,,,,,,0.7,,0.021,0.028,
10,HND,2,2020,5.0,1.1,3.5,,0.236,0.113,18,21,14,8.3,2868,12700,,,,,,0.525,,,1.1,1.2,1.0,0.1,7132,0.188,0.182,0.175,0.7,0.4,1.5,0.8,1.9,715,0.168,0.118,25,20.2,-0.007,0.9,1.0,0.182,1.0,,,,,,,,,0.9,,-0.002,-0.006,
11,HND,1,2020,4.1,0.8,3.7,,0.219,0.099,18,19,18,4.6,2607,12778,,,,,,0.49,,,1.0,1.3,1.1,0.083,7149,0.13,0.122,0.066,0.8,0.4,1.7,0.6,2.0,969,0.145,0.103,20,20.0,-0.008,0.9,1.0,0.122,0.6,,,,,,,,,1.0,,0.046,0.026,
12,HND,4,2019,4.6,0.9,3.9,,0.202,0.091,66,18,14,8.0,2406,12459,,,,,,0.492,,,1.0,1.3,1.1,0.4,6831,0.221,0.212,0.185,0.9,0.4,1.9,0.5,2.0,803,0.125,0.097,70,5.5,-0.007,0.9,1.1,0.212,0.9,,,,,,,,,1.0,,0.044,0.059,
13,HND,3,2019,6.7,1.0,3.6,,0.154,0.065,49,25,8,1.8,1718,11767,,,,,,0.467,,,0.9,1.3,1.0,0.389,6541,0.09,0.072,0.04,1.0,0.5,2.1,0.5,2.1,677,0.127,0.11,66,7.4,-0.001,0.8,1.1,0.072,0.6,,,,,,,,,1.1,,0.011,0.016,
14,HND,2,2019,8.1,0.9,4.0,,0.111,0.044,84,20,18,5.8,1237,11582,,,,,,0.434,,,0.8,1.1,1.0,0.616,6472,0.186,0.174,0.125,1.1,0.5,2.3,0.4,2.3,445,0.11,0.087,85,4.4,-0.001,0.7,1.0,0.174,0.8,,,,,,,,,1.3,,0.059,0.045,
15,HND,1,2019,10.3,0.7,4.3,,0.07,0.027,82,22,20,1.9,765,11083,,,,,,0.412,,,0.7,1.1,1.0,-0.114,6112,0.099,0.082,0.041,1.2,0.5,2.6,0.4,2.4,219,0.179,0.132,84,4.4,-0.001,0.6,1.1,0.082,0.5,,,,,,,,,1.4,,-0.071,-0.028,
16,HND,4,2018,8.6,0.6,3.6,,0.079,0.03,69,25,19,4.4,863,11398,,,,,,0.417,,,0.7,1.1,1.0,0.881,6576,0.227,0.209,0.102,1.3,0.5,2.5,0.3,2.4,341,0.121,0.13,74,5.3,0.0,0.7,1.0,0.209,0.5,,,,,,,,,1.4,,0.025,0.08,
17,HND,3,2018,16.8,0.7,3.5,,0.044,0.015,40,28,12,0.9,458,10553,,,,,,0.38,,,0.6,1.1,0.9,-0.526,6414,0.087,0.065,-0.084,1.5,0.6,2.7,0.3,2.6,232,0.242,0.272,57,9.0,0.0,0.6,1.0,0.065,-1.3,,,,,,,,,1.6,,-0.064,-0.02,
18,HND,2,2018,8.3,0.7,2.6,,0.094,0.031,80,25,18,2.9,967,10764,,,,,,0.369,,,0.6,1.0,0.9,0.165,6856,0.161,0.146,0.069,1.5,0.6,2.7,0.3,2.7,105,0.042,0.04,87,4.6,-0.001,0.6,1.1,0.146,0.5,,,,,,,,,1.7,,-0.005,0.001,
19,HND,1,2018,10.8,0.8,4.1,,0.081,0.026,85,29,26,3.2,831,10754,,,,,,0.353,,,0.5,1.0,0.8,0.039,6892,0.173,0.156,0.055,1.7,0.6,2.8,0.3,2.8,107,0.007,0.007,88,4.3,-0.002,0.6,1.1,0.156,0.4,,,,,,,,,1.8,,0.005,0.035,
20,HND,4,2017,11.1,0.9,4.2,,0.08,0.025,58,32,26,3.1,800,10394,,,,,,0.343,,,0.5,0.9,0.7,-0.359,6858,0.234,0.213,0.024,1.8,0.6,3.0,0.3,2.9,-200,0.005,0.004,64,6.3,-0.002,0.6,1.1,0.213,0.1,,,,,,,,,1.9,,0.01,0.025,
