,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HNF,4,2022,4.7,0.8,5.8,,0.197,0.059,9,43,50,3.2,3944,22080,,,,,,0.324,,,0.5,1.1,0.9,0.129,8582,0.282,0.089,0.044,1.4,0.5,2.8,1.5,3.1,52,0.05,0.059,2,42.4,-0.089,1.0,0.7,0.089,0.7,,,,,,,,,2.1,,0.132,0.061,
1,HNF,3,2022,5.4,0.9,6.7,,0.183,0.055,11,43,40,5.2,3494,20808,,,,,,0.312,,,0.5,1.1,0.8,0.702,7579,0.334,0.144,0.109,1.5,0.5,4.2,1.3,3.2,48,0.026,0.028,14,32.7,-0.128,1.0,0.9,0.144,0.8,,,,,,,,,2.2,,0.271,0.112,
2,HNF,2,2022,9.3,1.0,7.0,,0.116,0.034,5,33,32,1.5,2052,18714,,,,,,0.291,,,0.4,1.0,0.8,0.161,5965,0.25,0.092,0.047,1.9,0.5,5.6,1.6,3.4,12,0.044,0.039,6,77.9,-0.056,0.9,1.0,0.092,0.5,,,,,,,,,2.4,,0.099,0.024,
3,HNF,1,2022,12.3,1.2,7.2,,0.102,0.028,9,32,34,1.9,1768,18270,,,,,,0.28,,,0.4,1.1,0.9,0.024,5425,0.248,0.063,0.028,2.0,0.6,6.3,1.2,3.6,66,0.032,0.03,7,42.3,-0.019,0.9,0.9,0.063,0.5,,,,,,,,,2.6,,0.056,0.022,
4,HNF,4,2021,13.5,1.3,9.9,,0.102,0.028,13,47,47,2.3,1726,17869,,,,,,0.271,,,0.4,1.0,0.9,-0.113,5140,0.27,0.054,0.029,1.0,0.3,4.6,,3.7,40,0.097,0.084,13,29.2,-0.094,0.9,1.0,0.054,0.5,,,,,,,,,2.7,,0.019,0.028,
5,HNF,3,2021,11.1,1.2,10.0,,0.119,0.033,25,37,64,2.8,1946,17386,,,,,,0.283,,,0.4,1.1,0.9,0.322,5045,0.297,0.078,0.045,1.8,0.5,6.2,0.8,3.5,64,0.108,0.093,-1,14.3,-0.227,0.9,1.0,0.078,0.6,,,,,,,,,2.5,,0.243,0.039,
6,HNF,2,2021,13.0,1.1,13.0,,0.092,0.026,26,35,44,1.5,1473,16733,,,,,,0.288,,,0.4,1.1,0.9,0.143,4058,0.205,0.064,0.027,1.9,0.6,7.9,0.8,3.5,31,0.026,0.021,16,14.3,-0.432,0.9,1.2,0.064,0.3,,,,,,,,,2.5,,-0.026,0.012,
7,HNF,1,2021,14.4,1.1,13.9,,0.091,0.023,2,34,49,2.2,1288,16540,,,,,,0.278,,,0.4,1.0,0.9,0.327,4166,0.296,0.056,0.027,1.9,0.5,9.5,1.4,3.6,11,0.179,0.154,-13,204.8,-0.642,0.9,0.9,0.056,0.6,,,,,,,,,2.6,,0.205,0.027,
8,HNF,4,2020,25.5,1.5,17.0,,0.069,0.018,28,41,47,3.5,970,16111,,,,,,0.274,,,0.4,1.1,0.9,0.028,3459,0.272,0.091,0.048,1.9,0.5,9.9,1.5,3.7,70,0.077,0.064,22,12.9,-1.114,0.9,0.7,0.091,0.7,,,,,,,,,2.7,,0.072,0.046,
9,HNF,3,2020,23.6,1.4,18.7,,0.077,0.019,25,29,56,1.7,944,15408,,,,,,0.264,,,0.4,1.2,1.0,-0.063,3227,0.267,0.045,0.012,2.0,0.5,10.6,0.6,3.8,151,0.067,0.05,-2,14.6,-0.823,1.1,0.8,0.045,0.3,,,,,,,,,2.8,,0.017,0.012,
