,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HNM,4,2022,5.0,1.1,5.9,,0.253,0.076,-32,187,65.0,5.4,1873,8398,,,,,,0.317,,,0.5,0.9,0.3,0.314,3236.0,0.224,0.111,0.09,1.2,0.4,3.1,,3.2,-21,0.019,0.017,90.0,,-0.051,1.0,1.0,0.111,0.8,,,,,,,,,2.2,,0.018,0.064,
1,HNM,3,2022,5.5,1.0,5.2,,0.199,0.06,37,190,64.0,4.3,1425,7896,,,,,,0.32,,,0.5,1.2,0.6,0.175,3177.0,0.211,0.1,0.079,1.2,0.4,3.1,75.4,3.1,58,0.018,0.02,163.0,9.8,-0.061,0.9,1.0,0.1,0.8,,,,,,,,,2.1,,0.079,0.075,
2,HNM,2,2022,5.9,1.0,5.9,,0.181,0.052,-56,214,74.0,4.1,1212,7343,,,,,,0.304,,,0.4,0.9,0.3,0.251,2945.0,0.187,0.11,0.071,1.3,0.4,3.4,76.3,3.3,-42,0.045,0.041,84.0,,-0.048,0.8,1.0,0.11,0.6,,,,,,,,,2.3,,0.174,0.081,
3,HNM,1,2022,13.1,1.9,7.7,,0.155,0.043,-25,277,94.0,4.0,969,6790,,,,,,0.29,,,0.4,0.8,0.3,0.304,2509.0,0.282,0.159,0.071,1.5,0.4,4.0,78.3,3.4,-56,0.011,0.008,159.0,,-0.052,0.7,1.0,0.159,0.4,,,,,,,,,2.4,,0.203,0.055,
4,HNM,4,2021,18.2,2.1,9.9,,0.094,0.031,22,336,152.0,3.2,743,6436,,,,,,0.279,,,0.4,0.8,0.3,-0.299,2085.0,0.402,0.186,0.018,1.6,0.4,4.9,80.4,3.6,-64,0.012,0.007,205.0,16.5,-0.045,0.6,1.0,0.186,0.1,,,,,,,,,2.6,,0.122,0.004,
5,HNM,3,2021,12.1,2.0,12.5,,0.137,0.045,83,317,188.0,4.4,1060,6410,,,,,,0.285,,,0.4,1.1,0.7,0.391,1859.0,0.291,0.129,0.096,1.6,0.4,5.5,32.0,3.5,30,0.015,0.007,213.0,4.4,-0.018,0.5,1.0,0.129,0.7,,,,,,,,,2.5,,0.193,0.064,
6,HNM,2,2021,10.4,1.3,14.5,,0.101,0.032,12,315,231.0,3.1,762,6026,,,,,,0.273,,,0.4,0.8,0.4,1.078,1558.0,0.209,0.088,0.064,1.7,0.5,6.6,38.4,3.7,-69,0.02,0.009,96.0,30.2,-0.014,0.5,1.0,0.088,0.7,,,,,,,,,2.7,,0.357,0.047,
7,HNM,1,2021,13.4,0.9,16.3,,0.049,0.016,90,422,234.0,1.4,366,5754,,,,,,0.268,,,0.4,1.0,0.6,2.253,1148.0,0.255,0.073,0.018,1.8,0.5,9.2,28.1,3.7,15,0.016,0.011,278.0,4.1,-0.005,0.4,1.0,0.073,0.2,,,,,,,,,2.7,,0.229,-0.391,
8,HNM,4,2020,39.0,0.5,16.6,,0.012,0.005,167,495,156.0,,112,9453,,,,,,0.375,,,0.6,1.3,0.7,-1.47,934.0,0.313,0.135,0.159,1.1,0.4,11.3,18.6,2.7,97,0.016,0.029,506.0,2.2,-0.006,0.4,1.0,0.135,1.2,,,,,,,,,1.7,,3.276,0.041,
9,HNM,3,2020,-20.0,0.5,68.7,,-0.026,-0.009,159,474,167.0,1.4,-240,9082,,,,,,0.362,,,0.6,1.3,0.6,-0.115,218.0,0.268,0.052,0.015,1.1,0.4,47.3,17.7,2.8,88,0.013,0.025,467.0,2.3,0.044,0.4,1.0,0.052,0.3,,,,,,,,,1.8,,0.202,0.005,
10,HNM,2,2020,-14.0,0.4,79.6,,-0.03,-0.011,182,550,232.0,0.0,-271,9040,,,,,,0.362,,,0.6,1.3,0.6,0.805,182.0,0.196,0.001,,1.2,0.4,56.6,17.0,2.8,85,0.014,0.031,500.0,2.0,0.008,0.3,,0.001,-37.9,,,,,,,,,1.8,,-0.543,-0.009,
11,HNM,1,2020,-30.0,0.5,39.1,,-0.016,-0.006,195,563,212.0,-0.5,-150,9126,,,,,,0.364,,,0.6,1.3,0.6,-3.089,398.0,0.21,,,1.2,0.4,25.6,16.5,2.7,85,0.014,0.025,546.0,1.9,-0.007,0.3,,,2.8,,,,,,,,,1.7,,-0.326,-0.023,
12,HNM,4,2019,62.6,0.5,24.8,,0.008,0.003,101,560,191.0,-3.9,71,9340,,,,,,0.377,,,0.6,1.3,0.6,-0.893,590.0,0.083,-0.077,0.008,1.1,0.4,17.7,21.7,2.7,83,0.015,0.032,470.0,3.6,-0.004,0.3,1.0,-0.077,-0.1,,,,,,,,,1.7,,-0.673,0.002,
13,HNM,3,2019,6.7,0.5,8.1,,0.075,0.027,92,571,168.0,,672,9322,,,,,,0.362,,,0.6,1.3,0.6,-0.002,1803.0,0.326,0.041,0.007,1.1,0.4,5.6,11.8,2.8,83,0.016,0.034,495.0,4.0,-0.049,0.4,1.0,0.041,0.2,,,,,,,,,1.8,,-0.045,0.001,
14,HNM,2,2019,5.8,0.4,7.6,,0.075,0.027,83,499,142.0,1.3,674,9314,,,,,,0.363,,,0.6,1.3,0.6,9.924,1888.0,0.27,0.074,0.014,1.1,0.4,5.5,68.2,2.8,84,0.012,0.024,441.0,4.4,-0.016,0.4,1.0,0.074,0.2,,,,,,,,,1.8,,0.496,0.004,
15,HNM,1,2019,51.8,0.3,12.3,,0.006,0.002,86,433,114.0,1.1,61,9277,,,,,,0.367,,,0.6,1.3,0.6,0.053,1262.0,0.234,0.047,0.004,1.0,0.4,8.1,11.6,2.7,93,0.017,0.026,405.0,4.3,-0.002,0.4,1.0,0.047,0.1,,,,,,,,,1.7,,-0.018,0.001,
16,HNM,4,2018,46.0,0.3,10.2,,0.006,0.002,92,463,110.0,5.4,58,9268,,,,,,0.369,,,0.6,1.3,0.6,-1.098,1285.0,0.389,0.248,0.203,1.1,0.4,7.7,12.2,2.7,91,0.008,0.025,444.0,4.0,-0.002,0.4,1.0,0.248,0.8,,,,,,,,,1.7,,1.142,0.072,
17,HNM,3,2018,-5.9,0.4,21.2,,-0.062,-0.025,113,457,168.0,1.2,-596,8649,,,,,,0.357,,,0.6,1.3,0.6,-0.013,600.0,0.291,0.059,0.006,1.2,0.4,14.9,12.0,2.8,74,0.009,0.028,401.0,3.2,-0.017,0.3,1.0,0.059,0.1,,,,,,,,,1.8,,0.059,0.001,
18,HNM,2,2018,-4.5,0.3,,,-0.063,-0.025,117,420,156.0,-4.0,-604,8636,,,,,,0.363,,,0.6,1.2,0.7,24.288,566.0,0.052,-0.179,-0.221,1.2,0.4,16.4,15.6,2.8,67,0.01,,380.0,3.1,-0.003,0.3,1.0,-0.179,1.2,,,,,,,,,1.8,,-0.526,-0.167,
19,HNM,1,2018,-150.6,0.3,11.5,,-0.002,-0.001,121,452,149.0,1.1,-23,10370,,,,,,0.416,,,0.7,1.5,0.7,0.286,1194.0,0.339,0.073,0.004,1.0,0.4,7.8,1.2,2.4,101,0.008,0.027,425.0,3.0,-0.013,0.3,1.0,0.073,0.0,,,,,,,,,1.4,,-0.021,0.0,
20,HNM,4,2017,-258.3,0.5,9.2,,-0.002,-0.001,120,416,134.0,0.7,-18,10365,,,,,,0.433,,,0.8,1.6,0.7,-1.59,1219.0,0.275,0.037,-0.019,0.9,0.4,6.8,1.0,2.3,97,0.023,0.068,403.0,3.0,-0.077,0.4,1.1,0.037,-0.6,,,,,,,,,1.3,,-0.092,-0.013,
21,HNM,3,2017,152.3,0.5,8.7,,0.003,0.001,126,323,134.0,1.0,31,10501,,,,,,0.435,,,0.8,1.0,0.5,-0.229,1343.0,0.239,0.049,0.002,0.7,0.3,5.3,5.6,2.3,10,0.015,0.037,314.0,2.9,-0.088,0.4,1.2,0.049,0.1,,,,,,,,,1.3,,0.007,0.0,
22,HNM,2,2017,122.3,0.5,9.4,,0.004,0.002,143,305,129.0,1.0,40,10501,,,,,,0.438,,,0.8,1.0,0.5,-0.258,1334.0,0.304,0.071,0.001,0.8,0.3,5.3,5.3,2.3,6,0.015,0.032,319.0,2.6,-0.12,0.4,1.3,0.071,0.0,,,,,,,,,1.3,,0.052,-0.001,
23,HNM,1,2017,116.1,0.6,9.9,,0.005,0.003,144,254,126.0,1.2,55,10507,,,,,,0.439,,,0.8,1.3,0.9,-0.288,1268.0,0.328,0.063,0.006,0.8,0.3,4.4,8.3,2.3,84,0.022,0.047,271.0,2.5,-0.557,0.4,1.2,0.063,0.1,,,,,,,,,1.3,,0.023,0.0,
24,HNM,4,2016,80.1,0.6,9.8,,0.007,0.004,111,195,89.0,0.3,77,10503,,,,,,0.473,,,0.9,1.4,0.9,-0.006,1240.0,0.215,0.057,0.005,0.7,0.3,4.2,6.3,2.1,86,0.009,0.017,217.0,3.3,-0.536,0.6,1.5,0.057,0.1,,,,,,,,,1.1,,0.15,0.0,
25,HNM,3,2016,95.1,0.7,11.1,,0.007,0.004,86,168,82.0,1.2,77,10508,,,,,,0.501,,,1.0,1.4,1.0,-0.455,1078.0,0.384,0.079,0.006,0.6,0.3,4.3,5.6,2.0,84,0.016,0.03,172.0,4.2,-0.597,0.7,1.0,0.079,0.1,,,,,,,,,1.0,,-0.012,0.0,
26,HNM,2,2016,54.6,0.7,11.6,,0.014,0.008,97,135,67.0,1.6,142,10503,,,,,,0.51,,,1.0,1.5,1.1,-0.333,1091.0,0.262,0.06,0.007,0.6,0.3,4.1,4.0,2.0,86,0.022,0.035,165.0,3.8,-0.791,0.8,2.1,0.06,0.3,,,,,,,,,1.0,,0.0,-0.002,
27,HNM,1,2016,43.0,0.9,14.3,,0.02,0.013,86,97,76.0,1.4,213,10522,,,,,,0.584,,,1.4,1.7,1.3,1.023,1091.0,0.28,0.029,0.008,0.3,0.2,2.7,15.8,1.7,104,0.049,0.056,107.0,4.3,-0.219,0.9,1.3,0.029,0.3,,,,,,,,,0.7,,0.158,-0.002,
