,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HOM,4,2022,17.4,0.4,5.0,,0.022,0.014,32,47,48,2.8,293,13502,,,,,,0.639,,,1.8,1.4,0.9,0.334,1559,0.177,0.02,0.011,0.1,0.1,1.3,,1.6,190,0.149,0.394,31,11.2,-0.094,1.4,1.2,0.02,0.5,,,,,,,,,0.6,,-0.098,0.006,
1,HOM,3,2022,34.1,0.6,4.5,,0.017,0.01,32,44,55,2.1,220,13419,,,,,,0.601,,,1.5,1.3,0.9,0.237,1729,0.187,0.012,0.007,0.2,0.1,1.7,,1.7,194,0.022,0.058,20,11.5,-0.113,1.3,0.6,0.012,1.0,,,,,,,,,0.7,,-0.117,0.004,
2,HOM,2,2022,38.8,0.5,4.1,,0.013,0.009,26,41,51,-10.6,177,13370,,,,,,0.648,,,1.8,1.3,1.0,5.833,1959,0.201,0.026,0.018,0.2,0.1,1.5,,1.5,162,0.038,0.081,16,14.0,-0.162,1.3,0.7,0.026,1.0,,,,,,,,,0.5,,0.107,0.013,
3,HOM,1,2022,368.6,0.7,4.8,,0.002,0.001,24,45,58,0.6,26,13198,,,,,,0.659,,,1.9,1.3,0.9,0.016,1771,0.126,0.002,0.001,0.2,0.1,1.7,,1.5,132,0.06,0.107,10,15.5,-0.096,1.2,0.8,0.002,0.5,,,,,,,,,0.5,,-0.037,0.0,
4,HOM,4,2021,347.2,0.7,5.8,,0.002,0.001,28,56,49,1.0,25,13192,,,,,,0.667,,,2.0,1.4,1.0,0.216,1839,0.153,0.003,0.001,0.2,0.1,1.3,,1.5,178,0.189,0.29,35,13.2,-0.087,1.3,0.7,0.003,0.7,,,,,,,,,0.5,,-0.037,0.001,
5,HOM,3,2021,417.5,0.7,5.7,,0.002,0.001,23,49,58,0.1,21,13182,,,,,,0.63,,,1.7,1.3,1.0,0.008,1909,0.116,0.001,0.001,0.2,0.1,1.4,,1.6,156,0.036,0.057,14,16.0,-0.064,1.2,0.8,0.001,1.7,,,,,,,,,0.6,,-0.029,0.001,
6,HOM,2,2021,234.3,0.4,6.7,,0.002,0.001,16,63,66,0.9,20,13176,,,,,,0.623,,,1.6,1.2,0.8,-0.118,1967,0.144,0.006,0.001,0.3,0.2,1.6,,1.6,124,0.037,0.046,13,22.2,-0.015,1.1,0.7,0.006,0.2,,,,,,,,,0.6,,-0.038,0.0,
7,HOM,1,2021,215.0,0.4,5.1,,0.002,0.001,14,63,65,1.0,23,13171,,,,,,0.615,,,1.6,1.2,0.8,0.004,2045,0.122,0.007,0.001,0.3,0.2,2.0,,1.6,104,0.03,0.056,12,26.2,-0.011,1.1,0.8,0.007,0.1,,,,,,,,,0.6,,-0.002,0.0,
8,HOM,4,2020,152.4,0.3,3.7,,0.002,0.001,11,71,54,0.6,23,13174,,,,,,0.649,,,1.8,1.2,0.6,-0.82,2048,0.156,0.004,0.001,0.2,0.1,1.4,,1.5,101,0.048,0.119,28,31.8,-0.011,1.1,0.6,0.004,0.3,,,,,,,,,0.5,,-0.103,0.0,
9,HOM,3,2020,24.3,0.2,2.7,,0.01,0.006,3,63,58,1.0,131,13169,,,,,,0.633,,,1.7,1.1,0.6,-0.255,2284,0.117,0.007,0.001,0.2,0.1,1.8,,1.6,66,0.007,0.025,8,113.6,-0.017,1.1,0.8,0.007,0.2,,,,,,,,,0.6,,-0.038,0.0,
