,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HPI,4,2022,56.0,6.7,-127.9,,0.127,0.014,-2733,1,129,,597,4986,,,,,,0.123,,,0.1,0.5,0.5,-0.104,-265,,,0.07,0.1,0.0,-2.5,0.2,8.1,-956,0.176,0.026,-2861,,-0.744,0.1,1.0,,-0.4,,,,,,,,,7.1,,1.411,0.017,
1,HPI,3,2022,33.4,4.5,-308.3,,0.146,0.016,-5003,3,196,,667,4901,,,,,,0.115,,,0.1,0.4,0.4,0.162,-110,0.448,0.08,0.773,0.1,0.0,-6.5,0.2,8.7,-1154,0.054,0.008,-5195,,0.0,0.0,1.0,0.08,9.7,,,,,,,,,7.7,,-0.239,0.061,
2,HPI,2,2022,35.0,4.4,-149.4,,0.132,0.014,-5387,2,320,,574,4620,,,,,,0.108,,,0.1,0.4,0.4,0.56,-145,0.305,0.011,0.63,0.1,0.0,-5.1,0.1,9.2,-1166,0.061,0.013,-5704,,0.0,0.0,1.0,0.011,55.1,,,,,,,,,8.2,,-0.11,0.062,
3,HPI,1,2022,91.3,7.7,-108.5,,0.092,0.008,-6998,3,357,,368,4351,,,,,,0.102,,,0.1,0.4,0.4,-0.354,-162,0.187,,,0.2,0.0,-4.6,0.0,9.8,-1181,0.042,0.011,-7352,,0.0,0.0,,,0.5,,,,,,,,,8.8,,-0.167,-0.01,
4,HPI,4,2021,49.0,6.3,-72.3,,0.144,0.012,-3142,1,117,,569,4396,,,,,,0.104,,,0.1,0.4,0.4,-0.685,-195,0.283,,0.551,0.2,0.0,-13.1,0.1,9.6,-1182,2.544,0.464,-3259,,-0.002,0.1,1.0,,-2.7,,,,,,,,,8.6,,-1.233,0.036,
5,HPI,3,2021,13.2,5.6,,,0.569,0.037,-1694,1,71,,1808,4245,,,,,,0.102,,,0.1,0.4,0.4,-0.489,835,0.365,,0.703,0.2,0.0,3.4,0.1,9.8,-1160,2.537,,-1765,,-0.002,0.1,1.0,,-39.2,,,,,,,,,8.8,,-0.68,0.048,
6,HPI,2,2021,6.7,5.8,6.5,,1.67,0.072,-1144,1,77,,3539,4052,,,,,,0.097,,,0.1,0.4,0.4,-0.12,2607,0.337,,0.185,0.2,0.0,1.2,0.1,10.3,-1157,2.786,0.412,-1221,,-0.002,0.2,1.0,,-4.8,,,,,,,,,9.3,,-0.019,0.109,
7,HPI,1,2021,5.0,5.5,6.4,,0.414,0.079,-872,1,55,,4024,3654,,,,,,0.075,,,0.1,0.4,0.4,0.125,2657,0.044,,0.09,0.2,0.0,1.3,0.1,13.4,-1629,3.013,0.403,-926,,-0.039,0.2,1.0,,-1.3,,,,,,,,,12.4,,0.109,0.045,
8,HPI,4,2020,6.8,7.0,5.8,,0.366,0.067,-832,0,45,,3575,3497,,,,,,0.066,,,0.1,0.4,0.4,0.021,2397,0.438,0.366,0.526,1.3,0.1,2.3,0.7,15.1,-1545,4.12,0.588,-876,,-0.212,0.2,1.0,0.366,1.4,,,,,,,,,14.1,,-0.023,0.658,
9,HPI,3,2020,4.4,7.3,6.5,,0.416,0.063,-865,1,58,,3503,2109,,,,,,0.038,,,0.0,0.4,0.4,1.111,2454,0.69,0.633,0.688,2.4,0.1,2.8,0.6,26.3,-1629,7.025,0.572,-923,,-0.664,0.1,1.0,0.633,1.1,,,,,,,,,25.3,,2.557,10.354,
10,HPI,2,2020,8.7,78.1,,,0.224,0.03,-1100,1,63,,1659,185,,,,,,0.003,,,0.0,0.4,0.4,-0.379,690,0.118,0.027,0.4,29.4,0.1,10.0,0.6,305.7,-1675,27.648,,-1163,,-1.761,0.1,1.0,0.027,14.9,,,,,,,,,304.7,,-0.614,-0.988,
11,HPI,1,2020,5.6,1.0,4.9,,0.185,0.049,-499,0,30,,2672,15771,,,,,,0.295,,,0.4,0.6,0.6,-0.099,1788,,,,0.4,0.1,3.8,0.6,3.4,-823,0.953,0.852,-528,,-2.722,0.2,,,0.8,,,,,,,,,2.4,,-0.149,-0.018,
12,HPI,4,2019,4.7,0.9,4.4,,0.18,0.054,48,0,37,2329.0,2965,16061,,,,,,0.298,,,0.4,0.7,0.7,0.278,2101,0.502,0.43,0.554,0.4,0.1,3.3,0.4,3.4,-665,0.882,0.783,11,7.7,-2.665,0.2,1.1,0.43,1.4,,,,,,,,,2.4,,0.275,0.089,
13,HPI,3,2019,10.1,1.6,5.4,,0.149,0.042,33,0,22,,2320,14746,,,,,,0.265,,,0.4,0.7,0.7,-0.293,1648,0.258,0.005,0.119,0.6,0.2,4.6,0.7,3.8,-596,0.907,0.978,11,11.1,-3.627,0.3,1.0,0.005,25.7,,,,,,,,,2.8,,-0.414,0.008,
14,HPI,2,2019,4.1,0.9,6.6,,0.219,0.068,19,0,17,,3280,14627,,,,,,0.271,,,0.4,0.8,0.8,1.214,2811,0.24,0.197,0.27,0.6,0.2,2.9,0.4,3.7,-385,0.071,0.044,2,18.7,-2.938,0.4,1.0,0.197,1.4,,,,,,,,,2.7,,1.376,0.119,
15,HPI,1,2019,10.9,1.2,7.9,,0.103,0.03,21,0,13,,1481,13067,,,,,,0.239,,,0.3,0.6,0.6,-0.006,1183,0.116,-0.041,0.002,0.6,0.1,6.6,0.2,4.2,-834,0.852,0.852,8,17.0,-2.981,0.3,1.3,-0.041,0.0,,,,,,,,,3.2,,-0.033,-0.231,
16,HPI,4,2018,9.5,0.8,8.4,,0.088,0.031,20,0,22,,1489,16981,,,,,,0.303,,,0.4,0.6,0.6,0.063,1223,0.131,0.094,0.11,0.4,0.1,6.4,0.2,3.3,-710,0.654,0.798,-2,18.2,-5.506,0.3,1.3,0.094,1.5,,,,,,,,,2.3,,0.023,0.035,
17,HPI,3,2018,8.2,0.7,8.1,,0.086,0.03,22,0,28,,1401,16403,,,,,,0.305,,,0.4,0.7,0.7,1.137,1195,0.265,0.222,0.198,0.4,0.1,6.4,0.0,3.3,-405,0.636,0.779,-6,17.0,-8.648,0.2,1.2,0.222,1.1,,,,,,,,,2.3,,2.877,0.068,
18,HPI,2,2018,18.3,0.8,7.8,,0.042,0.016,26,0,40,,655,15363,,,,,,0.366,,,0.6,0.9,0.9,-0.368,308,-0.055,-0.127,-0.061,0.5,0.2,26.3,0.2,2.7,-88,0.131,0.179,-14,14.0,-10.381,0.2,1.0,-0.127,0.5,,,,,,,,,1.7,,-0.65,-0.016,
19,HPI,1,2018,13.4,0.9,15.4,,0.066,0.026,48,1,96,-29.6,1038,15614,,,,,,0.36,,,0.6,0.7,0.7,-0.317,880,0.34,-0.055,0.023,0.5,0.2,9.7,0.5,2.8,-260,0.334,0.492,-47,7.7,-11.094,0.1,1.2,-0.055,-0.5,,,,,,,,,1.8,,-0.407,-0.069,
