,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HPM,4,2022,2.5,1.2,2.2,,0.618,0.468,54.0,0,6,,5601,11837,,,,,,0.8,,,4.0,3.6,3.6,-0.195,6882,,,,0.1,0.1,0.1,,1.2,29,0.0,0.0,48.0,6.8,0.0,2.0,,,1.2,,,,,,,,,0.2,,-0.161,-0.092,
1,HPM,3,2022,3.5,1.9,,,0.726,0.564,57.0,0,4,,6959,13035,,,,,,0.833,,,5.0,4.2,4.2,1.601,8204,0.434,0.376,0.364,0.1,0.1,0.1,,1.2,32,0.0,,53.0,6.4,0.0,2.0,1.0,0.376,1.0,,,,,,,,,0.2,,1.102,0.512,
2,HPM,2,2022,7.4,2.3,,,0.366,0.156,39.0,147,179,,2676,8622,,,,,,0.338,,,0.5,1.2,0.8,31.162,3902,0.279,0.244,0.225,0.1,0.0,0.2,,3.0,15,0.003,,7.0,9.2,-0.024,0.7,1.0,0.244,0.9,,,,,,,,,2.0,,1.995,0.44,
3,HPM,1,2022,174.3,2.4,19.2,,0.014,0.009,-342.0,0,217,,83,5987,,,,,,0.657,,,1.9,0.7,0.7,-0.307,1303,,,,0.2,0.1,0.9,,1.5,-3,0.005,0.001,-559.0,,-0.029,0.1,,,2.6,,,,,,,,,0.5,,-0.06,-0.048,
4,HPM,4,2021,85.8,1.6,12.5,,0.019,0.014,-276.0,0,160,,120,6289,,,,,,0.689,,,2.2,0.8,0.8,-0.773,1386,0.907,0.73,0.439,0.2,0.1,0.8,,1.5,-2,0.0,0.0,-436.0,,-0.023,0.1,1.0,0.73,0.6,,,,,,,,,0.5,,0.352,0.026,
5,HPM,3,2021,21.7,1.9,,,0.09,0.061,-666.0,0,138,,530,6130,,,,,,0.68,,,2.1,0.7,0.7,2.595,1025,0.872,0.69,0.357,0.2,0.1,1.1,,1.5,-3,0.0,,-804.0,,-0.022,0.1,1.0,0.69,0.5,,,,,,,,,0.5,,0.667,0.022,
6,HPM,2,2021,79.3,1.9,,,0.025,0.017,-1390.0,0,202,,147,6000,,,,,,0.68,,,2.1,0.6,0.6,-1.614,615,0.834,0.618,0.115,0.2,0.1,1.9,,1.5,-4,0.0,,-1592.0,,0.0,0.0,1.0,0.618,0.2,,,,,,,,,0.5,,0.448,0.007,
7,HPM,1,2021,-48.7,2.0,,,-0.039,-0.028,-17102.0,5,334,,-240,5959,,,,,,0.695,,,2.3,0.5,0.5,-0.166,425,0.542,,,0.2,0.1,2.8,,1.4,-5,0.002,,-17430.0,,0.0,0.0,,,5.0,,,,,,,,,0.4,,0.925,-0.047,
8,HPM,4,2020,-44.8,2.1,61.6,,-0.044,-0.033,,1,47,,-288,6253,,,,,,0.756,,,3.1,0.4,0.4,-0.765,221,,,,0.2,0.1,5.2,,1.3,-4,0.003,0.002,,,0.0,0.0,1.0,,-4.4,,,,,,,,,0.3,,-5.43,0.1,
9,HPM,3,2020,-10.5,2.3,,,-0.189,-0.135,-61583.0,0,402,,-1225,5683,,,,,,0.671,,,2.0,0.3,0.3,-0.004,-50,,,,0.2,0.1,-18.9,,1.5,-7,0.002,,-61985.0,,0.0,0.0,,,1.3,,,,,,,,,0.5,,-0.61,-0.043,
10,HPM,2,2020,-10.5,2.2,,,-0.183,-0.133,-26291.0,0,316,,-1229,5936,,,,,,0.686,,,2.2,0.3,0.3,-0.14,-128,,,,0.2,0.1,-7.3,,1.5,-7,0.002,,-26607.0,,0.0,0.0,,,-16.3,,,,,,,,,0.5,,-0.798,-0.055,
11,HPM,1,2020,-9.0,2.1,-22.3,,-0.199,-0.15,-9889.0,0,145,,-1429,6282,,,,,,0.709,,,2.4,0.3,0.3,0.071,-631,,,,0.2,0.1,-0.9,,1.4,-6,0.001,0.0,-10035.0,,0.0,0.0,,,1.0,,,,,,,,,0.4,,0.157,-0.091,
12,HPM,4,2019,-9.7,1.9,-25.8,,-0.171,-0.131,1775.0,0,339,,-1334,6912,,,,,,0.732,,,2.7,0.5,0.5,-0.057,-546,-22.018,-45.091,-39.537,0.2,0.1,-1.1,,1.4,-5,0.001,0.0,1437.0,0.2,0.0,0.0,1.0,-45.091,0.9,,,,,,,,,0.4,,0.706,-0.05,
13,HPM,3,2019,-8.8,1.7,-42.6,,-0.173,-0.128,682.0,0,568,,-1416,7280,,,,,,0.75,,,3.0,0.5,0.5,-2.068,-320,-4.608,-22.183,-22.182,0.1,0.1,-1.1,,1.3,-5,0.0,0.0,114.0,0.5,0.0,0.0,1.0,-22.183,1.0,,,,,,,,,0.3,,0.75,-0.034,
14,HPM,2,2019,9.0,1.6,-52.3,,0.187,0.121,438.0,0,1292,,1325,7537,,,,,,0.762,,,3.2,0.5,0.5,0.036,-183,-10.41,-20.119,-22.266,0.1,0.1,-1.9,,1.3,-4,0.005,0.004,-853.0,0.8,0.0,0.1,1.0,-20.119,1.1,,,,,,,,,0.3,,0.157,-0.067,
15,HPM,1,2019,9.3,1.5,-75.3,,0.167,0.114,456.0,1,1589,,1278,8083,,,,,,0.796,,,3.9,0.6,0.6,0.172,-158,0.598,-0.955,-0.955,0.0,0.0,0.0,,1.3,-3,0.001,0.0,-1133.0,0.8,0.0,0.1,1.0,-0.955,1.0,,,,,,,,,0.3,,-0.547,-0.069,
16,HPM,4,2018,10.9,1.4,-33.9,,0.128,0.086,826.0,150,10485,,1091,8687,,,,,,0.791,,,3.8,0.8,0.8,-0.221,-349,0.547,-0.49,-1.423,0.0,0.0,0.0,,1.3,-2,0.0,0.0,-9509.0,0.4,0.0,0.1,1.0,-0.49,2.9,,,,,,,,,0.3,,-0.412,-0.049,
17,HPM,3,2018,8.5,1.3,-20.0,,0.159,0.109,849.0,173,38377,,1401,9135,,,,,,0.738,,,2.8,0.8,0.8,-1.866,-593,0.532,-0.47,9.913,0.0,0.0,0.0,,1.4,-2,0.007,0.005,-37355.0,0.4,0.0,0.0,1.0,-0.47,-21.1,,,,,,,,,0.4,,0.235,0.373,
18,HPM,2,2018,-7.2,1.7,-26.6,,-0.21,-0.124,2409.0,164,30250,,-1618,6651,,,,,,0.552,,,1.2,0.4,0.4,0.44,-480,-2.573,-10.679,-13.594,0.0,0.0,0.0,,1.8,-12,0.007,0.004,-27677.0,0.2,0.051,0.0,1.0,-10.679,1.3,,,,,,,,,0.8,,0.061,-0.082,
19,HPM,1,2018,-13.4,2.1,,,-0.14,-0.086,6187.0,13,2538,,-1123,7244,,,,,,0.593,,,1.5,0.4,0.4,0.231,-452,-1.896,-13.645,-13.644,0.0,0.0,0.0,,1.7,-11,0.003,,3662.0,0.1,0.008,0.0,1.0,-13.645,1.0,,,,,,,,,0.7,,0.063,-0.131,
20,HPM,4,2017,-22.6,2.5,-27.2,,-0.099,-0.061,6405.0,178,1695,,-912,8337,,,,,,0.58,,,1.4,0.7,0.7,-0.093,-426,-0.784,-11.067,-3.127,0.0,0.0,0.0,,1.7,-6,0.003,0.002,4888.0,0.1,0.0,0.0,1.0,-11.067,0.3,,,,,,,,,0.7,,0.308,-0.016,
21,HPM,3,2017,-19.7,2.3,,,-0.107,-0.074,9182.0,162,1186,,-1006,8476,,,,,,0.637,,,1.8,0.7,0.6,0.452,-326,-47.527,-132.008,-186.577,0.0,0.0,0.0,,1.6,-6,0.001,,8158.0,0.0,-0.881,0.0,1.0,-132.008,1.4,,,,,,,,,0.6,,-0.488,-0.033,
22,HPM,2,2017,-28.3,2.2,,,-0.072,-0.05,1353.0,128,1003,,-693,8766,,,,,,0.628,,,1.7,0.7,0.7,0.297,-636,,,,0.0,0.0,0.0,,1.6,-5,0.111,,478.0,0.3,-0.948,0.0,1.0,,-1.6,,,,,,,,,0.6,,1.976,-0.011,
23,HPM,1,2017,-35.7,2.2,,,-0.055,-0.036,504.0,23,1335,,-534,8864,,,,,,0.642,,,1.8,0.6,0.6,0.234,-214,0.124,-2.765,-2.764,0.0,0.0,0.0,,1.6,-7,0.006,,-809.0,0.7,-1.377,0.1,1.0,-2.765,1.0,,,,,,,,,0.6,,0.907,-0.125,
24,HPM,4,2016,-43.4,1.9,-174.1,,-0.042,-0.027,596.0,25,1295,,-433,10125,,,,,,0.657,,,1.9,0.9,0.9,5.882,-112,,,,0.0,0.0,0.3,,1.5,-2,0.084,0.044,-674.0,0.6,-1.363,0.1,1.0,,1.0,,,,,,,,,0.5,,-1.547,-0.023,
