,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HQC,4,2022,91.8,0.4,88.1,,0.004,0.002,386,1048,228,13.0,37,9145,,,,,,0.602,,,1.5,1.3,1.1,0.061,39,0.599,0.146,0.06,0.0,0.0,0.7,,1.7,865,0.007,0.02,1206,0.9,0.0,0.0,0.5,0.146,0.8,,,,,,,,,0.7,,0.055,0.0,
1,HQC,3,2022,100.5,0.4,70.5,,0.004,0.002,985,839,138,-4.5,35,9140,,,,,,0.599,,,1.5,1.3,1.1,0.002,37,0.324,,0.034,0.0,0.0,9.3,,1.7,839,0.008,0.029,1686,0.4,0.0,0.0,0.7,,-0.8,,,,,,,,,0.7,,-0.258,0.0,
2,HQC,2,2022,108.2,0.4,46.7,,0.004,0.002,991,859,123,1.1,35,9138,,,,,,0.595,,,1.5,1.3,1.1,1.092,50,0.182,0.072,0.068,0.0,0.0,6.9,,1.7,841,0.008,0.031,1727,0.4,-0.011,0.0,0.7,0.072,1.3,,,,,,,,,0.7,,0.005,0.002,
3,HQC,1,2022,510.2,1.0,102.0,,0.002,0.001,390,1021,130,0.7,17,9117,,,,,,0.459,,,0.8,0.9,0.8,0.951,50,0.276,0.063,0.078,0.0,0.0,7.1,,2.2,-281,0.008,0.015,1282,0.9,-0.008,0.0,0.8,0.063,1.5,,,,,,,,,1.2,,-0.119,0.001,
4,HQC,4,2021,1006.9,1.0,115.1,,0.001,0.001,382,972,132,0.9,8,9107,,,,,,0.465,,,0.9,0.9,0.8,-0.011,56,0.276,0.057,0.015,0.0,0.0,6.3,,2.1,-281,0.007,0.011,1221,1.0,-0.017,0.0,0.5,0.057,0.6,,,,,,,,,1.1,,-0.276,0.0,
5,HQC,3,2021,399.4,0.4,91.3,,0.001,0.001,1864,932,155,0.5,8,9105,,,,,,0.607,,,1.5,1.3,1.1,-0.028,78,0.296,0.148,0.034,0.1,0.0,8.7,,1.6,857,0.008,0.011,2641,0.2,-0.016,0.0,0.8,0.148,0.3,,,,,,,,,0.6,,-0.087,0.0,
6,HQC,2,2021,422.3,0.4,69.9,,0.001,0.001,1548,678,111,1.0,9,9103,,,,,,0.609,,,1.6,1.3,1.1,-0.392,85,0.226,0.1,0.01,0.1,0.0,8.0,,1.6,857,0.007,0.011,2115,0.2,-0.021,0.1,0.4,0.1,0.2,,,,,,,,,0.6,,-0.236,0.0,
7,HQC,1,2021,211.9,0.3,34.0,,0.002,0.001,1248,575,98,0.7,14,9100,,,,,,0.615,,,1.6,1.3,1.1,-0.257,111,0.281,0.096,0.014,0.1,0.0,6.2,,1.6,859,0.007,0.021,1725,0.3,-0.137,0.1,0.8,0.096,0.2,,,,,,,,,0.6,,-0.052,0.0,
8,HQC,4,2020,95.8,0.2,34.2,,0.002,0.001,1090,531,128,1.1,20,9098,,,,,,0.622,,,1.6,1.3,1.1,-0.486,117,0.301,0.178,0.015,0.1,0.0,5.9,,1.6,864,0.007,0.018,1493,0.3,-0.118,0.1,,0.178,-0.1,,,,,,,,,0.6,,-0.18,0.0,
9,HQC,3,2020,43.2,0.2,18.8,,0.004,0.003,1046,386,101,0.9,39,9096,,,,,,0.628,,,1.7,1.9,1.6,-0.323,143,0.207,0.058,0.009,0.1,0.0,5.0,0.8,1.6,2041,0.007,0.032,1331,0.3,-0.287,0.1,0.8,0.058,0.2,,,,,,,,,0.6,,-0.249,0.0,
10,HQC,2,2020,28.0,0.2,11.8,,0.006,0.004,1082,380,46,1.5,57,9094,,,,,,0.643,,,1.8,2.1,1.8,-0.199,191,0.236,0.114,0.02,0.1,0.0,3.8,0.8,1.6,2373,0.009,0.048,1417,0.3,-0.086,0.1,0.6,0.114,0.3,,,,,,,,,0.6,,-0.17,0.001,
