,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HSI,4,2015,-1.6,-2.7,94.0,,12.602,-0.051,136,121,34,-2.1,-2166,-1250,,,,,,-0.032,,,0.0,1.3,0.8,-0.418,321.0,0.058,-0.013,0.001,-28.2,0.8,98.1,0.5,-31.7,59,-0.734,0.995,223,2.7,-0.087,1.0,-0.2,-0.013,0.0,,,,,,,,,-37.5,,-2.647,-0.126,
1,HSI,3,2015,-0.4,-1.0,-160.3,,-6.213,-0.086,146,113,18,2.2,-3721,-1430,,,,,,-0.037,,,0.0,1.1,0.7,-0.188,-195.0,0.122,0.07,0.042,-24.4,0.8,-166.2,0.7,-26.7,27,-0.653,0.513,241,2.5,-0.096,1.0,1.0,0.07,0.6,,,,,,,,,-31.2,,-0.828,-0.175,
2,HSI,2,2015,-0.3,-0.9,-28.2,,-6.24,-0.1,151,132,30,0.4,-4581,-1734,,,,,,-0.043,,,0.0,1.1,0.6,-0.054,-1135.0,0.055,0.024,-0.028,-20.3,0.8,-29.5,0.7,-23.0,23,-0.413,0.461,254,2.4,-0.094,0.9,1.0,0.024,-1.2,,,,,,,,,-26.6,,-0.146,0.3,
3,HSI,1,2015,-0.5,-1.7,-24.1,,-3.78,-0.097,142,198,42,-1.3,-4841,-1334,,,,,,-0.027,,,0.0,0.7,0.3,0.05,-1329.0,-0.042,-0.074,-0.136,-27.3,0.6,-25.1,,-36.6,-155,-0.71,0.41,297,2.6,-0.078,0.8,1.0,-0.074,1.8,,,,,,,,,-43.9,,-0.019,-2.933,
4,HSI,4,2014,,,-24.0,,-1.364,-0.088,191,265,44,-0.6,-4610,690,,,,,,0.015,,,0.0,0.7,0.3,-0.366,-1354.0,-0.022,-0.122,-0.317,36.7,0.7,-26.8,,66.8,-127,0.48,,412,1.9,-0.043,0.6,1.0,-0.122,2.6,,,,,,,,,49.7,,-0.648,-0.688,
5,HSI,3,2014,,,-10.0,,-1.162,-0.126,178,254,27,-0.1,-7278,2211,,,,,,0.046,,,0.1,0.8,0.4,-0.052,-3852.0,0.045,-0.011,-0.088,14.2,0.7,-10.2,,21.7,-111,0.222,0.182,405,2.1,-0.064,0.6,1.0,-0.011,7.9,,,,,,,,,18.5,,0.063,-0.199,
6,HSI,2,2014,,,-10.8,,-1.092,-0.124,172,246,43,0.2,-7674,2761,,,,,,0.054,,,0.1,0.8,0.4,-0.034,-3623.0,0.053,0.013,-0.055,12.1,0.7,-11.3,,18.6,-108,0.163,0.149,374,2.1,-0.095,0.6,1.0,0.013,-4.2,,,,,,,,,15.9,,0.049,-0.193,
7,HSI,1,2014,,,-12.5,,-1.014,-0.127,108,227,23,-0.9,-7946,3419,,,,,,0.067,,,0.1,0.8,0.3,0.083,-3453.0,-0.08,-0.137,-0.287,9.9,0.7,-12.2,,14.9,-104,0.093,0.086,312,3.4,-0.126,0.8,1.0,-0.137,2.1,,,,,,,,,12.7,,0.412,-0.388,
8,HSI,4,2013,,,-19.7,,-0.762,-0.103,128,259,39,-2.8,-7338,5589,,,,,,0.094,,,0.1,0.8,0.3,1.788,-2446.0,-0.041,-0.31,-0.418,6.9,0.7,-18.7,,10.6,-87,0.068,0.087,348,2.9,-0.137,0.7,1.0,-0.31,1.4,,,,,,,,,9.1,,-2.033,-0.428,
9,HSI,3,2013,,,20.6,,-0.229,-0.033,86,214,30,0.1,-2632,9770,,,,,,0.144,,,0.2,0.9,0.4,0.129,2367.0,0.049,0.014,-0.085,4.4,0.7,20.1,,6.9,-39,0.063,0.144,270,4.2,-0.165,1.0,1.0,0.014,-6.3,,,,,,,,,5.7,,-0.222,-0.085,
10,HSI,2,2013,,,17.3,,-0.189,-0.033,82,146,17,0.2,-2330,10672,,,,,,0.147,,,0.2,1.0,0.4,1.005,3041.0,0.032,0.015,-0.041,4.2,0.6,13.4,,6.8,-29,0.095,0.202,211,4.5,-0.24,1.2,1.0,0.015,-2.7,,,,,,,,,5.6,,-0.374,-0.083,
11,HSI,1,2013,,,11.6,,-0.092,-0.015,70,184,12,0.1,-1162,11640,,,,,,0.157,,,0.2,1.0,0.3,-26.476,4857.0,0.066,0.019,-0.155,4.0,0.7,9.5,,6.4,-16,0.041,0.093,242,5.2,-0.206,1.2,1.0,0.019,-8.1,,,,,,,,,5.2,,-0.251,-0.11,
