,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HTG,4,2022,3.9,1.2,4.1,,0.363,0.111,21,72,23,7.7,8793,28063,,,,,,0.352,,,0.6,1.3,0.5,-0.132,16542,0.117,0.06,0.05,0.9,0.3,1.9,2.0,2.8,372,0.028,0.024,70,17.1,-0.199,2.2,0.8,0.06,1.1,,,,,,,,,1.7,,-0.075,0.075,
1,HTG,3,2022,2.8,1.1,3.9,,0.468,0.131,17,53,16,14.9,10128,26113,,,,,,0.306,,,0.5,1.2,0.7,0.084,17874,0.116,0.062,0.052,1.1,0.3,1.8,2.1,3.3,345,0.167,0.131,53,21.5,-0.232,2.2,0.8,0.062,1.0,,,,,,,,,2.1,,0.061,0.1,
2,HTG,2,2022,4.1,1.6,4.1,,0.481,0.125,13,64,24,14.3,9345,23728,,,,,,0.283,,,0.4,1.2,0.6,0.168,16848,0.12,0.06,0.049,1.2,0.4,1.9,2.1,3.5,285,0.042,0.036,53,28.8,-0.17,2.2,0.8,0.06,1.1,,,,,,,,,2.3,,-0.013,0.038,
3,HTG,1,2022,5.3,1.8,5.1,,0.415,0.122,14,47,15,18.7,8002,22857,,,,,,0.312,,,0.5,1.2,0.8,0.276,17078,0.116,0.063,0.054,1.2,0.4,2.0,1.8,3.2,285,0.042,0.027,46,25.7,-0.154,2.3,0.8,0.063,1.1,,,,,,,,,2.0,,0.177,0.119,
4,HTG,4,2021,4.1,1.2,7.0,,0.354,0.092,12,73,27,23.3,6270,20430,,,,,,0.261,,,0.4,1.2,0.5,0.737,14514,0.146,0.089,0.083,1.3,0.4,2.3,1.8,3.8,231,0.09,0.039,58,31.3,-0.122,1.9,0.9,0.089,1.1,,,,,,,,,2.6,,0.33,0.193,
5,HTG,3,2021,5.2,1.1,6.6,,0.229,0.057,8,56,26,11.6,3610,17131,,,,,,0.246,,,0.4,1.1,0.7,0.457,10912,0.103,0.044,0.043,1.5,0.4,2.9,1.7,4.1,136,0.078,0.052,38,48.0,-0.093,1.8,0.8,0.044,1.1,,,,,,,,,2.8,,0.1,0.13,
6,HTG,2,2021,6.1,1.0,6.9,,0.171,0.04,2,78,31,5.4,2477,15155,,,,,,0.232,,,0.3,1.0,0.5,0.315,9922,0.098,0.03,0.025,1.7,0.4,3.2,1.6,4.3,56,0.115,0.074,49,150.4,-0.079,1.7,0.7,0.03,1.1,,,,,,,,,3.0,,0.106,-0.035,
7,HTG,1,2021,8.7,1.0,5.5,,0.119,0.033,7,61,24,6.2,1884,15701,,,,,,0.273,,,0.4,1.1,0.6,-0.07,8970,0.101,0.035,0.029,1.5,0.4,3.5,1.3,3.7,64,0.164,0.197,44,51.4,-0.098,1.8,0.9,0.035,1.0,,,,,,,,,2.4,,-0.079,0.046,
8,HTG,4,2020,6.5,0.9,4.7,,0.134,0.035,3,69,28,4.8,2027,15011,,,,,,0.257,,,0.4,1.0,0.5,-0.214,9743,0.091,0.028,0.024,1.4,0.4,3.0,1.1,3.9,16,0.092,0.101,44,124.0,-0.142,1.8,0.9,0.028,1.0,,,,,,,,,2.7,,-0.088,0.044,
9,HTG,3,2020,4.9,0.9,4.5,,0.182,0.045,3,53,24,3.3,2580,14372,,,,,,0.254,,,0.4,1.0,0.5,-0.174,10685,0.075,0.018,0.016,1.3,0.4,2.8,0.7,3.9,8,0.088,0.081,33,108.1,-0.178,2.0,0.9,0.018,1.0,,,,,,,,,2.7,,-0.057,0.034,
10,HTG,2,2020,4.5,1.0,4.0,,0.231,0.05,0,66,24,-0.2,3122,13904,,,,,,0.239,,,0.3,1.0,0.3,-0.212,11330,0.061,,0.004,1.4,0.4,3.2,0.8,4.2,-14,0.041,0.048,43,3947.7,-0.192,2.0,0.7,,-2.3,,,,,,,,,2.9,,-0.183,-0.132,
11,HTG,1,2020,2.5,0.6,3.3,,0.257,0.066,5,49,17,5.6,3963,16010,,,,,,0.283,,,0.4,1.1,0.5,-0.223,13860,0.091,0.038,0.026,1.3,0.4,2.6,0.8,3.5,53,0.096,0.127,37,72.1,-0.2,2.3,0.9,0.038,0.8,,,,,,,,,2.3,,0.02,-0.169,
12,HTG,4,2019,3.2,0.9,3.9,,0.276,0.064,19,66,23,5.1,5103,19266,,,,,,0.257,,,0.4,1.0,0.4,0.139,13587,0.092,0.038,0.035,1.3,0.4,2.6,0.7,3.9,36,0.063,0.068,62,19.1,-0.148,2.3,1.1,0.038,1.0,,,,,,,,,2.7,,0.02,0.085,
13,HTG,3,2019,3.7,0.9,4.0,,0.259,0.056,28,49,16,3.6,4478,17753,,,,,,0.241,,,0.3,1.1,0.5,0.033,13316,0.076,0.028,0.027,1.7,0.4,3.0,0.8,4.1,56,0.077,0.072,61,13.1,-0.119,2.2,1.0,0.028,1.0,,,,,,,,,2.9,,-0.065,0.066,
14,HTG,2,2019,3.9,1.0,4.5,,0.269,0.05,31,62,23,3.4,4335,16651,,,,,,0.2,,,0.3,1.0,0.4,0.041,14243,0.085,0.034,0.027,2.4,0.5,3.4,1.5,5.0,15,0.064,0.059,71,11.7,-0.115,2.1,1.0,0.034,0.8,,,,,,,,,3.7,,0.051,-0.117,
15,HTG,1,2019,3.9,0.9,4.7,,0.228,0.053,27,46,13,3.3,4165,18856,,,,,,0.236,,,0.3,1.1,0.5,0.037,13547,0.075,0.029,0.025,2.1,0.5,3.3,1.3,4.2,63,0.043,0.044,60,13.4,-0.125,2.3,0.9,0.029,0.8,,,,,,,,,3.0,,-0.002,0.064,
16,HTG,4,2018,4.1,0.9,5.3,,0.234,0.048,20,67,20,2.7,4018,17714,,,,,,0.21,,,0.3,1.0,0.3,-0.125,13578,0.09,0.031,0.021,2.1,0.5,3.3,1.2,4.8,16,0.056,0.048,68,17.9,-0.2,2.2,1.0,0.031,0.7,,,,,,,,,3.5,,-0.024,0.056,
17,HTG,3,2018,3.4,0.9,5.1,,0.287,0.054,31,49,16,4.7,4594,16773,,,,,,0.194,,,0.3,1.0,0.5,-0.029,13914,0.088,0.041,0.022,2.4,0.5,3.6,1.3,5.1,17,0.075,0.067,65,11.6,-0.209,2.2,1.2,0.041,0.6,,,,,,,,,3.6,,0.096,0.073,
18,HTG,2,2018,3.1,0.9,3.4,,0.32,0.053,31,64,25,3.8,4730,15633,,,,,,0.175,,,0.2,1.0,0.4,0.151,12697,0.09,0.037,0.022,2.8,0.5,4.3,1.4,5.7,-24,0.089,0.108,70,11.7,-0.21,2.0,1.2,0.037,0.7,,,,,,,,,4.1,,0.113,-0.113,
19,HTG,1,2018,3.6,0.8,5.6,,0.245,0.051,32,45,15,3.8,4111,17618,,,,,,0.229,,,0.3,1.0,0.5,0.216,11408,0.082,0.03,0.021,2.2,0.6,4.4,1.1,4.4,23,0.058,0.062,61,11.6,-0.228,2.2,1.1,0.03,0.8,,,,,,,,,3.0,,-0.042,0.055,
20,HTG,4,2017,3.9,0.8,6.8,,0.225,0.041,27,63,21,4.7,3380,16692,,,,,,0.201,,,0.3,1.0,0.4,0.194,11913,0.108,0.047,0.037,2.5,0.5,4.7,1.3,5.0,46,0.069,0.064,69,13.3,-0.235,2.0,1.1,0.047,0.9,,,,,,,,,3.5,,0.024,0.096,
21,HTG,3,2017,4.3,0.8,6.8,,0.205,0.036,31,49,16,2.6,2832,15226,,,,,,0.183,,,0.3,1.1,0.6,0.114,11630,0.078,0.02,0.026,2.9,0.6,4.8,1.3,5.5,52,0.133,0.12,64,11.7,-0.369,2.1,1.1,0.02,1.5,,,,,,,,,3.9,,0.026,0.091,
22,HTG,2,2017,6.1,1.1,7.6,,0.201,0.031,33,66,24,1.2,2543,13951,,,,,,0.155,,,0.2,1.0,0.5,-0.169,11333,0.087,0.014,0.01,3.6,0.6,5.2,1.5,6.5,-12,0.081,0.074,75,10.9,-0.463,1.8,0.9,0.014,0.6,,,,,,,,,4.8,,-0.028,-0.127,
