,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HTL,4,2022,5.0,0.8,4.7,,0.181,0.113,53,71,19,22.8,3294,19598,,,,,,0.658,,,1.9,2.4,0.6,-0.103,2937,0.111,0.047,0.049,0.1,0.1,0.8,,1.5,171,0.128,0.151,104,6.9,-0.071,3.0,0.8,0.047,1.3,,,,,,,,,0.5,,-0.154,0.054,
1,HTL,3,2022,5.0,1.0,3.8,,0.21,0.119,44,70,13,,3674,18600,,,,,,0.64,,,1.8,2.3,0.7,0.319,3473,0.089,0.028,0.042,0.0,0.0,1.4,,1.6,158,0.151,0.176,102,8.3,-0.029,3.2,0.8,0.028,1.8,,,,,,,,,0.6,,0.298,0.045,
2,HTL,2,2022,6.6,1.0,4.7,,0.162,0.09,50,78,34,122.5,2786,17793,,,,,,0.64,,,1.8,2.2,0.8,0.355,2676,0.083,0.034,0.048,0.0,0.0,0.7,,1.6,146,0.198,0.22,94,7.4,-0.03,2.7,0.8,0.034,1.8,,,,,,,,,0.6,,0.259,0.042,
3,HTL,1,2022,10.0,1.2,8.6,,0.124,0.073,49,62,23,144.3,2056,17070,,,,,,0.604,,,1.5,2.0,0.9,-0.092,2125,0.057,0.009,0.013,0.0,0.0,0.7,,1.7,138,0.209,0.169,88,7.4,0.009,2.8,0.8,0.009,1.8,,,,,,,,,0.7,,-0.061,0.017,
4,HTL,4,2021,8.8,1.2,13.4,,0.14,0.077,49,69,30,18.5,2263,16792,,,,,,0.588,,,1.4,2.0,0.9,0.229,2261,0.086,0.048,0.044,0.1,0.1,1.0,,1.7,133,0.274,0.214,88,7.4,0.011,2.6,0.8,0.048,1.1,,,,,,,,,0.7,,0.3,0.022,
5,HTL,3,2021,10.8,1.2,,,0.111,0.063,55,93,14,-22.4,1842,16437,,,,,,0.505,,,1.0,1.7,0.5,-0.362,1740,0.061,,,0.6,0.3,3.1,,2.0,127,0.079,,134,6.6,-0.095,2.4,,,0.3,,,,,,,,,1.0,,-0.142,-0.005,
6,HTL,2,2021,5.9,1.0,12.7,,0.179,0.093,43,85,37,16.7,2887,16518,,,,,,0.481,,,0.9,1.6,0.5,0.086,2027,0.074,0.013,0.023,0.2,0.1,1.0,,2.1,126,0.103,0.072,91,8.4,-0.102,2.5,0.8,0.013,2.2,,,,,,,,,1.1,,0.112,0.031,
7,HTL,1,2021,6.8,1.1,9.0,,0.166,0.098,46,72,34,21.5,2659,16025,,,,,,0.567,,,1.3,1.8,0.8,0.311,1823,0.084,0.018,0.027,0.1,0.1,0.9,,1.8,119,0.165,0.157,85,7.9,-0.079,2.6,0.8,0.018,1.8,,,,,,,,,0.8,,0.588,0.027,
8,HTL,4,2020,7.3,1.0,21.4,,0.128,0.066,50,87,45,48.0,2028,15599,,,,,,0.519,,,1.1,1.7,0.7,0.873,1148,0.088,0.036,0.036,0.2,0.1,2.5,,1.9,112,0.307,0.214,91,7.4,-0.078,2.1,0.8,0.036,1.2,,,,,,,,,0.9,,2.061,-0.066,
9,HTL,3,2020,11.6,0.8,44.9,,0.066,0.04,60,102,30,116.4,1083,16699,,,,,,0.639,,,1.8,2.2,0.6,0.648,375,0.089,0.014,0.078,0.0,0.0,4.0,,1.6,128,0.133,0.12,132,6.1,-0.033,2.1,0.8,0.014,6.7,,,,,,,,,0.6,,-0.562,0.061,
