,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HTM,4,2022,-140.7,1.4,-18650.0,,-0.01,-0.007,660,63,38,-0.6,-101,10144,,,,,,0.759,,,3.3,3.2,3.0,4.06,-1,0.323,,,0.2,0.2,-2532.5,1.0,1.3,682,0.015,0.01,685,0.6,-0.053,0.1,,,2.4,,,,,,,,,0.3,,-0.966,-0.008,
1,HTM,3,2022,-831.5,1.6,-655.6,,-0.002,-0.001,573,76,43,-0.4,-20,10228,,,,,,0.755,,,3.2,2.7,2.6,-0.605,-26,0.318,,0.064,0.2,0.2,-88.6,1.1,1.3,655,0.032,0.022,606,0.6,-0.078,0.1,1.0,,-1.2,,,,,,,,,0.3,,-0.51,0.002,
2,HTM,2,2022,-381.7,1.9,-334.1,,-0.005,-0.004,535,46,27,-0.7,-50,10203,,,,,,0.75,,,3.1,2.6,2.4,0.045,-53,0.274,,,0.2,0.2,-42.4,1.2,1.3,620,0.015,0.01,554,0.7,-0.084,0.2,,,0.3,,,,,,,,,0.3,,-0.255,-0.002,
3,HTM,1,2022,-445.6,2.1,-293.4,,-0.005,-0.003,499,41,30,-0.9,-48,10225,,,,,,0.737,,,2.9,2.8,2.6,2.601,-71,0.22,,,0.2,0.2,-34.0,0.9,1.4,691,0.017,0.009,511,0.7,-0.062,0.2,,,0.7,,,,,,,,,0.3,,0.057,-0.002,
4,HTM,4,2021,-1384.5,1.8,-288.3,,-0.001,-0.001,461,35,25,-0.7,-13,10243,,,,,,0.744,,,3.0,3.0,2.9,-20.043,-67,0.197,,,0.2,0.2,-34.7,0.8,1.3,727,0.025,0.015,470,0.8,-0.075,0.2,,,0.1,,,,,,,,,0.3,,0.249,0.0,
5,HTM,3,2021,27914.8,1.9,-405.0,,0.0,0.0,419,42,23,-0.7,0,10245,,,,,,0.723,,,2.7,2.6,2.4,-1.149,-54,0.206,,,0.2,0.2,-45.9,1.0,1.4,719,0.023,0.012,437,0.9,-0.07,0.2,,,0.2,,,,,,,,,0.4,,0.035,-0.001,
6,HTM,2,2021,-3160.4,1.5,-414.5,,0.0,0.0,401,21,19,-1.3,-4,10251,,,,,,0.746,,,3.0,3.3,3.1,0.002,-52,0.17,,,0.2,0.2,-48.4,0.8,1.3,781,0.018,0.009,403,0.9,-0.068,0.2,,,0.2,,,,,,,,,0.3,,1.227,-0.003,
7,HTM,1,2021,-2979.7,1.4,-877.5,,0.0,0.0,328,27,24,-0.8,-4,10280,,,,,,0.734,,,2.9,3.5,3.4,-1.222,-23,0.187,,0.004,0.2,0.2,-120.6,0.6,1.4,838,0.008,0.005,331,1.1,-0.074,0.3,1.3,,-0.1,,,,,,,,,0.4,,3.125,-0.001,
8,HTM,4,2020,583.2,1.2,-2653.8,,0.002,0.001,265,22,22,-0.9,21,10293,,,,,,0.739,,,2.9,3.6,3.5,-0.951,-6,0.162,,0.012,0.2,0.2,-486.9,0.5,1.4,833,0.008,0.006,265,1.4,-0.072,0.3,1.5,,-0.2,,,,,,,,,0.3,,-1.16,0.001,
9,HTM,3,2020,25.1,1.1,394.1,,0.043,0.027,221,29,29,-0.8,432,10282,,,,,,0.726,,,2.7,3.3,3.2,-0.106,35,0.15,,,0.2,0.2,88.2,0.6,1.4,857,0.02,0.018,221,1.7,-0.047,0.3,,,0.3,,,,,,,,,0.4,,-0.827,-0.001,
10,HTM,2,2020,22.9,1.1,64.7,,0.048,0.03,183,23,18,-0.5,484,10295,,,,,,0.699,,,2.4,2.8,2.8,-0.093,204,0.131,,,0.3,0.2,15.8,0.8,1.4,885,0.036,0.035,188,2.0,-0.022,0.4,,,0.5,,,,,,,,,0.4,,0.296,-0.021,
11,HTM,1,2020,20.0,1.0,84.9,,0.052,0.032,109,21,15,-0.5,533,10515,,,,,,0.688,,,2.3,1.7,1.7,-0.003,157,0.127,,0.02,0.3,0.2,24.8,52.9,1.5,627,0.035,0.035,115,3.4,-0.053,0.5,1.0,,-1.1,,,,,,,,,0.4,,-0.393,-0.006,
12,HTM,4,2019,31.0,1.6,57.3,,0.052,0.031,79,25,27,0.2,535,10576,,,,,,0.685,,,2.2,1.7,1.6,2.784,259,0.152,0.005,0.261,0.3,0.2,14.8,49.2,1.5,589,0.048,0.045,77,4.6,-0.048,0.6,1.2,0.005,71.4,,,,,,,,,0.5,,0.006,0.059,
