,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HTN,4,2022,12.2,0.7,10.8,,0.059,0.011,62,96,103,0.1,983,16444,,,,,,0.162,,,0.2,1.1,0.9,-0.62,3611,0.031,0.005,,1.7,0.3,7.0,,6.2,901,0.056,0.078,55,5.9,-0.04,0.7,,0.005,-6.0,,,,,,,,,5.1,,-0.471,-0.094,
1,HTN,3,2022,9.8,1.4,8.0,,0.152,0.031,50,68,72,0.9,2586,18142,,,,,,0.191,,,0.2,1.2,1.0,-0.077,6823,0.085,0.052,0.003,1.5,0.3,4.7,,5.2,1031,0.052,0.062,46,7.3,-0.044,0.9,0.6,0.052,0.1,,,,,,,,,4.2,,0.052,0.002,
2,HTN,2,2022,10.1,1.6,9.7,,0.166,0.032,52,66,74,2.7,2801,18105,,,,,,0.182,,,0.2,1.1,1.0,0.015,6487,0.108,0.087,0.049,1.8,0.3,5.6,,5.5,1050,0.14,0.139,44,7.0,-0.041,0.9,0.8,0.087,0.7,,,,,,,,,4.4,,0.087,0.048,
3,HTN,1,2022,19.0,3.0,13.1,,0.173,0.035,50,64,61,1.8,2759,17272,,,,,,0.191,,,0.2,1.2,1.0,0.021,5968,0.083,0.06,0.029,1.6,0.3,5.5,,5.2,988,0.118,0.06,52,7.4,-0.046,0.9,0.8,0.06,0.6,,,,,,,,,4.2,,-0.095,0.029,
4,HTN,4,2021,15.6,2.5,14.0,,0.192,0.037,43,70,61,3.5,2704,16790,,,,,,0.197,,,0.3,1.2,1.0,0.205,6596,0.071,0.056,0.037,1.3,0.3,4.5,,5.1,947,0.281,0.109,52,8.6,-0.019,0.9,0.8,0.056,0.8,,,,,,,,,4.0,,-0.214,0.059,
5,HTN,3,2021,10.5,1.5,17.2,,0.165,0.035,71,118,70,0.8,2244,15853,,,,,,0.222,,,0.3,1.2,0.9,-0.461,8395,0.08,0.047,0.034,1.4,0.3,4.7,2506.3,4.5,856,0.192,0.065,119,5.1,-2.525,0.8,0.8,0.047,0.9,,,,,,,,,3.4,,-0.45,0.016,
6,HTN,2,2021,5.1,1.4,8.5,,0.335,0.061,49,115,72,2.5,4160,15602,,,,,,0.213,,,0.3,1.2,0.9,0.285,15267,0.085,0.069,0.049,1.5,0.3,2.7,1356.1,4.7,827,0.122,0.051,92,7.4,-2.479,0.9,0.8,0.069,0.9,,,,,,,,,3.6,,0.223,0.063,
7,HTN,1,2021,7.6,1.7,7.6,,0.27,0.049,61,140,106,1.8,3238,14678,,,,,,0.221,,,0.3,1.2,0.9,-0.204,12487,0.089,0.068,0.033,1.5,0.3,3.3,863.1,4.5,774,0.086,0.058,95,6.0,-2.48,0.8,0.8,0.068,0.6,,,,,,,,,3.4,,-0.345,0.297,
8,HTN,4,2020,4.7,1.7,5.2,,0.42,0.069,44,146,108,3.0,4067,11316,,,,,,0.186,,,0.2,1.1,0.8,-0.105,19051,0.151,0.094,0.055,1.6,0.3,2.1,519.8,5.4,488,0.119,0.058,83,8.2,-7.374,0.9,0.8,0.094,0.7,,,,,,,,,4.2,,-0.114,-0.007,
9,HTN,3,2020,2.3,0.9,4.2,,0.493,0.085,53,130,64,10.5,4542,11395,,,,,,0.198,,,0.3,1.2,0.9,0.789,21506,0.243,0.176,0.107,1.2,0.3,1.7,3.3,5.0,917,0.165,0.106,120,6.8,-0.395,1.0,0.8,0.176,0.8,,,,,,,,,3.9,,0.726,0.235,
10,HTN,2,2020,3.0,0.8,5.2,,0.315,0.046,58,175,61,0.2,2538,9227,,,,,,0.144,,,0.2,1.2,0.8,-0.202,12457,0.051,0.009,0.0,1.5,0.2,3.0,3.2,6.9,709,0.269,0.235,171,6.3,-0.411,0.8,0.1,0.009,0.4,,,,,,,,,5.8,,-0.171,-0.009,
11,HTN,1,2020,2.0,0.7,3.6,,0.394,0.058,58,157,59,8.8,3179,9314,,,,,,0.143,,,0.2,1.2,0.8,0.506,15028,0.257,0.185,0.106,1.6,0.2,2.5,3.4,7.0,769,0.359,0.503,156,6.3,-0.276,0.9,0.8,0.185,0.8,,,,,,,,,5.8,,0.501,0.154,
12,HTN,4,2019,6.4,1.7,3.7,,0.287,0.042,149,174,76,6.2,2111,8071,,,,,,0.14,,,0.2,1.1,0.7,0.181,10011,0.133,0.104,0.078,1.4,0.2,3.2,170.7,7.2,621,0.419,0.55,247,2.5,-0.067,0.8,1.3,0.104,1.0,,,,,,,,,6.0,,-0.042,0.146,
13,HTN,3,2019,7.4,1.9,4.2,,0.267,0.038,130,141,38,1.9,1787,7041,,,,,,0.142,,,0.2,1.1,0.7,-0.136,10445,0.076,0.049,0.019,1.5,0.2,3.3,266.7,7.1,485,0.648,0.689,233,2.8,-0.167,0.9,1.3,0.049,0.5,,,,,,,,,5.9,,-0.065,0.024,
14,HTN,2,2019,6.7,2.0,4.4,,0.323,0.049,116,130,35,5.8,2068,6877,,,,,,0.147,,,0.2,1.1,0.8,-0.02,11170,0.089,0.074,0.049,1.7,0.3,3.3,215.6,6.8,470,0.585,0.632,210,3.2,-0.655,1.0,1.2,0.074,0.8,,,,,,,,,5.6,,-0.017,0.01,
