,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HTT,4,2022,-1.7,0.1,-10.3,,-0.082,-0.052,-2219,,159,0.1,-590,6787,,,,,,0.625,,,1.7,0.4,0.4,0.134,-244,0.404,0.052,,0.2,0.1,-6.3,,1.6,-52,0.003,0.017,,,0.0,0.0,,0.052,-7.2,,,,,,,,,0.6,,-0.377,-0.013,
1,HTT,3,2022,-3.1,0.2,-7.2,,-0.071,-0.046,-3515,,197,,-521,6877,,,,,,0.62,,,1.6,0.4,0.4,0.066,-392,,,,0.2,0.1,-3.9,,1.6,-52,0.003,0.014,,,0.0,0.0,,,1.0,,,,,,,,,0.6,,0.403,-0.019,
2,HTT,2,2022,-3.1,0.2,-10.4,,-0.066,-0.042,-1579,,79,-1.9,-489,7007,,,,,,0.629,,,1.7,0.3,0.3,1.241,-280,,,,0.2,0.1,-6.1,,1.6,-55,0.003,0.015,,,-1.795,0.0,,,1.8,,,,,,,,,0.6,,1.612,-0.048,
3,HTT,1,2022,-12.4,0.4,-31.6,,-0.029,-0.018,-898,,71,,-218,7358,,,,,,0.633,,,1.7,0.4,0.4,-0.085,-107,0.161,,,0.2,0.1,-17.7,,1.6,-48,0.036,0.133,,,-3.312,0.1,,,1.0,,,,,,,,,0.6,,0.036,-0.043,
4,HTT,4,2021,-15.1,0.5,-32.9,,-0.03,-0.019,-839,,73,,-238,7687,,,,,,0.659,,,1.9,0.5,0.5,-0.479,-103,0.177,,,0.2,0.1,-18.5,,1.5,-43,0.028,0.112,,,-3.382,0.1,,,1.3,,,,,,,,,0.5,,-0.358,-0.003,
5,HTT,3,2021,-3.9,0.2,-26.7,,-0.058,-0.037,-834,,72,,-458,7707,,,,,,0.659,,,1.9,0.5,0.5,0.165,-161,,,,0.2,0.1,-11.9,,1.5,-42,0.004,0.012,,,-2.959,0.1,,,1.0,,,,,,,,,0.5,,0.661,-0.013,
6,HTT,2,2021,-3.6,0.2,,,-0.049,-0.031,-1207,,119,-0.3,-393,7806,,,,,,0.641,,,1.8,0.5,0.5,-0.119,-97,0.054,,,0.2,0.2,-21.9,,1.6,-44,0.002,,,,-1.18,0.1,,,2.1,,,,,,,,,0.6,,1.277,-0.01,
7,HTT,1,2021,-2.2,0.1,-107.0,,-0.054,-0.034,-2216,,248,,-446,7885,,,,,,0.617,,,1.6,0.5,0.5,-0.024,-43,0.099,,,0.3,0.2,-54.4,,1.6,-45,0.002,0.007,,,0.0,0.0,,,1.0,,,,,,,,,0.6,,-0.445,-0.012,
8,HTT,4,2020,-1.5,0.1,-48.2,,-0.053,-0.034,-3421,263.0,-738,-0.4,-457,7981,,,,,,0.619,,,1.6,0.6,0.6,0.528,-77,,,,0.3,0.2,-30.3,,1.6,-44,0.007,0.024,-2421.0,,0.0,0.0,,,3.3,,,,,,,,,0.6,,181.017,-0.029,
9,HTT,3,2020,-2.7,0.1,-7399.2,,-0.034,-0.022,-2963,354.0,-448,-0.6,-299,8221,,,,,,0.632,,,1.7,0.6,0.6,-0.277,0,0.401,,,0.3,0.2,-5517.5,,1.6,-42,0.008,0.076,-2161.0,,0.0,0.0,,,198.9,,,,,,,,,0.6,,-0.997,-0.021,
