,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,HTV,4,2022,7.8,0.4,7.3,,0.053,0.041,280,2,70,,1343,25391,,,,,,0.767,,,3.4,3.8,3.8,-0.143,1340.0,0.084,0.011,0.027,0.0,0.0,0.0,,1.3,279,0.031,0.076,213,1.3,0.0,0.8,0.8,0.011,3.1,,,,,,,,,0.3,,0.063,0.008,
1,HTV,3,2022,7.1,0.4,7.8,,0.063,0.046,297,3,76,,1567,25188,,,,,,0.723,,,2.6,3.2,3.2,0.246,1260.0,0.13,0.061,0.071,0.0,0.0,0.0,,1.4,272,0.033,0.078,224,1.2,0.079,0.7,0.8,0.061,1.5,,,,,,,,,0.4,,0.304,0.022,
2,HTV,2,2022,9.1,0.5,10.5,,0.051,0.039,307,3,66,,1258,24651,,,,,,0.751,,,3.1,3.5,3.4,-0.079,966.0,0.088,0.012,0.032,0.0,0.0,0.0,,1.3,262,0.055,0.12,243,1.2,0.0,0.7,0.8,0.012,3.4,,,,,,,,,0.3,,-0.288,-0.042,
3,HTV,1,2022,10.7,0.6,8.6,,0.053,0.043,329,2,66,,1366,25733,,,,,,0.81,,,4.3,4.5,4.5,0.055,1357.0,,,0.079,0.0,0.0,0.0,,1.2,271,0.033,0.069,265,1.1,0.07,0.7,0.8,,-0.9,,,,,,,,,0.2,,-0.384,0.016,
4,HTV,4,2021,10.7,0.5,5.3,,0.051,0.04,311,3,78,,1295,25321,,,,,,0.787,,,3.8,4.0,3.9,-0.001,2202.0,0.146,,0.08,0.0,0.0,0.0,,1.3,261,0.04,0.075,235,1.2,0.0,0.7,0.8,,-5.8,,,,,,,,,0.3,,-0.079,0.017,
5,HTV,3,2021,11.3,0.6,4.9,,0.052,0.04,296,2,72,,1296,24894,,,,,,0.75,,,3.0,3.3,3.3,-0.21,2391.0,0.048,0.012,0.038,0.0,0.0,0.0,,1.3,251,0.083,0.15,226,1.2,-0.024,0.7,0.8,0.012,4.3,,,,,,,,,0.3,,-0.177,0.009,
6,HTV,2,2021,8.1,0.5,4.6,,0.066,0.051,287,3,78,,1641,24666,,,,,,0.772,,,3.4,3.6,3.6,-0.126,2906.0,0.12,0.063,0.053,0.0,0.0,0.0,,1.3,243,0.103,0.162,212,1.3,-0.023,0.7,0.8,0.063,1.1,,,,,,,,,0.3,,-0.057,-0.053,
7,HTV,1,2021,7.4,0.5,4.0,,0.072,0.059,315,2,73,,1877,26054,,,,,,0.828,,,4.9,4.7,4.6,-0.063,3082.0,0.102,0.048,0.059,0.0,0.0,0.0,,1.2,256,0.045,0.088,244,1.2,-0.022,0.7,0.8,0.048,1.6,,,,,,,,,0.2,,-0.049,0.012,
8,HTV,4,2020,6.4,0.5,4.2,,0.078,0.062,303,2,101,,2004,25737,,,,,,0.807,,,4.2,4.1,4.1,0.017,3240.0,0.139,0.005,0.077,0.0,0.0,0.0,,1.2,246,0.06,0.106,204,1.2,-0.021,0.7,0.8,0.005,18.4,,,,,,,,,0.2,,-0.059,0.017,
9,HTV,3,2020,6.0,0.5,4.0,,0.078,0.061,285,2,73,,1971,25310,,,,,,0.795,,,3.9,3.8,3.8,0.002,3442.0,0.166,0.096,0.103,0.0,0.0,0.0,,1.3,237,0.042,0.073,214,1.3,0.0,0.7,0.8,0.096,1.4,,,,,,,,,0.3,,-0.034,0.023,
