,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,ISH,4,2022,7.4,1.4,4.6,,0.194,0.16,-49,24,0,106.6,2509,12799,,,,,,0.832,,,5.0,0.7,0.6,-0.066,4035,0.527,0.473,0.365,0.0,0.0,0.2,,1.2,-40,0.022,0.015,-25,,0.0,0.4,0.8,0.473,1.0,,,,,,,,,0.2,,-0.052,-0.014,
1,ISH,3,2022,7.3,1.5,4.8,,0.203,0.166,-34,26,1,158.1,2686,12982,,,,,,0.816,,,4.4,0.7,0.6,0.066,4257,0.677,0.646,0.513,0.0,0.0,0.2,,1.2,-41,0.025,0.016,-9,,0.0,0.4,0.8,0.646,1.0,,,,,,,,,0.2,,0.043,-0.069,
2,ISH,2,2022,7.7,1.4,5.6,,0.19,0.159,-36,27,1,51.1,2521,13941,,,,,,0.89,,,8.1,1.1,1.0,0.046,4081,0.618,0.567,0.445,0.0,0.0,0.3,0.9,1.1,8,0.024,0.015,-10,,0.0,0.4,0.8,0.567,1.0,,,,,,,,,0.1,,0.028,0.04,
3,ISH,1,2022,7.6,1.4,5.2,,0.188,0.154,-87,27,1,21.3,2410,13407,,,,,,0.869,,,6.7,0.7,0.5,0.136,3971,0.456,0.391,0.298,0.1,0.0,0.4,1.2,1.2,-26,0.015,0.01,-61,,-0.001,0.4,0.8,0.391,1.0,,,,,,,,,0.2,,0.091,0.021,
4,ISH,4,2021,8.7,1.4,6.1,,0.167,0.13,-129,25,0,36.9,2121,13132,,,,,,0.817,,,4.5,0.7,0.6,0.26,3639,0.623,0.558,0.433,0.1,0.1,0.5,0.8,1.2,-32,0.011,0.007,-104,,-0.001,0.3,0.8,0.558,1.0,,,,,,,,,0.2,,0.212,-0.03,
5,ISH,3,2021,9.8,1.2,7.5,,0.133,0.102,-96,25,2,30.3,1683,13538,,,,,,0.819,,,4.5,0.9,0.8,0.347,3001,0.668,0.634,0.491,0.1,0.1,0.6,0.4,1.2,-10,0.013,0.008,-74,,-0.001,0.3,0.8,0.634,1.0,,,,,,,,,0.2,,0.206,0.069,
6,ISH,2,2021,12.8,1.3,8.7,,0.104,0.076,-191,25,1,14.4,1250,12662,,,,,,0.787,,,3.7,0.5,0.4,0.233,2488,0.598,0.542,0.406,0.2,0.1,1.1,1.1,1.3,-59,0.005,0.003,-167,,-0.001,0.2,0.8,0.542,0.9,,,,,,,,,0.3,,0.114,0.036,
7,ISH,1,2021,15.0,1.2,7.7,,0.083,0.062,-224,25,1,0.6,1013,12219,,,,,,0.774,,,3.4,0.2,0.2,-0.123,2234,0.147,0.052,,0.2,0.1,1.3,1.7,1.3,-96,0.003,0.003,-200,,0.0,0.2,,0.052,-0.5,,,,,,,,,0.3,,-0.089,-0.001,
8,ISH,4,2020,13.9,1.3,7.8,,0.092,0.069,-221,25,1,8.6,1156,12234,,,,,,0.743,,,2.9,0.3,0.2,-0.186,2451,0.44,0.346,0.317,0.2,0.1,1.2,17.2,1.3,-136,0.016,0.012,-197,,0.0,0.2,1.0,0.346,0.9,,,,,,,,,0.3,,-0.165,0.03,
9,ISH,3,2020,11.4,1.4,6.6,,0.117,0.081,-141,23,4,9.4,1420,11877,,,,,,0.722,,,2.6,0.3,0.2,-0.264,2934,0.56,0.513,0.367,0.2,0.1,1.1,0.6,1.4,-99,0.012,0.008,-122,,0.0,0.3,0.8,0.513,0.9,,,,,,,,,0.4,,-0.188,0.039,
10,ISH,2,2020,7.0,1.2,5.7,,0.169,0.112,-185,21,1,4.5,1929,11435,,,,,,0.68,,,2.1,0.3,0.2,-0.03,3613,0.488,0.414,0.259,0.3,0.2,1.1,1.2,1.5,-129,0.008,0.006,-165,,0.0,0.3,0.8,0.414,0.8,,,,,,,,,0.5,,-0.019,-0.055,
11,ISH,1,2020,6.0,1.0,5.1,,0.164,0.116,-151,20,2,2.9,1989,12103,,,,,,0.722,,,2.6,0.2,0.2,0.001,3682,0.384,0.315,0.165,0.3,0.2,1.2,1.4,1.4,-110,0.002,0.001,-132,,-0.002,0.3,0.8,0.315,0.7,,,,,,,,,0.4,,-0.001,-0.067,
12,ISH,4,2019,6.2,1.0,4.9,,0.159,0.111,61,25,4,9.6,1988,12975,,,,,,0.751,,,3.0,0.3,0.3,0.197,3686,0.583,0.538,0.385,0.3,0.2,1.2,1.5,1.3,-82,0.008,0.007,82,6.0,-0.002,0.3,1.3,0.538,0.9,,,,,,,,,0.3,,0.184,0.05,
13,ISH,3,2019,7.6,1.0,6.3,,0.135,0.088,112,21,3,12.3,1660,12355,,,,,,0.67,,,2.0,0.6,0.6,0.033,3113,0.687,0.652,0.479,0.3,0.2,1.6,0.4,1.5,-57,0.002,0.002,130,3.3,-0.003,0.3,1.3,0.652,0.9,,,,,,,,,0.5,,0.112,0.083,
14,ISH,2,2019,7.5,1.1,6.5,,0.141,0.086,68,20,1,3.7,1607,11403,,,,,,0.648,,,1.8,0.3,0.2,-0.218,2801,0.508,0.44,0.293,0.4,0.3,2.0,0.6,1.5,-111,0.005,0.004,86,5.4,-0.003,0.3,1.2,0.44,0.8,,,,,,,,,0.5,,-0.114,-0.058,
15,ISH,1,2019,6.2,1.0,6.4,,0.169,0.113,36,18,8,2.1,2056,12102,,,,,,0.685,,,2.2,0.2,0.2,-0.02,3162,0.452,0.348,0.179,0.4,0.3,1.8,0.8,1.5,-89,0.002,0.002,46,10.2,-0.032,0.3,1.0,0.348,0.5,,,,,,,,,0.5,,0.042,0.011,
16,ISH,4,2018,7.2,1.3,6.5,,0.174,0.111,40,24,6,4.0,2097,11976,,,,,,0.647,,,1.8,0.3,0.3,0.051,3033,0.407,0.34,0.196,0.5,0.3,1.8,0.9,1.5,-106,0.003,0.003,58,9.1,-0.032,0.3,1.3,0.34,0.8,,,,,,,,,0.5,,0.044,-0.025,
17,ISH,3,2018,6.5,1.1,7.5,,0.165,0.102,64,18,1,8.7,1995,12283,,,,,,0.637,,,1.8,0.7,0.7,0.044,2906,0.622,0.58,0.438,0.5,0.3,2.1,0.3,1.6,-30,0.012,0.009,80,5.7,-0.031,0.3,1.2,0.58,0.9,,,,,,,,,0.6,,0.028,0.079,
18,ISH,2,2018,6.9,1.2,5.7,,0.17,0.095,84,17,1,7.1,1910,11384,,,,,,0.579,,,1.4,0.5,0.5,-0.006,2826,0.654,0.611,0.449,0.5,0.3,2.3,0.4,1.7,-85,0.034,0.03,100,4.3,-0.03,0.3,1.2,0.611,0.9,,,,,,,,,0.7,,-0.009,-0.072,
19,ISH,1,2018,4.9,0.8,8.8,,0.167,0.1,34,15,6,2.2,1922,12262,,,,,,0.651,,,1.9,0.5,0.5,0.168,2852,0.445,0.373,0.192,0.5,0.3,2.3,0.3,1.5,-37,0.009,0.006,42,10.8,-0.002,0.3,1.1,0.373,0.6,,,,,,,,,0.5,,0.102,0.014,
20,ISH,4,2017,5.7,0.8,7.6,,0.144,0.084,26,19,4,2.8,1646,12094,,,,,,0.628,,,1.7,0.4,0.3,0.019,2587,0.319,0.26,0.13,0.5,0.3,2.6,0.4,1.6,-86,0.06,0.051,41,14.2,-0.002,0.3,1.3,0.26,0.6,,,,,,,,,0.6,,-0.084,0.016,
21,ISH,3,2017,5.7,0.8,6.7,,0.143,0.079,54,16,1,7.1,1615,11904,,,,,,0.597,,,1.5,0.6,0.5,0.285,2826,0.615,0.576,0.421,0.5,0.3,2.5,0.2,1.7,-51,0.068,0.061,69,6.8,-0.002,0.3,1.2,0.576,0.9,,,,,,,,,0.7,,0.075,0.073,
22,ISH,2,2017,5.9,0.7,7.6,,0.118,0.061,81,15,1,6.1,1257,11090,,,,,,0.545,,,1.2,0.4,0.4,0.811,2628,0.625,0.586,0.426,0.6,0.3,2.9,0.3,1.8,-103,0.008,0.007,95,4.5,-0.002,0.2,1.2,0.586,0.8,,,,,,,,,0.8,,0.34,0.032,
23,ISH,1,2017,10.8,0.7,9.5,,0.064,0.034,35,15,1,0.4,694,10746,,,,,,0.545,,,1.2,0.2,0.2,0.577,1961,0.194,0.096,-0.166,0.7,0.4,4.0,0.3,1.8,-135,0.012,0.011,49,10.5,0.0,0.2,1.0,0.096,-1.7,,,,,,,,,0.8,,0.139,-0.01,
24,ISH,4,2016,17.0,0.7,10.4,,0.04,0.021,50,19,1,2.0,440,10854,,,,,,0.542,,,1.2,0.2,0.2,6.11,1722,0.418,0.349,0.152,0.7,0.4,4.8,0.4,1.8,-143,0.006,0.006,68,7.2,0.0,0.2,1.1,0.349,0.5,,,,,,,,,0.8,,0.621,0.015,
25,ISH,3,2016,113.1,0.7,17.5,,0.006,0.003,102,15,1,3.7,61,10695,,,,,,0.509,,,1.0,0.4,0.4,-0.636,1062,0.546,0.503,0.347,0.7,0.4,8.1,0.1,2.0,-82,0.031,0.03,116,3.6,0.0,0.2,1.1,0.503,0.7,,,,,,,,,1.0,,0.072,0.045,
26,ISH,2,2016,41.1,0.7,18.8,,0.016,0.008,81,15,3,1.9,170,10239,,,,,,0.492,,,1.0,0.2,0.2,-0.493,991,0.441,0.38,0.195,0.8,0.4,9.1,0.2,2.0,-118,0.003,0.003,93,4.5,-0.001,0.2,1.0,0.38,0.5,,,,,,,,,1.0,,-0.206,-0.058,
27,ISH,1,2014,,,,,0.037,0.015,39,20,11,0.7,355,9699,,,,,,0.41,,,0.7,0.3,0.2,0.436,2134,0.371,0.3,-0.115,1.2,0.5,5.9,0.2,2.4,-107,0.003,,49,9.3,0.0,0.2,1.0,0.3,-0.4,,,,,,,,,1.4,,0.021,-0.009,
28,ISH,4,2013,,,,,0.025,0.01,34,28,15,1.3,247,9783,,,,,,0.411,,,0.7,0.2,0.2,-0.668,2090,0.436,0.371,-0.169,1.2,0.5,5.3,0.2,2.4,-115,0.004,,48,10.6,0.0,0.2,1.0,0.371,-0.5,,,,,,,,,1.4,,-0.16,-0.04,
29,ISH,3,2013,,,,,0.076,0.029,62,41,17,3.0,746,10188,,,,,,0.405,,,0.7,0.5,0.4,-0.206,2490,0.636,0.6,0.291,1.2,0.5,4.5,0.0,2.5,-61,0.057,,86,5.9,0.0,0.2,1.0,0.6,0.5,,,,,,,,,1.5,,0.013,0.05,
