,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,IST,4,2022,6.5,1.6,5.5,,0.268,0.099,-23,0.0,109,6.8,4177,16653,,,,,,0.387,,,0.6,0.9,0.9,-0.023,5147,0.235,0.087,0.074,0.3,0.1,1.2,0.4,2.6,-22,0.279,0.17,-132.0,,-0.013,0.7,0.8,0.087,1.1,,,,,,,,,1.6,,-0.041,0.081,
1,IST,3,2022,7.8,2.2,5.9,,0.295,0.113,-12,0.0,33,12.6,4275,15400,,,,,,0.407,,,0.7,1.0,1.0,0.132,5369,0.3,0.197,0.189,0.4,0.2,1.2,0.4,2.5,-6,0.297,0.149,-44.0,,-0.011,0.8,0.8,0.197,1.2,,,,,,,,,1.5,,0.043,-0.051,
2,IST,2,2022,10.1,2.3,6.6,,0.259,0.094,-20,0.0,56,9.2,3775,16227,,,,,,0.412,,,0.7,1.0,1.0,0.004,5150,0.241,0.135,0.094,0.4,0.2,1.3,0.4,2.4,-1,0.3,0.149,-77.0,,-0.027,0.7,0.8,0.135,0.9,,,,,,,,,1.4,,-0.001,0.02,
3,IST,1,2022,8.4,2.0,8.2,,0.235,0.091,10,0.0,94,15.2,3760,15905,,,,,,0.393,,,0.6,1.2,1.2,0.077,5153,0.369,0.262,0.196,0.4,0.2,2.3,0.0,2.5,23,0.2,0.082,-84.0,36.9,-0.007,0.7,0.8,0.262,0.9,,,,,,,,,1.5,,0.066,0.092,
4,IST,4,2021,8.5,2.0,8.7,,0.235,0.084,-26,0.0,112,8.6,3490,14561,,,,,,0.351,,,0.5,0.8,0.8,0.008,4833,0.254,0.126,0.096,0.5,0.2,1.6,0.2,2.8,-25,0.21,0.081,-138.0,,-0.018,0.7,0.8,0.126,0.9,,,,,,,,,1.8,,0.008,0.072,
5,IST,3,2021,7.7,2.0,7.0,,0.247,0.088,-10,,51,9.4,3464,13587,,,,,,0.357,,,0.6,0.8,0.8,-0.018,4794,0.37,0.195,0.14,0.5,0.2,1.7,0.2,2.8,-18,0.221,0.102,,,-0.04,0.7,0.8,0.195,0.9,,,,,,,,,1.8,,-0.016,0.052,
6,IST,2,2021,8.0,2.2,6.8,,0.265,0.083,-38,,77,7.3,3529,12911,,,,,,0.314,,,0.5,0.8,0.8,0.016,4872,0.288,0.158,0.107,0.6,0.2,1.8,0.3,3.2,-38,0.34,0.148,,,-0.09,0.7,0.8,0.158,0.9,,,,,,,,,2.2,,0.037,-0.196,
7,IST,1,2021,6.4,1.4,7.2,,0.224,0.081,-14,,107,9.7,3474,16054,,,,,,0.38,,,0.6,1.0,1.0,0.021,4700,0.346,0.218,0.159,1.1,0.4,2.9,0.1,2.6,-4,0.241,0.139,,,-0.04,0.6,0.8,0.218,0.9,,,,,,,,,1.6,,-0.001,0.063,
8,IST,4,2020,5.2,1.2,7.4,,0.231,0.08,-13,,91,5.7,3404,15108,,,,,,0.36,,,0.6,0.8,0.8,0.006,4702,0.261,0.14,0.108,0.6,0.2,2.1,0.2,2.8,-24,0.179,0.095,,,-0.082,0.6,0.8,0.14,0.9,,,,,,,,,1.8,,-0.033,0.042,
9,IST,3,2020,4.8,1.1,5.9,,0.24,0.08,-10,0.0,61,6.3,3385,14495,,,,,,0.354,,,0.5,1.0,1.0,0.01,4862,0.398,0.19,0.138,0.6,0.2,2.1,0.1,2.8,1,0.218,0.14,-71.0,,-0.064,0.6,0.8,0.19,0.9,,,,,,,,,1.8,,-0.003,0.056,
