,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,ITC,4,2022,5.5,0.4,6.0,,0.068,0.031,289,1292,131,2.9,1393,21343,,,,,,0.491,,,1.1,1.6,0.4,-0.276,2497,0.381,0.262,0.111,0.3,0.1,2.9,1.2,2.0,827,0.05,0.15,1450,1.3,0.0,0.2,0.6,0.262,0.7,,,,,,,,,0.9,,-0.237,0.009,
1,ITC,3,2022,6.2,0.6,5.2,,0.095,0.042,193,919,86,4.6,1925,21144,,,,,,0.484,,,1.1,1.5,0.3,-0.083,3274,0.314,0.234,0.115,0.3,0.1,2.3,2.1,2.1,717,0.04,0.11,1026,1.9,0.0,0.2,0.8,0.234,0.6,,,,,,,,,0.9,,-0.012,0.014,
2,ITC,2,2022,4.2,0.4,5.7,,0.106,0.046,141,1159,93,-127.9,2099,20858,,,,,,0.465,,,1.0,1.2,0.2,1.021,3315,0.534,0.386,0.3,0.3,0.1,2.7,5.3,2.1,355,0.032,0.081,1206,2.6,-0.063,0.2,0.8,0.386,1.0,,,,,,,,,1.0,,0.506,0.042,
3,ITC,1,2022,15.9,0.8,8.6,,0.053,0.023,224,1293,88,1.2,1039,20013,,,,,,0.445,,,0.9,1.3,0.3,-0.158,2202,0.324,0.182,0.032,0.3,0.1,4.0,2.5,2.2,465,0.043,0.097,1428,1.6,0.0,0.2,1.1,0.182,0.2,,,,,,,,,1.1,,-0.1,0.009,
4,ITC,4,2021,17.2,1.1,10.1,,0.064,0.027,240,1241,116,6.2,1233,19828,,,,,,0.429,,,0.9,1.2,0.3,0.112,2446,0.262,0.209,0.164,0.4,0.2,3.8,3.3,2.3,451,0.03,0.048,1365,1.5,0.0,0.2,0.8,0.209,1.0,,,,,,,,,1.2,,-0.333,0.029,
5,ITC,3,2021,12.6,0.7,8.2,,0.06,0.024,216,1174,227,5.1,1109,19265,,,,,,0.409,,,0.8,1.2,0.3,0.157,3665,0.64,0.56,0.416,0.4,0.2,2.5,2.3,2.4,406,0.026,0.036,1163,1.7,0.0,0.2,1.0,0.56,0.8,,,,,,,,,1.3,,0.104,0.025,
6,ITC,2,2021,14.0,0.7,11.5,,0.053,0.021,156,1036,109,-0.5,958,18799,,,,,,0.411,,,0.8,1.2,0.3,-0.34,3321,0.176,,,0.4,0.2,3.1,2.8,2.4,360,0.035,0.035,1083,2.3,-0.047,0.2,,,-0.3,,,,,,,,,1.2,,-0.08,-0.007,
7,ITC,1,2021,10.9,0.8,8.7,,0.08,0.032,169,921,89,2.8,1452,18928,,,,,,0.401,,,0.8,1.2,0.3,0.183,3612,0.358,0.267,0.143,0.4,0.2,3.0,2.0,2.5,438,0.013,0.018,1001,2.2,0.0,0.3,0.8,0.267,0.7,,,,,,,,,1.3,,0.179,0.026,
8,ITC,4,2020,11.4,0.8,10.5,,0.069,0.028,196,986,70,4.9,1227,18445,,,,,,0.417,,,0.8,1.3,0.3,-0.313,3062,0.302,0.266,0.095,0.4,0.2,3.6,1.9,2.4,568,0.022,0.03,1112,1.9,0.0,0.2,0.7,0.266,0.5,,,,,,,,,1.2,,0.12,0.034,
9,ITC,3,2020,6.9,0.7,10.5,,0.105,0.04,394,1903,58,13.8,1785,17841,,,,,,0.392,,,0.7,1.4,0.2,0.201,2735,0.327,0.255,0.226,0.4,0.2,4.0,2.7,2.5,736,0.01,0.015,2240,0.9,-0.001,0.2,0.8,0.255,1.1,,,,,,,,,1.3,,0.198,0.018,
10,ITC,2,2020,7.1,0.6,12.0,,0.088,0.036,420,2144,66,25.8,1486,17526,,,,,,0.403,,,0.8,1.2,0.2,0.109,2282,0.247,0.154,0.15,0.4,0.2,4.9,10.6,2.5,485,0.004,0.007,2498,0.9,1.38,0.1,0.9,0.154,1.1,,,,,,,,,1.3,,0.075,0.015,
11,ITC,1,2020,7.5,0.6,12.9,,0.079,0.033,1325,3899,-56,0.5,1340,17264,,,,,,0.395,,,0.8,1.3,0.2,-0.09,2124,0.254,0.045,0.033,0.4,0.2,5.7,3.7,2.5,580,0.01,0.018,5280,0.3,-0.001,0.1,0.8,0.045,0.9,,,,,,,,,1.3,,0.028,-0.094,
12,ITC,4,2019,8.8,0.7,14.0,,0.079,0.034,96,3179,-47,45.0,1472,19050,,,,,,0.405,,,0.8,1.2,0.3,3.63,2065,0.456,0.407,0.352,0.5,0.2,5.8,4.2,2.5,471,0.024,0.043,3322,3.8,-0.001,0.1,1.1,0.407,0.9,,,,,,,,,1.2,,3.792,0.068,
13,ITC,3,2019,38.4,0.7,71.5,,0.018,0.007,139,5058,-76,0.5,318,17835,,,,,,0.373,,,0.7,1.3,0.3,-0.599,431,0.36,0.085,0.063,0.5,0.2,27.8,3.4,2.7,708,0.013,0.02,5273,2.6,0.0,0.1,1.1,0.085,0.8,,,,,,,,,1.4,,-0.552,0.001,
14,ITC,2,2019,11.8,0.5,32.1,,0.045,0.019,61,2214,-65,3.2,793,17818,,,,,,0.405,,,0.8,1.5,0.3,-0.052,961,0.497,0.295,0.298,0.5,0.2,13.8,2.0,2.5,800,0.03,0.045,2340,6.0,-1.432,0.1,0.7,0.295,0.7,,,,,,,,,1.2,,0.073,-0.018,
15,ITC,1,2019,11.6,0.5,31.2,,0.046,0.02,60,2010,43,-0.9,837,18145,,,,,,0.428,,,0.8,3.9,0.5,-0.185,896,0.041,-0.046,0.011,0.6,0.3,15.3,1.5,2.3,2442,0.042,0.063,2027,6.1,-0.048,0.2,0.5,-0.046,-0.1,,,,,,,,,1.3,,-0.149,-0.09,
16,ITC,4,2018,9.0,0.5,22.8,,0.052,0.023,82,1956,52,4.2,1026,19947,,,,,,0.451,,,0.8,3.2,0.4,-0.002,1054,0.171,0.177,0.12,0.5,0.2,12.7,3.8,2.2,2203,0.049,0.089,1986,4.5,-0.05,0.2,1.5,0.177,1.0,,,,,,,,,1.2,,0.067,0.007,
17,ITC,3,2018,10.0,0.5,23.5,,0.052,0.024,78,1788,59,66.2,1029,19809,,,,,,0.475,,,0.9,4.0,0.4,0.267,988,0.181,0.136,0.151,0.5,0.2,13.9,1.1,2.1,2252,0.013,0.025,1807,4.7,-0.166,0.2,1.0,0.136,1.1,,,,,,,,,1.1,,0.244,0.028,
18,ITC,2,2018,13.5,0.6,30.0,,0.042,0.019,78,2142,136,23.9,812,19268,,,,,,0.438,,,0.8,2.8,0.4,-0.187,794,0.124,0.06,0.111,0.6,0.3,16.9,1.7,2.3,2034,0.073,0.138,2084,4.7,-0.046,0.2,1.0,0.06,1.9,,,,,,,,,1.3,,-0.285,-0.032,
19,ITC,1,2018,11.6,0.6,22.9,,0.051,0.023,68,2057,160,6.4,999,19899,,,,,,0.445,,,0.8,2.5,0.3,-0.004,1111,0.184,0.102,0.115,0.6,0.3,12.5,1.7,2.2,1882,0.071,0.123,1965,5.4,-0.119,0.2,1.0,0.102,1.1,,,,,,,,,1.2,,0.005,0.006,
20,ITC,4,2017,10.7,0.5,29.3,,0.052,0.023,88,2025,145,18.5,1002,19789,,,,,,0.445,,,0.8,2.4,0.3,-0.139,1106,0.168,0.094,0.089,0.6,0.3,13.3,1.8,2.2,1804,0.029,0.039,1967,4.2,-0.129,0.2,1.2,0.094,1.2,,,,,,,,,1.2,,-0.136,0.007,
21,ITC,3,2017,9.0,0.5,23.3,,0.06,0.027,72,1828,168,589.8,1165,19649,,,,,,0.45,,,0.8,2.4,0.3,0.353,1280,0.201,0.136,0.139,0.7,0.3,10.9,2.1,2.2,1765,0.019,0.029,1732,5.1,-0.006,0.2,1.0,0.136,1.0,,,,,,,,,1.2,,0.35,0.017,
