,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,ITD,4,2022,7.6,0.9,10.9,,0.129,0.06,104,32,37,11.0,1574,12980,,,,,,0.472,,,1.5,1.9,1.8,0.055,1722,0.158,0.049,0.042,0.2,0.1,1.5,,2.1,249,0.144,0.198,98,3.5,-0.31,1.4,0.7,0.049,1.2,,,,,,,,,0.7,,0.007,0.027,
1,ITD,3,2022,5.8,0.7,10.4,,0.126,0.063,118,54,44,11.7,1492,12641,,,,,,0.484,,,1.6,2.0,1.6,0.818,1710,0.103,0.029,0.02,0.2,0.1,1.3,1386.4,2.1,239,0.106,0.16,128,3.1,-0.255,1.3,0.5,0.029,1.5,,,,,,,,,0.6,,0.972,0.021,
2,ITD,2,2022,12.8,0.8,15.1,,0.069,0.035,217,97,59,1.7,821,12378,,,,,,0.513,,,1.9,2.6,2.1,-0.236,867,0.102,0.006,,0.1,0.1,3.2,97.0,2.0,318,0.224,0.379,256,1.7,-0.216,0.8,,0.006,0.2,,,,,,,,,0.5,,-0.203,-0.014,
3,ITD,1,2022,15.2,1.3,14.7,,0.089,0.043,295,103,69,8.2,1074,12556,,,,,,0.49,,,1.6,2.4,2.2,0.721,1088,0.286,0.039,0.204,0.1,0.1,3.0,,2.0,329,0.184,0.275,328,1.2,-0.109,0.6,0.4,0.039,12.4,,,,,,,,,0.6,,-0.355,0.092,
4,ITD,4,2021,22.1,1.2,10.3,,0.056,0.025,211,122,65,26.5,624,11500,,,,,,0.465,,,1.3,2.0,1.7,-0.374,1687,0.235,0.107,0.072,0.1,0.1,2.1,,2.1,260,0.232,0.254,267,1.7,-0.045,0.7,0.7,0.107,1.0,,,,,,,,,0.8,,-0.319,0.033,
5,ITD,3,2021,18.9,1.7,6.9,,0.09,0.044,173,123,67,-13.0,996,11137,,,,,,0.515,,,1.7,2.3,1.8,-0.322,2478,0.205,,,0.1,0.1,1.0,,1.9,250,0.242,0.253,230,2.1,-0.185,0.9,,,1.1,,,,,,,,,0.6,,-0.25,-0.034,
6,ITD,2,2021,8.7,1.1,8.6,,0.131,0.066,149,79,27,5.0,1469,11535,,,,,,0.51,,,1.6,2.3,1.8,0.006,3305,0.299,0.068,0.023,0.2,0.1,1.1,,2.0,257,0.132,0.098,201,2.4,-0.184,1.1,0.4,0.068,0.9,,,,,,,,,0.6,,0.019,0.004,
7,ITD,1,2021,8.0,1.0,6.4,,0.13,0.065,150,67,44,13.7,1460,11494,,,,,,0.474,,,1.3,2.1,1.7,0.054,3245,0.293,0.082,0.078,0.2,0.1,0.9,,2.1,257,0.123,0.139,173,2.4,-0.156,1.1,0.6,0.082,1.6,,,,,,,,,0.7,,-0.159,-0.089,
8,ITD,4,2020,6.0,0.7,4.6,,0.112,0.053,157,103,47,25.1,1385,12622,,,,,,0.443,,,1.2,1.8,1.4,0.622,3856,0.272,0.137,0.088,0.3,0.2,0.9,,2.3,230,0.118,0.149,213,2.3,-0.172,0.9,0.7,0.137,1.0,,,,,,,,,0.9,,0.27,-0.003,
9,ITD,3,2020,9.1,0.6,5.0,,0.067,0.034,185,121,54,9.5,854,12657,,,,,,0.475,,,1.3,2.0,1.4,0.088,3035,0.198,0.053,0.012,0.2,0.1,0.9,,2.1,231,0.118,0.183,252,2.0,-0.05,0.9,0.2,0.053,1.0,,,,,,,,,0.8,,0.195,0.004,
