,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,KTC,4,2022,17.9,0.7,14.9,,0.04,0.012,-4,28,5,1.2,446,11079,,,,,,0.297,,,0.4,0.9,0.4,0.245,1758,0.032,0.005,0.0,1.8,0.6,11.6,,3.4,-74,0.566,0.785,19,,-0.023,5.1,0.5,0.005,0.0,,,,,,,,,2.4,,0.317,-0.028,
1,KTC,3,2022,24.9,0.8,20.6,,0.031,0.009,-3,37,7,-1.7,358,11399,,,,,,0.296,,,0.4,0.9,0.3,-0.513,1335,0.025,,,1.8,0.5,17.0,,3.4,-63,0.227,0.279,28,,-0.061,4.4,,,1.3,,,,,,,,,2.4,,-0.167,-0.025,
2,KTC,2,2022,16.8,1.1,17.3,,0.063,0.018,-4,35,6,3.0,736,11689,,,,,,0.297,,,0.4,0.9,0.4,0.434,1602,0.05,0.009,0.007,1.8,0.5,14.8,,3.4,-63,0.156,0.214,25,,-0.063,4.1,0.8,0.009,0.9,,,,,,,,,2.4,,0.203,0.03,
3,KTC,1,2022,31.4,1.4,23.0,,0.045,0.012,-4,41,7,3.5,513,11343,,,,,,0.269,,,0.4,0.9,0.4,-0.178,1331,0.042,0.011,0.008,2.2,0.6,18.4,128.6,3.7,-68,0.182,0.251,30,,-0.059,3.9,0.8,0.011,0.9,,,,,,,,,2.7,,0.032,0.017,
4,KTC,4,2021,18.9,1.1,30.8,,0.056,0.018,-5,33,4,-0.7,625,11148,,,,,,0.307,,,0.4,0.9,0.3,0.037,1289,0.04,,,1.8,0.6,15.1,91.7,3.3,-81,0.217,0.14,23,,-0.064,4.4,,,0.5,,,,,,,,,2.3,,0.064,-0.058,
5,KTC,3,2021,16.6,0.8,27.7,,0.052,0.015,-5,41,8,0.2,603,11832,,,,,,0.271,,,0.4,1.0,0.3,-0.366,1212,0.047,0.001,0.003,2.1,0.6,17.8,98.4,3.7,-54,0.115,0.134,28,,-0.023,3.8,0.8,0.001,5.9,,,,,,,,,2.7,,-0.261,0.008,
6,KTC,2,2021,11.0,0.9,21.9,,0.081,0.025,-4,36,5,1.1,951,11743,,,,,,0.27,,,0.4,0.9,0.4,-0.286,1641,0.048,0.004,0.004,2.2,0.6,13.7,119.6,3.7,-66,0.18,0.183,27,,-0.036,4.0,0.9,0.004,1.0,,,,,,,,,2.7,,-0.134,0.016,
7,KTC,1,2021,10.0,1.1,18.0,,0.116,0.032,-5,49,9,2.9,1332,11560,,,,,,0.278,,,0.4,0.9,0.3,0.124,1895,0.043,0.014,0.013,2.1,0.6,12.3,77.9,3.6,-73,0.125,0.131,34,,-0.029,3.5,0.8,0.014,1.1,,,,,,,,,2.6,,0.023,0.028,
8,KTC,4,2020,7.2,0.8,16.5,,0.105,0.035,-5,28,6,0.1,1185,11250,,,,,,0.334,,,0.5,0.9,0.4,-0.172,1852,0.044,,,1.7,0.6,9.7,54.0,3.0,-81,0.218,0.175,17,,-0.04,4.6,,,1.9,,,,,,,,,2.0,,-0.182,-0.018,
9,KTC,3,2020,7.5,0.9,12.5,,0.122,0.04,-4,29,6,3.0,1431,11462,,,,,,0.334,,,0.5,0.9,0.4,0.229,2264,0.046,0.013,0.012,1.6,0.5,8.5,48.6,3.0,-81,0.156,0.153,18,,-0.045,4.7,1.0,0.013,0.9,,,,,,,,,2.0,,0.057,-0.014,
