,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,L35,4,2022,-1.3,0.5,30.8,,-0.324,-0.044,45,286,177,0.3,-2668,6277,,,,,,0.109,,,0.1,1.0,0.7,0.425,1017,0.075,0.024,,4.3,0.5,28.0,896.3,9.2,8,0.188,0.346,155,8.1,0.0,0.5,,0.024,-3.3,,,,,,,,,8.2,,-0.284,-0.115,
1,L35,3,2022,-2.2,0.6,22.8,,-0.217,-0.031,44,308,130,-0.1,-1872,7090,,,,,,0.126,,,0.1,1.1,0.6,1.178,1421,0.08,,,4.0,0.5,20.6,473.6,8.0,10,0.091,0.143,222,8.3,-0.004,0.5,,,8.3,,,,,,,,,7.0,,-0.359,-0.126,
2,L35,2,2022,-5.8,0.6,14.7,,-0.094,-0.014,50,276,147,0.2,-859,8112,,,,,,0.134,,,0.2,1.1,0.7,-0.004,2217,0.085,0.02,,3.6,0.5,13.3,319.1,7.5,13,0.083,0.153,180,7.2,-0.004,0.5,,0.02,-3.3,,,,,,,,,6.5,,0.153,-0.091,
3,L35,1,2022,-8.9,0.9,17.9,,-0.087,-0.014,66,360,158,0.7,-862,8924,,,,,,0.147,,,0.2,1.1,0.7,0.047,1923,0.079,0.04,,3.4,0.5,15.8,247.7,6.8,15,0.069,0.123,269,5.5,-0.037,0.4,,0.04,-0.3,,,,,,,,,5.8,,-0.233,-0.122,
4,L35,4,2021,-8.4,0.7,14.4,,-0.078,-0.013,61,326,185,1.0,-824,10168,,,,,,0.156,,,0.2,1.1,0.7,-0.603,2508,0.088,0.048,0.0,3.0,0.5,12.4,198.2,6.4,15,0.017,0.028,203,6.0,-0.034,0.4,1.0,0.048,0.0,,,,,,,,,5.4,,0.404,0.0,
5,L35,3,2021,-2.6,0.5,20.4,,-0.179,-0.033,60,347,133,1.0,-2075,10167,,,,,,0.163,,,0.2,1.1,0.6,-0.242,1786,0.374,0.216,,3.0,0.5,17.6,165.2,6.1,15,0.03,0.046,274,6.1,-0.03,0.5,,0.216,0.0,,,,,,,,,5.1,,0.439,-0.001,
6,L35,2,2021,-2.1,0.6,27.9,,-0.229,-0.044,51,250,106,-0.1,-2738,10176,,,,,,0.168,,,0.2,1.1,0.7,-0.079,1241,0.065,,,3.0,0.5,25.7,141.6,6.0,14,0.145,0.245,195,7.2,-0.028,0.6,,,9.2,,,,,,,,,5.0,,-0.162,-0.074,
7,L35,1,2021,-2.2,0.6,23.8,,-0.231,-0.047,56,247,113,1.1,-2971,10992,,,,,,0.183,,,0.2,1.1,0.7,0.002,1480,0.387,0.189,0.0,2.8,0.5,22.5,126.4,5.5,14,0.018,0.043,191,6.5,0.0,0.5,,0.189,0.0,,,,,,,,,4.5,,0.497,0.0,
8,L35,4,2020,-2.2,0.6,38.6,,-0.231,-0.046,56,192,112,-0.1,-2965,10992,,,,,,0.176,,,0.2,1.1,0.7,0.73,989,0.038,,,2.9,0.5,35.0,118.5,5.7,13,0.039,0.073,136,6.5,0.0,0.5,,,9.0,,,,,,,,,4.7,,-0.554,-0.156,
9,L35,3,2020,-3.8,0.5,18.0,,-0.123,-0.026,82,289,101,0.1,-1714,13023,,,,,,0.204,,,0.3,1.1,0.6,0.658,2217,0.07,0.008,,2.5,0.5,15.8,108.5,4.9,17,0.043,0.076,270,4.4,0.0,0.4,,0.008,-8.8,,,,,,,,,3.9,,-0.25,-0.049,
10,L35,2,2020,-6.5,0.5,13.6,,-0.073,-0.015,86,287,92,0.1,-1034,13695,,,,,,0.217,,,0.3,1.1,0.6,-25.816,2957,0.157,0.023,,2.5,0.5,13.3,101.0,4.6,18,0.064,0.122,280,4.3,0.0,0.4,,0.023,-7.6,,,,,,,,,3.6,,-0.102,-0.071,
11,L35,1,2020,192.0,0.5,12.4,,0.003,0.001,88,252,111,0.6,41,14744,,,,,,0.218,,,0.3,1.1,0.7,-0.551,3292,0.142,0.086,0.003,2.4,0.5,11.7,75.0,4.6,21,0.083,0.192,228,4.2,0.0,0.5,0.8,0.086,0.0,,,,,,,,,3.6,,-0.08,0.0,
12,L35,4,2019,118.6,0.7,12.2,,0.006,0.001,412,167,133,1.0,92,14738,,,,,,0.223,,,0.3,1.1,0.8,-0.583,3578,0.157,0.099,0.0,2.5,0.6,10.5,62.2,4.5,21,0.085,0.173,447,0.9,0.0,0.5,1.3,0.099,0.0,,,,,,,,,3.5,,0.016,-0.002,
13,L35,3,2019,35.9,0.5,14.1,,0.015,0.003,331,129,81,0.9,222,14770,,,,,,0.215,,,0.3,1.1,0.9,-0.303,3521,0.117,0.07,0.001,2.5,0.5,10.6,52.3,4.6,25,0.035,0.039,379,1.1,0.0,0.7,1.3,0.07,0.0,,,,,,,,,3.6,,0.006,0.0,
14,L35,2,2019,19.1,0.4,15.2,,0.022,0.004,369,150,78,0.8,319,14767,,,,,,0.201,,,0.3,1.2,0.8,-0.192,3498,0.12,0.062,0.003,3.1,0.6,11.0,54.8,5.0,29,0.038,0.064,441,1.0,-0.004,0.6,1.3,0.062,0.1,,,,,,,,,4.0,,-0.109,-0.004,
15,L35,1,2019,22.8,0.6,12.6,,0.027,0.006,299,128,70,1.0,395,14821,,,,,,0.205,,,0.3,1.2,0.9,-0.032,3925,0.129,0.068,0.008,2.8,0.6,8.9,43.6,4.9,30,0.075,0.115,356,1.2,-0.007,0.7,1.3,0.068,0.1,,,,,,,,,3.9,,-0.06,0.004,
16,L35,4,2018,11.3,0.3,10.9,,0.028,0.006,316,108,92,1.1,408,14764,,,,,,0.198,,,0.2,1.2,0.9,-0.03,4178,0.103,0.052,0.007,2.6,0.5,8.0,72.8,5.0,31,0.092,0.15,332,1.2,-0.007,0.8,1.3,0.052,0.2,,,,,,,,,4.0,,0.131,0.009,
