,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,LAF,4,2022,8.8,1.2,8.0,,0.134,0.075,72,150,4.0,6.0,1747,12700,,,,,,0.464,,,0.9,1.4,0.3,-0.068,4239.0,0.137,0.095,0.051,0.9,0.4,1.8,,2.2,92,0.069,0.057,218.0,5.1,-0.211,1.5,0.8,0.095,0.7,,,,,,,,,1.2,,0.076,0.066,
1,LAF,3,2022,8.3,1.3,8.1,,0.154,0.068,75,263,2.0,3.9,1875,11917,,,,,,0.353,,,0.5,1.3,0.1,-0.227,3939.0,0.156,0.091,0.058,1.6,0.6,3.4,,2.8,83,0.022,0.02,336.0,4.8,-0.257,1.1,0.8,0.091,0.8,,,,,,,,,1.8,,-0.086,0.036,
2,LAF,2,2022,7.7,1.6,8.8,,0.212,0.08,65,295,3.0,4.7,2425,11507,,,,,,0.312,,,0.5,1.2,0.2,-0.058,4311.0,0.221,0.148,0.038,1.9,0.6,3.9,,3.2,76,0.03,0.021,357.0,5.6,-0.262,1.0,0.8,0.148,0.3,,,,,,,,,2.2,,0.136,-0.156,
3,LAF,1,2022,8.2,1.6,9.7,,0.208,0.099,83,236,5.0,7.6,2576,13639,,,,,,0.396,,,0.7,1.4,0.2,-0.029,3795.0,0.152,0.069,0.056,1.4,0.6,3.3,,2.5,111,0.072,0.053,314.0,4.4,-0.283,1.1,0.8,0.069,1.0,,,,,,,,,1.5,,0.012,0.025,
4,LAF,4,2021,9.2,1.8,8.1,,0.22,0.16,84,106,8.0,21.3,2652,13300,,,,,,0.702,,,2.4,2.4,0.9,-0.059,3750.0,0.18,0.102,0.077,0.3,0.2,0.8,,1.4,109,0.125,0.072,181.0,4.4,-0.276,1.7,0.8,0.102,1.0,,,,,,,,,0.4,,0.036,0.074,
5,LAF,3,2021,5.4,1.2,9.2,,0.255,0.152,87,183,3.0,13.7,2819,12389,,,,,,0.583,,,1.4,1.8,0.5,0.309,3619.0,0.204,0.131,0.122,0.6,0.4,1.8,,1.7,106,0.024,0.012,266.0,4.2,-0.33,1.4,1.0,0.131,1.0,,,,,,,,,0.7,,0.261,0.084,
6,LAF,2,2021,4.7,0.9,11.4,,0.207,0.1,79,239,4.0,5.1,2154,11429,,,,,,0.474,,,0.9,1.5,0.3,0.137,2870.0,0.2,0.108,0.088,1.0,0.5,3.6,,2.1,92,0.04,0.022,314.0,4.6,-0.237,1.1,1.0,0.108,0.8,,,,,,,,,1.1,,0.112,0.026,
7,LAF,1,2021,8.2,1.4,7.0,,0.186,0.118,74,119,4.0,14.1,1895,11141,,,,,,0.632,,,1.7,1.9,0.8,0.151,2580.0,0.216,0.089,0.097,0.5,0.3,2.0,,1.6,88,0.188,0.141,190.0,4.9,-0.294,1.6,1.0,0.089,1.1,,,,,,,,,0.6,,0.092,0.035,
8,LAF,4,2020,6.6,1.0,8.9,,0.166,0.106,67,93,11.0,28.5,1646,10766,,,,,,0.764,,,3.2,2.8,1.2,0.519,2362.0,0.208,0.125,0.123,0.2,0.1,1.7,,1.3,82,0.075,0.051,149.0,5.4,-0.295,1.8,1.0,0.125,1.0,,,,,,,,,0.3,,0.256,0.111,
9,LAF,3,2020,9.2,1.0,9.2,,0.119,0.063,52,124,3.0,4.6,1083,9687,,,,,,0.609,,,1.6,1.8,0.4,-0.015,1881.0,0.098,0.039,0.04,0.6,0.3,3.8,,1.6,70,0.016,0.013,174.0,7.0,-0.309,1.9,1.0,0.039,1.0,,,,,,,,,0.6,,-0.029,0.031,
