,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,LBM,4,2022,6.9,1.6,3.5,,0.252,0.193,40,42,21,53.0,6058,26565,,,,,,0.745,,,3.0,1.8,1.0,0.151,14918.0,0.206,0.1,0.084,0.0,0.0,0.1,,1.3,137,0.172,0.11,61,9.0,-0.412,1.8,0.8,0.1,1.1,,,,,,,,,0.3,,0.116,0.024,
1,LBM,3,2022,8.0,1.6,3.8,,0.22,0.171,41,38,18,799.6,5264,25955,,,,,,0.743,,,2.9,1.7,1.1,0.111,13371.0,0.247,0.146,0.117,0.1,0.1,0.1,,1.3,117,0.176,0.114,61,8.9,-0.369,1.7,0.8,0.146,1.0,,,,,,,,,0.3,,-0.272,0.078,
2,LBM,2,2022,9.7,1.9,4.4,,0.212,0.165,37,35,24,442.4,4739,24082,,,,,,0.751,,,3.1,1.5,1.0,0.147,18363.0,0.26,0.163,0.135,0.0,0.0,0.0,,1.3,79,0.05,0.03,47,9.9,-0.489,1.6,0.8,0.163,1.0,,,,,,,,,0.3,,0.111,0.08,
3,LBM,1,2022,12.5,2.3,5.8,,0.198,0.162,54,35,24,,4132,22293,,,,,,0.788,,,3.9,2.1,1.5,0.008,16534.0,0.215,0.119,0.09,0.0,0.0,0.0,,1.3,127,0.063,0.029,65,6.8,-0.533,1.6,0.8,0.119,1.0,,,,,,,,,0.3,,0.033,0.039,
4,LBM,4,2021,10.1,1.9,5.8,,0.205,0.165,54,35,25,94.4,4098,21464,,,,,,0.789,,,4.0,2.0,1.4,-0.082,16005.0,0.165,0.047,0.044,0.0,0.0,0.0,,1.3,110,0.114,0.051,65,6.7,-0.558,1.6,0.9,0.047,1.0,,,,,,,,,0.3,,-0.029,-0.017,
5,LBM,3,2021,7.1,1.5,5.4,,0.222,0.186,61,36,17,227.5,4462,21824,,,,,,0.82,,,4.9,2.2,1.6,0.12,16475.0,0.243,0.151,0.12,0.0,0.0,0.0,,1.2,112,0.107,0.051,81,5.9,-0.638,1.6,0.8,0.151,1.0,,,,,,,,,0.2,,0.105,0.06,
6,LBM,2,2021,7.3,1.4,4.3,,0.208,0.17,60,37,24,,3984,20587,,,,,,0.806,,,4.4,2.1,1.5,0.126,14911.0,0.265,0.16,0.133,0.0,0.0,0.0,,1.2,106,0.145,0.087,73,6.1,-0.462,1.5,0.8,0.16,1.0,,,,,,,,,0.2,,0.082,0.057,
7,LBM,1,2021,8.1,1.5,4.2,,0.194,0.162,67,40,21,,3538,19468,,,,,,0.856,,,6.5,3.0,2.0,0.056,13782.0,0.235,0.136,0.112,0.0,0.0,0.0,,1.2,117,0.103,0.066,85,5.4,-0.376,1.4,0.8,0.136,1.0,,,,,,,,,0.2,,0.037,0.056,
8,LBM,4,2020,5.5,1.0,4.0,,0.193,0.157,66,38,28,,3350,18443,,,,,,0.819,,,5.2,2.7,2.0,0.005,13288.0,0.245,0.107,0.094,0.0,0.0,0.0,,1.2,125,0.164,0.104,76,5.5,-0.259,1.4,0.9,0.107,1.0,,,,,,,,,0.2,,0.006,0.002,
9,LBM,3,2020,4.6,0.8,3.4,,0.192,0.162,75,38,17,,3331,18412,,,,,,0.858,,,7.2,3.9,2.8,0.036,13203.0,0.221,0.133,0.107,0.0,0.0,0.0,,1.2,146,0.198,0.145,96,4.9,-0.291,1.4,0.8,0.133,1.0,,,,,,,,,0.1,,0.043,0.043,
10,LBM,2,2020,4.2,0.8,2.3,,0.193,0.158,72,37,23,,3215,17659,,,,,,0.828,,,6.1,3.1,2.2,0.083,12661.0,0.255,0.173,0.134,0.0,0.0,0.0,,1.2,125,0.175,0.19,85,5.1,-0.407,1.4,0.8,0.173,1.0,,,,,,,,,0.2,,-0.017,0.038,
11,LBM,1,2020,3.7,0.6,2.3,,0.198,0.156,55,36,24,,2968,17008,,,,,,0.815,,,5.5,2.8,2.0,-0.499,12875.0,0.22,0.14,0.106,0.0,0.0,0.0,,1.2,115,0.135,0.157,67,6.6,-0.451,1.5,0.7,0.14,1.0,,,,,,,,,0.2,,0.028,-0.48,
12,LBM,4,2019,4.5,0.8,2.0,,0.206,0.159,45,30,31,,5919,32688,,,,,,0.81,,,5.4,2.5,1.8,0.006,12522.0,0.218,0.112,0.099,0.0,0.0,0.0,,1.2,94,0.118,0.157,44,8.1,-0.522,1.6,1.2,0.112,1.1,,,,,,,,,0.2,,0.01,0.001,
13,LBM,3,2019,4.4,0.8,2.3,,0.205,0.165,44,29,18,77556.3,5885,32665,,,,,,0.835,,,6.6,2.9,2.1,0.022,12395.0,0.207,0.121,0.101,0.0,0.0,0.0,,1.2,98,0.115,0.138,56,8.2,-0.494,1.7,1.3,0.121,1.1,,,,,,,,,0.2,,-0.001,0.04,
14,LBM,2,2019,4.1,0.8,2.5,,0.21,0.164,50,28,25,378.9,5758,31401,,,,,,0.812,,,5.4,2.7,2.1,0.002,12413.0,0.221,0.134,0.099,0.0,0.0,0.0,,1.2,102,0.126,0.13,53,7.3,-0.403,1.7,1.3,0.134,1.0,,,,,,,,,0.2,,-0.082,0.209,
15,LBM,1,2019,4.6,1.0,2.5,,0.234,0.179,49,31,26,,5745,25975,,,,,,0.756,,,3.8,1.9,1.3,0.101,13526.0,0.198,0.134,0.104,0.0,0.0,0.0,,1.3,63,0.074,0.07,55,7.4,-0.435,1.7,1.3,0.134,1.0,,,,,,,,,0.3,,0.08,0.043,
