,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,LHG,4,2022,5.6,0.7,4.3,,0.135,0.069,716,607,52,7.7,4046,30643,,,,,,0.51,,,1.0,2.4,1.7,0.033,5018,0.427,0.24,0.295,0.1,0.0,0.7,0.4,2.0,1270,0.055,0.075,1271,0.5,-0.55,0.2,0.8,0.24,1.5,,,,,,,,,1.0,,-0.015,0.02,
1,LHG,3,2022,6.4,0.8,4.6,,0.133,0.067,753,636,44,24.4,3916,30034,,,,,,0.501,,,1.0,2.3,1.7,0.469,5096,0.531,0.448,0.463,0.1,0.1,0.7,0.4,2.0,1261,0.137,0.168,1346,0.5,-0.059,0.2,0.8,0.448,1.3,,,,,,,,,1.0,,0.365,0.058,
2,LHG,2,2022,12.3,1.2,5.5,,0.094,0.045,905,766,54,12.5,2666,28386,,,,,,0.473,,,0.9,2.1,1.5,-0.571,3734,0.248,0.19,0.175,0.1,0.1,1.0,0.4,2.1,1160,0.081,0.117,1618,0.4,-0.027,0.2,0.8,0.19,1.2,,,,,,,,,1.1,,-0.544,-0.061,
3,LHG,1,2022,8.7,1.8,4.7,,0.22,0.106,518,652,47,13.9,6217,30234,,,,,,0.519,,,1.1,2.5,1.7,0.054,8190,0.526,0.425,0.426,0.1,0.1,0.5,0.4,1.9,1248,0.058,0.048,1123,0.7,-0.016,0.3,0.8,0.425,1.2,,,,,,,,,0.9,,0.015,0.034,
4,LHG,4,2021,8.5,1.7,5.4,,0.215,0.108,503,654,71,7.5,5898,29235,,,,,,0.514,,,1.1,2.5,1.7,-0.123,8072,0.441,0.443,0.375,0.1,0.1,0.5,0.3,1.9,1196,0.063,0.044,1087,0.7,-0.161,0.3,0.7,0.443,1.2,,,,,,,,,0.9,,-0.092,0.017,
5,LHG,3,2021,6.9,1.6,5.9,,0.253,0.128,416,532,36,3.7,6724,28756,,,,,,0.504,,,1.0,2.4,1.7,-0.01,8888,0.494,0.276,0.382,0.1,0.1,0.4,0.3,2.0,1171,0.083,0.047,913,0.9,-0.394,0.3,0.8,0.276,1.8,,,,,,,,,1.0,,-0.019,0.014,
6,LHG,2,2021,6.1,1.5,6.4,,0.26,0.124,394,481,33,66.7,6794,28359,,,,,,0.488,,,1.0,2.3,1.6,1.01,9056,0.541,0.48,0.393,0.1,0.1,0.4,0.3,2.0,1139,0.084,0.042,843,0.9,-0.392,0.3,0.8,0.48,1.0,,,,,,,,,1.0,,0.905,0.078,
7,LHG,1,2021,8.9,1.1,10.4,,0.132,0.063,633,781,27,10.5,3380,26307,,,,,,0.447,,,0.8,1.9,1.3,-0.153,4752,0.519,0.387,0.296,0.2,0.1,0.8,0.3,2.2,984,0.136,0.073,1386,0.6,-0.872,0.2,0.7,0.387,1.1,,,,,,,,,1.2,,-0.113,0.025,
8,LHG,4,2020,7.8,1.2,7.0,,0.162,0.082,506,682,37,16.5,3990,25672,,,,,,0.494,,,1.0,2.3,1.3,0.172,5360,0.511,0.379,0.355,0.2,0.1,0.6,0.3,2.0,959,0.203,0.145,1150,0.7,-1.342,0.3,0.8,0.379,1.1,,,,,,,,,1.0,,0.149,0.054,
9,LHG,3,2020,7.4,1.0,7.9,,0.144,0.077,427,386,15,5.3,3405,24368,,,,,,0.504,,,1.0,2.4,1.4,0.029,4666,0.496,0.31,0.324,0.2,0.1,0.6,0.2,2.0,885,0.113,0.078,798,0.9,-2.584,0.3,0.8,0.31,1.4,,,,,,,,,1.0,,0.06,0.02,
10,LHG,2,2020,4.4,0.6,6.3,,0.143,0.073,432,347,17,12.7,3310,23900,,,,,,0.467,,,0.9,2.0,1.4,0.166,4402,0.385,0.28,0.263,0.2,0.1,0.6,0.2,2.1,852,0.087,0.08,762,0.8,-2.878,0.3,0.9,0.28,1.1,,,,,,,,,1.1,,0.142,-0.047,
11,LHG,1,2020,3.4,0.4,5.4,,0.116,0.062,524,403,14,23.3,2839,25068,,,,,,0.512,,,1.0,2.4,1.5,0.062,3856,0.455,0.362,0.306,0.2,0.1,0.6,0.2,2.0,914,0.1,0.128,913,0.7,-3.153,0.3,0.8,0.362,1.1,,,,,,,,,1.0,,0.062,0.061,
12,LHG,4,2019,5.0,0.6,3.4,,0.115,0.061,17,508,15,23.8,2672,23624,,,,,,0.522,,,1.1,2.3,1.3,-0.036,3631,0.225,0.14,0.134,0.1,0.0,0.5,0.2,1.9,824,0.128,0.206,510,21.7,-3.275,0.3,1.4,0.14,1.4,,,,,,,,,0.9,,-0.003,0.031,
13,LHG,3,2019,5.2,0.6,3.3,,0.122,0.069,11,545,24,12.1,2772,22904,,,,,,0.574,,,1.4,2.8,2.0,0.042,3644,0.508,0.275,0.377,0.1,0.0,0.3,0.3,1.7,819,0.156,0.247,532,33.2,-2.809,0.2,1.3,0.275,1.7,,,,,,,,,0.7,,0.073,0.017,
14,LHG,2,2019,6.1,0.7,3.5,,0.119,0.067,12,476,22,25.6,2661,22531,,,,,,0.562,,,1.3,2.7,2.0,-0.142,3395,0.45,0.259,0.224,0.0,0.0,0.3,0.3,1.8,820,0.219,0.312,466,30.2,-2.262,0.2,1.4,0.259,1.2,,,,,,,,,0.8,,0.033,-0.062,
15,LHG,1,2019,5.3,0.7,4.0,,0.137,0.075,22,520,27,61.6,3101,24017,,,,,,0.559,,,1.3,2.6,2.0,-0.12,3288,0.46,0.382,0.318,0.0,0.0,0.4,0.2,1.8,903,0.275,0.352,515,16.3,-1.668,0.2,1.3,0.382,1.1,,,,,,,,,0.8,,-0.091,0.048,
16,LHG,4,2018,4.3,0.7,4.0,,0.158,0.086,31,755,20,33.8,3524,22923,,,,,,0.542,,,1.2,2.5,1.7,-0.278,3616,0.516,0.299,0.304,0.1,0.0,0.4,0.4,1.8,856,0.307,0.363,766,11.7,-1.405,0.2,1.3,0.299,1.3,,,,,,,,,0.8,,-0.479,0.016,
17,LHG,3,2018,3.9,0.8,2.5,,0.272,0.133,32,414,8,8.5,4884,22563,,,,,,0.559,,,1.3,2.6,1.9,-0.057,6944,0.574,0.243,0.32,0.0,0.0,0.2,0.6,1.8,841,0.262,0.326,439,11.4,-0.101,0.3,1.3,0.243,1.7,,,,,,,,,0.8,,-0.081,0.012,
18,LHG,2,2018,2.9,0.7,3.1,,0.295,0.147,54,362,12,24.6,5177,22287,,,,,,0.566,,,1.3,2.7,2.1,0.154,7554,0.512,0.365,0.53,0.1,0.0,0.2,0.8,1.8,831,0.342,0.486,405,6.7,-0.099,0.4,1.0,0.365,1.5,,,,,,,,,0.8,,0.076,0.043,
19,LHG,1,2018,3.9,0.8,2.0,,0.264,0.126,92,396,12,72.4,4486,21363,,,,,,0.537,,,1.2,2.4,1.9,0.372,7020,0.635,0.544,0.454,0.1,0.0,0.2,0.4,1.9,790,0.419,0.484,476,4.0,-0.243,0.3,1.3,0.544,1.1,,,,,,,,,0.9,,0.408,-0.019,
20,LHG,4,2017,3.9,0.6,6.1,,0.187,0.093,128,440,14,88.3,3269,21775,,,,,,0.548,,,1.2,2.4,1.9,0.047,4987,0.564,0.426,0.353,0.1,0.0,0.4,0.6,1.8,782,0.418,0.366,555,2.9,-0.238,0.3,1.3,0.426,1.1,,,,,,,,,0.8,,-0.279,0.63,
21,LHG,3,2017,4.1,1.0,4.6,,0.229,0.098,158,448,29,22.1,3124,13362,,,,,,0.406,,,0.7,1.5,1.2,0.044,6915,0.744,0.515,0.431,0.1,0.0,0.4,0.3,2.5,355,0.236,0.172,577,2.3,-0.256,0.3,1.2,0.515,1.0,,,,,,,,,1.5,,0.029,0.043,
22,LHG,2,2017,4.5,1.1,4.4,,0.227,0.099,189,401,20,7.8,2992,12807,,,,,,0.414,,,0.7,1.5,1.2,-0.043,6718,0.383,0.168,0.171,0.1,0.0,0.4,0.4,2.4,320,0.194,0.15,570,1.9,-0.248,0.3,0.9,0.168,0.9,,,,,,,,,1.4,,-0.034,0.018,
23,LHG,1,2017,4.1,1.0,2.3,,0.243,0.103,228,468,25,9.9,3127,12574,,,,,,0.402,,,0.7,1.5,1.1,-0.032,6957,0.495,0.292,0.322,0.1,0.0,0.4,0.3,2.5,322,0.285,0.336,671,1.6,-0.008,0.3,1.1,0.292,1.2,,,,,,,,,1.5,,0.012,-0.043,
24,LHG,4,2016,3.4,0.8,2.0,,0.241,0.108,281,402,23,73.5,3231,13133,,,,,,0.43,,,0.8,1.7,1.3,0.638,6875,0.585,0.406,0.339,0.1,0.0,0.6,0.4,2.3,356,0.387,0.47,660,1.3,-0.008,0.3,1.2,0.406,1.0,,,,,,,,,1.3,,0.44,-0.059,
25,LHG,3,2016,8.1,1.1,2.0,,0.147,0.067,375,623,24,18.3,1972,13961,,,,,,0.45,,,0.8,1.8,1.2,0.199,4774,0.559,0.387,0.292,0.1,0.0,0.9,0.3,2.2,400,0.317,0.55,974,1.0,-0.008,0.2,1.2,0.387,0.9,,,,,,,,,1.2,,0.235,0.031,
26,LHG,2,2016,8.7,1.1,5.3,,0.125,0.056,437,647,31,8.8,1645,13538,,,,,,0.459,,,0.8,1.8,1.2,-0.069,3867,0.467,0.255,0.265,0.1,0.1,1.2,0.5,2.2,373,0.249,0.27,1054,0.8,-0.008,0.2,1.0,0.255,1.1,,,,,,,,,1.2,,-0.137,0.028,
27,LHG,1,2016,8.4,1.1,3.9,,0.136,0.061,372,578,26,4.9,1766,13171,,,,,,0.448,,,0.8,1.8,1.3,0.289,4479,0.515,0.305,0.535,0.1,0.1,1.2,0.7,2.2,435,0.446,0.461,924,1.0,-0.014,0.2,1.1,0.305,1.9,,,,,,,,,1.2,,0.05,-0.037,
28,LHG,4,2015,7.1,0.7,3.9,,0.104,0.047,449,529,26,15.3,1369,13672,,,,,,0.468,,,0.9,4.7,3.3,0.106,4267,0.513,0.4,0.231,0.2,0.1,1.7,1.8,2.1,669,0.187,0.201,951,0.8,-0.014,0.2,1.5,0.4,0.9,,,,,,,,,1.1,,-0.041,0.06,
29,LHG,3,2015,5.9,0.6,5.1,,0.099,0.043,393,616,35,1.2,1238,12896,,,,,,0.456,,,0.8,4.7,3.0,-0.135,4450,0.402,0.137,0.152,0.2,0.1,1.7,0.7,2.2,605,0.064,0.084,974,0.9,-0.014,0.2,1.0,0.137,1.1,,,,,,,,,1.2,,-0.143,0.007,
30,LHG,2,2015,5.0,0.6,3.9,,0.116,0.049,377,592,34,9.1,1431,12800,,,,,,0.441,,,0.8,3.8,2.4,0.244,5195,0.432,0.292,0.212,0.3,0.1,1.7,1.0,2.3,590,0.126,0.186,935,1.0,-0.014,0.3,1.3,0.292,0.9,,,,,,,,,1.3,,0.13,0.001,
31,LHG,1,2015,6.2,0.6,3.6,,0.092,0.039,463,775,48,1.2,1150,12784,,,,,,0.448,,,0.8,1.9,1.2,1.285,4599,0.489,0.222,0.019,0.3,0.1,2.2,0.7,2.2,364,0.093,0.201,1191,0.8,0.0,0.2,1.8,0.222,0.2,,,,,,,,,1.2,,-0.042,0.001,
32,LHG,4,2014,,,4.2,,0.039,0.016,475,771,84,11.2,503,12774,,,,,,0.433,,,0.8,1.9,1.3,7.454,4803,0.504,0.415,0.185,0.4,0.2,2.6,0.6,2.3,384,0.186,0.348,1162,0.8,0.0,0.2,1.4,0.415,0.6,,,,,,,,,1.3,,0.434,0.054,
33,LHG,3,2014,,,5.0,,0.005,0.002,646,1340,62,3.6,59,12115,,,,,,0.419,,,0.7,2.1,1.2,-1.13,3350,0.58,0.423,0.257,0.4,0.2,4.0,0.2,2.4,414,0.108,0.275,1924,0.6,0.0,0.1,1.2,0.423,0.7,,,,,,,,,1.4,,0.245,0.023,
34,LHG,2,2014,,,7.7,,-0.037,-0.015,756,1428,83,2.3,-457,11841,,,,,,0.404,,,0.7,2.0,1.2,0.082,2690,0.567,0.376,0.215,0.5,0.2,5.3,0.2,2.5,401,0.132,0.302,2101,0.5,-0.037,0.1,1.3,0.376,0.8,,,,,,,,,1.5,,-0.163,-0.032,
35,LHG,1,2014,,,7.8,,-0.034,-0.013,662,1285,99,1.2,-422,12227,,,,,,0.41,,,0.7,2.1,1.2,-1.864,3215,0.551,0.328,-0.916,0.5,0.2,5.0,0.3,2.4,411,0.074,0.155,1849,0.6,-0.035,0.1,0.9,0.328,-2.6,,,,,,,,,1.4,,-0.16,-0.05,
36,LHG,4,2013,,,7.0,,0.038,0.015,633,1291,78,2.6,489,12869,,,,,,0.385,,,0.6,1.6,1.0,-0.508,3828,0.602,0.43,0.126,0.6,0.2,4.7,0.6,2.6,322,0.087,0.207,1846,0.6,-0.035,0.1,1.9,0.43,0.6,,,,,,,,,1.6,,0.126,0.016,
37,LHG,3,2013,,,7.8,,0.081,0.03,733,2299,197,0.5,994,12669,,,,,,0.394,,,0.7,1.9,1.1,-0.271,3401,0.482,0.203,-0.352,0.7,0.3,5.4,0.3,2.5,384,0.028,0.073,2835,0.5,-0.035,0.1,0.6,0.203,-1.0,,,,,,,,,1.5,,-0.083,-0.018,
38,LHG,2,2013,,,7.6,,0.11,0.041,682,1816,145,1.7,1364,12897,,,,,,0.393,,,0.6,1.9,1.1,-0.174,3710,0.56,0.433,0.165,0.7,0.3,5.3,0.4,2.5,379,0.022,0.054,2353,0.5,-0.038,0.1,1.5,0.433,0.6,,,,,,,,,1.5,,-0.173,-0.003,
39,LHG,1,2013,,,7.1,,0.135,0.047,451,1018,91,3.3,1652,12942,,,,,,0.383,,,0.6,1.4,0.8,0.638,4486,0.681,0.495,0.249,0.8,0.3,4.9,1.5,2.6,220,0.069,0.131,1378,0.8,-0.111,0.2,1.5,0.495,0.7,,,,,,,,,1.6,,0.306,0.026,
40,LHG,4,2012,,,10.8,,0.081,0.029,537,1105,63,1.6,1008,12612,,,,,,0.379,,,0.6,1.4,0.8,-0.149,3434,1.408,0.801,1.231,0.8,0.3,7.2,1.5,2.6,223,0.046,0.083,1579,0.7,-0.316,0.2,1.1,0.801,1.7,,,,,,,,,1.6,,-0.432,0.059,
41,LHG,3,2012,,,6.8,,0.104,0.035,256,712,44,1.2,1185,11907,,,,,,0.355,,,0.5,1.2,0.7,-0.032,6044,0.494,0.241,0.117,0.9,0.3,3.9,1.1,2.8,147,0.03,0.043,924,1.4,-0.287,0.2,1.3,0.241,0.7,,,,,,,,,1.8,,0.029,-0.002,
42,LHG,2,2012,,,7.5,,0.106,0.037,272,643,48,3.0,1224,11933,,,,,,0.348,,,0.5,1.2,0.7,0.115,5875,0.383,0.309,0.158,0.9,0.3,4.1,1.3,2.9,141,0.047,0.066,867,1.3,-0.42,0.2,1.4,0.309,0.7,,,,,,,,,1.9,,0.245,0.03,
43,LHG,1,2012,,,9.4,,0.096,0.032,332,1114,67,-0.8,1098,11588,,,,,,0.317,,,0.5,1.5,0.8,-0.386,4718,3.151,-10.26,-18.04,1.1,0.3,4.9,0.3,3.2,289,0.064,0.081,1378,1.1,-0.733,0.2,1.1,-10.26,1.9,,,,,,,,,2.2,,-0.347,-0.054,
44,LHG,4,2011,,,6.2,,0.155,0.052,324,804,81,3.6,1789,12248,,,,,,0.346,,,0.5,1.8,1.0,-0.462,7229,0.576,0.472,0.25,1.0,0.4,3.9,0.3,2.9,361,0.107,0.195,1046,1.1,-0.842,0.2,1.5,0.472,0.8,,,,,,,,,1.9,,-0.38,0.114,
45,LHG,3,2011,,,5.7,,0.343,0.108,150,777,17,2.0,3328,10992,,,,,,0.324,,,0.5,1.5,0.6,0.046,11651,0.383,0.152,0.128,1.1,0.3,2.4,0.3,3.1,253,0.115,0.074,910,2.4,-0.793,0.3,1.0,0.152,0.9,,,,,,,,,2.1,,0.036,-0.009,
46,LHG,2,2011,,,3.5,,0.326,0.109,191,950,28,4.4,3183,11095,,,,,,0.339,,,0.5,1.8,0.8,-0.061,11242,0.599,0.356,0.284,1.0,0.3,2.2,0.2,2.9,345,0.143,0.18,1113,1.9,-1.208,0.3,1.5,0.356,1.2,,,,,,,,,1.9,,-0.068,-0.011,
47,LHG,1,2011,,,4.5,,0.338,0.134,155,1035,33,3.3,3390,11222,,,,,,0.36,,,0.6,2.5,1.1,0.064,12060,0.622,0.42,0.267,0.8,0.3,1.2,0.1,2.8,495,0.195,0.156,1157,2.4,-1.562,0.3,1.4,0.42,0.9,,,,,,,,,1.8,,0.082,0.037,
