,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,LSS,4,2022,14.6,0.4,4.1,,0.025,0.016,29,140,13,0.7,535,21740,,,,,,0.649,,,1.9,1.3,0.3,-0.122,3628.0,0.072,0.007,0.002,0.3,0.2,2.0,78.1,1.5,223,0.029,0.082,155,12.7,-0.057,0.8,0.5,0.007,0.5,,,,,,,,,0.5,,0.176,0.004,
1,LSS,3,2022,15.1,0.4,4.6,,0.029,0.018,18,96,14,2.3,610,21650,,,,,,0.673,,,2.2,1.2,0.5,0.015,3086.0,0.124,0.044,0.026,0.3,0.2,2.5,74.7,1.5,169,0.016,0.051,100,20.8,-0.063,0.8,0.8,0.044,0.7,,,,,,,,,0.5,,-0.114,0.003,
2,LSS,2,2022,14.9,0.4,4.2,,0.029,0.018,10,114,22,2.9,601,21579,,,,,,0.627,,,1.8,1.1,0.4,0.251,3482.0,0.095,0.051,0.033,0.4,0.2,2.3,91.9,1.6,119,0.027,0.098,102,36.2,-0.08,0.8,1.1,0.051,0.6,,,,,,,,,0.6,,0.074,0.014,
3,LSS,1,2022,30.3,0.7,5.9,,0.023,0.013,13,163,39,6.8,480,21290,,,,,,0.544,,,1.2,1.1,0.3,0.087,3243.0,0.147,0.033,0.012,0.4,0.2,2.4,96.9,1.8,140,0.015,0.033,137,27.8,-0.059,0.7,0.6,0.033,0.6,,,,,,,,,0.8,,1.179,0.007,
4,LSS,4,2021,33.1,0.7,12.8,,0.021,0.014,7,78,10,5.9,442,21149,,,,,,0.624,,,1.7,1.1,0.5,0.163,1489.0,0.082,0.019,0.013,0.3,0.2,4.8,82.5,1.6,84,0.031,0.063,74,54.4,-0.044,0.9,0.9,0.019,0.8,,,,,,,,,0.6,,-0.106,0.02,
5,LSS,3,2021,38.4,0.7,11.8,,0.019,0.012,6,71,11,3.9,380,20739,,,,,,0.599,,,1.6,1.0,0.6,0.256,1664.0,0.128,0.04,0.024,0.4,0.2,4.4,127.6,1.7,28,0.032,0.061,66,62.8,-0.047,0.8,0.8,0.04,0.8,,,,,,,,,0.6,,0.433,0.013,
6,LSS,2,2021,36.8,0.5,19.5,,0.015,0.01,3,81,21,18.1,302,20469,,,,,,0.606,,,1.6,1.0,0.4,1.045,1161.0,0.075,0.035,0.02,0.4,0.2,6.1,120.8,1.7,-6,0.022,0.033,63,145.0,-0.077,0.8,0.9,0.035,0.6,,,,,,,,,0.6,,0.076,0.01,
7,LSS,1,2021,87.5,0.6,15.3,,0.007,0.004,6,155,42,2.0,147,20272,,,,,,0.552,,,1.3,1.0,0.4,-0.272,1079.0,0.101,0.027,0.006,0.3,0.2,6.1,105.1,1.8,11,0.034,0.074,119,62.2,-0.288,0.6,0.6,0.027,0.4,,,,,,,,,0.8,,-0.544,0.002,
8,LSS,4,2020,38.7,0.4,7.3,,0.01,0.007,2,71,23,2.1,203,20225,,,,,,0.648,,,1.9,1.0,0.6,-0.352,2368.0,0.065,0.006,0.005,0.3,0.2,2.8,92.5,1.5,-5,0.017,0.032,51,188.7,-0.216,0.6,0.6,0.006,1.4,,,,,,,,,0.5,,-0.112,-0.004,
9,LSS,3,2020,20.7,0.3,6.0,,0.016,0.011,21,77,14,1.3,313,20305,,,,,,0.689,,,2.2,1.1,0.6,0.042,2665.0,0.174,0.053,0.011,0.3,0.2,2.4,133.6,1.5,36,0.036,0.075,84,17.6,-0.346,0.7,0.9,0.053,0.2,,,,,,,,,0.4,,0.001,0.004,
