,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,LTG,4,2022,5.2,0.7,5.1,,0.135,0.05,32,85,20,5.3,5124,38944,,,,,,0.36,,,0.6,1.1,0.8,0.134,13443,0.239,0.111,0.068,1.2,0.4,3.4,36.5,2.8,805,0.254,0.375,98,11.2,-0.229,1.4,0.8,0.111,0.8,,,,,,,,,1.8,,0.141,0.07,
1,LTG,3,2022,7.0,0.9,5.9,,0.126,0.041,35,143,52,3.1,4519,36383,,,,,,0.308,,,0.4,1.2,0.6,0.097,11785,0.18,0.074,0.023,1.4,0.4,4.2,29.4,3.2,1109,0.274,0.367,127,10.4,-0.266,1.3,0.7,0.074,0.5,,,,,,,,,2.2,,0.111,0.023,
2,LTG,2,2022,8.7,1.0,7.1,,0.117,0.038,37,143,53,0.9,4119,35568,,,,,,0.317,,,0.5,1.2,0.7,-0.215,10606,0.105,0.014,,1.6,0.5,4.8,82.1,3.2,1094,0.266,0.351,128,9.8,-0.257,1.3,,0.014,-1.1,,,,,,,,,2.1,,-0.02,-0.099,
3,LTG,1,2022,8.1,1.1,6.7,,0.137,0.05,49,144,37,7.3,5248,39462,,,,,,0.376,,,0.6,1.3,0.7,0.004,10818,0.236,0.118,0.078,1.3,0.5,4.7,75.5,2.7,1401,0.369,0.426,155,7.5,-0.2,1.2,0.8,0.118,0.9,,,,,,,,,1.6,,-0.071,0.06,
4,LTG,4,2021,6.4,0.9,7.4,,0.145,0.057,46,107,43,4.9,5227,37232,,,,,,0.38,,,0.6,1.3,0.8,-0.007,11646,0.214,0.067,0.052,1.2,0.5,3.0,63.7,2.6,1274,0.592,0.496,110,8.0,-0.201,1.4,0.9,0.067,0.9,,,,,,,,,1.6,,-0.055,0.055,
5,LTG,3,2021,7.1,1.1,6.0,,0.155,0.059,39,147,28,2.8,5266,35283,,,,,,0.349,,,0.5,1.2,0.4,-0.122,12324,0.178,0.058,0.016,1.3,0.5,3.1,63.2,2.9,1155,0.198,0.215,159,9.3,-0.176,1.5,0.6,0.058,0.5,,,,,,,,,1.8,,-0.027,0.005,
6,LTG,2,2021,6.3,1.1,6.1,,0.18,0.068,38,152,37,2.4,5999,35098,,,,,,0.334,,,0.5,1.2,0.4,-0.175,12660,0.128,0.034,0.017,1.3,0.4,2.8,59.7,3.0,1156,0.28,0.24,153,9.5,-0.158,1.5,0.7,0.034,0.7,,,,,,,,,2.0,,-0.083,-0.05,
7,LTG,1,2021,4.7,0.9,4.9,,0.212,0.081,47,168,49,10.4,7274,36947,,,,,,0.352,,,0.6,1.2,0.6,0.602,13802,0.247,0.138,0.076,1.3,0.5,2.7,162.6,2.8,1325,0.55,0.538,166,7.8,-0.15,1.3,0.8,0.138,0.7,,,,,,,,,1.8,,0.404,0.064,
8,LTG,4,2020,5.9,0.8,6.7,,0.136,0.054,57,156,92,12.6,4540,34734,,,,,,0.404,,,0.7,1.3,0.7,0.497,9832,0.201,0.078,0.046,0.7,0.3,2.5,,2.5,1296,0.193,0.184,120,6.4,-0.099,1.1,0.8,0.078,0.8,,,,,,,,,1.4,,0.264,0.062,
9,LTG,3,2020,7.8,0.7,6.3,,0.094,0.039,65,208,61,7.5,3033,32720,,,,,,0.43,,,0.8,1.3,0.5,0.257,7780,0.21,0.088,0.051,0.8,0.4,3.6,,2.3,1137,0.148,0.186,212,5.6,-0.056,0.9,0.8,0.088,0.8,,,,,,,,,1.3,,0.079,0.035,
