,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,LWS,4,2022,14.2,1.0,4.1,,0.073,0.048,159,12,27,0.7,802,11051,,,,,,0.673,,,2.1,4.5,4.3,0.034,2601,0.164,0.021,0.006,0.4,0.3,1.8,0.1,1.5,78,0.441,0.428,145,2.3,-0.066,0.5,1.0,0.021,0.3,,,,,,,,,0.5,,-0.149,0.001,
1,LWS,3,2022,12.9,0.9,3.6,,0.07,0.045,167,16,20,7.3,776,11045,,,,,,0.643,,,1.8,3.2,3.0,-0.016,3054,0.321,0.207,0.167,0.4,0.3,1.6,0.1,1.6,73,0.483,0.448,162,2.2,-0.074,0.5,0.9,0.207,0.9,,,,,,,,,0.6,,-0.003,0.036,
2,LWS,2,2022,14.2,1.1,3.3,,0.074,0.047,146,14,16,5.5,788,10664,,,,,,0.643,,,1.8,3.0,2.9,0.055,3062,0.282,0.176,0.135,0.4,0.3,1.6,0.1,1.6,59,0.431,0.46,144,2.5,-0.079,0.5,0.9,0.176,0.9,,,,,,,,,0.6,,0.013,-0.047,
3,LWS,1,2022,19.6,1.3,3.9,,0.067,0.044,153,12,15,3.1,747,11191,,,,,,0.666,,,2.0,3.8,3.6,-0.036,3022,0.236,0.116,0.079,0.4,0.3,1.7,0.1,1.5,61,0.38,0.38,150,2.4,-0.071,0.5,0.9,0.116,0.8,,,,,,,,,0.5,,-0.024,0.013,
4,LWS,4,2021,22.2,1.6,5.2,,0.07,0.045,125,10,37,0.2,775,11051,,,,,,0.644,,,1.8,2.7,2.6,-0.172,3097,0.159,0.008,,0.4,0.3,1.7,0.1,1.6,50,0.359,0.265,98,2.9,-0.088,0.5,,0.008,-2.6,,,,,,,,,0.6,,-0.083,-0.001,
5,LWS,3,2021,18.4,1.6,5.6,,0.085,0.054,151,20,16,6.8,936,11064,,,,,,0.645,,,1.8,3.1,2.9,0.007,3379,0.347,0.236,0.186,0.5,0.3,1.6,0.1,1.5,58,0.356,0.22,156,2.4,-0.097,0.5,0.9,0.236,0.9,,,,,,,,,0.5,,-0.007,0.036,
6,LWS,2,2021,12.4,1.1,5.8,,0.088,0.054,126,18,15,4.1,930,10678,,,,,,0.636,,,1.7,3.0,2.8,0.043,3402,0.264,0.148,0.111,0.5,0.3,1.6,0.1,1.6,54,0.325,0.194,129,2.9,-0.124,0.5,0.9,0.148,0.8,,,,,,,,,0.6,,-0.003,-0.051,
7,LWS,1,2021,10.5,0.8,5.5,,0.08,0.05,146,14,10,3.4,891,11251,,,,,,0.65,,,1.9,3.4,3.3,0.04,3413,0.263,0.141,0.092,0.5,0.3,1.7,0.1,1.5,58,0.308,0.206,151,2.5,-0.129,0.5,0.9,0.141,0.7,,,,,,,,,0.5,,0.011,0.015,
8,LWS,4,2020,10.9,0.8,3.8,,0.078,0.048,119,13,21,3.1,857,11084,,,,,,0.631,,,1.7,2.6,2.5,0.285,3377,0.266,0.122,0.072,0.5,0.3,1.8,0.1,1.6,47,0.311,0.334,111,3.1,-0.074,0.4,0.9,0.122,0.6,,,,,,,,,0.6,,0.097,0.014,
9,LWS,3,2020,14.1,0.9,4.2,,0.059,0.036,169,19,16,5.5,666,10935,,,,,,0.621,,,1.6,3.1,2.9,-0.074,3079,0.322,0.212,0.174,0.5,0.3,2.0,0.1,1.6,61,0.294,0.313,172,2.2,-0.084,0.4,1.0,0.212,0.9,,,,,,,,,0.6,,-0.035,0.036,
