,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,MAS,4,2022,123.5,5.5,12.0,,0.044,0.017,-60,18,32,7.0,287,6485,,,,,,0.408,,,0.7,0.6,0.4,-184.547,3086.0,0.128,0.064,0.054,0.5,0.2,1.0,,2.4,-16,0.172,0.031,-74,,-0.002,1.5,1.0,0.064,0.8,,,,,,,,,1.4,,1.043,0.1,
1,MAS,3,2022,-22355.7,5.9,23.7,,0.0,0.0,-92,22,46,4.5,-1,5896,,,,,,0.333,,,0.5,0.6,0.5,-0.999,1510.0,0.13,0.038,0.031,0.6,0.2,2.1,4.0,3.0,-18,0.295,0.051,-116,,-0.002,1.1,1.0,0.038,0.8,,,,,,,,,2.0,,-81.118,0.021,
2,MAS,2,2022,-23.8,7.6,-2033.6,,-0.267,-0.097,-138,29,58,3.9,-1841,5773,,,,,,0.318,,,0.5,0.6,0.5,-0.363,-19.0,0.171,0.038,0.008,0.7,0.2,-196.7,4.8,3.1,-20,0.372,0.059,-167,,-0.013,0.7,1.0,0.038,0.2,,,,,,,,,2.1,,-0.973,-0.026,
3,MAS,1,2022,-16.4,8.0,-57.2,,-0.389,-0.144,-185,34,62,-4.7,-2890,5928,,,,,,0.325,,,0.5,0.5,0.4,-0.108,-709.0,0.101,,,0.7,0.2,-5.9,5.3,3.1,-21,0.261,0.041,-213,,-0.012,0.5,,,1.3,,,,,,,,,2.1,,0.236,-0.107,
4,MAS,4,2021,-14.3,7.0,-77.4,,-0.393,-0.162,-145,32,58,-18.7,-3240,6639,,,,,,0.374,,,0.6,0.5,0.4,0.045,-574.0,,,0.043,0.4,0.2,-5.7,1.4,2.7,-18,0.291,0.046,-171,,-0.012,0.5,1.0,,-0.1,,,,,,,,,1.7,,-2.901,0.015,
5,MAS,3,2021,-15.0,7.1,163.8,,-0.38,-0.146,-141,28,69,-33.7,-3099,6540,,,,,,0.355,,,0.5,0.4,0.3,0.147,302.0,,,,0.5,0.2,12.1,1.4,2.8,-25,0.093,0.013,-182,,-0.01,0.7,,,1.1,,,,,,,,,1.8,,-0.633,-0.187,
6,MAS,2,2021,-16.3,5.5,53.3,,-0.283,-0.115,-109,26,65,-10.8,-2701,8040,,,,,,0.404,,,0.7,0.5,0.4,-0.12,822.0,,,,0.4,0.2,5.1,1.9,2.5,-22,0.132,0.026,-148,,0.0,0.7,,,1.3,,,,,,,,,1.5,,1.102,-0.098,
7,MAS,1,2021,-12.2,4.2,100.0,,-0.279,-0.118,-98,26,57,-7.8,-3069,8918,,,,,,0.406,,,0.7,0.5,0.4,0.178,391.0,0.046,,,0.5,0.2,12.4,2.4,2.5,-22,0.22,0.053,-130,,-0.004,0.7,,,1.4,,,,,,,,,1.5,,-0.524,-0.094,
8,MAS,4,2020,-14.0,3.7,48.3,,-0.224,-0.101,-65,24,48,-8.4,-2605,9839,,,,,,0.44,,,0.8,0.5,0.4,0.335,821.0,0.073,,0.04,0.4,0.2,5.8,0.5,2.3,-18,0.166,0.044,-89,,-0.023,0.9,1.2,,-0.3,,,,,,,,,1.3,,-0.654,0.008,
9,MAS,3,2020,-19.0,3.8,15.3,,-0.155,-0.069,-38,19,42,-11.3,-1950,9759,,,,,,0.405,,,0.7,0.5,0.4,-8.146,2374.0,,,,0.4,0.2,1.9,0.8,2.5,-23,0.175,0.051,-61,,-0.024,1.1,,,1.1,,,,,,,,,1.5,,-0.521,-0.115,
10,MAS,2,2020,128.2,3.2,7.5,,0.021,0.009,-33,15,35,-11.9,272,11031,,,,,,0.408,,,0.7,0.6,0.5,-0.886,4955.0,,,,0.4,0.2,1.1,1.1,2.5,-21,0.241,0.076,-52,,-0.037,1.5,,,1.1,,,,,,,,,1.5,,-0.323,-0.156,
11,MAS,1,2020,10.1,1.9,4.7,,0.175,0.076,-26,13,26,-0.6,2384,13070,,,,,,0.436,,,0.8,0.7,0.6,-0.343,7318.0,0.119,,,0.4,0.2,1.0,1.3,2.3,-17,0.155,0.066,-39,,-0.072,1.7,,,3.3,,,,,,,,,1.3,,-0.154,-0.026,
12,MAS,4,2019,14.7,4.0,4.0,,0.272,0.122,20,14,23,7.9,3626,13418,,,,,,0.458,,,0.8,0.7,0.5,0.034,8646.0,0.173,0.066,0.063,0.4,0.2,0.8,1.5,2.2,-17,0.179,0.07,10,18.7,-0.056,2.0,1.2,0.066,1.2,,,,,,,,,1.2,,-0.024,-0.13,
13,MAS,3,2019,12.3,2.8,5.4,,0.25,0.109,20,13,22,12.1,3505,15425,,,,,,0.475,,,0.9,0.9,0.8,0.056,8860.0,0.191,0.096,0.066,0.3,0.2,0.8,0.1,2.1,-5,0.334,0.107,11,17.9,-0.108,1.8,1.2,0.096,0.8,,,,,,,,,1.1,,0.028,0.064,
14,MAS,2,2019,13.4,3.1,5.8,,0.252,0.102,23,14,27,4.7,3320,14494,,,,,,0.462,,,0.9,0.8,0.6,-0.068,8618.0,0.187,0.077,0.052,0.4,0.2,1.0,0.4,2.2,-12,0.271,0.083,10,16.0,-0.099,1.7,1.2,0.077,0.8,,,,,,,,,1.2,,-0.04,0.025,
15,MAS,1,2019,12.8,3.2,5.7,,0.238,0.102,27,15,26,8.0,3563,14137,,,,,,0.433,,,0.8,0.7,0.6,0.031,8975.0,0.185,0.082,0.068,0.6,0.3,1.1,1.1,2.3,-16,0.226,0.071,17,13.3,-0.161,1.6,1.2,0.082,1.0,,,,,,,,,1.3,,0.016,0.063,
16,MAS,4,2018,12.1,3.1,6.5,,0.243,0.104,23,16,29,6.2,3458,13296,,,,,,0.442,,,0.8,0.7,0.6,0.203,8831.0,0.192,0.088,0.059,0.6,0.3,1.0,0.2,2.3,-10,0.091,0.024,9,16.0,-0.177,1.7,1.2,0.088,0.8,,,,,,,,,1.3,,0.087,0.052,
17,MAS,3,2018,18.3,4.2,6.5,,0.207,0.086,27,16,24,5.6,2874,12632,,,,,,0.398,,,0.7,0.7,0.6,-0.184,8125.0,0.18,0.079,0.056,0.7,0.3,1.0,0.3,2.5,-14,0.185,0.051,18,13.6,-0.3,1.6,1.2,0.079,0.9,,,,,,,,,1.5,,-0.021,0.065,
18,MAS,2,2018,11.6,3.4,4.7,,0.238,0.099,31,16,29,6.3,3521,11863,,,,,,0.352,,,0.5,0.5,0.4,-0.386,8298.0,0.189,0.098,0.072,0.9,0.3,0.9,1.4,2.8,-32,0.189,0.061,18,11.9,-0.529,1.6,1.2,0.098,0.9,,,,,,,,,1.8,,-0.352,-0.253,
19,MAS,1,2018,11.9,4.3,4.0,,0.358,0.161,42,16,32,5.0,5737,15874,,,,,,0.425,,,0.7,0.7,0.6,-0.383,12798.0,0.182,0.072,0.064,0.6,0.3,0.7,1.3,2.4,-19,0.279,0.118,26,8.7,-0.557,1.7,1.2,0.072,1.1,,,,,,,,,1.4,,-0.288,0.044,
20,MAS,4,2017,8.6,5.2,4.4,,0.621,0.28,22,16,29,1.5,9294,15199,,,,,,0.416,,,0.7,0.7,0.6,-0.178,17978.0,0.145,0.024,0.014,0.6,0.2,0.4,0.6,2.4,-18,0.266,0.062,8,16.8,-0.7,2.1,1.1,0.024,0.7,,,,,,,,,1.4,,-0.146,0.006,
21,MAS,3,2017,6.9,5.2,5.0,,0.74,0.345,21,15,22,15.8,11304,15108,,,,,,0.432,,,0.8,0.8,0.7,-0.043,21041.0,0.178,0.082,0.089,0.5,0.2,0.3,1.2,2.3,-13,0.359,0.061,13,17.6,-0.715,2.3,1.2,0.082,1.3,,,,,,,,,1.3,,-0.065,-0.146,
22,MAS,2,2017,6.8,4.6,4.5,,0.757,0.361,22,15,22,34.9,11813,17695,,,,,,0.475,,,0.9,1.0,0.9,-0.006,22512.0,0.3,0.213,0.168,0.3,0.1,0.2,1.2,2.1,2,0.501,0.098,15,16.2,-0.637,2.3,1.3,0.213,1.0,,,,,,,,,1.1,,-0.177,0.092,
23,MAS,1,2017,7.0,5.1,4.7,,0.806,0.384,37,16,28,76.7,11888,16206,,,,,,0.476,,,0.9,1.1,1.0,0.134,27362.0,0.36,0.272,0.216,0.3,0.1,0.2,0.5,2.1,8,0.21,0.038,25,9.9,-0.453,2.4,1.2,0.272,1.0,,,,,,,,,1.1,,0.146,0.1,
24,MAS,4,2016,8.5,6.1,5.3,,0.751,0.377,22,14,21,36.4,10483,14726,,,,,,0.493,,,1.0,1.2,1.0,-0.031,23881.0,0.239,0.155,0.12,0.3,0.1,0.2,0.2,2.0,7,0.379,0.062,15,16.5,-0.345,2.5,1.3,0.155,1.0,,,,,,,,,1.0,,0.006,-0.046,
