,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,MEC,2,2020,-0.2,-0.2,-46.6,,-4.684,-0.051,-545,1038,834.0,-0.1,-5077,-6543,,,,,,-0.07,,,-0.1,0.7,0.5,-0.218,-922.0,0.019,,,-6.7,0.4,-45.7,2.1,-14.2,-181,-0.02,0.061,-341.0,,-0.001,0.1,,,20.6,,,,,,,,,-16.3,,-0.295,-2.869,
1,MEC,1,2020,-0.2,0.3,-32.8,,-0.886,-0.061,-306,1140,871.0,-0.2,-6497,3500,,,,,,0.034,,,0.0,0.9,0.6,0.219,-1307.0,0.128,,,10.5,0.4,-32.6,2.2,29.2,-99,0.103,0.272,-38.0,,-0.001,0.1,,,7.4,,,,,,,,,24.9,,0.339,-0.396,
2,MEC,4,2019,-0.3,0.3,-43.6,,-0.624,-0.05,1366,944,755.0,-0.5,-5331,5799,,,,,,0.056,,,0.1,0.9,0.6,-0.407,-976.0,-0.024,-0.182,-0.57,6.6,0.4,-44.1,1.8,18.0,-67,0.059,0.231,1555.0,0.3,-0.001,0.1,1.0,-0.182,3.2,,,,,,,,,15.6,,-0.447,-0.22,
3,MEC,3,2019,-0.2,0.2,-25.0,,-0.748,-0.08,1348,921,795.0,-0.2,-8984,7435,,,,,,0.069,,,0.1,0.9,0.6,0.173,-1763.0,0.105,-0.079,-0.523,5.4,0.4,-25.0,1.9,14.4,-55,0.08,0.427,1474.0,0.3,-0.001,0.1,1.0,-0.079,6.8,,,,,,,,,12.5,,0.073,-0.146,
4,MEC,2,2019,-0.2,0.2,-27.3,,-0.607,-0.069,1425,949,725.0,-0.4,-7657,8711,,,,,,0.081,,,0.1,0.9,0.6,0.474,-1644.0,0.114,-0.284,-1.6,4.7,0.4,-27.1,1.9,12.3,-47,0.121,0.659,1650.0,0.3,0.004,0.1,1.0,-0.284,5.7,,,,,,,,,10.6,,1.315,-0.219,
5,MEC,1,2019,-0.4,0.2,-63.8,,-0.375,-0.046,1025,710,649.0,0.2,-5194,11160,,,,,,0.1,,,0.1,1.0,0.7,-0.002,-710.0,0.145,0.044,0.007,3.7,0.4,-63.1,1.8,10.0,-21,0.071,0.491,1086.0,0.4,0.0,0.1,1.2,0.044,0.2,,,,,,,,,8.5,,0.202,-0.012,
6,MEC,4,2018,-0.5,0.2,-79.2,,-0.374,-0.046,1263,806,499.0,-0.7,-5205,11294,,,,,,0.103,,,0.1,1.0,0.6,-42.845,-590.0,0.014,-0.375,-1.512,3.7,0.4,-77.3,1.8,9.7,-23,0.04,0.252,1569.0,0.3,0.0,0.1,1.0,-0.375,4.2,,,,,,,,,8.3,,-1.956,-0.319,
7,MEC,3,2018,27.3,0.2,76.5,,0.008,0.001,1207,794,438.0,-0.1,124,16583,,,,,,0.142,,,0.2,1.0,0.7,54.753,617.0,0.08,-0.04,0.027,2.6,0.4,75.1,1.9,7.0,19,0.059,0.464,1563.0,0.3,0.003,0.1,1.4,-0.04,-0.9,,,,,,,,,5.7,,-0.552,0.003,
8,MEC,2,2018,1075.5,0.1,,,0.0,0.0,1003,692,434.0,1.7,2,16532,,,,,,0.144,,,0.2,1.0,0.7,-0.989,1379.0,0.141,0.08,0.002,2.6,0.4,39.5,1.9,6.9,17,0.052,,1261.0,0.4,0.097,0.1,4.8,0.08,0.1,,,,,,,,,5.6,,-0.324,-0.001,
9,MEC,1,2018,14.5,0.2,23.4,,0.013,0.002,1003,839,401.0,1.3,206,16551,,,,,,0.143,,,0.2,1.1,0.7,0.552,2039.0,0.228,0.176,0.011,2.7,0.4,26.8,1.5,7.0,37,0.029,0.202,1440.0,0.4,-0.001,0.1,1.4,0.176,0.1,,,,,,,,,5.7,,-0.097,-0.001,
10,MEC,4,2017,24.8,0.2,21.9,,0.008,0.001,904,656,443.0,-0.1,133,16575,,,,,,0.142,,,0.2,1.1,0.7,-1.182,2259.0,0.139,-0.022,0.009,2.7,0.4,24.4,1.5,7.0,37,0.012,0.077,1117.0,0.4,-0.001,0.2,2.2,-0.022,-0.9,,,,,,,,,5.8,,-0.423,0.006,
11,MEC,3,2017,-3.4,0.2,13.2,,-0.043,-0.006,552,417,280.0,1.0,-729,16474,,,,,,0.139,,,0.2,1.0,0.7,0.382,3916.0,0.25,0.144,-0.015,2.8,0.4,14.6,1.5,7.2,34,0.027,0.153,689.0,0.7,-0.035,0.2,1.0,0.144,-0.1,,,,,,,,,5.9,,0.088,-0.004,
12,MEC,2,2017,-4.5,0.1,19.0,,-0.031,-0.004,533,393,239.0,1.6,-528,16546,,,,,,0.112,,,0.1,0.9,0.7,-0.257,3599.0,0.395,0.209,0.04,3.3,0.4,17.9,0.9,8.9,-45,0.023,0.167,687.0,0.7,-0.188,0.2,1.8,0.209,0.3,,,,,,,,,6.7,,0.008,0.013,
13,MEC,1,2017,-4.1,0.2,18.9,,-0.043,-0.005,377,289,183.0,0.8,-710,16329,,,,,,0.113,,,0.2,1.0,0.7,0.15,3573.0,0.23,0.103,-0.011,3.3,0.4,17.5,0.9,8.9,-38,0.048,0.369,483.0,1.0,-0.002,0.3,0.7,0.103,-0.1,,,,,,,,,6.6,,0.192,-0.007,
14,MEC,4,2016,-4.7,0.2,22.7,,-0.036,-0.004,428,288,200.0,2.0,-618,16444,,,,,,0.112,,,0.1,0.9,0.7,-2.065,2997.0,0.162,0.091,-0.053,3.3,0.4,20.6,0.9,8.9,-39,0.02,0.176,516.0,0.9,-0.001,0.3,0.8,0.091,-0.5,,,,,,,,,6.7,,-0.075,-0.048,
15,MEC,3,2016,6.4,0.2,21.7,,0.034,0.004,304,274,181.0,0.5,580,17265,,,,,,0.123,,,0.2,1.0,0.6,0.002,3239.0,0.145,0.063,0.022,3.1,0.4,19.1,0.9,8.1,-23,0.031,0.197,397.0,1.2,0.0,0.4,1.2,0.063,0.4,,,,,,,,,6.0,,-0.108,0.008,
