,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,MIG,4,2022,14.9,1.3,-4.3,,0.088,0.021,,,-301404,,969,11507,,,,,,0.221,,,0.3,1.0,1.0,-0.244,-3525,,,,0.0,0.0,0.0,,4.5,-242,0.048,0.039,,0.0,-0.036,0.0,0.8,,-0.2,,,,,,,,,3.5,,0.06,0.013,
1,MIG,3,2022,15.2,1.7,-5.3,,0.119,0.029,,,-345644,,1281,11364,,,,,,0.227,,,0.3,1.0,1.0,0.094,-3325,,,,0.0,0.0,0.0,,4.4,-6,0.025,0.017,,,-0.092,0.0,0.8,,-0.5,,,,,,,,,3.4,,0.007,0.028,
2,MIG,2,2022,20.5,2.2,-4.8,,0.111,0.027,,,-136042,,1171,11055,,,,,,0.225,,,0.3,1.0,1.0,-0.245,-3301,,,,0.0,0.0,0.0,,4.4,-111,0.025,0.02,,,-0.152,0.0,0.7,,-0.2,,,,,,,,,3.4,,-0.021,0.002,
3,MIG,1,2022,14.8,2.1,-8.7,,0.151,0.04,,,-166060,,1550,11038,,,,,,0.249,,,0.3,1.2,1.2,0.136,-3371,,,,0.0,0.0,0.0,,4.0,895,0.033,0.015,,0.0,-0.055,0.0,0.8,,-0.8,,,,,,,,,3.0,,0.033,0.039,
4,MIG,4,2021,15.2,2.0,-8.8,,0.137,0.037,,,-148616,,1364,10628,,,,,,0.265,,,0.4,1.2,1.2,-0.082,-3264,,,,0.0,0.0,0.0,,3.8,921,0.005,0.002,,0.0,-0.048,0.0,0.8,,-0.7,,,,,,,,,2.8,,0.033,0.045,
5,MIG,3,2021,15.1,2.2,-6.6,,0.157,0.042,,,-244966,,1486,10167,,,,,,0.263,,,0.4,1.0,1.0,0.065,-3161,,,,0.0,0.0,0.0,,3.8,2,0.066,0.038,,0.0,-0.04,0.0,0.8,,-0.4,,,,,,,,,2.8,,-0.027,0.02,
6,MIG,2,2021,11.7,1.6,-8.8,,0.15,0.041,,,-217262,,1395,9969,,,,,,0.276,,,0.4,1.0,1.0,0.13,-3247,,,,0.0,0.0,0.0,,3.6,99,0.039,0.016,,0.0,-0.103,0.0,0.8,,-0.9,,,,,,,,,2.6,,-0.026,0.043,
7,MIG,1,2021,10.6,1.4,-5.8,,0.132,0.038,,,-917085,,1234,9562,,,,,,0.281,,,0.4,1.0,1.0,0.042,-3335,,,,0.0,0.0,-0.1,,3.6,174,0.026,0.016,,0.0,-0.013,0.0,0.8,,-0.5,,,,,,,,,2.6,,0.039,0.024,
8,MIG,4,2020,10.5,1.3,-4.6,,0.129,0.037,,,-689981,,1184,9334,,,,,,0.278,,,0.4,1.1,1.1,0.556,-3211,,,,0.0,0.0,-0.1,,3.6,210,0.008,0.006,,0.0,-0.012,0.0,0.8,,-0.9,,,,,,,,,2.6,,0.034,0.067,
9,MIG,3,2020,10.5,0.9,-5.3,,0.087,0.025,,,-1130031,,761,8751,,,,,,0.272,,,0.4,1.2,1.2,-0.071,-3105,,,,0.0,0.0,-0.1,,3.7,641,0.128,0.08,,0.0,-0.041,0.0,0.8,,-0.2,,,,,,,,,2.7,,0.046,0.012,
