,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,MIM,4,2022,-1.0,1.0,-3.3,,-0.646,-0.126,-60,86,62,-2.8,-4072,4245,,,,,,0.15,,,0.2,0.7,0.6,0.422,-2156,,,,0.7,0.1,-3.0,,6.7,-25,0.021,0.021,-37,,0.0,1.1,,,1.5,,,,,,,,,5.7,,1.278,-0.095,
1,MIM,3,2022,-2.0,1.2,,,-0.466,-0.081,-39,67,59,-8.6,-2864,4692,,,,,,0.154,,,0.2,0.7,0.6,4.768,-946,,,,0.8,0.1,-4.7,,6.5,-23,0.219,,-30,,0.264,1.4,,,1.2,,,,,,,,,5.5,,-1.642,-0.286,
2,MIM,2,2022,-19.1,1.4,9.3,,-0.073,-0.014,-30,145,61,-3.0,-496,6570,,,,,,0.182,,,0.2,0.8,0.3,-1.226,1474,,,,1.6,0.3,7.1,,5.5,-18,0.126,0.196,55,,-0.189,1.2,,,2.4,,,,,,,,,4.5,,-0.552,-0.238,
3,MIM,1,2022,5.5,1.4,5.9,,0.291,0.061,-16,148,47,2.0,2199,8627,,,,,,0.211,,,0.3,0.9,0.3,0.07,3288,0.087,0.065,0.037,1.2,0.3,3.1,,4.7,-13,0.043,0.04,85,,-0.218,1.3,1.0,0.065,0.6,,,,,,,,,3.7,,0.153,0.032,
4,MIM,4,2021,4.5,1.1,4.8,,0.28,0.06,-22,136,46,3.5,2055,8357,,,,,,0.229,,,0.3,0.8,0.3,2.213,2851,0.069,0.056,0.047,1.2,0.3,3.6,,4.4,-16,0.028,0.055,67,,-0.211,1.3,0.9,0.056,0.9,,,,,,,,,3.4,,0.728,0.1,
5,MIM,3,2021,15.5,1.3,,,0.088,0.017,-22,179,79,3.3,639,7596,,,,,,0.188,,,0.2,0.9,0.4,-2.253,1650,0.1,0.082,0.046,0.7,0.1,4.7,,5.3,-12,0.076,,78,,-0.514,1.0,1.0,0.082,0.6,,,,,,,,,4.3,,2.386,0.069,
6,MIM,2,2021,-17.4,1.3,41.3,,-0.069,-0.015,-13,206,69,3.6,-510,7106,,,,,,0.195,,,0.2,0.9,0.4,-0.52,487,0.104,0.086,0.057,1.5,0.3,21.6,,5.1,-7,0.057,0.04,124,,0.0,0.8,1.0,0.086,0.7,,,,,,,,,4.1,,-5.956,0.099,
7,MIM,1,2021,-6.2,1.0,-195.0,,-0.149,-0.035,-4,229,36,0.4,-1063,6467,,,,,,0.208,,,0.3,1.0,0.3,-0.335,-98,0.043,0.015,0.023,1.6,0.3,-101.5,,4.8,-1,0.136,0.088,190,,0.0,0.8,1.0,0.015,1.5,,,,,,,,,3.8,,-0.631,0.026,
8,MIM,4,2020,-2.9,0.7,-74.2,,-0.22,-0.05,-6,231,34,-1.0,-1598,6301,,,,,,0.199,,,0.2,1.0,0.3,0.021,-266,,,,1.6,0.3,-37.9,,5.0,-3,0.044,0.029,191,,0.0,0.8,,,2.3,,,,,,,,,4.0,,-0.008,-0.094,
9,MIM,3,2020,-7.9,1.8,-56.4,,-0.198,-0.048,0,239,91,-1.0,-1566,6956,,,,,,0.211,,,0.3,1.0,0.3,-0.102,-268,,,,1.5,0.3,-26.1,,4.7,-2,0.006,0.01,148,,0.0,0.7,,,2.3,,,,,,,,,3.7,,-0.103,-0.087,
