,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,MKV,4,2022,11.1,0.9,4.3,,0.084,0.055,83,121,22,8.2,1180,14724,,,,,,0.694,,,2.3,2.1,1.2,-0.096,3952.0,0.29,0.108,0.056,0.2,0.2,1.1,,1.4,34,0.057,0.064,182,4.4,-0.013,1.1,0.8,0.108,0.7,,,,,,,,,0.4,,-0.012,0.023,
1,MKV,3,2022,7.9,0.7,4.0,,0.095,0.059,91,104,38,15.8,1306,14399,,,,,,0.63,,,1.7,1.8,1.1,0.077,4000.0,0.272,0.114,0.064,0.3,0.2,1.1,,1.6,31,0.03,0.036,157,4.0,0.0,1.1,0.8,0.114,0.7,,,,,,,,,0.6,,0.041,0.032,
2,MKV,2,2022,10.6,0.9,3.7,,0.091,0.056,88,109,30,10.4,1213,13958,,,,,,0.658,,,1.9,1.8,0.9,-0.022,3843.0,0.296,0.123,0.058,0.3,0.2,1.2,,1.5,27,0.019,0.026,166,4.2,0.124,1.0,0.8,0.123,0.6,,,,,,,,,0.5,,0.162,0.026,
3,MKV,1,2022,11.0,1.0,5.0,,0.096,0.059,77,113,32,6.0,1240,13603,,,,,,0.645,,,1.8,1.6,0.8,-0.176,3307.0,0.242,0.045,0.012,0.4,0.2,1.3,,1.5,23,0.032,0.037,158,4.8,0.0,1.1,0.8,0.045,0.3,,,,,,,,,0.5,,0.023,0.004,
4,MKV,4,2021,9.2,1.0,5.1,,0.118,0.072,41,98,25,13.4,1505,13543,,,,,,0.624,,,1.7,1.5,0.8,-0.159,3232.0,0.281,0.122,0.088,0.4,0.2,1.2,,1.6,21,0.045,0.044,114,8.9,0.0,1.2,1.0,0.122,0.7,,,,,,,,,0.6,,0.04,0.034,
5,MKV,3,2021,16.6,2.3,5.3,,0.147,0.089,42,73,23,30.9,1789,13093,,,,,,0.61,,,1.6,1.9,1.2,0.092,3109.0,0.223,0.096,0.057,0.3,0.2,1.3,0.9,1.6,27,0.152,0.142,92,8.6,0.0,1.3,0.8,0.096,0.7,,,,,,,,,0.6,,0.054,0.027,
6,MKV,2,2021,20.1,2.6,7.8,,0.138,0.078,45,82,18,30.8,1639,12744,,,,,,0.578,,,1.4,1.9,1.2,0.028,2949.0,0.246,0.104,0.065,0.4,0.2,1.9,0.6,1.7,27,0.145,0.093,108,8.1,-0.107,1.1,0.8,0.104,0.8,,,,,,,,,0.7,,0.0,0.031,
7,MKV,1,2021,22.6,2.9,12.3,,0.139,0.078,40,89,31,22.5,1594,12363,,,,,,0.586,,,1.4,1.9,1.0,0.192,2948.0,0.232,0.079,0.045,0.3,0.2,1.8,0.2,1.7,24,0.049,0.018,98,9.1,0.0,1.1,0.8,0.079,0.7,,,,,,,,,0.7,,0.111,0.027,
8,MKV,4,2020,19.8,2.2,13.3,,0.118,0.065,17,83,27,13.7,1336,12033,,,,,,0.605,,,1.5,1.2,0.6,0.603,2654.0,0.322,0.154,0.124,0.3,0.2,2.2,8.6,1.7,7,0.062,0.023,74,20.9,0.0,1.0,1.0,0.154,0.8,,,,,,,,,0.7,,-0.013,0.075,
9,MKV,3,2020,14.4,1.1,13.9,,0.077,0.043,-10,75,21,4.8,834,11192,,,,,,0.604,,,1.5,1.1,0.5,0.275,2689.0,0.285,0.092,0.043,0.3,0.2,2.1,5.4,1.7,2,0.031,0.01,45,,0.0,1.1,0.8,0.092,0.6,,,,,,,,,0.7,,0.022,0.018,
