,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,MML,4,2022,-74.5,2.0,-130.5,,-0.027,-0.012,103,53,53,-1.1,-444,16458,,,,,,0.403,,,0.7,1.3,1.1,-1.157,-364,0.069,,,1.0,0.4,-43.3,0.5,2.5,878,0.077,0.04,103,3.5,-0.139,0.4,,,1.4,,,,,,,,,1.4,,-3.223,-0.026,
1,MML,3,2022,19.5,3.3,303.1,,0.161,0.061,85,98,78,-0.9,2835,16894,,,,,,0.442,,,0.8,1.7,1.5,-0.187,164,0.098,,,0.9,0.4,108.6,0.6,2.3,2055,0.064,0.032,104,4.3,-0.112,0.5,,,1.1,,,,,,,,,1.2,,-0.886,-0.015,
2,MML,2,2022,18.4,3.7,40.3,,0.198,0.073,14,62,49,-1.3,3488,17155,,,,,,0.452,,,0.9,1.5,1.4,-0.227,1435,0.054,,,0.8,0.4,13.0,0.5,2.2,1667,0.061,0.024,28,26.8,-0.128,0.7,,,1.7,,,,,,,,,1.1,,-0.488,-0.031,
3,MML,1,2022,16.7,4.3,26.8,,0.256,0.096,14,44,35,-1.4,4510,17713,,,,,,0.464,,,0.9,1.8,1.6,0.102,2801,0.06,,0.294,0.8,0.4,6.4,0.4,2.2,2182,0.119,0.035,24,25.3,-0.126,1.0,1.1,,-2.0,,,,,,,,,1.1,,-0.361,0.05,
4,MML,4,2021,18.7,4.5,22.9,,0.241,0.09,6,31,22,-0.1,4094,16876,,,,,,0.465,,,0.9,1.7,1.5,1.465,4382,0.09,,0.25,0.9,0.4,4.1,0.5,2.2,1819,0.037,0.009,16,57.2,-0.113,1.3,0.8,,-55.6,,,,,,,,,1.1,,-0.217,-0.083,
5,MML,3,2021,48.9,4.4,18.1,,0.095,0.032,0,52,25,2.0,1660,18412,,,,,,0.332,,,1.0,1.2,0.7,-0.04,5597,0.133,0.045,0.024,0.8,0.4,3.5,0.9,3.0,1177,0.091,0.033,27,,-0.086,1.2,1.0,0.045,0.6,,,,,,,,,1.1,,-0.048,0.02,
6,MML,2,2021,32.8,3.1,19.8,,0.101,0.033,-5,53,29,1.9,1729,18046,,,,,,0.312,,,0.9,0.9,0.6,0.309,5882,0.115,0.037,0.027,0.9,0.4,3.5,3.5,3.2,-877,0.156,0.047,19,,-0.137,1.1,0.8,0.037,0.9,,,,,,,,,1.2,,0.008,0.026,
7,MML,1,2021,41.1,3.1,17.3,,0.078,0.026,-2,56,33,2.7,1321,17581,,,,,,0.315,,,0.9,0.9,0.5,0.641,5834,0.143,0.059,0.029,0.8,0.4,3.3,3.6,3.2,-986,0.2,0.07,22,,-0.127,1.0,0.8,0.059,0.7,,,,,,,,,1.1,,0.074,0.025,
8,MML,4,2020,59.2,2.8,14.2,,0.048,0.016,-4,51,27,3.4,804,17161,,,,,,0.313,,,0.9,0.8,0.5,1.865,5431,0.164,0.077,0.028,0.8,0.4,3.3,3.3,3.2,-1158,0.193,0.092,21,,-0.128,1.0,0.5,0.077,0.7,,,,,,,,,1.1,,0.151,0.029,
9,MML,3,2020,138.1,2.3,15.2,,0.017,0.006,-3,52,29,3.3,280,16678,,,,,,0.337,,,0.9,0.8,0.5,-5.565,4720,0.179,0.082,0.034,0.8,0.4,3.4,3.1,3.0,-1229,0.141,0.069,20,,-0.208,1.0,0.6,0.082,0.7,,,,,,,,,1.1,,-0.092,0.027,
