,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,MTA,2,2022,-13.6,0.5,101.7,,-0.036,-0.02,26,56,43,-4.6,-368,10098,,,,,,0.545,,,1.5,1.1,0.7,0.672,74,0.014,,,0.3,0.2,40.2,0.6,1.8,44,0.073,0.194,39,14.2,-0.074,0.8,,,0.9,,,,,,,,,0.6,,-0.819,-0.01,
1,MTA,1,2022,-58.8,1.3,29.1,,-0.021,-0.012,34,65,39,-2.1,-220,10204,,,,,,0.539,,,1.6,1.2,0.6,5.138,410,0.051,,,0.3,0.2,7.3,0.6,1.9,87,0.065,0.091,60,10.8,-0.165,0.7,,,0.9,,,,,,,,,0.6,,-0.502,-0.003,
2,MTA,4,2021,-393.6,1.4,10.1,,-0.003,-0.002,37,63,32,-7.9,-35,10233,,,,,,0.559,,,1.7,1.3,0.7,-1.182,823,0.0,,,0.3,0.2,3.7,0.5,1.8,139,0.089,0.207,68,10.0,-0.061,0.8,,,1.0,,,,,,,,,0.6,,-0.363,-0.011,
3,MTA,3,2021,58.8,1.1,,,0.019,0.01,55,77,45,0.7,197,10351,,,,,,0.568,,,1.9,1.4,0.9,-0.673,1292,0.088,0.004,,0.2,0.2,3.8,0.5,1.8,177,0.115,,88,6.6,-0.082,0.5,,0.004,1.5,,,,,,,,,0.5,,-0.287,-0.021,
4,MTA,2,2021,11.6,0.7,,,0.059,0.033,27,81,67,3.9,603,10577,,,,,,0.569,,,1.9,1.4,0.9,-0.063,1810,0.116,0.044,0.023,0.2,0.2,1.4,0.5,1.8,172,0.108,,40,13.8,-0.155,0.6,0.6,0.044,0.8,,,,,,,,,0.5,,-0.126,0.015,
5,MTA,1,2021,13.2,0.8,,,0.063,0.035,21,98,82,13.4,643,10425,,,,,,0.567,,,2.0,1.5,0.9,-0.15,2071,0.176,0.11,0.05,0.2,0.2,1.3,0.4,1.8,198,0.096,,37,17.5,-0.139,0.5,0.5,0.11,1.0,,,,,,,,,0.5,,0.062,0.007,
6,MTA,4,2020,10.4,0.8,8.2,,0.076,0.041,12,116,108,,757,10349,,,,,,0.569,,,1.9,1.5,0.9,-0.332,1950,,,,0.3,0.2,1.7,0.3,1.8,177,0.048,0.045,20,31.7,-0.136,0.5,,,,,,,,,,,,0.5,,-0.008,0.014,
7,MTA,3,2020,6.8,0.8,8.2,,0.116,0.056,4,81,80,13.5,1134,10210,,,,,,0.459,,,1.1,1.4,0.9,1.015,1966,0.246,0.163,0.119,0.6,0.3,2.6,0.2,2.2,178,0.107,0.14,5,88.9,-0.307,0.6,0.6,0.163,1.1,,,,,,,,,0.9,,0.648,0.017,
8,MTA,2,2020,6.7,0.4,9.5,,0.057,0.03,-15,82,115,10.9,563,10038,,,,,,0.571,,,1.9,1.0,0.6,0.39,1193,0.272,0.22,0.049,0.2,0.1,2.4,1.1,1.8,-11,0.079,0.101,-48,,-0.229,0.6,0.3,0.22,0.7,,,,,,,,,0.5,,1.483,0.0,
9,MTA,3,2019,-4.6,0.2,,,-0.034,-0.017,71,150,143,-1.3,-328,9381,,,,,,0.507,,,1.3,0.8,0.4,29.726,-244,0.041,-0.057,-0.102,0.3,0.2,-15.4,1.4,2.0,-148,0.048,,78,5.1,-0.002,0.3,1.0,-0.057,1.7,,,,,,,,,0.7,,-2.217,-0.026,
