,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,MTG,2,2015,-0.7,0.1,-10.3,,-0.141,-0.056,26,30,58,0.6,-2802,17793,,,,,,0.379,,,0.6,1.0,0.9,-0.115,-983,0.073,0.016,-0.008,0.9,0.3,-8.5,107.3,2.6,-8,0.028,0.142,-2,14.2,0.0,1.2,1.0,0.016,-0.5,,,,,,,,,1.6,,0.102,-0.004,
1,MTG,1,2015,-1.0,0.2,-8.7,,-0.155,-0.065,30,25,88,-0.9,-3167,17864,,,,,,0.423,,,0.7,0.6,0.4,-0.201,-892,0.051,-0.02,-0.013,0.6,0.3,-5.4,76.3,2.4,-51,0.028,0.137,-33,12.1,-0.001,1.2,1.0,-0.02,0.6,,,,,,,,,1.4,,-0.216,-0.084,
2,MTG,4,2014,,,-9.1,,-0.182,-0.077,34,25,78,-2.4,-3963,19512,,,,,,0.447,,,0.8,0.6,0.5,1.196,-1138,0.014,-0.05,-0.096,0.5,0.2,-4.0,67.0,2.2,-42,0.055,0.27,-18,10.7,-0.001,1.4,1.0,-0.05,1.9,,,,,,,,,1.2,,31.012,-0.068,
3,MTG,3,2014,,,-349.2,,-0.081,-0.035,27,23,64,-3.6,-1805,20938,,,,,,0.461,,,0.9,0.7,0.5,2.14,-36,-0.04,-0.067,-0.059,0.4,0.2,-133.3,37.1,2.2,-38,0.06,0.133,-14,13.4,0.028,1.7,1.0,-0.067,0.9,,,,,,,,,1.2,,-1.036,-0.048,
4,MTG,2,2014,,,7.4,,-0.025,-0.011,17,16,35,0.7,-574,21988,,,,,,0.416,,,0.7,0.7,0.4,3.284,984,0.087,0.013,-0.034,0.7,0.3,6.3,65.4,2.4,-47,0.065,0.153,-2,21.1,0.41,2.0,0.9,0.013,-2.4,,,,,,,,,1.4,,-0.002,-0.042,
5,MTG,1,2014,,,8.9,,-0.006,-0.003,25,13,52,-3.8,-134,22962,,,,,,0.412,,,0.7,0.7,0.5,-1.157,986,0.0,-0.03,-0.04,0.3,0.1,4.1,27.4,2.4,-46,0.09,0.174,-15,14.8,-0.004,2.0,1.0,-0.03,1.3,,,,,,,,,1.4,,-0.358,-0.05,
6,MTG,4,2013,,,6.6,,0.036,0.015,32,19,56,5.2,854,24159,,,,,,0.41,,,0.7,0.8,0.6,1.998,1537,0.064,0.038,0.024,0.3,0.1,3.3,28.1,2.4,-37,0.103,0.25,-5,11.4,-0.003,1.9,1.3,0.038,0.8,,,,,,,,,1.4,,0.373,0.027,
7,MTG,3,2013,,,6.0,,0.012,0.005,25,21,50,2.0,284,23528,,,,,,0.398,,,0.7,0.8,0.5,-0.844,1119,0.036,0.015,0.003,0.4,0.2,4.9,39.4,2.5,-42,0.037,0.146,-4,14.4,-0.031,1.9,1.4,0.015,0.3,,,,,,,,,1.5,,-0.398,0.004,
8,MTG,2,2013,,,4.1,,0.08,0.039,19,4,33,0.7,1829,23438,,,,,,0.495,,,1.0,0.7,0.6,0.974,1859,0.056,0.009,-0.001,0.4,0.2,3.0,31.8,2.0,-39,0.057,0.19,-9,18.7,-0.429,1.8,1.7,0.009,-0.2,,,,,,,,,1.0,,0.404,-0.003,
9,MTG,1,2013,,,6.9,,0.04,0.019,30,17,50,1.4,926,23504,,,,,,0.469,,,0.9,0.7,0.6,0.151,1324,0.047,0.016,0.002,0.4,0.2,4.1,33.1,2.1,-38,0.04,0.146,-3,12.2,0.0,1.5,1.4,0.016,0.2,,,,,,,,,1.1,,0.158,-0.004,
