,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,NAB,4,2022,4.6,0.6,,,0.171,0.011,,,,,2084,14944,0.032,0.258,0.013,0.772,0.052,0.071,0.106,0.557,0.1,,,-0.008,,,,,,,,,14.0,,,,,,,,,,,0.349,0.149,0.701,0.673,0.956,0.733,0.009,0.319,13.0,0.009,,0.024,0.164
1,NAB,3,2022,4.6,0.7,,,0.177,0.011,,,,,2102,14598,0.033,0.088,0.02,0.57,0.05,0.071,0.109,0.421,0.1,,,0.177,,,,,,,,,14.1,,,,,,,,,,,0.463,0.363,0.683,0.654,0.957,0.714,0.013,0.337,13.1,0.006,,0.049,0.165
2,NAB,2,2022,6.0,0.8,,,0.157,0.01,,,,,1786,13914,0.03,0.082,0.014,0.934,0.048,0.069,0.105,0.465,0.1,,,-0.044,,,,,,,,,14.5,,,,,,,,,,,0.427,0.31,0.685,0.654,0.899,0.763,0.009,0.335,13.5,0.004,,0.035,0.167
3,NAB,1,2022,8.5,1.2,,,0.173,0.011,,,,,1869,13439,0.031,0.099,0.015,0.813,0.05,0.07,0.105,0.43,0.1,,,0.103,,,,,,,,,14.3,,,,,,,,,,,0.455,0.423,0.695,0.668,0.928,0.749,0.01,0.329,13.3,0.003,,0.418,0.161
4,NAB,4,2021,9.0,1.6,,,0.196,0.01,,,,,1694,9480,0.031,0.166,0.016,0.795,0.051,0.052,0.078,0.443,0.1,,,-0.119,,,,,,,,,19.1,,,,,,,,,,,0.441,0.192,0.696,0.67,0.89,0.781,0.011,0.324,18.1,0.004,,0.038,0.151
5,NAB,3,2021,9.1,1.9,,,0.235,0.012,,,,,1924,9131,0.03,0.063,0.019,0.548,0.056,0.053,0.079,0.511,0.1,,,0.087,,,,,,,,,18.8,,,,,,,,,,,0.39,0.293,0.701,0.671,0.874,0.802,0.013,0.316,17.8,0.002,,0.037,0.135
6,NAB,2,2021,11.2,2.3,,,0.238,0.012,,,,,1769,8803,0.031,0.054,0.014,0.708,0.058,0.051,0.078,0.376,0.1,,,0.42,,,,,,,,,19.5,,,,,,,,,,,0.498,0.387,0.698,0.658,0.888,0.786,0.009,0.315,18.5,0.002,,0.07,0.245
7,NAB,1,2021,10.6,1.6,,,0.175,0.009,,,,,1245,8230,0.028,0.142,0.009,0.96,0.061,0.051,0.074,0.562,0.1,,,0.319,,,,,,,,,19.7,,,,,,,,,,,0.35,0.35,0.741,0.681,0.904,0.82,0.006,0.264,18.7,0.006,,0.056,0.325
8,NAB,4,2020,13.9,1.7,,,0.138,0.007,,,,,944,7795,0.024,0.322,0.008,1.145,0.061,0.049,0.074,0.356,0.1,,,0.362,,,,,,,,,20.4,,,,,,,,,,,0.513,0.389,0.713,0.664,0.908,0.786,0.006,0.296,19.4,0.006,,0.079,0.32
9,NAB,3,2020,,,,,0.109,0.006,,,,,693,7222,0.025,0.057,0.023,0.381,0.064,0.051,0.071,0.632,0.1,,,0.083,,,,,,,,,19.5,,,,,,,,,,,0.291,0.202,0.769,0.72,0.93,0.827,0.016,0.243,18.5,0.005,,0.195,0.365
10,NAB,2,2020,,,,,0.112,0.006,,,,,640,6042,0.025,0.084,0.029,0.301,0.066,0.048,0.066,0.479,0.1,,,-0.106,,,,,,,,,20.7,,,,,,,,,,,0.417,0.073,0.771,0.728,0.927,0.832,0.021,0.246,19.7,0.005,,0.009,0.288
11,NAB,1,2020,,,,,0.127,0.007,,,,,716,5990,0.024,0.158,0.02,0.566,0.067,0.052,0.072,0.742,0.1,,,-0.498,,,,,,,,,19.4,,,,,,,,,,,0.205,0.205,0.766,0.72,0.917,0.835,0.014,0.251,18.4,-0.001,,-0.38,0.317
12,NAB,4,2019,,,,,0.159,0.009,,,,,1425,9661,0.027,0.208,0.02,0.595,0.063,0.052,0.073,0.662,0.1,,,0.094,,,,,,,,,19.1,,,,,,,,,,,0.27,0.323,0.757,0.713,0.955,0.793,0.014,0.261,18.1,-0.001,,0.06,0.329
13,NAB,3,2019,,,,,0.154,0.009,,,,,1302,9114,0.027,0.011,0.024,0.537,0.064,0.053,0.074,0.727,0.1,,,-0.007,,,,,,,,,18.8,,,,,,,,,,,0.214,0.211,0.757,0.718,0.964,0.785,0.017,0.264,17.8,-0.005,,0.023,0.389
