,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,NBP,4,2022,7.3,0.7,3.8,,0.091,0.06,73,25,40,,1891,20620,,,,,,0.566,,,1.3,1.9,1.6,0.201,3330,0.045,0.018,0.015,0.0,0.0,0.0,,1.8,188,0.042,0.063,58,5.0,-0.092,2.3,0.8,0.018,1.1,,,,,,,,,0.8,,0.133,-0.05,
1,NBP,3,2022,9.1,0.7,4.0,,0.074,0.05,83,30,38,,1575,21717,,,,,,0.704,,,2.4,2.6,2.2,-0.525,2939,0.041,0.008,0.006,0.0,0.0,0.0,,1.4,191,0.052,0.088,75,4.4,0.634,2.0,0.8,0.008,1.0,,,,,,,,,0.4,,-0.424,0.005,
2,NBP,2,2022,4.6,0.7,3.1,,0.158,0.103,84,44,50,,3317,21605,,,,,,0.61,,,1.6,2.1,1.5,0.896,5104,0.157,0.113,0.093,0.0,0.0,0.0,,1.6,197,0.028,0.037,78,4.4,0.441,1.9,0.8,0.113,1.0,,,,,,,,,0.6,,0.598,0.051,
3,NBP,1,2022,9.1,0.8,5.3,,0.085,0.062,79,30,41,,1749,20556,,,,,,0.765,,,3.3,3.3,2.6,-0.142,3194,0.025,,,0.0,0.0,0.0,,1.3,184,0.135,0.141,68,4.6,0.43,2.3,,,0.9,,,,,,,,,0.3,,-0.083,-0.01,
4,NBP,4,2021,8.2,0.8,4.8,,0.097,0.078,78,28,13,,2038,20762,,,,,,0.793,,,3.8,3.7,2.9,-0.202,3484,0.07,0.007,0.006,0.0,0.0,0.0,,1.3,184,0.209,0.201,93,4.7,0.406,2.5,0.8,0.007,1.1,,,,,,,,,0.3,,-0.16,0.004,
5,NBP,3,2021,5.7,0.7,3.4,,0.124,0.078,68,36,37,,2555,20675,,,,,,0.651,,,1.9,2.2,1.7,1.687,4148,0.151,0.123,0.099,0.0,0.0,0.3,,1.5,166,0.244,0.266,67,5.4,-0.188,2.0,0.8,0.123,1.0,,,,,,,,,0.5,,0.86,0.017,
6,NBP,2,2021,13.0,0.6,6.8,,0.047,0.029,76,32,45,,951,20320,,,,,,0.703,,,2.4,2.6,2.0,-0.636,2230,0.026,0.0,0.001,0.0,0.0,0.8,,1.4,172,0.134,0.153,64,4.8,-0.03,1.9,0.7,0.0,18.2,,,,,,,,,0.4,,-0.492,-0.022,
7,NBP,1,2021,4.7,0.6,2.3,,0.128,0.081,67,27,45,,2611,20773,,,,,,0.696,,,2.3,2.5,1.9,-0.004,4394,0.039,0.005,0.006,0.0,0.0,0.6,,1.4,176,0.159,0.25,49,5.4,-0.015,2.2,0.8,0.005,1.6,,,,,,,,,0.4,,-0.022,-0.017,
8,NBP,4,2020,4.6,0.6,3.4,,0.13,0.097,56,27,13,111.5,2620,21135,,,,,,0.802,,,4.0,3.6,2.6,0.3,4491,0.106,0.054,0.044,0.0,0.0,0.2,,1.2,178,0.098,0.154,70,6.5,-0.03,3.0,0.8,0.054,1.0,,,,,,,,,0.2,,0.186,0.029,
9,NBP,3,2020,5.5,0.5,4.1,,0.101,0.06,38,26,35,5.4,2016,20530,,,,,,0.612,,,1.6,1.8,1.4,0.049,3786,0.057,0.024,0.016,0.1,0.1,0.3,,1.6,141,0.025,0.038,29,9.6,-0.024,2.8,0.8,0.024,0.8,,,,,,,,,0.6,,0.068,0.012,
10,NBP,2,2020,5.0,0.5,4.3,,0.098,0.051,41,20,42,33.2,1922,20280,,,,,,0.54,,,1.2,1.7,1.4,1.577,3546,0.103,0.081,0.062,0.2,0.1,0.5,,1.9,159,0.01,0.018,19,9.0,-0.163,2.7,0.8,0.081,1.0,,,,,,,,,0.9,,0.835,0.011,
11,NBP,1,2020,12.6,0.5,8.5,,0.037,0.022,42,16,36,2.8,745,20050,,,,,,0.574,,,1.3,1.8,1.5,-0.191,1933,0.025,0.006,0.004,0.3,0.2,1.4,,1.7,155,0.176,0.243,22,8.6,-0.88,3.0,0.8,0.006,0.7,,,,,,,,,0.7,,-0.01,0.039,
12,NBP,4,2019,11.0,0.5,5.6,,0.047,0.032,51,18,21,0.8,922,19297,,,,,,0.696,,,2.3,2.3,1.6,-0.714,1952,0.035,0.001,0.0,0.1,0.1,0.5,,1.4,142,0.044,0.071,47,7.2,-0.837,3.2,16.6,0.001,0.1,,,,,,,,,0.4,,-0.57,0.0,
13,NBP,3,2019,3.3,0.6,2.7,,0.173,0.102,44,27,43,,3226,19297,,,,,,0.569,,,1.3,1.6,1.1,0.157,4535,0.03,0.007,0.007,0.0,0.0,0.0,,1.8,112,0.055,0.08,29,8.2,-1.139,2.7,1.2,0.007,1.3,,,,,,,,,0.8,,0.174,0.008,
14,NBP,2,2019,3.7,0.5,3.0,,0.145,0.086,73,27,52,,2788,19141,,,,,,0.511,,,1.0,1.5,1.3,0.16,3863,0.043,0.022,0.019,0.0,0.0,0.0,,2.0,128,0.059,0.088,48,5.0,-0.861,2.3,1.3,0.022,1.1,,,,,,,,,1.0,,0.199,-0.036,
15,NBP,1,2019,4.1,0.5,3.7,,0.116,0.076,74,30,61,,2404,19863,,,,,,0.605,,,1.5,1.9,1.5,0.021,3222,0.047,0.017,0.017,0.0,0.0,0.0,,1.7,143,0.335,0.357,43,5.0,0.006,2.0,1.3,0.017,1.3,,,,,,,,,0.7,,0.042,-0.001,
16,NBP,4,2018,4.4,0.5,1.3,,0.113,0.077,90,27,42,,2354,19889,,,,,,0.66,,,1.9,2.4,2.1,-0.194,3093,0.175,0.13,0.108,0.0,0.0,0.0,,1.5,183,0.37,0.558,75,4.1,0.006,1.9,1.2,0.13,1.0,,,,,,,,,0.5,,-0.179,0.1,
17,NBP,3,2018,3.6,0.6,1.0,,0.158,0.096,55,29,59,,2922,18084,,,,,,0.616,,,1.6,2.0,1.5,-0.119,3770,0.016,-0.034,-0.026,0.0,0.0,0.0,,1.6,147,0.513,0.703,25,6.6,0.024,1.8,1.0,-0.034,0.8,,,,,,,,,0.6,,-0.103,-0.067,
18,NBP,2,2018,2.7,0.5,3.4,,0.174,0.118,60,37,43,,3319,19386,,,,,,0.708,,,2.4,3.1,2.4,-0.053,4203,0.049,0.005,0.008,0.0,0.0,0.0,,1.4,217,0.417,0.756,54,6.1,-0.184,2.0,1.3,0.005,1.9,,,,,,,,,0.4,,-0.059,-0.096,
19,NBP,1,2018,2.7,0.4,1.2,,0.168,0.118,72,38,51,,3506,21441,,,,,,0.704,,,2.4,3.1,2.5,0.033,4469,0.057,0.017,0.017,0.0,0.0,0.0,,1.4,242,0.333,0.567,59,5.1,0.012,1.9,1.3,0.017,1.3,,,,,,,,,0.4,,0.027,-0.011,
20,NBP,4,2017,2.8,0.4,0.6,,0.163,0.114,84,37,37,,3394,21673,,,,,,0.707,,,2.4,3.1,2.6,-435.58,4352,0.271,0.197,0.163,0.0,0.0,0.0,,1.4,243,0.281,0.406,84,4.4,0.011,1.8,1.2,0.197,1.0,,,,,,,,,0.4,,24.182,0.15,
21,NBP,3,2017,-1229.4,0.5,7.4,,0.0,0.0,81,37,62,,-7,18846,,,,,,0.603,,,1.5,2.1,1.9,-1.014,173,0.057,0.007,0.009,0.0,0.0,0.0,,1.7,178,0.664,0.907,56,4.5,0.0,1.5,1.3,0.007,1.8,,,,,,,,,0.7,,-0.817,0.006,
22,NBP,2,2017,17.9,0.5,6.5,,0.028,0.016,86,41,66,,543,18731,,,,,,0.647,,,1.8,2.5,2.1,-0.231,946,0.078,0.027,0.024,0.0,0.0,0.0,,1.5,197,0.565,0.633,60,4.3,1.606,1.5,1.3,0.027,1.2,,,,,,,,,0.5,,-0.206,-0.073,
23,NBP,1,2017,12.2,0.4,3.5,,0.034,0.022,110,39,62,,706,20204,,,,,,0.703,,,2.4,2.9,2.4,-0.505,1191,0.07,0.008,0.009,0.0,0.0,0.0,,1.4,213,0.56,0.729,87,3.3,0.0,1.6,1.3,0.008,1.4,,,,,,,,,0.4,,-0.444,0.005,
24,NBP,4,2016,7.1,0.5,2.1,,0.075,0.053,64,42,28,,1428,20098,,,,,,0.694,,,2.3,2.8,2.3,-0.335,2140,0.02,-0.058,-0.042,0.0,0.0,0.0,,1.4,211,0.501,0.689,77,5.7,0.0,1.9,1.3,-0.058,0.9,,,,,,,,,0.4,,-0.309,-0.026,
