,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,NBW,4,2022,9.8,1.1,2.7,,0.119,0.074,11,11,41,,1904,16687,,,,,,0.604,,,1.5,1.3,1.1,0.065,4956,0.359,0.028,0.025,0.0,0.0,0.0,,1.7,36,0.319,0.285,-19,33.3,-0.144,3.0,0.8,0.028,1.2,,,,,,,,,0.7,,-0.036,0.094,
1,NBW,3,2022,18.6,2.2,2.1,,0.118,0.069,6,8,47,,1788,15257,,,,,,0.591,,,1.4,1.2,1.1,0.085,5139,0.297,0.027,0.022,0.0,0.0,0.0,,1.7,20,0.359,0.338,-32,57.1,-0.204,2.9,0.7,0.027,1.1,,,,,,,,,0.7,,0.063,0.029,
2,NBW,2,2022,14.0,1.6,4.7,,0.111,0.064,4,7,44,,1647,14822,,,,,,0.567,,,1.3,1.1,1.0,0.003,4835,0.323,0.031,0.025,0.0,0.0,0.0,,1.8,15,0.403,0.208,-33,87.9,-0.131,2.8,0.8,0.031,1.0,,,,,,,,,0.8,,-0.006,-0.07,
3,NBW,1,2022,12.1,1.2,3.3,,0.104,0.064,9,8,54,,1643,15945,,,,,,0.622,,,1.6,1.3,1.2,0.009,4864,0.268,0.031,0.025,0.0,0.0,0.0,,1.6,27,0.293,0.225,-37,42.6,-0.062,2.7,0.8,0.031,1.0,,,,,,,,,0.6,,0.003,0.032,
4,NBW,4,2021,13.5,1.4,4.1,,0.106,0.067,3,7,47,,1628,15443,,,,,,0.651,,,1.9,1.2,1.1,0.053,4848,0.289,0.023,0.023,0.0,0.0,0.0,,1.5,15,0.336,0.235,-37,120.6,-0.111,2.8,0.8,0.023,1.3,,,,,,,,,0.5,,0.046,0.026,
5,NBW,3,2021,14.7,1.5,4.5,,0.103,0.058,1,10,63,,1546,15057,,,,,,0.582,,,1.4,1.1,1.0,-0.057,4636,0.213,0.02,0.019,0.0,0.0,0.0,,1.7,8,0.145,0.095,-52,295.3,-0.179,2.6,0.9,0.02,1.1,,,,,,,,,0.7,,-0.006,0.02,
6,NBW,2,2021,10.9,1.2,4.3,,0.112,0.065,-1,9,53,,1640,14762,,,,,,0.588,,,1.4,1.0,0.9,0.014,4663,0.284,0.033,0.027,0.0,0.0,0.0,,1.7,3,0.303,0.182,-46,,-0.198,2.8,0.8,0.033,1.0,,,,,,,,,0.7,,0.012,-0.065,
7,NBW,1,2021,11.1,1.1,2.9,,0.104,0.065,2,10,55,,1618,15788,,,,,,0.61,,,1.6,1.1,1.0,0.079,4608,0.283,0.03,0.026,0.0,0.0,0.0,,1.6,8,0.35,0.291,-43,227.6,-0.224,2.8,0.8,0.03,1.1,,,,,,,,,0.6,,0.028,0.029,
8,NBW,4,2020,11.5,1.1,3.2,,0.099,0.063,-5,9,48,,1499,15350,,,,,,0.611,,,1.6,1.0,0.9,0.049,4483,0.31,0.012,0.017,0.0,0.0,0.0,,1.6,-3,0.372,0.28,-44,,-0.189,2.9,1.0,0.012,1.4,,,,,,,,,0.6,,-0.084,0.02,
9,NBW,3,2020,13.5,1.3,2.4,,0.096,0.056,-4,13,62,,1429,15046,,,,,,0.552,,,1.2,1.0,0.9,0.084,4895,0.293,0.027,0.022,0.0,0.0,0.0,,1.8,-3,0.412,0.345,-54,,-0.193,2.7,0.7,0.027,1.2,,,,,,,,,0.8,,0.034,0.027,
10,NBW,2,2020,13.6,1.2,3.6,,0.09,0.053,-7,10,62,,1319,14657,,,,,,0.57,,,1.3,0.9,0.8,0.055,4734,0.299,0.037,0.029,0.0,0.0,0.0,,1.8,-8,0.221,0.159,-59,,-0.19,2.6,0.8,0.037,1.0,,,,,,,,,0.8,,0.04,-0.047,
11,NBW,1,2020,24.6,2.0,3.5,,0.082,0.053,-4,11,53,,1250,15383,,,,,,0.636,,,1.8,1.0,0.8,0.004,4550,0.308,0.026,0.019,0.0,0.0,0.0,,1.6,-2,0.135,0.114,-46,,-0.21,2.7,0.7,0.026,1.0,,,,,,,,,0.6,,0.026,0.021,
12,NBW,4,2019,26.2,2.2,7.5,,0.083,0.055,9,11,48,,1244,15063,,,,,,0.663,,,2.0,0.8,0.6,0.049,4436,0.365,0.023,0.015,0.0,0.0,0.0,,1.5,-19,0.146,0.063,-28,39.0,-0.21,2.7,1.7,0.023,1.1,,,,,,,,,0.5,,0.013,0.016,
13,NBW,3,2019,22.7,1.8,9.4,,0.081,0.05,19,13,55,,1186,14829,,,,,,0.632,,,1.7,0.9,0.7,0.015,4378,0.326,0.02,0.018,0.0,0.0,0.0,,1.6,-13,0.115,0.04,-23,19.0,-0.215,2.6,1.3,0.02,1.2,,,,,,,,,0.6,,0.013,0.019,
14,NBW,2,2019,13.7,1.1,6.4,,0.081,0.048,22,12,65,,1168,14551,,,,,,0.611,,,1.6,0.8,0.7,0.067,4321,0.323,0.032,0.027,0.0,0.0,0.0,,1.6,-18,0.115,0.057,-32,16.7,-0.121,2.5,1.2,0.032,1.0,,,,,,,,,0.6,,0.038,-0.046,
15,NBW,1,2019,13.6,1.0,4.3,,0.072,0.047,21,12,57,,1095,15247,,,,,,0.653,,,1.9,0.8,0.7,0.05,4165,0.32,0.027,0.021,0.0,0.0,0.0,,1.5,-15,0.108,0.085,-24,17.7,-0.112,2.5,1.2,0.027,1.0,,,,,,,,,0.5,,0.044,0.022,
