,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,NDX,4,2022,4.1,0.5,4.3,,0.131,0.067,74,20,20,10.1,1606,12531,,,,,,0.485,,,1.1,1.6,1.5,0.709,2008,0.074,0.05,0.042,0.3,0.1,1.5,2.2,2.1,59,0.043,0.088,75,4.9,0.0,1.2,0.8,0.05,1.1,,,,,,,,,0.9,,0.606,0.011,
1,NDX,3,2022,7.0,0.5,7.1,,0.077,0.045,123,33,38,16.3,940,12398,,,,,,0.609,,,1.9,2.1,1.9,0.69,1250,0.091,0.074,0.07,0.1,0.1,1.5,0.3,1.6,57,0.013,0.025,118,3.0,0.0,0.8,0.8,0.074,1.2,,,,,,,,,0.5,,1.19,0.004,
2,NDX,2,2022,12.6,0.6,13.5,,0.046,0.025,174,56,59,13.2,556,12350,,,,,,0.575,,,1.7,1.9,1.7,-0.297,571,0.166,0.12,0.033,0.1,0.1,3.8,0.2,1.7,57,0.04,0.093,171,2.1,0.0,0.5,0.9,0.12,0.3,,,,,,,,,0.6,,0.747,0.011,
3,NDX,1,2022,11.9,0.8,28.9,,0.065,0.041,184,52,55,0.7,791,12218,,,,,,0.685,,,2.8,2.9,2.5,0.381,327,0.084,0.019,0.196,0.1,0.1,5.9,0.2,1.5,55,0.037,0.065,181,2.0,-0.019,0.6,0.8,0.019,12.8,,,,,,,,,0.4,,-0.217,0.025,
4,NDX,4,2021,17.9,0.9,25.2,,0.048,0.03,171,49,40,1.6,573,11926,,,,,,0.547,,,1.4,1.7,1.5,-0.335,418,0.047,0.023,,0.2,0.1,3.1,0.6,1.8,51,0.056,0.09,180,2.1,-0.026,0.7,,0.023,-0.1,,,,,,,,,0.7,,-0.384,-0.005,
5,NDX,3,2021,9.2,0.7,21.9,,0.089,0.05,136,38,42,-0.9,862,11987,,,,,,0.566,,,1.6,1.8,1.6,0.012,678,0.013,,0.06,0.2,0.1,3.3,0.5,1.8,51,0.03,0.041,132,2.7,-0.026,0.7,0.9,,-2.7,,,,,,,,,0.6,,0.01,0.012,
6,NDX,2,2021,9.1,0.7,24.7,,0.09,0.046,144,50,50,4.5,852,11846,,,,,,0.535,,,1.4,1.7,1.4,0.481,671,0.091,0.065,0.091,0.2,0.1,4.0,0.6,1.9,49,0.065,0.075,145,2.5,-0.025,0.6,0.8,0.065,1.7,,,,,,,,,0.7,,0.666,-0.038,
7,NDX,1,2021,14.1,0.7,31.2,,0.057,0.033,223,66,66,2.6,575,12309,,,,,,0.584,,,1.7,2.0,1.6,0.112,403,0.064,0.033,0.029,0.2,0.1,6.1,0.1,1.7,55,0.043,0.071,223,1.6,0.0,0.5,0.8,0.033,1.1,,,,,,,,,0.6,,0.658,0.01,
8,NDX,4,2020,13.5,0.6,49.7,,0.052,0.034,408,91,103,11.9,517,12183,,,,,,0.723,,,2.6,2.6,2.2,0.624,243,0.144,0.105,0.124,0.0,0.0,5.2,,1.4,70,0.063,0.083,397,0.9,0.0,0.3,0.9,0.105,1.3,,,,,,,,,0.4,,-8.033,0.672,
9,NDX,3,2020,28.0,1.2,-452.0,,0.042,0.023,326,45,151,-2.0,318,7286,,,,,,0.538,,,1.2,1.6,1.5,-0.333,-35,0.012,,0.151,0.2,0.1,-77.5,,1.9,34,0.064,0.052,220,1.1,0.0,0.3,0.9,,-2.2,,,,,,,,,0.9,,-1.067,0.015,
