,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,NED,4,2022,9.0,0.5,7.7,,0.058,0.033,-192,21,110,1.7,627,11235,,,,,,0.598,,,1.5,0.4,0.4,0.083,1636,0.614,0.545,0.133,0.6,0.4,4.4,0.2,1.7,-37,0.0,0.001,-281,,0.0,0.1,0.6,0.545,0.4,,,,,,,,,0.7,,0.004,0.007,
1,NED,3,2022,11.9,0.6,7.9,,0.054,0.03,-138,30,106,2.3,579,11161,,,,,,0.587,,,1.4,0.7,0.7,3.365,1630,0.686,0.614,0.367,0.6,0.4,4.5,0.1,1.7,-12,0.014,0.026,-214,,0.0,0.1,1.0,0.614,0.6,,,,,,,,,0.7,,0.219,0.022,
2,NED,2,2022,53.5,0.6,9.7,,0.012,0.007,-313,18,115,2.8,132,10925,,,,,,0.568,,,1.3,0.3,0.3,-1.651,1337,0.726,0.687,0.39,0.7,0.4,5.7,0.2,1.8,-61,0.002,0.003,-410,,0.0,0.1,0.9,0.687,0.6,,,,,,,,,0.8,,0.387,0.042,
3,NED,1,2022,-53.4,1.0,15.9,,-0.018,-0.01,-181,25,117,1.3,-203,10490,,,,,,0.549,,,1.2,0.3,0.3,-1.219,964,0.574,0.517,0.086,0.7,0.4,7.9,0.1,1.8,-43,0.012,0.015,-274,,-0.004,0.1,0.8,0.517,0.2,,,,,,,,,0.8,,0.056,0.004,
4,NED,4,2021,14.8,1.3,16.9,,0.09,0.043,-156,29,137,1.0,932,10451,,,,,,0.537,,,1.2,0.2,0.2,-0.03,913,0.486,0.399,0.056,0.7,0.4,8.4,0.1,1.9,-64,0.001,0.001,-263,,-0.004,0.1,0.8,0.399,0.2,,,,,,,,,0.9,,-0.016,0.001,
5,NED,3,2021,9.3,0.9,19.0,,0.093,0.044,-57,15,142,0.0,961,10439,,,,,,0.524,,,1.1,0.1,0.1,-0.146,928,0.091,,,0.7,0.4,8.7,0.0,1.9,-58,0.006,0.006,-183,,0.007,0.1,,,23.2,,,,,,,,,0.9,,-0.087,-0.015,
6,NED,2,2021,9.0,1.0,19.5,,0.106,0.041,82,15,176,0.6,1125,10602,,,,,,0.499,,,1.0,0.4,0.3,-0.704,1016,0.389,0.284,,0.7,0.4,12.6,0.1,2.0,-71,0.025,0.021,-80,4.5,0.002,0.1,,0.284,-0.6,,,,,,,,,1.0,,-0.193,-0.096,
7,NED,1,2021,2.2,0.7,12.1,,0.384,0.139,-483,20,311,1.0,3800,11726,,,,,,0.532,,,1.1,0.8,0.7,0.675,1259,0.466,0.4,2.632,0.7,0.4,10.5,0.0,1.9,-21,0.03,0.046,-774,,0.004,0.1,0.8,0.4,8.8,,,,,,,,,0.9,,-0.032,0.151,
8,NED,4,2020,3.4,0.8,12.0,,0.244,0.08,-326,22,284,1.0,2269,10185,,,,,,0.427,,,0.7,1.0,1.0,0.116,1301,0.507,0.398,0.106,0.8,0.3,10.2,0.1,2.3,8,0.001,0.001,-589,,0.004,0.1,0.9,0.398,0.3,,,,,,,,,1.3,,-0.149,0.005,
9,NED,3,2020,4.1,0.8,9.6,,0.217,0.071,-188,15,279,0.4,2033,10132,,,,,,0.433,,,0.8,1.2,1.2,-0.202,1528,0.253,0.165,,0.8,0.4,9.0,0.0,2.3,37,0.193,0.248,-452,,-0.003,0.1,,0.165,-0.6,,,,,,,,,1.3,,-0.399,-0.051,
10,NED,2,2020,3.4,0.8,10.2,,0.271,0.076,-115,13,278,0.8,2548,10680,,,,,,0.323,,,0.5,1.6,1.6,-152.701,2542,0.346,0.306,2.756,1.7,0.5,7.3,0.1,3.1,105,0.064,0.077,-381,,0.006,0.1,0.8,0.306,11.0,,,,,,,,,2.1,,-0.107,0.325,
11,NED,1,2020,-437.8,0.9,10.1,,-0.002,-0.001,-416,13,384,0.2,-16,8062,,,,,,0.246,,,0.3,0.1,0.1,-1.041,2845,0.263,0.185,,2.3,0.6,6.7,0.1,4.1,-239,0.006,0.005,-787,,-0.005,0.1,,0.185,-3.4,,,,,,,,,3.1,,-0.135,-0.043,
12,NED,4,2019,16.0,0.8,8.5,,0.05,0.012,19,13,389,0.6,405,8426,,,,,,0.255,,,0.3,0.1,0.1,-0.355,3287,0.417,0.364,-0.21,2.2,0.6,5.8,0.1,3.9,-193,0.001,0.001,-357,18.8,-0.005,0.1,1.0,0.364,-0.6,,,,,,,,,2.9,,0.028,-0.02,
13,NED,3,2019,12.4,0.9,9.2,,0.077,0.019,49,13,342,2.0,629,8595,,,,,,0.255,,,0.3,0.2,0.2,-0.388,3197,0.568,0.543,0.261,2.2,0.6,5.9,0.1,3.9,-158,0.003,0.003,-280,7.5,-0.006,0.2,1.0,0.543,0.5,,,,,,,,,2.9,,-0.191,0.058,
14,NED,2,2019,8.6,1.1,7.2,,0.136,0.033,39,14,281,1.1,1027,8127,,,,,,0.238,,,0.3,0.1,0.1,-0.204,3953,0.525,0.478,0.046,2.4,0.6,4.6,0.1,4.2,-212,0.014,0.013,-228,9.5,-0.127,0.2,1.1,0.478,0.1,,,,,,,,,3.2,,-0.096,0.008,
15,NED,1,2019,6.4,1.0,6.8,,0.189,0.042,28,10,281,1.1,1289,8066,,,,,,0.236,,,0.3,0.2,0.2,-0.121,4372,0.557,0.514,0.062,2.4,0.6,4.4,0.1,4.2,-166,0.023,0.02,-243,13.3,-0.147,0.2,1.1,0.514,0.1,,,,,,,,,3.2,,-0.019,0.013,
16,NED,4,2018,5.9,1.1,6.9,,0.221,0.047,23,9,305,1.0,1466,7959,,,,,,0.234,,,0.3,0.2,0.2,-0.219,4456,0.455,0.4,0.038,2.4,0.6,4.4,0.1,4.3,-165,0.005,0.004,-272,15.6,-0.146,0.2,1.1,0.4,0.1,,,,,,,,,3.3,,-0.137,0.015,
17,NED,3,2018,4.7,1.1,6.1,,0.296,0.061,39,9,293,3.2,1878,7841,,,,,,0.234,,,0.3,0.5,0.5,0.292,5166,0.69,0.66,0.408,2.4,0.6,3.7,0.1,4.3,-92,0.048,0.033,-246,9.4,-0.162,0.2,1.1,0.66,0.7,,,,,,,,,3.3,,0.076,0.124,
18,NED,2,2018,6.2,1.3,6.0,,0.254,0.051,31,7,190,1.8,1453,6975,,,,,,0.242,,,0.3,0.6,0.6,0.367,4800,0.638,0.584,0.238,2.4,0.6,3.9,0.1,4.1,-49,0.003,0.002,-151,11.6,-0.034,0.2,1.2,0.584,0.5,,,,,,,,,3.1,,0.032,0.243,
