,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,NHC,4,2022,32.4,1.7,15.4,,0.05,0.047,541,177,23,,1019,19213,,,,,,0.959,,,25.1,21.6,16.6,-0.661,2026.0,0.471,,,0.0,0.0,0.0,,1.0,46,0.044,0.026,695,0.7,-0.057,0.5,,,17.1,,,,,,,,,0.0,,0.152,-0.047,
1,NHC,3,2022,10.1,1.5,17.7,,0.147,0.136,475,148,4,,3010,20155,,,,,,0.946,,,18.3,17.3,14.4,-0.253,1758.0,0.517,0.277,0.256,0.0,0.0,0.0,,1.1,49,0.091,0.056,619,0.8,-0.058,0.5,0.9,0.277,1.0,,,,,,,,,0.1,,0.7,-0.069,
2,NHC,2,2022,6.6,1.2,26.5,,0.196,0.18,437,132,20,,4029,21638,,,,,,0.942,,,16.9,17.0,15.1,0.124,1034.0,0.386,0.264,0.225,0.0,0.0,0.0,,1.1,53,0.145,0.103,549,0.8,-0.04,0.5,0.9,0.264,1.0,,,,,,,,,0.1,,0.956,0.056,
3,NHC,1,2022,7.8,1.4,58.1,,0.174,0.16,468,173,30,,3584,20491,,,,,,0.932,,,14.0,14.7,12.2,0.071,529.0,0.255,0.07,0.109,0.0,0.0,0.0,,1.1,49,0.177,0.106,611,0.8,0.039,0.4,0.8,0.07,2.1,,,,,,,,,0.1,,0.152,-0.062,
4,NHC,4,2021,8.3,1.3,56.3,,0.157,0.144,509,198,29,,3346,21852,,,,,,0.918,,,11.4,11.8,10.0,-0.064,459.0,0.199,,0.661,0.0,0.0,0.0,,1.1,53,0.129,0.088,678,0.7,0.0,0.4,1.0,,-3.2,,,,,,,,,0.1,,-0.749,0.043,
5,NHC,3,2021,8.1,1.4,13.6,,0.172,0.156,334,187,12,,3575,20943,,,,,,0.907,,,10.0,8.3,6.6,0.228,1832.0,0.25,,1.291,0.0,0.0,0.0,,1.1,42,0.295,0.2,510,1.1,-0.038,0.5,0.8,,-12.0,,,,,,,,,0.1,,-0.362,0.077,
6,NHC,2,2021,10.1,1.5,9.5,,0.148,0.131,167,124,23,,2911,19438,,,,,,0.896,,,8.8,4.9,3.3,-0.041,2870.0,0.349,0.196,0.164,0.0,0.0,0.0,,1.1,24,0.164,0.105,268,2.2,-0.037,0.7,0.8,0.196,1.1,,,,,,,,,0.1,,-0.06,-0.063,
7,NHC,1,2021,8.3,1.2,10.8,,0.147,0.133,156,83,16,,3035,20736,,,,,,0.911,,,10.5,6.0,4.0,-0.225,3053.0,0.284,0.052,0.026,0.0,0.0,0.0,,1.1,27,0.173,0.098,224,2.3,-0.042,0.8,0.5,0.052,1.1,,,,,,,,,0.1,,-0.248,-0.005,
8,NHC,4,2020,6.5,1.2,7.2,,0.193,0.174,116,67,7,,3915,20838,,,,,,0.913,,,10.8,5.7,3.4,-0.133,4058.0,0.378,0.246,0.303,0.0,0.0,0.0,,1.1,26,0.146,0.097,176,3.1,-0.042,1.1,0.9,0.246,1.4,,,,,,,,,0.1,,-0.134,0.009,
9,NHC,3,2020,5.0,1.1,6.3,,0.225,0.202,90,63,10,,4516,20647,,,,,,0.903,,,9.5,4.9,2.5,0.039,4686.0,0.246,0.139,0.152,0.0,0.0,0.0,,1.1,25,0.107,0.07,143,4.1,-0.028,1.3,1.0,0.139,1.1,,,,,,,,,0.1,,-0.03,0.04,
10,NHC,2,2020,4.7,1.0,6.2,,0.225,0.198,69,53,13,,4348,19849,,,,,,0.877,,,7.3,3.7,2.0,0.047,4831.0,0.253,0.145,0.117,0.0,0.0,0.0,,1.1,22,0.116,0.072,109,5.3,-0.051,1.5,0.8,0.145,1.1,,,,,,,,,0.1,,0.057,-0.033,
