,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,NNC,4,2022,10.4,1.2,50.4,,0.123,0.105,673,421,22,,1793,15417,,,,,,0.853,,,5.8,3.9,2.6,1.188,340,0.301,0.132,1.21,0.0,0.0,0.0,,1.2,156,0.065,0.054,1073,0.5,-0.768,0.2,0.8,0.132,11.4,,,,,,,,,0.2,,2.416,0.084,
1,NNC,3,2022,23.8,1.4,185.1,,0.059,0.05,604,394,16,,819,14224,,,,,,0.87,,,6.7,4.1,2.5,0.023,99,0.299,0.167,0.168,0.0,0.0,0.0,,1.1,132,0.111,0.079,982,0.6,-0.589,0.2,0.8,0.167,1.3,,,,,,,,,0.1,,0.217,0.01,
2,NNC,2,2022,20.8,1.2,183.4,,0.058,0.048,653,366,20,,801,14086,,,,,,0.878,,,7.2,4.8,3.2,-0.325,82,0.251,0.071,0.413,0.0,0.0,0.0,,1.1,150,0.17,0.138,999,0.6,-0.112,0.2,0.9,0.071,6.2,,,,,,,,,0.1,,-0.915,0.024,
3,NNC,1,2022,22.3,1.9,15.1,,0.087,0.072,414,282,25,,1187,13759,,,,,,0.868,,,6.6,4.4,2.8,-0.322,966,0.142,,0.004,0.0,0.0,0.0,,1.2,143,0.186,0.15,671,0.9,-0.037,0.3,0.8,,-0.5,,,,,,,,,0.2,,-0.422,0.001,
4,NNC,4,2021,16.0,2.0,11.8,,0.128,0.104,308,231,19,,1752,13747,,,,,,0.85,,,5.7,3.8,2.4,-0.44,1670,0.065,,0.309,0.0,0.0,0.0,,1.2,141,0.272,0.158,521,1.2,-0.032,0.4,1.1,,-2.9,,,,,,,,,0.2,,-0.486,0.022,
5,NNC,3,2021,9.1,2.1,7.3,,0.206,0.16,269,201,12,,3130,13450,,,,,,0.806,,,4.2,2.9,1.8,-0.266,3247,0.24,0.168,0.168,0.0,0.0,0.0,,1.2,132,0.287,0.139,458,1.4,-0.019,0.5,0.8,0.168,1.3,,,,,,,,,0.2,,-0.314,0.009,
6,NNC,2,2021,6.1,2.0,5.5,,0.293,0.227,184,136,15,,4265,13332,,,,,,0.783,,,3.6,2.6,1.8,-0.188,4731,0.369,0.338,0.262,0.0,0.0,0.0,,1.3,128,0.321,0.141,305,2.0,-0.018,0.7,0.8,0.338,1.0,,,,,,,,,0.3,,-0.209,-0.014,
7,NNC,1,2021,5.9,2.3,3.0,,0.379,0.3,137,121,18,,5256,13516,,,,,,0.791,,,3.8,2.7,1.8,-0.071,5980,0.335,0.263,0.215,0.0,0.0,0.0,,1.3,130,0.388,0.224,240,2.7,-0.019,0.9,0.8,0.263,1.0,,,,,,,,,0.3,,-0.088,-0.003,
8,NNC,4,2020,6.6,2.7,3.5,,0.421,0.324,115,106,17,,5657,13550,,,,,,0.776,,,3.5,2.6,1.7,-0.015,6558,0.498,0.397,0.414,0.0,0.0,0.0,,1.3,128,0.171,0.086,204,3.2,-0.018,1.1,0.8,0.397,1.3,,,,,,,,,0.3,,-0.025,-0.202,
9,NNC,3,2020,6.9,2.3,5.0,,0.341,0.262,169,90,12,,5745,16985,,,,,,0.755,,,3.1,2.8,2.1,0.023,6730,0.413,0.371,0.301,0.0,0.0,0.0,,1.3,201,0.24,0.108,247,2.2,-0.068,0.9,0.8,0.371,1.0,,,,,,,,,0.3,,0.02,0.074,
10,NNC,2,2020,6.9,2.4,6.7,,0.357,0.278,136,75,12,,5615,15818,,,,,,0.77,,,3.4,2.8,2.1,0.046,6596,0.416,0.388,0.312,0.0,0.0,0.0,,1.3,175,0.148,0.05,199,2.7,-0.068,1.1,0.8,0.388,1.0,,,,,,,,,0.3,,0.05,0.111,
11,NNC,1,2020,6.7,2.5,7.3,,0.376,0.295,108,73,14,,5367,14236,,,,,,0.792,,,3.8,2.9,2.0,-0.042,6283,0.297,0.273,0.216,0.0,0.0,0.0,,1.3,142,0.153,0.046,166,3.4,-0.176,1.3,0.8,0.273,1.0,,,,,,,,,0.3,,-0.037,0.067,
12,NNC,4,2019,7.4,3.1,6.2,,0.392,0.296,68,77,14,,5600,13346,,,,,,0.765,,,3.3,2.5,1.7,0.037,6527,0.317,0.263,0.292,0.0,0.0,0.0,,1.3,124,0.111,0.033,131,5.4,-0.177,1.2,1.2,0.263,1.3,,,,,,,,,0.3,,0.001,-0.201,
13,NNC,3,2019,7.2,2.3,6.8,,0.313,0.244,87,72,11,,5399,16700,,,,,,0.778,,,3.5,3.2,2.5,-0.248,6523,0.262,0.242,0.191,0.0,0.0,0.0,,1.3,212,0.234,0.081,148,4.2,-0.247,1.1,1.3,0.242,1.0,,,,,,,,,0.3,,-0.101,0.067,
14,NNC,2,2019,5.7,2.6,7.0,,0.381,0.311,71,88,14,,7183,15654,,,,,,0.791,,,3.8,3.2,2.4,-0.117,7260,0.305,0.286,0.229,0.0,0.0,0.0,,1.3,186,0.16,0.047,145,5.1,-0.524,1.1,1.3,0.286,1.0,,,,,,,,,0.3,,-0.088,0.095,
15,NNC,1,2019,4.8,2.7,6.7,,0.438,0.359,71,105,16,,8138,14299,,,,,,0.777,,,3.5,2.9,2.0,-0.043,7963,0.316,0.293,0.238,0.0,0.0,0.0,,1.3,156,0.09,0.024,159,5.2,-1.169,1.1,1.3,0.293,1.0,,,,,,,,,0.3,,-0.042,-0.06,
