,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,NRC,4,2022,56.0,0.3,8.7,,0.006,0.003,682,283,37161,-1.0,71,13088,,,,,,0.512,,,1.3,0.7,0.7,-0.974,1526,0.944,,,0.4,0.2,4.0,7.6,2.0,-190,0.001,0.004,-36196,0.5,0.0,0.1,,,2.2,,,,,,,,,0.7,,-0.686,-0.046,
1,NRC,3,2022,4.9,1.0,2.9,,0.23,0.139,247,117,79,14.9,2789,13720,,,,,,0.538,,,1.5,1.5,1.5,-0.184,4866,0.998,2.02,0.435,0.4,0.3,0.9,1.3,1.9,305,0.002,0.006,285,1.5,-0.865,0.3,0.7,2.02,0.3,,,,,,,,,0.7,,0.155,0.012,
2,NRC,2,2022,4.2,1.1,4.3,,0.293,0.185,211,280,11,0.7,3415,13560,,,,,,0.577,,,1.4,1.6,1.5,0.337,4214,0.761,0.144,0.265,0.5,0.3,1.0,1.3,1.7,367,0.002,0.003,480,1.7,-0.863,0.3,0.8,0.144,2.4,,,,,,,,,0.7,,0.214,0.038,
3,NRC,1,2022,9.1,1.8,6.9,,0.219,0.146,362,131,69,1.7,2554,13059,,,,,,0.603,,,1.5,3.1,3.1,0.197,3471,0.674,0.304,0.615,0.5,0.3,1.2,0.4,1.7,639,0.004,0.003,425,1.0,-0.859,0.3,0.8,0.304,2.5,,,,,,,,,0.7,,-0.218,0.049,
4,NRC,4,2021,12.3,2.1,6.8,,0.243,0.142,575,801,-146,60.1,2134,12452,,,,,,0.57,,,1.3,3.2,3.0,2.452,4436,0.921,0.771,0.59,0.4,0.2,1.1,0.3,1.8,916,0.005,0.004,1521,0.6,-0.823,0.3,0.8,0.771,1.0,,,,,,,,,0.8,,6.669,0.18,
5,NRC,3,2021,28.8,1.7,56.0,,0.082,0.055,942,1632,-60,47.2,618,10555,,,,,,0.717,,,2.6,3.8,3.5,-5.951,578,0.93,0.662,0.641,0.1,0.1,1.9,0.0,1.4,395,0.003,0.002,2634,0.4,-0.113,0.2,0.9,0.662,1.1,,,,,,,,,0.4,,-1.873,0.082,
6,NRC,2,2021,-146.7,1.9,-79.1,,-0.017,-0.012,1302,936,-52,-15.3,-124,9759,,,,,,0.729,,,2.7,4.5,4.1,-1.173,-663,0.818,,,0.1,0.1,-1.7,0.0,1.4,322,0.002,0.001,2290,0.3,-0.142,0.1,,,1.0,,,,,,,,,0.4,,-1.689,-0.048,
7,NRC,1,2021,31.0,2.2,28.1,,0.1,0.069,706,657,-38,-20.1,721,10246,,,,,,0.771,,,3.5,3.6,3.3,0.119,962,0.749,,,0.1,0.1,1.1,1.4,1.3,291,0.006,0.005,1401,0.5,-0.194,0.2,,,0.8,,,,,,,,,0.3,,-0.502,1.013,
8,NRC,4,2020,19.5,2.5,32.5,,0.135,0.074,859,874,36,18.6,645,5090,,,,,,0.613,,,1.6,5.1,4.2,1.155,1933,0.891,0.496,0.916,0.2,0.1,2.0,1.5,1.6,482,0.028,0.008,1697,0.4,-0.2,0.3,1.0,0.496,1.9,,,,,,,,,0.6,,-0.035,0.114,
9,NRC,3,2020,36.9,2.4,15.1,,0.075,0.032,568,246,115,9.2,299,4571,,,,,,0.602,,,1.6,7.7,6.4,-0.48,2003,0.679,0.17,0.087,0.1,0.0,0.8,0.0,1.7,512,0.013,0.009,698,0.6,-0.048,0.3,0.7,0.17,0.8,,,,,,,,,0.6,,-0.451,0.012,
