,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,NTH,4,2022,7.7,3.0,7.4,,0.401,0.275,-12,3,17,16.0,6392,16422,,,,,,0.733,,,2.7,1.0,0.9,-0.035,7311,0.635,0.593,0.53,0.3,0.2,0.8,1.0,1.4,-2,0.005,0.002,-27,,0.0,0.5,0.9,0.593,0.9,,,,,,,,,0.4,,-0.039,0.031,
1,NTH,3,2022,6.2,2.6,7.0,,0.439,0.301,-31,2,8,8.2,6622,15928,,,,,,0.729,,,2.7,0.8,0.8,0.163,7608,0.526,0.483,0.404,0.3,0.2,0.8,0.8,1.4,-6,0.006,0.002,-37,,0.0,0.6,0.9,0.483,0.9,,,,,,,,,0.4,,0.137,-0.002,
2,NTH,2,2022,7.3,2.6,7.4,,0.377,0.247,-31,2,17,13.5,5696,15960,,,,,,0.704,,,2.4,0.9,0.9,0.22,6692,0.648,0.617,0.544,0.4,0.3,1.0,0.7,1.4,-4,0.08,0.029,-46,,0.008,0.5,0.9,0.617,0.9,,,,,,,,,0.4,,0.181,-0.014,
3,NTH,1,2022,8.3,2.4,9.0,,0.299,0.194,-10,1,18,11.9,4669,16180,,,,,,0.698,,,2.3,1.0,1.0,0.19,5664,0.657,0.63,0.548,0.4,0.3,1.3,0.6,1.4,0,0.015,0.005,-27,,-0.001,0.4,0.9,0.63,0.9,,,,,,,,,0.4,,0.149,0.049,
4,NTH,4,2021,8.1,2.1,10.0,,0.254,0.155,-15,1,26,13.4,3923,15422,,,,,,0.641,,,1.8,0.8,0.8,-0.09,4931,0.615,0.581,0.51,0.5,0.3,1.7,0.5,1.6,-7,0.099,0.036,-40,,-0.004,0.4,0.9,0.581,0.9,,,,,,,,,0.6,,-0.076,0.08,
5,NTH,3,2021,8.5,2.6,8.7,,0.313,0.19,-69,1,15,1.3,4309,14274,,,,,,0.645,,,1.8,0.4,0.4,0.083,5336,0.272,0.21,0.037,0.5,0.3,1.6,0.4,1.6,-18,0.011,0.004,-83,,-0.021,0.5,0.9,0.21,0.2,,,,,,,,,0.6,,0.054,0.003,
6,NTH,2,2021,7.6,2.1,8.7,,0.281,0.164,-46,1,16,5.1,3978,14231,,,,,,0.607,,,1.5,0.5,0.5,0.032,5063,0.534,0.49,0.376,0.6,0.3,1.8,0.4,1.6,-18,0.004,0.001,-61,,-0.028,0.4,0.9,0.49,0.8,,,,,,,,,0.6,,0.012,-0.053,
7,NTH,1,2021,7.1,1.8,8.3,,0.272,0.154,-38,1,16,5.8,3854,15024,,,,,,0.603,,,1.5,0.8,0.8,0.081,5001,0.583,0.543,0.427,0.6,0.4,2.0,0.4,1.7,-6,0.011,0.005,-53,,-0.028,0.4,0.9,0.543,0.8,,,,,,,,,0.7,,0.051,-0.031,
8,NTH,4,2020,7.3,1.7,8.4,,0.243,0.135,-21,1,30,11.1,3567,15511,,,,,,0.584,,,1.4,1.0,1.0,0.662,4760,0.638,0.604,0.537,0.6,0.4,2.2,0.4,1.7,-2,0.089,0.045,-50,,-0.025,0.4,1.0,0.604,0.9,,,,,,,,,0.7,,0.414,0.17,
9,NTH,3,2020,11.0,1.8,11.5,,0.164,0.089,-91,1,16,-0.1,2145,13259,,,,,,0.568,,,1.3,0.2,0.2,0.131,3366,0.058,,,0.7,0.4,3.2,0.3,1.8,-23,0.011,0.005,-106,,-0.009,0.3,,,8.9,,,,,,,,,0.8,,-0.081,-0.056,
10,NTH,2,2020,12.1,1.6,10.6,,0.138,0.073,-50,1,29,3.7,1897,14048,,,,,,0.562,,,1.3,0.7,0.7,-0.231,3662,0.53,0.49,0.339,0.7,0.4,3.1,0.3,1.8,-10,0.008,0.004,-77,,-0.009,0.3,0.9,0.49,0.7,,,,,,,,,0.8,,-0.032,0.052,
