,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,NVB,4,2022,1127527.3,1.6,,,0.0,0.0,,,,,0,10352,0.014,0.149,0.179,0.112,0.051,0.064,0.121,0.585,0.1,,,-1.0,,,,,,,,,15.6,,,,,,,,,,,0.415,0.32,0.644,0.531,0.669,0.963,0.095,0.332,14.6,0.001,,0.032,0.147
1,NVB,3,2022,-29.6,1.8,,,-0.069,-0.004,,,,,-617,10027,0.01,1.035,0.147,0.136,0.051,0.071,0.124,3.481,0.1,,,3.099,,,,,,,,,14.0,,,,,,,,,,,-2.447,-3.215,0.724,0.578,0.702,1.031,0.085,0.258,13.0,0.009,,0.305,0.092
2,NVB,2,2022,-215.0,4.2,,,-0.019,-0.001,,,,,-150,7685,0.017,0.371,0.11,0.175,0.052,0.057,0.096,0.824,0.1,,,-528.818,,,,,,,,,17.6,,,,,,,,,,,0.141,-0.017,0.744,0.588,0.702,1.06,0.065,0.234,16.6,0.009,,-0.001,0.063
3,NVB,1,2022,128520.1,4.8,,,0.0,0.0,,,,,0,7694,0.019,0.357,0.037,0.529,0.057,0.058,0.106,0.574,0.1,,,-0.886,,,,,,,,,17.2,,,,,,,,,,,0.341,0.05,0.708,0.547,0.678,1.045,0.02,0.258,16.2,0.009,,0.005,-0.011
4,NVB,4,2021,10134.5,3.3,,,0.0,0.0,,,,,2,7658,0.02,0.648,0.03,0.554,0.057,0.058,0.102,0.547,0.1,,,-0.99,,,,,,,,,17.3,,,,,,,,,,,0.363,-0.335,0.735,0.564,0.645,1.14,0.017,0.233,16.3,0.013,,-0.037,0.032
5,NVB,3,2021,83.4,2.7,,,0.033,0.002,,,,,259,7951,0.028,0.038,0.019,0.757,0.062,0.055,0.107,0.536,0.1,,,0.732,,,,,,,,,18.3,,,,,,,,,,,0.371,0.14,0.675,0.51,0.595,1.135,0.01,0.275,17.3,0.017,,0.015,0.032
6,NVB,2,2021,102.9,2.0,,,0.019,0.001,,,,,149,7836,0.026,0.241,0.015,0.769,0.063,0.052,0.105,0.665,0.1,,,6.686,,,,,,,,,19.2,,,,,,,,,,,0.268,0.236,0.657,0.497,0.606,1.085,0.007,0.288,18.2,0.022,,0.018,0.074
7,NVB,1,2021,623.0,1.6,,,0.003,0.0,,,,,19,7694,0.027,0.07,0.015,0.753,0.066,0.053,0.105,0.512,0.1,,,7.954,,,,,,,,,18.9,,,,,,,,,,,0.39,0.051,0.689,0.503,0.573,1.204,0.008,0.255,17.9,0.025,,0.005,0.081
8,NVB,4,2020,3669.8,1.0,,,0.0,0.0,,,,,2,7655,0.021,0.148,0.015,0.753,0.057,0.048,0.106,0.314,0.0,,,-0.973,,,,,,,,,21.0,,,,,,,,,,,0.552,-0.028,0.601,0.45,0.559,1.075,0.007,0.329,20.0,0.021,,-0.005,0.063
9,NVB,3,2020,89.4,0.9,,,0.011,0.001,,,,,81,7691,0.022,0.074,0.018,0.646,0.067,0.058,0.107,0.532,0.1,,,0.005,,,,,,,,,17.4,,,,,,,,,,,0.246,0.007,0.68,0.539,0.62,1.097,0.01,0.288,16.4,0.013,,0.001,0.064
