,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,OIL,4,2022,17.3,0.9,12.8,,0.054,0.02,21,10,28,4.4,529,9791,,,,,,0.35,,,0.6,1.3,1.2,0.063,963,0.051,0.008,0.009,0.2,0.1,3.8,41.6,2.9,5995,0.361,0.431,3,17.7,-0.096,3.7,0.8,0.008,1.5,,,,,,,,,1.6,,-0.046,0.015,
1,OIL,3,2022,21.7,1.1,12.2,,0.052,0.019,21,13,20,-10.5,498,9646,,,,,,0.365,,,0.7,1.4,1.2,-0.413,1009,0.012,,,0.4,0.1,4.6,62.6,2.7,5891,0.18,0.212,14,17.2,-0.083,3.7,,,0.9,,,,,,,,,1.4,,-0.302,-0.059,
2,OIL,2,2022,14.4,1.2,9.0,,0.086,0.03,26,17,30,12.3,848,10248,,,,,,0.315,,,0.5,1.3,1.1,0.285,1446,0.047,0.021,0.014,0.4,0.1,3.1,70.5,3.2,6583,0.121,0.157,13,14.2,-0.06,3.0,0.7,0.021,1.0,,,,,,,,,1.8,,0.347,0.036,
3,OIL,1,2022,26.2,1.7,16.0,,0.069,0.023,30,21,37,6.4,660,9894,,,,,,0.285,,,0.5,1.3,1.0,0.127,1073,0.045,0.012,0.009,0.5,0.2,4.8,73.7,3.5,6150,0.247,0.215,14,12.1,-0.029,2.3,0.6,0.012,1.3,,,,,,,,,2.1,,0.153,0.024,
4,OIL,4,2021,28.4,1.7,18.7,,0.062,0.025,35,15,28,7.3,586,9666,,,,,,0.372,,,0.7,1.4,1.2,0.11,931,0.05,0.012,0.01,0.4,0.2,4.6,43.9,2.7,5816,0.274,0.214,22,10.6,-0.053,2.4,0.6,0.012,1.3,,,,,,,,,1.4,,0.213,0.009,
5,OIL,3,2021,26.1,1.4,28.7,,0.057,0.024,41,22,24,0.2,527,9579,,,,,,0.382,,,0.7,1.4,1.2,0.14,768,0.045,0.001,0.003,0.5,0.2,5.7,60.7,2.6,5686,0.261,0.152,39,8.9,-0.047,2.0,0.5,0.001,8.4,,,,,,,,,1.3,,0.174,0.005,
6,OIL,2,2021,32.2,1.6,30.0,,0.05,0.021,41,19,28,5.9,462,9530,,,,,,0.401,,,0.8,1.4,1.2,0.087,654,0.062,0.018,0.016,0.5,0.2,6.0,52.7,2.5,5584,0.169,0.116,32,8.9,-0.048,2.0,0.7,0.018,1.4,,,,,,,,,1.2,,0.028,0.024,
7,OIL,1,2021,32.2,1.5,25.3,,0.047,0.019,40,15,28,4.5,426,9303,,,,,,0.406,,,0.8,1.4,1.2,-4.556,636,0.066,0.011,0.012,0.4,0.2,6.1,47.3,2.5,5285,0.127,0.109,27,9.2,-0.039,2.0,0.7,0.011,1.5,,,,,,,,,1.2,,-34.121,0.014,
8,OIL,4,2020,-95.9,1.3,-777.6,,-0.013,-0.005,36,16,28,2.6,-119,9172,,,,,,0.43,,,0.9,1.5,1.3,-0.507,-19,0.068,0.006,0.016,0.4,0.2,-226.9,38.5,2.3,5123,0.336,0.286,24,10.1,-0.027,2.1,0.8,0.006,3.1,,,,,,,,,1.1,,-0.4,0.143,
9,OIL,3,2020,-33.1,1.0,-414.5,,-0.026,-0.01,29,15,29,-3.7,-242,8022,,,,,,0.406,,,0.9,1.5,1.3,0.148,-32,0.042,,,0.4,0.2,-106.8,40.2,2.5,4818,0.177,0.154,14,12.8,-0.043,2.6,,,0.0,,,,,,,,,1.1,,-1.531,-0.117,
10,OIL,2,2020,-36.6,0.9,174.2,,-0.023,-0.009,24,12,18,5.8,-211,9085,,,,,,0.433,,,0.9,1.4,1.2,-0.08,60,0.065,0.018,0.016,0.3,0.1,54.3,31.8,2.3,4743,0.171,0.21,19,15.0,-0.059,3.0,0.8,0.018,1.1,,,,,,,,,1.1,,-0.416,0.019,
