,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PEG,4,2022,622.1,2.7,68.3,,0.004,0.002,-10,5,28,-40.6,11,2712,,,,,,0.503,,,1.0,0.7,0.6,-0.876,104,0.055,,,0.0,0.0,0.9,9.8,2.0,-197,0.137,0.052,-32,,-0.044,5.7,,,1.6,,,,,,,,,1.0,,-0.342,-0.032,
1,PEG,3,2022,71.9,2.4,48.8,,0.034,0.016,-11,9,35,-133.2,94,2803,,,,,,0.496,,,1.0,0.7,0.5,-0.384,158,0.026,,,0.0,0.0,0.2,1.1,2.0,-203,0.088,0.032,-37,,-0.009,5.0,,,0.9,,,,,,,,,1.0,,-0.302,-0.017,
2,PEG,2,2022,46.9,2.5,28.5,,0.055,0.024,-13,16,43,97.6,153,2851,,,,,,0.429,,,0.8,0.8,0.4,0.374,227,0.029,0.005,0.005,0.0,0.0,0.2,9.6,2.3,-190,0.077,0.034,-40,,-0.029,4.0,1.0,0.005,1.1,,,,,,,,,1.3,,0.158,0.009,
3,PEG,1,2022,87.3,3.4,34.6,,0.04,0.018,-20,19,58,34.5,111,2825,,,,,,0.441,,,0.8,0.8,0.4,1.111,196,0.049,0.005,0.008,0.0,0.0,0.7,26.5,2.3,-211,0.08,0.033,-59,,-0.026,2.9,1.0,0.005,1.5,,,,,,,,,1.3,,0.307,0.014,
4,PEG,4,2021,172.0,3.3,58.4,,0.019,0.009,-24,11,57,81.7,52,2787,,,,,,0.481,,,0.9,0.7,0.5,-1.622,150,0.051,0.006,0.009,0.0,0.0,0.7,29.9,2.1,-232,0.066,0.021,-70,,-0.037,2.7,1.0,0.006,1.6,,,,,,,,,1.1,,3.191,0.015,
5,PEG,3,2021,-90.1,2.8,238.3,,-0.03,-0.014,-27,24,80,-46.3,-85,2746,,,,,,0.444,,,0.8,0.7,0.4,-0.426,36,0.057,0.004,0.003,0.0,0.0,2.0,,2.3,-241,0.055,0.018,-84,,-0.029,2.2,1.0,0.004,0.9,,,,,,,,,1.2,,-2.222,0.005,
6,PEG,2,2021,-50.6,2.7,-278.9,,-0.052,-0.026,-31,14,75,7.5,-148,2732,,,,,,0.462,,,0.9,0.7,0.4,-0.383,-29,0.051,0.005,0.004,0.0,0.0,-2.4,,2.2,-249,0.05,0.017,-91,,0.0,2.1,1.0,0.005,0.9,,,,,,,,,1.1,,-0.759,0.005,
7,PEG,1,2021,-24.1,2.1,-59.5,,-0.084,-0.041,-37,16,91,-5.3,-240,2718,,,,,,0.466,,,0.9,0.7,0.5,-0.42,-121,0.051,,,0.1,0.0,-1.2,,2.1,-264,0.041,0.016,-112,,-0.003,1.7,,,1.1,,,,,,,,,1.1,,-0.583,-0.005,
8,PEG,4,2020,-19.8,3.0,-21.0,,-0.14,-0.074,-34,9,83,-127.8,-413,2731,,,,,,0.503,,,1.0,0.6,0.5,0.206,-291,0.039,,,0.0,0.0,-0.3,,2.0,-262,0.056,0.026,-108,,-0.005,1.7,,,1.1,,,,,,,,,1.0,,0.142,-0.035,
9,PEG,3,2020,-17.5,2.1,-37.0,,-0.112,-0.057,-28,19,81,-74.6,-343,2831,,,,,,0.481,,,0.9,0.7,0.5,0.221,-255,0.076,,,0.0,0.0,-0.2,,2.1,-248,0.031,0.009,-90,,-0.009,1.9,,,1.0,,,,,,,,,1.1,,0.131,-0.034,
10,PEG,2,2020,-21.3,2.0,-26.5,,-0.092,-0.049,-26,6,61,-144.5,-281,2929,,,,,,0.531,,,1.1,0.6,0.6,0.524,-225,0.058,,,0.0,0.0,-0.2,,1.9,-239,0.035,0.017,-81,,-0.013,2.3,,,1.0,,,,,,,,,0.9,,0.861,-0.025,
