,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PET,4,2022,15.7,1.1,10.0,,0.074,0.015,18,43,41,1.3,1367,18854,,,,,,0.206,,,0.3,1.1,0.8,-0.243,6017.0,0.055,0.018,0.0,2.1,0.5,7.2,54.0,4.9,882,0.579,0.552,20,20.0,-0.131,2.0,0.2,0.018,0.0,,,,,,,,,3.5,,-0.086,-0.012,
1,PET,3,2022,16.3,1.5,9.0,,0.098,0.022,17,35,42,3.0,1805,19084,,,,,,0.199,,,0.3,1.1,0.8,-0.015,6586.0,0.049,0.022,0.012,2.2,0.5,5.5,48.1,5.0,953,0.682,0.679,10,21.4,-0.137,2.4,0.6,0.022,0.9,,,,,,,,,3.6,,0.024,0.003,
2,PET,2,2022,18.7,1.8,8.0,,0.105,0.026,15,33,30,5.9,1832,19025,,,,,,0.226,,,0.3,1.1,0.8,-0.172,6429.0,0.085,0.059,0.004,2.0,0.5,5.6,35.5,4.4,882,0.833,0.781,18,24.0,-0.153,2.6,0.8,0.059,0.1,,,,,,,,,3.1,,0.28,-0.005,
3,PET,1,2022,25.8,3.0,10.9,,0.126,0.029,17,34,41,3.5,2213,19117,,,,,,0.224,,,0.3,1.1,0.8,0.1,5023.0,0.041,0.018,0.014,1.7,0.4,6.5,26.1,4.5,897,0.841,0.561,10,21.2,-0.067,2.4,0.6,0.018,1.2,,,,,,,,,3.2,,0.014,0.067,
4,PET,4,2021,16.5,1.9,12.3,,0.119,0.025,17,25,34,6.2,2011,17919,,,,,,0.197,,,0.3,1.1,0.9,0.089,4955.0,0.057,0.024,0.007,1.9,0.4,7.2,24.6,5.1,880,1.392,0.6,7,21.8,-0.114,2.2,0.3,0.024,1.1,,,,,,,,,3.7,,0.228,0.019,
5,PET,3,2021,14.5,1.5,12.2,,0.112,0.029,18,28,47,3.4,1847,17591,,,,,,0.268,,,0.4,1.2,0.9,0.034,4036.0,0.051,0.019,0.014,1.1,0.3,5.9,11.2,3.7,811,0.623,0.339,-2,20.7,-0.162,2.5,0.7,0.019,1.1,,,,,,,,,2.5,,-0.043,0.119,
6,PET,2,2021,12.2,1.4,10.8,,0.116,0.03,14,35,39,4.1,1786,15715,,,,,,0.269,,,0.4,1.2,0.9,0.206,4216.0,0.055,0.023,0.015,1.4,0.4,5.8,12.1,3.7,633,0.766,0.475,10,25.4,-0.115,2.7,0.7,0.023,1.0,,,,,,,,,2.4,,0.118,-0.022,
7,PET,1,2021,14.8,1.4,8.3,,0.094,0.024,18,37,44,4.4,1481,16075,,,,,,0.246,,,0.4,1.2,0.9,0.035,3771.0,0.047,0.02,0.011,1.4,0.4,6.5,11.5,4.1,808,0.855,0.91,11,19.9,-0.09,2.5,0.6,0.02,1.0,,,,,,,,,2.7,,0.064,-0.08,
8,PET,4,2020,10.8,0.9,9.3,,0.083,0.022,19,27,32,3.1,1432,17470,,,,,,0.234,,,0.3,1.2,1.0,-0.081,3544.0,0.051,0.015,0.007,1.6,0.4,6.9,12.1,4.3,724,1.087,1.011,14,18.9,-0.087,2.4,0.5,0.015,1.0,,,,,,,,,3.0,,0.18,0.023,
9,PET,3,2020,6.0,0.5,8.8,,0.094,0.025,22,34,48,3.8,1558,17082,,,,,,0.246,,,0.4,1.2,0.9,0.186,3002.0,0.039,0.018,0.011,1.3,0.4,7.1,8.6,4.1,702,0.781,1.076,8,16.8,-0.124,2.1,0.7,0.018,0.8,,,,,,,,,2.7,,0.189,0.036,
