,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PGC,4,2022,8.0,1.2,12.9,,0.147,0.049,28,19,45,2.0,2011,13236,,,,,,0.317,,,0.5,1.2,1.1,0.033,2953.0,0.178,0.035,0.032,1.3,0.4,5.7,,3.2,252,0.063,0.052,1,13.2,-0.143,1.6,0.8,0.035,1.2,,,,,,,,,2.1,,0.028,-0.048,
1,PGC,3,2022,8.9,1.2,13.3,,0.141,0.049,29,16,30,2.3,1947,13902,,,,,,0.311,,,0.5,1.2,1.1,0.204,2874.0,0.157,0.038,0.031,1.6,0.5,6.4,,3.2,305,0.061,0.053,14,12.7,-0.077,1.7,0.8,0.038,1.1,,,,,,,,,2.2,,0.229,0.036,
2,PGC,2,2022,11.0,1.3,16.2,,0.12,0.04,22,18,33,2.6,1617,13413,,,,,,0.3,,,0.4,1.1,1.0,-0.168,2339.0,0.131,0.03,0.027,1.6,0.5,8.1,,3.3,140,0.086,0.067,7,16.7,-0.013,1.6,0.7,0.03,1.2,,,,,,,,,2.3,,-0.15,-0.086,
3,PGC,1,2022,10.2,1.3,14.0,,0.139,0.049,25,17,38,3.0,1944,14670,,,,,,0.334,,,0.5,1.1,1.0,-0.022,2752.0,0.144,0.032,0.031,1.4,0.5,6.4,,3.0,188,0.06,0.046,4,14.7,-0.039,1.5,0.8,0.032,1.3,,,,,,,,,2.0,,-0.057,0.036,
4,PGC,4,2021,10.5,1.5,11.8,,0.148,0.055,33,21,37,3.3,1989,14167,,,,,,0.352,,,0.6,1.2,1.1,-0.007,2919.0,0.158,0.027,0.029,1.2,0.4,4.8,,2.8,357,0.068,0.047,17,11.1,-0.036,1.5,0.8,0.027,1.4,,,,,,,,,1.8,,-0.006,0.034,
5,PGC,3,2021,12.8,1.9,12.5,,0.148,0.062,31,16,27,0.6,2002,13697,,,,,,0.388,,,0.7,1.3,1.2,-0.165,2936.0,0.143,0.007,0.013,1.0,0.4,4.0,,2.6,328,0.067,0.04,19,11.9,-0.049,1.9,0.8,0.007,2.4,,,,,,,,,1.5,,-0.185,0.011,
6,PGC,2,2021,6.8,1.2,12.1,,0.182,0.075,29,15,20,6.5,2399,13544,,,,,,0.376,,,0.6,1.3,1.2,0.084,3602.0,0.203,0.072,0.062,1.2,0.4,3.5,,2.7,317,0.051,0.025,23,12.8,-0.06,1.9,0.8,0.072,1.1,,,,,,,,,1.6,,0.047,0.023,
7,PGC,1,2021,7.7,1.3,9.2,,0.16,0.064,33,18,28,5.5,2212,13243,,,,,,0.369,,,0.6,1.2,1.1,0.146,3439.0,0.18,0.049,0.04,1.1,0.4,4.1,,2.7,287,0.056,0.044,23,11.0,-0.048,1.6,0.7,0.049,1.1,,,,,,,,,1.7,,0.096,0.044,
8,PGC,4,2020,9.6,1.5,8.3,,0.144,0.06,31,20,33,3.6,1930,12687,,,,,,0.4,,,0.7,1.2,1.1,-0.045,3138.0,0.162,0.021,0.023,0.9,0.4,3.5,,2.5,252,0.069,0.052,19,11.7,-0.072,1.7,0.8,0.021,1.4,,,,,,,,,1.5,,-0.055,-0.053,
9,PGC,3,2020,8.4,1.3,7.7,,0.15,0.064,36,21,30,6.0,2020,13400,,,,,,0.453,,,0.9,1.3,1.2,-0.044,3322.0,0.213,0.062,0.049,0.7,0.3,3.4,,2.2,285,0.048,0.039,27,10.2,-0.068,1.5,0.7,0.062,1.1,,,,,,,,,1.2,,-0.041,0.043,
