,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PGD,4,2022,7.0,1.9,2.1,,0.281,0.119,33,1,62,,4585,17280,,,,,,0.431,,,0.8,1.6,1.5,0.251,6274,0.121,0.075,0.061,0.0,0.0,0.0,,2.3,1135,1.022,0.547,-27,10.9,-0.045,3.2,0.8,0.075,1.0,,,,,,,,,1.3,,0.197,0.108,
1,PGD,3,2022,8.3,2.0,1.6,,0.243,0.102,30,1,53,,3667,15590,,,,,,0.389,,,0.6,1.5,1.4,0.052,5244,0.081,0.043,0.035,0.0,0.0,0.0,,2.6,1002,1.217,0.693,-22,12.0,-0.044,3.5,0.8,0.043,1.0,,,,,,,,,1.6,,0.039,-0.082,
2,PGD,2,2022,8.6,1.8,1.6,,0.213,0.085,36,2,74,,3486,16991,,,,,,0.378,,,0.6,1.4,1.4,0.05,5049,0.056,0.026,0.022,0.0,0.0,0.0,,2.6,1112,1.228,0.72,-36,10.1,-0.068,2.8,0.8,0.026,1.0,,,,,,,,,1.6,,-0.003,0.042,
3,PGD,1,2022,9.3,1.9,3.1,,0.211,0.091,37,2,67,,3321,16313,,,,,,0.402,,,0.7,1.5,1.5,0.177,5066,0.089,0.041,0.033,0.0,0.0,0.0,,2.5,1032,1.012,0.509,-28,9.9,-0.153,2.9,0.8,0.041,1.0,,,,,,,,,1.5,,0.211,0.061,
4,PGD,4,2021,11.0,2.0,5.4,,0.187,0.077,34,2,75,,2822,15371,,,,,,0.414,,,0.7,1.5,1.5,0.015,4185,0.079,0.038,0.03,0.0,0.0,0.0,,2.4,933,1.078,0.47,-39,10.9,-0.204,2.7,0.8,0.038,1.0,,,,,,,,,1.4,,-0.113,0.049,
5,PGD,3,2021,14.4,2.7,3.8,,0.194,0.084,33,2,58,,2780,14649,,,,,,0.462,,,0.9,1.6,1.5,-0.018,4720,0.097,0.05,0.041,0.0,0.0,0.0,,2.2,860,0.85,0.41,-22,11.2,-0.289,2.9,0.8,0.05,1.0,,,,,,,,,1.2,,-0.024,-0.068,
6,PGD,2,2021,9.0,1.6,3.9,,0.181,0.081,38,2,66,,2830,15724,,,,,,0.422,,,0.7,1.5,1.5,0.301,4835,0.067,0.036,0.023,0.0,0.0,0.0,,2.4,944,1.147,0.488,-26,9.6,-0.284,2.7,0.7,0.036,0.8,,,,,,,,,1.4,,0.253,0.035,
7,PGD,1,2021,12.3,1.8,3.6,,0.141,0.065,41,3,71,,2176,15199,,,,,,0.472,,,0.9,1.6,1.6,-0.035,3860,0.066,0.015,0.021,0.0,0.0,0.0,,2.1,915,1.037,0.534,-28,8.9,-0.222,2.6,0.8,0.015,1.8,,,,,,,,,1.1,,-0.091,0.03,
8,PGD,4,2020,11.0,1.7,2.8,,0.151,0.065,36,3,81,,2254,14762,,,,,,0.406,,,0.7,1.4,1.3,0.085,4246,0.096,0.038,0.032,0.0,0.0,0.0,,2.5,720,1.298,0.644,-42,10.2,-0.113,2.4,0.8,0.038,1.0,,,,,,,,,1.5,,0.25,0.049,
9,PGD,3,2020,11.3,1.7,4.4,,0.145,0.059,34,3,76,,2077,14068,,,,,,0.408,,,0.7,1.4,1.3,0.135,3398,0.115,0.06,0.048,0.0,0.0,0.0,,2.5,703,1.261,0.544,-38,10.6,-0.042,2.4,0.8,0.06,1.0,,,,,,,,,1.5,,0.112,-0.098,
